symbol,one week NASDAQ,one week stock,one week outperform,two week NASDAQ,two week stock,two week outperform,one month NASDAQ,one month stock,one month outperform,one year NASDAQ,one year stock,one year outperform,two years NASDAQ,two years stock,one years outperform,three years NASDAQ,three years stockthree years outperform,
ADBE,-0.36136643,0.557021401,TRUE,2.298896399,2.276001152,FALSE,3.708689532,6.160088528,TRUE,10.46135891,18.18620357,TRUE,24.96565388,42.21465077,TRUE,26.94123219,53.17504141,TRUE
EBAY,2.740384201,-3.470283207,FALSE,3.833359521,-2.580326248,FALSE,5.225345063,-4.596774194,FALSE,18.97717782,16.33607483,FALSE,14.70016403,-117.2529313,FALSE,33.86520087,-47.84838985,FALSE
EFX,0.485449872,-47.65156218,FALSE,0.386439704,-45.26208651,FALSE,2.847069103,-26.33442507,FALSE,19.52405163,-6.253722454,FALSE,-,-,-,-,,
UAA,-2.145162332,3.71024735,TRUE,0.607877236,0.848999394,TRUE,0.79144936,8.300616938,TRUE,-,-,-,-,-,-,,,
,,,,,,,,,,,,,,,,,,
Avg,0.179826328,-11.71364416,,1.781643215,-11.17935305,,3.143138264,-4.117623449,,16.32086279,9.422851981,,19.83290895,-37.51914028,,30.40321653,2.663325779,
Med,0.062041721,-1.456630903,,1.453386818,-0.865663427,,3.277879318,0.781657167,,18.97717782,16.33607483,,19.83290895,-37.51914028,,30.40321653,2.663325779,
Std Dev,2.028819381,24.13816214,,1.612597291,22.81303576,,1.850543257,15.84992027,,5.081840909,13.60779128,,7.258797486,112.7606087,,4.895985207,71.43435331,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,NASDAQ,Stock,StdDev Lower,StdDev Upper,StdDev,,,,,,,,,,,,,
One Week,0.179826328,-11.71364416,-35.85180629,12.42451798,24.13816214,,,,,,,,,,,,,
Two Week,1.781643215,-11.17935305,-33.99238881,11.6336827,22.81303576,,,,,,,,,,,,,
One Month,3.143138264,-4.117623449,-19.96754372,11.73229682,15.84992027,,,,,,,,,,,,,
One Year,16.32086279,9.422851981,-4.184939302,23.03064326,13.60779128,,,,,,,,,,,,,
Two Year,19.83290895,-37.51914028,-150.279749,75.2414684,112.7606087,,,,,,,,,,,,,
Three Year,30.40321653,2.663325779,-68.77102753,74.09767909,71.43435331,,,,,,,,,,,,,
