symbol,one week NASDAQ,one week stock,one week outperform,two week NASDAQ,two week stock,two week outperform,one month NASDAQ,one month stock,one month outperform,one year NASDAQ,one year stock,one year outperform,two years NASDAQ,two years stock,one years outperform,three years NASDAQ,three years stockthree years outperform,
C,-0.328669918,-0.18907563,TRUE,0.592390018,-0.675533038,FALSE,0.143835959,-2.647438657,FALSE,2.544188467,1.385442514,FALSE,20.26213489,7.018912069,FALSE,7.294069989,-194.564546,FALSE
BAC,0.251626561,-0.021376657,FALSE,-1.16574874,-2.228533974,FALSE,-3.657673763,-5.644615037,FALSE,8.193022748,-2.722283205,FALSE,15.757792,9.391944229,FALSE,12.60526132,-15.90289819,FALSE
BAC,-6.186714007,-19.11764706,FALSE,-3.387331204,2.026005443,TRUE,-28.06191971,-46.60633484,FALSE,-3.839160421,-83.98637138,FALSE,4.94003327,-146.3878327,FALSE,14.94290754,-420.9003215,FALSE
BBVA,-2.090733182,2.000909504,TRUE,1.610266985,5.606657906,TRUE,3.375776054,5.812937063,TRUE,-45.18322961,-131.471536,FALSE,7.510462157,-41.31147541,FALSE,18.28912085,-75.48859935,FALSE
FIS,0.257942292,2.181688126,TRUE,2.02038308,3.527336861,TRUE,-3.566345579,-10.03822169,FALSE,-19.37257121,-176.6818412,FALSE,-34.40537483,-153.8283063,FALSE,-15.57721904,-97.47292419,FALSE
AMTD,2.584588306,1.587301587,FALSE,3.676478549,1.317233809,FALSE,7.253143799,8.591764108,TRUE,-19.00738833,2.863317126,TRUE,-23.30677362,8.684611478,TRUE,-6.780195914,-8.509354255,FALSE
TJX,-4.232768005,-2.472727273,TRUE,-6.054814013,-4.564007421,TRUE,-2.544871249,-5.622188906,FALSE,-11.42070406,15.22262335,TRUE,-79.37208061,-17.5145955,TRUE,-5.147530406,34.96422802,TRUE
EBAY,1.654166507,-0.54525627,FALSE,-2.031603227,-5.371428571,FALSE,-1.672645148,-0.399274047,TRUE,-74.33571401,-163.4285714,FALSE,2.595810348,-6.507508664,FALSE,14.53137497,9.814150636,FALSE
BK,2.394034508,2.464709836,TRUE,3.987149633,-1.444884642,FALSE,0.560101649,-6.848306333,FALSE,-34.08418556,-56.24551328,FALSE,-6.175089086,-64.26415094,FALSE,7.713093315,-76.66396104,FALSE
ANTM,1.01668053,5.010402219,TRUE,2.147323851,8.698550242,TRUE,4.844659563,10.73639622,TRUE,17.15342471,2.038262113,FALSE,16.22693476,18.06490205,TRUE,29.76390996,12.25176169,FALSE
