symbol,one week NASDAQ,one week stock,one week outperform,two week NASDAQ,two week stock,two week outperform,one month NASDAQ,one month stock,one month outperform,one year NASDAQ,one year stock,one year outperform,two years NASDAQ,two years stock,one years outperform,three years NASDAQ,three years stockthree years outperform,
SBUX,-1.532623138,0.937866354,TRUE,4.867705072,8.845738943,TRUE,3.254598481,8.052230686,TRUE,32.77250524,60.51401869,TRUE,44.30432293,74.226018,TRUE,43.68146695,81.80839612,TRUE
MS,5.793266915,6.523569024,TRUE,5.342508715,-2.919369787,FALSE,6.680390908,4.678111588,FALSE,9.683630285,-57.07213579,FALSE,26.31659426,19.55813111,FALSE,39.0510171,29.71518987,FALSE
CM,3.158869413,0.630517024,FALSE,3.987650149,2.089687112,FALSE,2.182598746,0.823798627,FALSE,-,-,-,-,-,-,,,
Avg,2.473171064,2.697317467,,4.732621312,2.672018756,,4.039196045,4.518046967,,21.22806776,1.720941453,,35.3104586,46.89207455,,41.36624202,55.761793,
Med,3.158869413,0.937866354,,4.867705072,2.089687112,,3.254598481,4.678111588,,21.22806776,1.720941453,,35.3104586,46.89207455,,41.36624202,55.761793,
StdDev,3.71076851,3.317192583,,0.687456289,5.904132321,,2.349303851,3.616873376,,16.32630005,83.1459672,,12.71924492,38.65603353,,3.274222495,36.83545939,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,NASDAQ,Stock,StdDev Lower,StdDev Upper,StdDev,,,,,,,,,,,,,
One Week,2.473171064,2.697317467,-0.619875116,6.01451005,3.317192583,,,,,,,,,,,,,
Two Week,4.732621312,2.672018756,-3.232113565,8.576151077,5.904132321,,,,,,,,,,,,,
One Month,4.039196045,4.518046967,0.901173591,8.134920343,3.616873376,,,,,,,,,,,,,
One Year,21.22806776,1.720941453,-81.42502575,84.86690866,83.1459672,,,,,,,,,,,,,
Two Year,35.3104586,46.89207455,8.236041025,85.54810808,38.65603353,,,,,,,,,,,,,
Three Year,41.36624202,55.761793,18.9263336,92.59725239,36.83545939,,,,,,,,,,,,,
