date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,0.49,0.58,0.48,0.58,179527600.0,179527600.0,-0.09,-18.367,0.54667,"January 02, 98",-0.18367
1998-01-05,0.59,0.59,0.54,0.57,162968400.0,162968400.0,0.02,3.39,0.56667,"January 05, 98",0.0339
1998-01-06,0.57,0.71,0.53,0.68,453118400.0,453118400.0,-0.11,-19.298,0.64,"January 06, 98",-0.19298
1998-01-07,0.67,0.68,0.62,0.63,260405600.0,260405600.0,0.04,5.97,0.64333,"January 07, 98",0.0597
1998-01-08,0.62,0.67,0.6,0.65,193505200.0,193505200.0,-0.03,-4.839,0.64,"January 08, 98",-0.04839
1998-01-09,0.65,0.69,0.63,0.65,221636800.0,221636800.0,0.0,0.0,0.65667,"January 09, 98",0.0
1998-01-12,0.62,0.67,0.61,0.65,129099600.0,129099600.0,-0.03,-4.839,0.64333,"January 12, 98",-0.04839
1998-01-13,0.67,0.7,0.66,0.7,159213600.0,159213600.0,-0.03,-4.478,0.68667,"January 13, 98",-0.04478
1998-01-14,0.71,0.71,0.69,0.71,147316400.0,147316400.0,0.0,0.0,0.70333,"January 14, 98",0.0
1998-01-15,0.69,0.71,0.67,0.69,139818000.0,139818000.0,0.0,0.0,0.69,"January 15, 98",0.0
1998-01-16,0.69,0.69,0.67,0.67,61588800.0,61588800.0,0.02,2.899,0.67667,"January 16, 98",0.02899
1998-01-20,0.68,0.69,0.67,0.68,60390400.0,60390400.0,0.0,0.0,0.68,"January 20, 98",0.0
1998-01-21,0.67,0.68,0.66,0.68,47552400.0,47552400.0,-0.01,-1.493,0.67333,"January 21, 98",-0.01493
1998-01-22,0.67,0.71,0.67,0.69,82432000.0,82432000.0,-0.02,-2.985,0.69,"January 22, 98",-0.02985
1998-01-23,0.69,0.7,0.69,0.7,58290400.0,58290400.0,-0.01,-1.449,0.69667,"January 23, 98",-0.01449
1998-01-26,0.69,0.7,0.67,0.69,36610000.0,36610000.0,0.0,0.0,0.68667,"January 26, 98",0.0
1998-01-27,0.69,0.7,0.68,0.68,28058800.0,28058800.0,0.01,1.449,0.68667,"January 27, 98",0.01449
1998-01-28,0.69,0.69,0.67,0.69,37780400.0,37780400.0,0.0,0.0,0.68333,"January 28, 98",0.0
1998-01-29,0.68,0.68,0.66,0.66,52970400.0,52970400.0,0.02,2.941,0.66667,"January 29, 98",0.02941
1998-01-30,0.65,0.67,0.65,0.65,40611200.0,40611200.0,0.0,0.0,0.65667,"January 30, 98",0.0
1998-02-02,0.66,0.66,0.62,0.63,159185600.0,159185600.0,0.03,4.545,0.63667,"February 02, 98",0.04545
1998-02-03,0.63,0.67,0.63,0.65,100654400.0,100654400.0,-0.02,-3.175,0.65,"February 03, 98",-0.03175
1998-02-04,0.65,0.66,0.64,0.65,42548800.0,42548800.0,0.0,0.0,0.65,"February 04, 98",0.0
1998-02-05,0.65,0.66,0.64,0.65,59567200.0,59567200.0,0.0,0.0,0.65,"February 05, 98",0.0
1998-02-06,0.66,0.67,0.65,0.66,50584800.0,50584800.0,0.0,0.0,0.66,"February 06, 98",0.0
1998-02-09,0.66,0.7,0.66,0.69,123667600.0,123667600.0,-0.03,-4.545,0.68333,"February 09, 98",-0.04545
1998-02-10,0.68,0.7,0.68,0.69,105504000.0,105504000.0,-0.01,-1.471,0.69,"February 10, 98",-0.01471
1998-02-11,0.7,0.7,0.67,0.68,52917200.0,52917200.0,0.02,2.857,0.68333,"February 11, 98",0.02857
1998-02-12,0.68,0.69,0.68,0.69,50937600.0,50937600.0,-0.01,-1.471,0.68667,"February 12, 98",-0.01471
1998-02-13,0.69,0.71,0.68,0.7,51998800.0,51998800.0,-0.01,-1.449,0.69667,"February 13, 98",-0.01449
1998-02-17,0.7,0.71,0.7,0.7,45687600.0,45687600.0,0.0,0.0,0.70333,"February 17, 98",0.0
1998-02-18,0.7,0.74,0.7,0.73,123648000.0,123648000.0,-0.03,-4.286,0.72333,"February 18, 98",-0.04286
1998-02-19,0.75,0.75,0.71,0.73,99915200.0,99915200.0,0.02,2.667,0.73,"February 19, 98",0.02667
1998-02-20,0.73,0.73,0.71,0.71,81354000.0,81354000.0,0.02,2.74,0.71667,"February 20, 98",0.0274
1998-02-23,0.72,0.77,0.71,0.76,119372400.0,119372400.0,-0.04,-5.556,0.74667,"February 23, 98",-0.05556
1998-02-24,0.76,0.76,0.74,0.76,114147600.0,114147600.0,0.0,0.0,0.75333,"February 24, 98",0.0
1998-02-25,0.76,0.81,0.75,0.8,178166800.0,178166800.0,-0.04,-5.263,0.78667,"February 25, 98",-0.05263
1998-02-26,0.8,0.84,0.78,0.84,148783600.0,148783600.0,-0.04,-5.0,0.82,"February 26, 98",-0.05
1998-02-27,0.83,0.85,0.81,0.84,129900400.0,129900400.0,-0.01,-1.205,0.83333,"February 27, 98",-0.01205
1998-03-02,0.84,0.84,0.79,0.81,100111200.0,100111200.0,0.03,3.571,0.81333,"March 02, 98",0.03571
1998-03-03,0.78,0.83,0.77,0.83,83518400.0,83518400.0,-0.05,-6.41,0.81,"March 03, 98",-0.0641
1998-03-04,0.82,0.88,0.82,0.87,204456000.0,204456000.0,-0.05,-6.098,0.85667,"March 04, 98",-0.06098
1998-03-05,0.83,0.87,0.83,0.86,168781200.0,168781200.0,-0.03,-3.614,0.85333,"March 05, 98",-0.03614
1998-03-06,0.85,0.88,0.83,0.87,166616800.0,166616800.0,-0.02,-2.353,0.86,"March 06, 98",-0.02353
1998-03-09,0.85,0.87,0.8,0.81,143732400.0,143732400.0,0.04,4.706,0.82667,"March 09, 98",0.04706
1998-03-10,0.82,0.88,0.82,0.86,178225600.0,178225600.0,-0.04,-4.878,0.85333,"March 10, 98",-0.04878
1998-03-11,0.9,0.94,0.88,0.93,303584400.0,303584400.0,-0.03,-3.333,0.91667,"March 11, 98",-0.03333
1998-03-12,0.93,0.96,0.91,0.96,186090800.0,186090800.0,-0.03,-3.226,0.94333,"March 12, 98",-0.03226
1998-03-13,0.97,0.97,0.94,0.97,141540000.0,141540000.0,0.0,0.0,0.96,"March 13, 98",0.0
1998-03-16,0.97,0.97,0.94,0.95,100590000.0,100590000.0,0.02,2.062,0.95333,"March 16, 98",0.02062
1998-03-17,0.95,0.95,0.92,0.94,102564000.0,102564000.0,0.01,1.053,0.93667,"March 17, 98",0.01053
1998-03-18,0.93,0.96,0.93,0.96,69249600.0,69249600.0,-0.03,-3.226,0.95,"March 18, 98",-0.03226
1998-03-19,0.96,0.96,0.95,0.96,40014800.0,40014800.0,0.0,0.0,0.95667,"March 19, 98",0.0
1998-03-20,0.95,0.96,0.93,0.94,53869200.0,53869200.0,0.01,1.053,0.94333,"March 20, 98",0.01053
1998-03-23,0.93,0.94,0.88,0.93,103684000.0,103684000.0,0.0,0.0,0.91667,"March 23, 98",0.0
1998-03-24,0.94,1.0,0.94,1.0,168982800.0,168982800.0,-0.06,-6.383,0.98,"March 24, 98",-0.06383
1998-03-25,0.99,0.99,0.94,0.97,96843600.0,96843600.0,0.02,2.02,0.96667,"March 25, 98",0.0202
1998-03-26,0.96,0.96,0.94,0.95,50741600.0,50741600.0,0.01,1.042,0.95,"March 26, 98",0.01042
1998-03-27,0.95,0.98,0.94,0.96,63898800.0,63898800.0,-0.01,-1.053,0.96,"March 27, 98",-0.01053
1998-03-30,0.96,0.98,0.96,0.98,62675200.0,62675200.0,-0.02,-2.083,0.97333,"March 30, 98",-0.02083
1998-03-31,0.98,0.99,0.97,0.98,66724000.0,66724000.0,0.0,0.0,0.98,"March 31, 98",0.0
1998-04-01,0.98,0.99,0.97,0.98,46720800.0,46720800.0,0.0,0.0,0.98,"April 01, 98",0.0
1998-04-02,0.98,0.98,0.96,0.98,48577200.0,48577200.0,0.0,0.0,0.97333,"April 02, 98",0.0
1998-04-03,0.97,0.97,0.96,0.97,50766800.0,50766800.0,0.0,0.0,0.96667,"April 03, 98",0.0
1998-04-06,0.96,0.96,0.94,0.94,86898000.0,86898000.0,0.02,2.083,0.94667,"April 06, 98",0.02083
1998-04-07,0.92,0.93,0.89,0.91,73175200.0,73175200.0,0.01,1.087,0.91,"April 07, 98",0.01087
1998-04-08,0.9,0.91,0.88,0.89,56299600.0,56299600.0,0.01,1.111,0.89333,"April 08, 98",0.01111
1998-04-09,0.9,0.92,0.89,0.92,42576800.0,42576800.0,-0.02,-2.222,0.91,"April 09, 98",-0.02222
