date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,5.11,5.11,4.94,5.06,6380800.0,6380800.0,0.05,0.978,5.03667,"January 02, 98",0.00978
1998-01-05,5.02,5.2,5.02,5.13,8916800.0,8916800.0,-0.11,-2.191,5.11667,"January 05, 98",-0.02191
1998-01-06,5.11,5.44,5.11,5.3,12635200.0,12635200.0,-0.19,-3.718,5.28333,"January 06, 98",-0.03718
1998-01-07,5.3,5.31,5.17,5.23,18653600.0,18653600.0,0.07,1.321,5.23667,"January 07, 98",0.01321
1998-01-08,5.2,5.34,5.19,5.27,8851200.0,8851200.0,-0.07,-1.346,5.26667,"January 08, 98",-0.01346
1998-01-09,5.25,5.27,5.13,5.16,6635200.0,6635200.0,0.09,1.714,5.18667,"January 09, 98",0.01714
1998-01-12,5.05,5.23,5.02,5.09,8977600.0,8977600.0,-0.04,-0.792,5.11333,"January 12, 98",-0.00792
1998-01-13,5.09,5.13,4.95,5.03,9136000.0,9136000.0,0.06,1.179,5.03667,"January 13, 98",0.01179
1998-01-14,5.03,5.03,4.84,4.86,6960800.0,6960800.0,0.17,3.38,4.91,"January 14, 98",0.0338
1998-01-15,4.81,5.0,4.78,4.91,5855200.0,5855200.0,-0.1,-2.079,4.89667,"January 15, 98",-0.02079
1998-01-16,4.91,4.94,4.82,4.91,4971200.0,4971200.0,0.0,0.0,4.89,"January 16, 98",0.0
1998-01-20,4.89,4.98,4.89,4.95,4168000.0,4168000.0,-0.06,-1.227,4.94,"January 20, 98",-0.01227
1998-01-21,4.88,4.97,4.88,4.88,3800000.0,3800000.0,0.0,0.0,4.91,"January 21, 98",0.0
1998-01-22,4.84,4.91,4.75,4.81,4307200.0,4307200.0,0.03,0.62,4.82333,"January 22, 98",0.0062
1998-01-23,4.8,4.86,4.63,4.78,5460000.0,5460000.0,0.02,0.417,4.75667,"January 23, 98",0.00417
1998-01-26,4.78,4.81,4.63,4.67,4466400.0,4466400.0,0.11,2.301,4.70333,"January 26, 98",0.02301
1998-01-27,4.63,4.73,4.63,4.67,3863200.0,3863200.0,-0.04,-0.864,4.67667,"January 27, 98",-0.00864
1998-01-28,4.69,4.79,4.65,4.74,7122400.0,7122400.0,-0.05,-1.066,4.72667,"January 28, 98",-0.01066
1998-01-29,4.73,4.77,4.63,4.7,4272000.0,4272000.0,0.03,0.634,4.7,"January 29, 98",0.00634
1998-01-30,4.75,4.84,4.64,4.81,4761600.0,4761600.0,-0.06,-1.263,4.76333,"January 30, 98",-0.01263
1998-02-02,4.86,4.94,4.78,4.8,9976800.0,9976800.0,0.06,1.235,4.84,"February 02, 98",0.01235
1998-02-03,4.78,4.83,4.73,4.79,8202400.0,8202400.0,-0.01,-0.209,4.78333,"February 03, 98",-0.00209
1998-02-04,4.75,4.93,4.71,4.91,9240800.0,9240800.0,-0.16,-3.368,4.85,"February 04, 98",-0.03368
1998-02-05,4.93,5.02,4.92,4.93,8191200.0,8191200.0,0.0,0.0,4.95667,"February 05, 98",0.0
1998-02-06,4.89,5.08,4.88,5.0,8656000.0,8656000.0,-0.11,-2.249,4.98667,"February 06, 98",-0.02249
1998-02-09,5.05,5.13,5.04,5.08,11158400.0,11158400.0,-0.03,-0.594,5.08333,"February 09, 98",-0.00594
1998-02-10,5.07,5.12,5.02,5.04,11175200.0,11175200.0,0.03,0.592,5.06,"February 10, 98",0.00592
1998-02-11,5.02,5.11,5.0,5.05,10981600.0,10981600.0,-0.03,-0.598,5.05333,"February 11, 98",-0.00598
1998-02-12,4.94,5.19,4.83,5.16,24822400.0,24822400.0,-0.22,-4.453,5.06,"February 12, 98",-0.04453
1998-02-13,5.13,5.58,5.11,5.43,24736800.0,24736800.0,-0.3,-5.848,5.37333,"February 13, 98",-0.05848
1998-02-17,5.55,5.55,5.31,5.41,9248000.0,9248000.0,0.14,2.523,5.42333,"February 17, 98",0.02523
