date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,24.31,24.34,23.49,23.79,1374800.0,1374800.0,0.52,2.139,23.87333,"January 02, 98",0.02139
1998-01-05,23.94,24.14,23.67,24.11,2134100.0,2134100.0,-0.17,-0.71,23.97333,"January 05, 98",-0.0071
1998-01-06,23.97,24.19,23.74,24.16,1181900.0,1181900.0,-0.19,-0.793,24.03,"January 06, 98",-0.00793
1998-01-07,24.09,24.09,23.64,23.84,1560200.0,1560200.0,0.25,1.038,23.85667,"January 07, 98",0.01038
1998-01-08,23.79,23.87,23.52,23.74,1001800.0,1001800.0,0.05,0.21,23.71,"January 08, 98",0.0021
1998-01-09,23.72,23.72,23.22,23.27,1828000.0,1828000.0,0.45,1.897,23.40333,"January 09, 98",0.01897
1998-01-12,22.83,23.77,22.83,23.77,1749600.0,1749600.0,-0.94,-4.117,23.45667,"January 12, 98",-0.04117
1998-01-13,23.79,23.87,23.52,23.84,2032000.0,2032000.0,-0.05,-0.21,23.74333,"January 13, 98",-0.0021
1998-01-14,23.82,23.82,23.3,23.79,990400.0,990400.0,0.03,0.126,23.63667,"January 14, 98",0.00126
1998-01-15,23.82,23.92,23.35,23.47,1326900.0,1326900.0,0.35,1.469,23.58,"January 15, 98",0.01469
1998-01-16,23.42,23.77,23.35,23.59,1966000.0,1966000.0,-0.17,-0.726,23.57,"January 16, 98",-0.00726
1998-01-20,23.89,24.29,23.87,24.29,2081700.0,2081700.0,-0.4,-1.674,24.15,"January 20, 98",-0.01674
1998-01-21,24.29,24.29,23.99,24.21,1213200.0,1213200.0,0.08,0.329,24.16333,"January 21, 98",0.00329
1998-01-22,24.19,24.66,24.16,24.19,1626200.0,1626200.0,0.0,0.0,24.33667,"January 22, 98",0.0
1998-01-23,24.19,24.39,23.92,24.01,1139700.0,1139700.0,0.18,0.744,24.10667,"January 23, 98",0.00744
1998-01-26,24.09,24.14,23.82,24.01,853500.0,853500.0,0.08,0.332,23.99,"January 26, 98",0.00332
1998-01-27,24.11,24.29,23.79,24.04,1126900.0,1126900.0,0.07,0.29,24.04,"January 27, 98",0.0029
1998-01-28,24.04,24.06,23.69,23.92,1383600.0,1383600.0,0.12,0.499,23.89,"January 28, 98",0.00499
1998-01-29,23.92,24.21,23.74,23.77,1527300.0,1527300.0,0.15,0.627,23.90667,"January 29, 98",0.00627
1998-01-30,23.82,23.97,23.69,23.72,1742100.0,1742100.0,0.1,0.42,23.79333,"January 30, 98",0.0042
1998-02-02,23.74,24.39,23.74,24.39,1737200.0,1737200.0,-0.65,-2.738,24.17333,"February 02, 98",-0.02738
1998-02-03,24.44,24.73,24.29,24.66,1125600.0,1125600.0,-0.22,-0.9,24.56,"February 03, 98",-0.009
1998-02-04,24.68,24.78,24.44,24.51,973800.0,973800.0,0.17,0.689,24.57667,"February 04, 98",0.00689
1998-02-05,24.51,24.54,24.09,24.31,2363100.0,2363100.0,0.2,0.816,24.31333,"February 05, 98",0.00816
1998-02-06,24.31,24.34,23.97,24.19,1045000.0,1045000.0,0.12,0.494,24.16667,"February 06, 98",0.00494
1998-02-09,24.19,24.19,23.92,24.09,1025300.0,1025300.0,0.1,0.413,24.06667,"February 09, 98",0.00413
1998-02-10,24.11,24.19,23.87,23.97,1165300.0,1165300.0,0.14,0.581,24.01,"February 10, 98",0.00581
1998-02-11,24.09,24.16,23.82,24.09,1673700.0,1673700.0,0.0,0.0,24.02333,"February 11, 98",0.0
1998-02-12,23.99,24.09,23.74,24.06,970000.0,970000.0,-0.07,-0.292,23.96333,"February 12, 98",-0.00292
1998-02-13,23.97,24.06,23.59,23.94,1104000.0,1104000.0,0.03,0.125,23.86333,"February 13, 98",0.00125
1998-02-17,24.04,24.19,23.69,24.01,1322300.0,1322300.0,0.03,0.125,23.96333,"February 17, 98",0.00125
1998-02-18,24.01,24.39,23.99,24.29,1060600.0,1060600.0,-0.28,-1.166,24.22333,"February 18, 98",-0.01166
1998-02-19,24.19,24.41,23.84,23.84,1285300.0,1285300.0,0.35,1.447,24.03,"February 19, 98",0.01447
1998-02-20,24.04,24.19,23.74,24.06,1793400.0,1793400.0,-0.02,-0.083,23.99667,"February 20, 98",-0.00083
1998-02-23,24.09,24.41,24.06,24.19,864300.0,864300.0,-0.1,-0.415,24.22,"February 23, 98",-0.00415
1998-02-24,24.16,24.16,23.67,23.77,1327500.0,1327500.0,0.39,1.614,23.86667,"February 24, 98",0.01614
1998-02-25,23.87,24.39,23.82,24.14,1359900.0,1359900.0,-0.27,-1.131,24.11667,"February 25, 98",-0.01131
1998-02-26,24.16,24.51,23.92,24.51,1172100.0,1172100.0,-0.35,-1.449,24.31333,"February 26, 98",-0.01449
1998-02-27,24.51,24.51,24.19,24.21,1131700.0,1131700.0,0.3,1.224,24.30333,"February 27, 98",0.01224
1998-03-02,24.04,24.54,24.01,24.54,1439400.0,1439400.0,-0.5,-2.08,24.36333,"March 02, 98",-0.0208
1998-03-03,24.51,24.68,24.44,24.63,1164000.0,1164000.0,-0.12,-0.49,24.58333,"March 03, 98",-0.0049
1998-03-04,24.54,24.81,24.19,24.73,1558100.0,1558100.0,-0.19,-0.774,24.57667,"March 04, 98",-0.00774
1998-03-05,24.51,24.73,24.24,24.29,1250500.0,1250500.0,0.22,0.898,24.42,"March 05, 98",0.00898
1998-03-06,24.49,25.23,24.49,25.01,1223500.0,1223500.0,-0.52,-2.123,24.91,"March 06, 98",-0.02123
1998-03-09,25.01,25.3,24.88,25.01,1323400.0,1323400.0,0.0,0.0,25.06333,"March 09, 98",0.0
1998-03-10,24.96,25.48,24.81,25.38,1349300.0,1349300.0,-0.42,-1.683,25.22333,"March 10, 98",-0.01683
1998-03-11,25.3,25.6,25.23,25.48,1015700.0,1015700.0,-0.18,-0.711,25.43667,"March 11, 98",-0.00711
1998-03-12,25.38,25.73,25.06,25.11,1654200.0,1654200.0,0.27,1.064,25.3,"March 12, 98",0.01064
1998-03-13,25.38,26.57,25.35,26.52,2543000.0,2543000.0,-1.14,-4.492,26.14667,"March 13, 98",-0.04492
1998-03-16,26.57,26.69,26.22,26.67,1316100.0,1316100.0,-0.1,-0.376,26.52667,"March 16, 98",-0.00376
1998-03-17,26.47,26.54,26.05,26.17,1417200.0,1417200.0,0.3,1.133,26.25333,"March 17, 98",0.01133
1998-03-18,26.17,26.82,26.17,26.69,1469400.0,1469400.0,-0.52,-1.987,26.56,"March 18, 98",-0.01987
1998-03-19,26.99,27.56,26.87,27.56,1889300.0,1889300.0,-0.57,-2.112,27.33,"March 19, 98",-0.02112
1998-03-20,27.81,27.86,27.39,27.48,1876100.0,1876100.0,0.33,1.187,27.57667,"March 20, 98",0.01187
1998-03-23,27.41,28.03,27.39,27.88,857600.0,857600.0,-0.47,-1.715,27.76667,"March 23, 98",-0.01715
1998-03-24,27.88,27.88,27.46,27.78,1482000.0,1482000.0,0.1,0.359,27.70667,"March 24, 98",0.00359
1998-03-25,27.76,27.86,27.19,27.48,1640100.0,1640100.0,0.28,1.009,27.51,"March 25, 98",0.01009
1998-03-26,27.39,27.71,27.26,27.68,1250500.0,1250500.0,-0.29,-1.059,27.55,"March 26, 98",-0.01059
1998-03-27,27.58,27.61,26.82,26.96,1850100.0,1850100.0,0.62,2.248,27.13,"March 27, 98",0.02248
1998-03-30,27.01,27.11,26.44,26.57,1200600.0,1200600.0,0.44,1.629,26.70667,"March 30, 98",0.01629
1998-03-31,26.42,27.14,26.42,26.99,1343300.0,1343300.0,-0.57,-2.157,26.85,"March 31, 98",-0.02157
1998-04-01,26.89,26.96,26.37,26.69,1291800.0,1291800.0,0.2,0.744,26.67333,"April 01, 98",0.00744
1998-04-02,26.69,26.77,26.37,26.74,1482500.0,1482500.0,-0.05,-0.187,26.62667,"April 02, 98",-0.00187
1998-04-03,26.67,26.91,26.57,26.67,1444700.0,1444700.0,0.0,0.0,26.71667,"April 03, 98",0.0
1998-04-06,26.59,26.62,25.73,25.95,1757100.0,1757100.0,0.64,2.407,26.1,"April 06, 98",0.02407
1998-04-07,25.85,25.97,25.3,25.58,2540400.0,2540400.0,0.27,1.044,25.61667,"April 07, 98",0.01044
1998-04-08,25.38,26.0,25.38,25.7,1469100.0,1469100.0,-0.32,-1.261,25.69333,"April 08, 98",-0.01261
1998-04-09,25.87,26.12,25.85,26.12,1456700.0,1456700.0,-0.25,-0.966,26.03,"April 09, 98",-0.00966
1998-04-13,26.07,26.34,25.9,26.27,1728200.0,1728200.0,-0.2,-0.767,26.17,"April 13, 98",-0.00767
1998-04-14,26.25,26.42,25.82,25.95,1052300.0,1052300.0,0.3,1.143,26.06333,"April 14, 98",0.01143
1998-04-15,25.92,26.42,25.85,26.37,1643900.0,1643900.0,-0.45,-1.736,26.21333,"April 15, 98",-0.01736
1998-04-16,26.27,26.32,26.15,26.25,1629700.0,1629700.0,0.02,0.076,26.24,"April 16, 98",0.00076
1998-04-17,26.25,26.82,26.15,26.74,1694800.0,1694800.0,-0.49,-1.867,26.57,"April 17, 98",-0.01867
1998-04-20,26.77,27.19,26.74,27.06,1354900.0,1354900.0,-0.29,-1.083,26.99667,"April 20, 98",-0.01083
1998-04-21,26.96,27.06,26.54,26.99,1039900.0,1039900.0,-0.03,-0.111,26.86333,"April 21, 98",-0.00111
1998-04-22,26.87,26.91,26.54,26.89,772300.0,772300.0,-0.02,-0.074,26.78,"April 22, 98",-0.00074
1998-04-23,26.72,26.79,25.97,26.2,1314600.0,1314600.0,0.52,1.946,26.32,"April 23, 98",0.01946
1998-04-24,26.2,26.54,26.0,26.25,1340000.0,1340000.0,-0.05,-0.191,26.26333,"April 24, 98",-0.00191
1998-04-27,26.27,26.3,25.73,25.85,1139700.0,1139700.0,0.42,1.599,25.96,"April 27, 98",0.01599
1998-04-28,25.87,26.12,25.16,25.38,1595700.0,1595700.0,0.49,1.894,25.55333,"April 28, 98",0.01894
1998-04-29,25.38,25.85,25.38,25.85,1485000.0,1485000.0,-0.47,-1.852,25.69333,"April 29, 98",-0.01852
1998-04-30,25.95,26.54,25.92,26.54,1197700.0,1197700.0,-0.59,-2.274,26.33333,"April 30, 98",-0.02274
1998-05-01,26.57,26.59,25.95,26.27,965300.0,965300.0,0.3,1.129,26.27,"May 01, 98",0.01129
1998-05-04,26.32,26.49,25.95,26.2,641000.0,641000.0,0.12,0.456,26.21333,"May 04, 98",0.00456
1998-05-05,26.12,26.12,25.8,26.0,927900.0,927900.0,0.12,0.459,25.97333,"May 05, 98",0.00459
1998-05-06,25.97,25.97,25.53,25.58,843200.0,843200.0,0.39,1.502,25.69333,"May 06, 98",0.01502
1998-05-07,25.73,25.75,25.28,25.3,1302400.0,1302400.0,0.43,1.671,25.44333,"May 07, 98",0.01671
1998-05-08,25.33,26.12,25.33,25.73,1269400.0,1269400.0,-0.4,-1.579,25.72667,"May 08, 98",-0.01579
1998-05-11,25.82,25.95,25.43,25.43,958400.0,958400.0,0.39,1.51,25.60333,"May 11, 98",0.0151
1998-05-12,25.53,25.73,25.23,25.68,1418500.0,1418500.0,-0.15,-0.588,25.54667,"May 12, 98",-0.00588
1998-05-13,25.58,26.77,25.5,26.52,1742100.0,1742100.0,-0.94,-3.675,26.26333,"May 13, 98",-0.03675
1998-05-14,26.49,26.49,26.12,26.3,2006100.0,2006100.0,0.19,0.717,26.30333,"May 14, 98",0.00717
