date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,17.67,17.78,17.44,17.5,1530000,1530000,-0.17,-0.79,17.5,2-Jan-98,0.009620826
1998-01-05,17.62,17.73,17.44,17.59,5860000,5860000,-0.03,0.51,17.59,5-Jan-98,0.001702611
1998-01-06,17.59,18.17,17.59,18.08,3400000,3400000,0.49,2.79,18.08,6-Jan-98,-0.027856737
1998-01-07,18.08,18.25,17.75,18.25,1890000,1890000,0.17,0.94,18.25,7-Jan-98,-0.009402655
1998-01-08,18.19,18.19,17.66,17.78,1210000,1210000,-0.41,-2.58,17.78,8-Jan-98,0.022539857
1998-01-09,17.72,17.88,17.25,17.41,2660000,2660000,-0.31,-2.08,17.41,9-Jan-98,0.017494357
1998-01-12,17.19,17.61,17.09,17.61,2280000,2280000,0.42,1.15,17.61,12-Jan-98,-0.02443281
1998-01-13,17.67,17.67,17.42,17.58,918400,918400,-0.09,-0.17,17.58,13-Jan-98,0.005093379
1998-01-14,17.62,17.69,17.45,17.55,1410000,1410000,-0.07,-0.17,17.55,14-Jan-98,0.003972758
1998-01-15,17.55,17.95,17.52,17.88,1650000,1650000,0.33,1.88,17.88,15-Jan-98,-0.018803419
1998-01-16,18,18.14,17.91,17.97,1560000,1560000,-0.03,0.5,17.97,16-Jan-98,0.001666667
1998-01-20,17.97,18.23,17.97,18.2,1800000,1800000,0.23,1.28,18.2,20-Jan-98,-0.01279911
1998-01-21,18.14,18.5,18.12,18.34,2310000,2310000,0.2,0.77,18.34,21-Jan-98,-0.011025358
1998-01-22,18.31,18.66,18.3,18.59,3340000,3340000,0.28,1.36,18.59,22-Jan-98,-0.01529219
1998-01-23,18.66,18.73,18.39,18.47,1370000,1370000,-0.19,-0.65,18.47,23-Jan-98,0.010182208
1998-01-26,18.45,18.72,18.45,18.72,1700000,1700000,0.27,1.35,18.72,26-Jan-98,-0.014634146
1998-01-27,18.88,19.28,18.86,19.02,2000000,2000000,0.14,1.6,19.02,27-Jan-98,-0.007415254
1998-01-28,18.97,18.98,18.66,18.86,2010000,2010000,-0.11,-0.84,18.86,28-Jan-98,0.005798629
1998-01-29,18.77,19.06,18.72,18.8,1570000,1570000,0.03,-0.32,18.8,29-Jan-98,-0.001598295
1998-01-30,18.73,18.81,18.33,18.38,1680000,1680000,-0.35,-2.23,18.38,30-Jan-98,0.018686599
1998-02-02,18.72,19.31,18.72,19.17,3350000,3350000,0.45,4.3,19.17,2-Feb-98,-0.024038462
1998-02-03,19.12,19.17,18.89,19.11,2860000,2860000,-0.01,-0.31,19.11,3-Feb-98,0.000523013
1998-02-04,19.09,19.84,19.09,19.8,5400000,5400000,0.71,3.61,19.8,4-Feb-98,-0.037192247
1998-02-05,19.98,20.14,19.83,20,3970000,3970000,0.02,1.01,20,5-Feb-98,-0.001001001
