date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,784.0,784.89,772.0,783.11,114800.0,114800.0,0.89,0.114,780.0,"January 02, 98",0.00114
1998-01-05,784.0,784.89,764.89,777.78,189400.0,189400.0,6.22,0.793,775.85333,"January 05, 98",0.00793
1998-01-06,776.0,780.44,772.0,774.67,238200.0,238200.0,1.33,0.171,775.70333,"January 06, 98",0.00171
1998-01-07,775.56,775.56,759.56,767.11,161500.0,161500.0,8.45,1.09,767.41,"January 07, 98",0.0109
1998-01-08,764.44,765.78,757.33,763.11,127500.0,127500.0,1.33,0.174,762.07333,"January 08, 98",0.00174
1998-01-09,761.78,764.44,727.11,733.78,201000.0,201000.0,28.0,3.676,741.77667,"January 09, 98",0.03676
1998-01-12,718.22,724.89,711.56,719.56,344900.0,344900.0,-1.34,-0.187,718.67,"January 12, 98",-0.00187
1998-01-13,721.78,733.33,717.33,718.22,275500.0,275500.0,3.56,0.493,722.96,"January 13, 98",0.00493
1998-01-14,725.33,727.11,710.67,715.56,265900.0,265900.0,9.77,1.347,717.78,"January 14, 98",0.01347
1998-01-15,717.33,720.0,712.89,714.67,165000.0,165000.0,2.66,0.371,715.85333,"January 15, 98",0.00371
1998-01-16,718.22,726.67,717.78,721.78,201500.0,201500.0,-3.56,-0.496,722.07667,"January 16, 98",-0.00496
1998-01-20,734.22,739.56,725.33,739.11,207900.0,207900.0,-4.89,-0.666,734.66667,"January 20, 98",-0.00666
1998-01-21,732.89,746.22,732.89,741.78,202400.0,202400.0,-8.89,-1.213,740.29667,"January 21, 98",-0.01213
1998-01-22,741.33,749.33,736.44,745.78,185900.0,185900.0,-4.45,-0.6,743.85,"January 22, 98",-0.006
1998-01-23,745.78,759.11,740.44,758.22,240500.0,240500.0,-12.44,-1.668,752.59,"January 23, 98",-0.01668
1998-01-26,765.33,773.78,759.56,768.0,189900.0,189900.0,-2.67,-0.349,767.11333,"January 26, 98",-0.00349
1998-01-27,768.0,792.0,766.22,790.22,273800.0,273800.0,-22.22,-2.893,782.81333,"January 27, 98",-0.02893
1998-01-28,789.33,796.0,784.0,791.11,145200.0,145200.0,-1.78,-0.226,790.37,"January 28, 98",-0.00226
1998-01-29,789.33,799.56,784.0,786.67,172900.0,172900.0,2.66,0.337,790.07667,"January 29, 98",0.00337
1998-01-30,786.67,793.78,783.56,784.44,135700.0,135700.0,2.23,0.283,787.26,"January 30, 98",0.00283
1998-02-02,789.78,798.67,789.78,797.78,138800.0,138800.0,-8.0,-1.013,795.41,"February 02, 98",-0.01013
1998-02-03,794.22,808.44,792.89,808.0,111200.0,111200.0,-13.78,-1.735,803.11,"February 03, 98",-0.01735
1998-02-04,798.22,812.0,796.89,804.0,112800.0,112800.0,-5.78,-0.724,804.29667,"February 04, 98",-0.00724
1998-02-05,803.56,810.22,795.11,804.89,88100.0,88100.0,-1.33,-0.166,803.40667,"February 05, 98",-0.00166
1998-02-06,806.67,809.78,803.56,809.78,125700.0,125700.0,-3.11,-0.386,807.70667,"February 06, 98",-0.00386
1998-02-09,805.78,808.0,801.78,806.67,66400.0,66400.0,-0.89,-0.11,805.48333,"February 09, 98",-0.0011
1998-02-10,805.33,821.33,802.22,817.33,142000.0,142000.0,-12.0,-1.49,813.62667,"February 10, 98",-0.0149
1998-02-11,819.56,832.0,817.78,826.22,106300.0,106300.0,-6.66,-0.813,825.33333,"February 11, 98",-0.00813
1998-02-12,826.22,847.56,820.44,844.89,152100.0,152100.0,-18.67,-2.26,837.63,"February 12, 98",-0.0226
1998-02-13,839.11,839.11,826.67,835.56,110800.0,110800.0,3.55,0.423,833.78,"February 13, 98",0.00423
1998-02-17,835.56,840.0,828.44,831.56,79900.0,79900.0,4.0,0.479,833.33333,"February 17, 98",0.00479
1998-02-18,833.78,841.78,832.89,837.78,97600.0,97600.0,-4.0,-0.48,837.48333,"February 18, 98",-0.0048
1998-02-19,837.78,837.78,827.56,830.22,132600.0,132600.0,7.56,0.902,831.85333,"February 19, 98",0.00902
1998-02-20,833.78,841.33,828.0,840.44,139500.0,139500.0,-6.66,-0.799,836.59,"February 20, 98",-0.00799
1998-02-23,843.11,844.44,832.89,841.78,71800.0,71800.0,1.33,0.158,839.70333,"February 23, 98",0.00158
1998-02-24,840.89,845.78,832.0,840.44,86200.0,86200.0,0.45,0.054,839.40667,"February 24, 98",0.00054
1998-02-25,846.22,860.0,840.89,853.78,71100.0,71100.0,-7.56,-0.893,851.55667,"February 25, 98",-0.00893
1998-02-26,850.22,858.67,840.44,857.33,90800.0,90800.0,-7.11,-0.836,852.14667,"February 26, 98",-0.00836
1998-02-27,856.89,859.11,849.78,854.67,79500.0,79500.0,2.22,0.259,854.52,"February 27, 98",0.00259
1998-03-02,850.22,856.0,847.11,855.11,95400.0,95400.0,-4.89,-0.575,852.74,"March 02, 98",-0.00575
1998-03-03,850.67,867.56,848.0,867.11,90700.0,90700.0,-16.44,-1.933,860.89,"March 03, 98",-0.01933
1998-03-04,868.0,868.89,854.67,858.67,82400.0,82400.0,9.33,1.075,860.74333,"March 04, 98",0.01075
1998-03-05,853.33,857.33,840.44,850.67,86500.0,86500.0,2.66,0.312,849.48,"March 05, 98",0.00312
1998-03-06,852.44,863.56,851.56,862.22,83300.0,83300.0,-9.78,-1.147,859.11333,"March 06, 98",-0.01147
1998-03-09,862.22,874.22,860.44,873.33,68100.0,68100.0,-11.11,-1.289,869.33,"March 09, 98",-0.01289
1998-03-10,872.89,877.33,865.78,867.56,89500.0,89500.0,5.33,0.611,870.22333,"March 10, 98",0.00611
1998-03-11,865.78,872.0,860.44,872.0,99900.0,99900.0,-6.22,-0.718,868.14667,"March 11, 98",-0.00718
1998-03-12,868.44,872.0,860.89,869.33,81200.0,81200.0,-0.89,-0.102,867.40667,"March 12, 98",-0.00102
1998-03-13,880.0,883.56,866.22,883.11,94400.0,94400.0,-3.11,-0.353,877.63,"March 13, 98",-0.00353
1998-03-16,887.56,905.78,887.56,904.0,127300.0,127300.0,-16.44,-1.852,899.11333,"March 16, 98",-0.01852
1998-03-17,903.11,913.78,897.78,911.11,106900.0,106900.0,-8.0,-0.886,907.55667,"March 17, 98",-0.00886
1998-03-18,905.78,911.11,889.78,894.22,99200.0,99200.0,11.56,1.276,898.37,"March 18, 98",0.01276
1998-03-19,901.33,901.78,887.11,899.56,87200.0,87200.0,1.77,0.196,896.15,"March 19, 98",0.00196
1998-03-20,902.22,920.89,892.44,920.0,187100.0,187100.0,-17.78,-1.971,911.11,"March 20, 98",-0.01971
1998-03-23,918.22,924.0,900.0,905.33,115200.0,115200.0,12.89,1.404,909.77667,"March 23, 98",0.01404
1998-03-24,909.78,912.89,897.33,907.11,100000.0,100000.0,2.67,0.293,905.77667,"March 24, 98",0.00293
1998-03-25,908.0,922.22,888.89,900.0,137500.0,137500.0,8.0,0.881,903.70333,"March 25, 98",0.00881
1998-03-26,898.22,901.33,882.22,885.78,111300.0,111300.0,12.44,1.385,889.77667,"March 26, 98",0.01385
1998-03-27,892.89,895.11,875.56,880.0,147300.0,147300.0,12.89,1.444,883.55667,"March 27, 98",0.01444
1998-03-30,881.78,892.44,864.89,869.33,130000.0,130000.0,12.45,1.412,875.55333,"March 30, 98",0.01412
1998-03-31,876.44,903.56,876.0,895.56,125600.0,125600.0,-19.12,-2.182,891.70667,"March 31, 98",-0.02182
1998-04-01,891.11,908.44,888.89,897.78,111200.0,111200.0,-6.67,-0.749,898.37,"April 01, 98",-0.00749
1998-04-02,899.56,907.56,896.44,904.89,119500.0,119500.0,-5.33,-0.593,902.96333,"April 02, 98",-0.00593
1998-04-03,904.89,911.56,897.33,907.56,115400.0,115400.0,-2.67,-0.295,905.48333,"April 03, 98",-0.00295
1998-04-06,916.44,924.0,904.89,904.89,139100.0,139100.0,11.55,1.26,911.26,"April 06, 98",0.0126
1998-04-07,910.22,910.22,882.67,889.33,115900.0,115900.0,20.89,2.295,894.07333,"April 07, 98",0.02295
1998-04-08,893.78,894.22,884.0,888.0,128600.0,128600.0,5.78,0.647,888.74,"April 08, 98",0.00647
