date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2004-02-05,23.75,24.94,23.25,24.7,27565200.0,27565200.0,-0.95,-4.0,24.29667,"February 05, 04",-0.04
2004-02-06,24.71,24.94,24.15,24.85,5284400.0,5284400.0,-0.14,-0.567,24.64667,"February 06, 04",-0.00567
2004-02-09,24.6,24.7,24.0,24.47,3252900.0,3252900.0,0.13,0.528,24.39,"February 09, 04",0.00528
2004-02-10,24.15,24.47,24.05,24.35,1651600.0,1651600.0,-0.2,-0.828,24.29,"February 10, 04",-0.00828
2004-02-11,24.28,24.5,24.15,24.25,2010200.0,2010200.0,0.03,0.124,24.3,"February 11, 04",0.00124
2004-02-12,24.19,25.0,24.17,24.68,1637500.0,1637500.0,-0.49,-2.026,24.61667,"February 12, 04",-0.02026
2004-02-13,24.79,24.84,24.28,24.7,612000.0,612000.0,0.09,0.363,24.60667,"February 13, 04",0.00363
2004-02-17,24.75,24.9,24.5,24.6,592300.0,592300.0,0.15,0.606,24.66667,"February 17, 04",0.00606
2004-02-18,24.6,25.4,24.35,25.4,805700.0,805700.0,-0.8,-3.252,25.05,"February 18, 04",-0.03252
2004-02-19,25.25,25.98,25.25,25.68,1494600.0,1494600.0,-0.43,-1.703,25.63667,"February 19, 04",-0.01703
2004-02-20,25.69,25.69,25.0,25.35,742000.0,742000.0,0.34,1.323,25.34667,"February 20, 04",0.01323
2004-02-23,25.39,25.39,24.35,24.55,1331500.0,1331500.0,0.84,3.308,24.76333,"February 23, 04",0.03308
2004-02-24,24.4,24.97,24.21,24.8,963600.0,963600.0,-0.4,-1.639,24.66,"February 24, 04",-0.01639
2004-02-25,24.8,25.0,24.7,24.85,321700.0,321700.0,-0.05,-0.202,24.85,"February 25, 04",-0.00202
2004-02-26,24.85,25.27,24.6,25.24,617200.0,617200.0,-0.39,-1.569,25.03667,"February 26, 04",-0.01569
2004-02-27,25.15,25.75,25.11,25.74,1569100.0,1569100.0,-0.59,-2.346,25.53333,"February 27, 04",-0.02346
2004-03-01,25.74,26.19,25.7,25.8,851700.0,851700.0,-0.06,-0.233,25.89667,"March 01, 04",-0.00233
2004-03-02,25.95,25.95,25.1,25.94,595600.0,595600.0,0.01,0.039,25.66333,"March 02, 04",0.00039
2004-03-03,25.7,25.8,25.35,25.48,457000.0,457000.0,0.22,0.856,25.54333,"March 03, 04",0.00856
2004-03-04,25.48,25.75,24.75,25.21,1060200.0,1060200.0,0.27,1.06,25.23667,"March 04, 04",0.0106
2004-03-05,25.02,25.64,25.0,25.55,450200.0,450200.0,-0.53,-2.118,25.39667,"March 05, 04",-0.02118
2004-03-08,25.55,25.65,25.17,25.48,370100.0,370100.0,0.07,0.274,25.43333,"March 08, 04",0.00274
2004-03-09,25.5,25.51,24.71,25.0,816200.0,816200.0,0.5,1.961,25.07333,"March 09, 04",0.01961
2004-03-10,24.8,24.85,24.4,24.65,1034300.0,1034300.0,0.15,0.605,24.63333,"March 10, 04",0.00605
2004-03-11,24.15,24.65,24.15,24.2,2538500.0,2538500.0,-0.05,-0.207,24.33333,"March 11, 04",-0.00207
2004-03-12,24.34,24.65,24.25,24.5,1501700.0,1501700.0,-0.16,-0.657,24.46667,"March 12, 04",-0.00657
2004-03-15,24.75,24.75,23.74,24.0,1595900.0,1595900.0,0.75,3.03,24.16333,"March 15, 04",0.0303
2004-03-16,24.5,24.55,24.18,24.23,1525800.0,1525800.0,0.27,1.102,24.32,"March 16, 04",0.01102
2004-03-17,24.2,24.5,24.06,24.07,1051700.0,1051700.0,0.13,0.537,24.21,"March 17, 04",0.00537
2004-03-18,24.07,24.1,23.71,23.8,1006800.0,1006800.0,0.27,1.122,23.87,"March 18, 04",0.01122
2004-03-19,23.75,23.84,23.4,23.74,759200.0,759200.0,0.01,0.042,23.66,"March 19, 04",0.00042
2004-03-22,23.4,23.75,23.09,23.7,1018700.0,1018700.0,-0.3,-1.282,23.51333,"March 22, 04",-0.01282
2004-03-23,23.75,24.0,23.51,24.0,678300.0,678300.0,-0.25,-1.053,23.83667,"March 23, 04",-0.01053
2004-03-24,24.0,24.05,23.77,23.8,510900.0,510900.0,0.2,0.833,23.87333,"March 24, 04",0.00833
2004-03-25,23.65,24.06,23.49,23.96,1499800.0,1499800.0,-0.31,-1.311,23.83667,"March 25, 04",-0.01311
2004-03-26,23.87,24.34,23.87,24.1,887500.0,887500.0,-0.23,-0.964,24.10333,"March 26, 04",-0.00964
2004-03-29,24.11,24.44,24.11,24.37,823900.0,823900.0,-0.26,-1.078,24.30667,"March 29, 04",-0.01078
2004-03-30,24.2,24.75,24.18,24.72,739300.0,739300.0,-0.52,-2.149,24.55,"March 30, 04",-0.02149
2004-03-31,24.75,25.29,24.6,25.15,728500.0,728500.0,-0.4,-1.616,25.01333,"March 31, 04",-0.01616
2004-04-01,25.25,25.4,24.78,25.25,1568800.0,1568800.0,0.0,0.0,25.14333,"April 01, 04",0.0
2004-04-02,25.36,25.41,24.75,25.22,1166400.0,1166400.0,0.14,0.552,25.12667,"April 02, 04",0.00552
2004-04-05,25.05,25.53,24.9,25.51,544200.0,544200.0,-0.46,-1.836,25.31333,"April 05, 04",-0.01836
2004-04-06,25.45,26.0,25.25,25.94,697900.0,697900.0,-0.49,-1.925,25.73,"April 06, 04",-0.01925
2004-04-07,25.75,25.86,25.4,25.73,444100.0,444100.0,0.02,0.078,25.66333,"April 07, 04",0.00078
2004-04-08,25.84,26.26,25.7,26.22,657400.0,657400.0,-0.38,-1.471,26.06,"April 08, 04",-0.01471
2004-04-12,26.15,26.25,25.71,25.88,804000.0,804000.0,0.27,1.033,25.94667,"April 12, 04",0.01033
2004-04-13,25.98,26.16,25.15,25.25,860800.0,860800.0,0.73,2.81,25.52,"April 13, 04",0.0281
2004-04-14,25.25,25.45,24.97,25.19,1518700.0,1518700.0,0.06,0.238,25.20333,"April 14, 04",0.00238
2004-04-15,25.3,25.75,25.07,25.25,1406600.0,1406600.0,0.05,0.198,25.35667,"April 15, 04",0.00198
2004-04-16,25.3,25.64,25.05,25.54,272100.0,272100.0,-0.24,-0.949,25.41,"April 16, 04",-0.00949
2004-04-19,25.45,26.13,25.45,25.73,627800.0,627800.0,-0.28,-1.1,25.77,"April 19, 04",-0.011
2004-04-20,25.7,25.8,25.4,25.55,926200.0,926200.0,0.15,0.584,25.58333,"April 20, 04",0.00584
2004-04-21,25.5,25.58,25.0,25.2,980800.0,980800.0,0.3,1.176,25.26,"April 21, 04",0.01176
2004-04-22,25.35,25.44,25.0,25.2,568200.0,568200.0,0.15,0.592,25.21333,"April 22, 04",0.00592
2004-04-23,25.2,25.22,24.86,25.03,355900.0,355900.0,0.17,0.675,25.03667,"April 23, 04",0.00675
2004-04-26,24.85,25.0,24.65,24.9,238900.0,238900.0,-0.05,-0.201,24.85,"April 26, 04",-0.00201
2004-04-27,24.85,25.27,24.84,25.17,171900.0,171900.0,-0.32,-1.288,25.09333,"April 27, 04",-0.01288
2004-04-28,25.25,25.25,24.92,25.0,256100.0,256100.0,0.25,0.99,25.05667,"April 28, 04",0.0099
2004-04-29,24.89,24.95,24.6,24.72,298200.0,298200.0,0.17,0.683,24.75667,"April 29, 04",0.00683
2004-04-30,24.63,25.0,24.34,24.36,608100.0,608100.0,0.27,1.096,24.56667,"April 30, 04",0.01096
2004-05-03,24.56,25.04,24.45,25.0,514800.0,514800.0,-0.44,-1.792,24.83,"May 03, 04",-0.01792
2004-05-04,24.95,25.02,24.5,24.75,953800.0,953800.0,0.2,0.802,24.75667,"May 04, 04",0.00802
2004-05-05,24.9,25.0,24.6,24.69,304700.0,304700.0,0.21,0.843,24.76333,"May 05, 04",0.00843
2004-05-06,24.7,24.96,24.29,24.65,319600.0,319600.0,0.05,0.202,24.63333,"May 06, 04",0.00202
2004-05-07,24.5,24.8,23.55,24.1,564500.0,564500.0,0.4,1.633,24.15,"May 07, 04",0.01633
2004-05-10,24.0,24.05,23.48,24.0,479000.0,479000.0,0.0,0.0,23.84333,"May 10, 04",0.0
2004-05-11,23.94,24.49,23.72,24.26,418400.0,418400.0,-0.32,-1.337,24.15667,"May 11, 04",-0.01337
2004-05-12,24.65,24.72,23.56,24.4,1549800.0,1549800.0,0.25,1.014,24.22667,"May 12, 04",0.01014
2004-05-13,24.25,25.28,24.08,24.99,753400.0,753400.0,-0.74,-3.052,24.78333,"May 13, 04",-0.03052
2004-05-14,24.99,25.15,24.85,25.0,750400.0,750400.0,-0.01,-0.04,25.0,"May 14, 04",-0.0004
2004-05-17,24.8,24.8,24.25,24.37,569600.0,569600.0,0.43,1.734,24.47333,"May 17, 04",0.01734
2004-05-18,24.5,25.05,24.41,24.84,852100.0,852100.0,-0.34,-1.388,24.76667,"May 18, 04",-0.01388
2004-05-19,24.8,25.0,24.64,24.75,434400.0,434400.0,0.05,0.202,24.79667,"May 19, 04",0.00202
2004-05-20,24.75,25.0,24.7,25.0,546500.0,546500.0,-0.25,-1.01,24.9,"May 20, 04",-0.0101
2004-05-21,24.99,25.0,24.88,24.93,469600.0,469600.0,0.06,0.24,24.93667,"May 21, 04",0.0024
2004-05-24,25.05,25.05,24.82,25.0,532500.0,532500.0,0.05,0.2,24.95667,"May 24, 04",0.002
2004-05-25,25.0,25.01,24.52,24.65,1171200.0,1171200.0,0.35,1.4,24.72667,"May 25, 04",0.014
2004-05-26,24.7,24.84,24.38,24.8,349200.0,349200.0,-0.1,-0.405,24.67333,"May 26, 04",-0.00405
2004-05-27,24.7,24.99,24.55,24.6,615900.0,615900.0,0.1,0.405,24.71333,"May 27, 04",0.00405
2004-05-28,24.65,25.1,24.45,25.1,283900.0,283900.0,-0.45,-1.826,24.88333,"May 28, 04",-0.01826
2004-06-01,25.0,25.29,24.9,25.16,939300.0,939300.0,-0.16,-0.64,25.11667,"June 01, 04",-0.0064
2004-06-02,25.41,25.49,25.15,25.4,505900.0,505900.0,0.01,0.039,25.34667,"June 02, 04",0.00039
2004-06-03,25.43,25.7,25.29,25.63,397700.0,397700.0,-0.2,-0.786,25.54,"June 03, 04",-0.00786
2004-06-04,25.55,25.85,25.45,25.8,240100.0,240100.0,-0.25,-0.978,25.7,"June 04, 04",-0.00978
2004-06-07,25.9,25.91,25.49,25.55,336400.0,336400.0,0.35,1.351,25.65,"June 07, 04",0.01351
2004-06-08,25.37,25.6,25.24,25.58,614300.0,614300.0,-0.21,-0.828,25.47333,"June 08, 04",-0.00828
2004-06-09,25.7,25.9,25.48,25.52,846300.0,846300.0,0.18,0.7,25.63333,"June 09, 04",0.007
2004-06-10,25.6,25.6,25.4,25.46,543700.0,543700.0,0.14,0.547,25.48667,"June 10, 04",0.00547
2004-06-14,25.46,25.46,25.08,25.45,177900.0,177900.0,0.01,0.039,25.33,"June 14, 04",0.00039
2004-06-15,25.5,25.85,25.44,25.68,559400.0,559400.0,-0.18,-0.706,25.65667,"June 15, 04",-0.00706
2004-06-16,25.5,25.72,25.48,25.53,192800.0,192800.0,-0.03,-0.118,25.57667,"June 16, 04",-0.00118
2004-06-17,25.5,25.79,25.45,25.78,282200.0,282200.0,-0.28,-1.098,25.67333,"June 17, 04",-0.01098
2004-06-18,25.65,25.72,25.07,25.35,801400.0,801400.0,0.3,1.17,25.38,"June 18, 04",0.0117
2004-06-21,25.41,25.44,25.24,25.3,207700.0,207700.0,0.11,0.433,25.32667,"June 21, 04",0.00433
2004-06-22,25.32,25.4,25.1,25.3,268200.0,268200.0,0.02,0.079,25.26667,"June 22, 04",0.00079
2004-06-23,25.35,25.48,25.12,25.28,183200.0,183200.0,0.07,0.276,25.29333,"June 23, 04",0.00276
2004-06-24,25.1,25.8,25.1,25.45,507100.0,507100.0,-0.35,-1.394,25.45,"June 24, 04",-0.01394
2004-06-25,25.55,25.99,25.44,25.99,2268900.0,2268900.0,-0.44,-1.722,25.80667,"June 25, 04",-0.01722
2004-06-28,25.99,26.25,25.92,26.2,604400.0,604400.0,-0.21,-0.808,26.12333,"June 28, 04",-0.00808
2004-06-29,26.1,26.59,26.0,26.47,486600.0,486600.0,-0.37,-1.418,26.35333,"June 29, 04",-0.01418
2004-06-30,26.52,26.57,26.25,26.38,566700.0,566700.0,0.14,0.528,26.4,"June 30, 04",0.00528
2004-07-01,26.38,26.41,26.18,26.3,461600.0,461600.0,0.08,0.303,26.29667,"July 01, 04",0.00303
2004-07-02,26.25,26.36,26.0,26.07,489000.0,489000.0,0.18,0.686,26.14333,"July 02, 04",0.00686
2004-07-06,26.06,26.06,25.71,25.85,246200.0,246200.0,0.21,0.806,25.87333,"July 06, 04",0.00806
2004-07-07,25.82,26.0,25.8,26.0,416800.0,416800.0,-0.18,-0.697,25.93333,"July 07, 04",-0.00697
2004-07-08,26.0,26.0,25.8,25.85,224500.0,224500.0,0.15,0.577,25.88333,"July 08, 04",0.00577
2004-07-09,25.92,25.98,25.71,25.85,155700.0,155700.0,0.07,0.27,25.84667,"July 09, 04",0.0027
2004-07-12,25.9,26.0,25.8,25.97,93700.0,93700.0,-0.07,-0.27,25.92333,"July 12, 04",-0.0027
2004-07-13,25.97,26.03,25.82,26.0,545400.0,545400.0,-0.03,-0.116,25.95,"July 13, 04",-0.00116
2004-07-14,26.0,26.0,25.51,25.78,203100.0,203100.0,0.22,0.846,25.76333,"July 14, 04",0.00846
2004-07-15,25.63,25.74,25.31,25.47,292100.0,292100.0,0.16,0.624,25.50667,"July 15, 04",0.00624
2004-07-16,25.48,25.61,25.29,25.48,342200.0,342200.0,0.0,0.0,25.46,"July 16, 04",0.0
2004-07-19,25.4,25.6,25.35,25.55,280600.0,280600.0,-0.15,-0.591,25.5,"July 19, 04",-0.00591
2004-07-20,25.45,25.55,25.33,25.48,647000.0,647000.0,-0.03,-0.118,25.45333,"July 20, 04",-0.00118
2004-07-21,25.54,25.58,25.44,25.44,740200.0,740200.0,0.1,0.392,25.48667,"July 21, 04",0.00392
