date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,3.56,3.56,3.38,3.38,14100.0,14100.0,0.18,5.056,3.44,"January 02, 98",0.05056
1998-01-05,3.47,3.75,3.47,3.47,70400.0,70400.0,0.0,0.0,3.56333,"January 05, 98",0.0
1998-01-06,3.56,3.56,3.42,3.56,25700.0,25700.0,0.0,0.0,3.51333,"January 06, 98",0.0
1998-01-07,3.56,3.66,3.52,3.52,21800.0,21800.0,0.04,1.124,3.56667,"January 07, 98",0.01124
1998-01-08,3.75,3.75,3.52,3.75,3000.0,3000.0,0.0,0.0,3.67333,"January 08, 98",0.0
1998-01-09,3.75,3.84,3.47,3.52,82100.0,82100.0,0.23,6.133,3.61,"January 09, 98",0.06133
1998-01-12,3.56,3.56,3.38,3.38,8400.0,8400.0,0.18,5.056,3.44,"January 12, 98",0.05056
1998-01-13,3.47,3.47,3.38,3.38,28900.0,28900.0,0.09,2.594,3.41,"January 13, 98",0.02594
1998-01-14,3.38,3.47,3.28,3.42,42200.0,42200.0,-0.04,-1.183,3.39,"January 14, 98",-0.01183
1998-01-15,3.47,3.47,3.28,3.33,42500.0,42500.0,0.14,4.035,3.36,"January 15, 98",0.04035
1998-01-16,3.38,3.38,3.33,3.38,5300.0,5300.0,0.0,0.0,3.36333,"January 16, 98",0.0
1998-01-20,3.47,3.47,3.28,3.28,5300.0,5300.0,0.19,5.476,3.34333,"January 20, 98",0.05476
1998-01-21,3.38,3.56,3.33,3.42,84500.0,84500.0,-0.04,-1.183,3.43667,"January 21, 98",-0.01183
1998-01-22,3.4,3.4,3.28,3.28,5000.0,5000.0,0.12,3.529,3.32,"January 22, 98",0.03529
1998-01-23,3.33,3.42,3.33,3.42,103600.0,103600.0,-0.09,-2.703,3.39,"January 23, 98",-0.02703
1998-01-26,3.52,3.75,3.52,3.75,17300.0,17300.0,-0.23,-6.534,3.67333,"January 26, 98",-0.06534
1998-01-27,3.66,3.8,3.66,3.8,4800.0,4800.0,-0.14,-3.825,3.75333,"January 27, 98",-0.03825
1998-01-28,3.8,3.8,3.66,3.66,35600.0,35600.0,0.14,3.684,3.70667,"January 28, 98",0.03684
1998-01-29,3.66,3.75,3.66,3.75,14100.0,14100.0,-0.09,-2.459,3.72,"January 29, 98",-0.02459
1998-01-30,3.8,3.89,3.8,3.89,7700.0,7700.0,-0.09,-2.368,3.86,"January 30, 98",-0.02368
1998-02-02,3.94,3.94,3.75,3.8,54500.0,54500.0,0.14,3.553,3.83,"February 02, 98",0.03553
1998-02-03,3.75,3.75,3.66,3.66,11300.0,11300.0,0.09,2.4,3.69,"February 03, 98",0.024
1998-02-04,3.61,3.61,3.47,3.47,6600.0,6600.0,0.14,3.878,3.51667,"February 04, 98",0.03878
1998-02-05,3.42,3.47,3.42,3.47,2500.0,2500.0,-0.05,-1.462,3.45333,"February 05, 98",-0.01462
1998-02-06,3.47,3.47,3.38,3.38,14500.0,14500.0,0.09,2.594,3.41,"February 06, 98",0.02594
1998-02-09,3.38,3.56,3.38,3.56,3000.0,3000.0,-0.18,-5.325,3.5,"February 09, 98",-0.05325
1998-02-10,3.56,3.56,3.38,3.38,49000.0,49000.0,0.18,5.056,3.44,"February 10, 98",0.05056
1998-02-11,3.28,3.38,3.28,3.38,10200.0,10200.0,-0.1,-3.049,3.34667,"February 11, 98",-0.03049
1998-02-12,3.38,3.56,3.23,3.56,20500.0,20500.0,-0.18,-5.325,3.45,"February 12, 98",-0.05325
1998-02-13,3.38,3.56,3.38,3.56,2200.0,2200.0,-0.18,-5.325,3.5,"February 13, 98",-0.05325
1998-02-17,3.47,3.47,3.28,3.28,5400.0,5400.0,0.19,5.476,3.34333,"February 17, 98",0.05476
1998-02-18,3.28,3.28,3.28,3.28,0.0,0.0,0.0,0.0,0.0,"February 18, 98",0.0
1998-02-19,3.28,3.28,3.28,3.28,1300.0,1300.0,0.0,0.0,3.28,"February 19, 98",0.0
1998-02-20,3.28,3.28,3.28,3.28,0.0,0.0,0.0,0.0,0.0,"February 20, 98",0.0
