date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,2.37,2.42,2.17,2.31,2929200.0,2929200.0,0.06,2.532,2.3,"January 02, 98",0.02532
1998-01-05,2.25,2.35,2.1,2.13,2817600.0,2817600.0,0.12,5.333,2.19333,"January 05, 98",0.05333
1998-01-06,2.02,2.17,2.0,2.16,2740800.0,2740800.0,-0.14,-6.931,2.11,"January 06, 98",-0.06931
1998-01-07,2.2,2.23,2.08,2.08,2143200.0,2143200.0,0.12,5.455,2.13,"January 07, 98",0.05455
1998-01-08,2.09,2.11,2.01,2.07,1821600.0,1821600.0,0.02,0.957,2.06333,"January 08, 98",0.00957
1998-01-09,2.05,2.07,2.02,2.05,1606800.0,1606800.0,0.0,0.0,2.04667,"January 09, 98",0.0
1998-01-12,2.02,2.05,1.99,2.02,1555200.0,1555200.0,0.0,0.0,2.02,"January 12, 98",0.0
1998-01-13,2.03,2.19,2.03,2.17,1872000.0,1872000.0,-0.14,-6.897,2.13,"January 13, 98",-0.06897
1998-01-14,2.19,2.27,1.9,1.9,5452800.0,5452800.0,0.29,13.242,2.02333,"January 14, 98",0.13242
1998-01-15,1.97,2.02,1.89,1.97,7285200.0,7285200.0,0.0,0.0,1.96,"January 15, 98",0.0
1998-01-16,1.98,2.05,1.96,2.0,1737600.0,1737600.0,-0.02,-1.01,2.00333,"January 16, 98",-0.0101
1998-01-20,2.02,2.06,1.94,1.96,1690800.0,1690800.0,0.06,2.97,1.98667,"January 20, 98",0.0297
1998-01-21,1.92,2.04,1.92,2.0,1700400.0,1700400.0,-0.08,-4.167,1.98667,"January 21, 98",-0.04167
1998-01-22,2.04,2.06,1.97,2.06,1105200.0,1105200.0,-0.02,-0.98,2.03,"January 22, 98",-0.0098
1998-01-23,2.06,2.06,1.98,2.02,1212000.0,1212000.0,0.04,1.942,2.02,"January 23, 98",0.01942
1998-01-26,2.04,2.04,1.94,1.99,3057600.0,3057600.0,0.05,2.451,1.99,"January 26, 98",0.02451
1998-01-27,1.96,1.98,1.95,1.98,482400.0,482400.0,-0.02,-1.02,1.97,"January 27, 98",-0.0102
1998-01-28,1.92,2.1,1.86,2.03,7753200.0,7753200.0,-0.11,-5.729,1.99667,"January 28, 98",-0.05729
1998-01-29,2.03,2.1,1.98,2.07,1947600.0,1947600.0,-0.04,-1.97,2.05,"January 29, 98",-0.0197
1998-01-30,2.08,2.08,2.01,2.02,512400.0,512400.0,0.06,2.885,2.03667,"January 30, 98",0.02885
1998-02-02,2.08,2.17,2.0,2.08,2587200.0,2587200.0,0.0,0.0,2.08333,"February 02, 98",0.0
1998-02-03,2.13,2.14,2.07,2.11,1092000.0,1092000.0,0.02,0.939,2.10667,"February 03, 98",0.00939
1998-02-04,2.13,2.16,2.08,2.11,884400.0,884400.0,0.02,0.939,2.11667,"February 04, 98",0.00939
1998-02-05,2.16,2.17,2.09,2.1,606000.0,606000.0,0.06,2.778,2.12,"February 05, 98",0.02778
1998-02-06,2.09,2.15,2.09,2.11,716400.0,716400.0,-0.02,-0.957,2.11667,"February 06, 98",-0.00957
1998-02-09,2.13,2.23,2.13,2.23,1860000.0,1860000.0,-0.1,-4.695,2.19667,"February 09, 98",-0.04695
1998-02-10,2.25,2.4,2.23,2.39,3679200.0,3679200.0,-0.14,-6.222,2.34,"February 10, 98",-0.06222
