date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,5.0,5.0,4.8,4.96,1660800.0,1660800.0,0.04,0.8,4.92,"January 02, 98",0.008
1998-01-05,4.89,4.94,4.71,4.75,3590400.0,3590400.0,0.14,2.863,4.8,"January 05, 98",0.02863
1998-01-06,4.7,4.88,4.67,4.84,4174800.0,4174800.0,-0.14,-2.979,4.79667,"January 06, 98",-0.02979
1998-01-07,4.83,4.83,4.69,4.78,2725200.0,2725200.0,0.05,1.035,4.76667,"January 07, 98",0.01035
1998-01-08,4.7,4.7,4.53,4.61,6015600.0,6015600.0,0.09,1.915,4.61333,"January 08, 98",0.01915
1998-01-09,4.67,4.67,4.23,4.26,6643200.0,6643200.0,0.41,8.779,4.38667,"January 09, 98",0.08779
1998-01-12,4.17,4.39,4.15,4.3,7401600.0,7401600.0,-0.13,-3.118,4.28,"January 12, 98",-0.03118
1998-01-13,4.34,4.67,4.32,4.65,7321200.0,7321200.0,-0.31,-7.143,4.54667,"January 13, 98",-0.07143
1998-01-14,4.66,4.88,4.63,4.88,8505600.0,8505600.0,-0.22,-4.721,4.79667,"January 14, 98",-0.04721
1998-01-15,4.79,5.01,4.79,4.95,6014400.0,6014400.0,-0.16,-3.34,4.91667,"January 15, 98",-0.0334
1998-01-16,4.96,4.98,4.77,4.79,2563200.0,2563200.0,0.17,3.427,4.84667,"January 16, 98",0.03427
1998-01-20,4.82,5.01,4.81,4.95,5467200.0,5467200.0,-0.13,-2.697,4.92333,"January 20, 98",-0.02697
1998-01-21,4.94,5.17,4.88,5.07,8738400.0,8738400.0,-0.13,-2.632,5.04,"January 21, 98",-0.02632
1998-01-22,5.07,5.27,5.02,5.14,9471600.0,9471600.0,-0.07,-1.381,5.14333,"January 22, 98",-0.01381
1998-01-23,5.34,5.34,4.94,4.94,9118800.0,9118800.0,0.4,7.491,5.07333,"January 23, 98",0.07491
1998-01-26,4.98,4.99,4.74,4.81,4712400.0,4712400.0,0.17,3.414,4.84667,"January 26, 98",0.03414
1998-01-27,4.82,4.86,4.67,4.75,4104000.0,4104000.0,0.07,1.452,4.76,"January 27, 98",0.01452
1998-01-28,4.75,4.83,4.63,4.77,5293200.0,5293200.0,-0.02,-0.421,4.74333,"January 28, 98",-0.00421
1998-01-29,4.79,4.99,4.78,4.96,4836000.0,4836000.0,-0.17,-3.549,4.91,"January 29, 98",-0.03549
1998-01-30,5.0,5.06,4.89,4.92,3722400.0,3722400.0,0.08,1.6,4.95667,"January 30, 98",0.016
1998-02-02,4.95,5.21,4.94,5.2,6913200.0,6913200.0,-0.25,-5.051,5.11667,"February 02, 98",-0.05051
1998-02-03,5.19,5.25,5.09,5.15,4429200.0,4429200.0,0.04,0.771,5.16333,"February 03, 98",0.00771
1998-02-04,5.06,5.19,5.05,5.06,1234800.0,1234800.0,0.0,0.0,5.1,"February 04, 98",0.0
1998-02-05,5.11,5.11,4.88,4.94,5832000.0,5832000.0,0.17,3.327,4.97667,"February 05, 98",0.03327
1998-02-06,4.93,5.02,4.88,4.91,2122800.0,2122800.0,0.02,0.406,4.93667,"February 06, 98",0.00406
1998-02-09,4.92,4.96,4.77,4.85,2626800.0,2626800.0,0.07,1.423,4.86,"February 09, 98",0.01423
1998-02-10,4.88,5.32,4.83,5.3,12296400.0,12296400.0,-0.42,-8.607,5.15,"February 10, 98",-0.08607
1998-02-11,5.29,5.46,5.28,5.29,6474000.0,6474000.0,0.0,0.0,5.34333,"February 11, 98",0.0
1998-02-12,5.27,5.3,5.19,5.26,3036000.0,3036000.0,0.01,0.19,5.25,"February 12, 98",0.0019
1998-02-13,5.25,5.27,5.15,5.19,8420400.0,8420400.0,0.06,1.143,5.20333,"February 13, 98",0.01143
1998-02-17,5.22,5.22,5.07,5.15,2376000.0,2376000.0,0.07,1.341,5.14667,"February 17, 98",0.01341
1998-02-18,5.15,5.15,5.05,5.07,2971200.0,2971200.0,0.08,1.553,5.09,"February 18, 98",0.01553
1998-02-19,5.11,5.29,5.08,5.23,4436400.0,4436400.0,-0.12,-2.348,5.2,"February 19, 98",-0.02348
1998-02-20,5.23,5.29,5.11,5.27,2703600.0,2703600.0,-0.04,-0.765,5.22333,"February 20, 98",-0.00765
1998-02-23,5.29,5.42,5.21,5.41,3978000.0,3978000.0,-0.12,-2.268,5.34667,"February 23, 98",-0.02268
1998-02-24,5.42,5.68,5.35,5.41,13945200.0,13945200.0,0.01,0.185,5.48,"February 24, 98",0.00185
1998-02-25,5.47,5.54,5.26,5.49,6745200.0,6745200.0,-0.02,-0.366,5.43,"February 25, 98",-0.00366
1998-02-26,5.46,6.08,5.44,6.06,15373200.0,15373200.0,-0.6,-10.989,5.86,"February 26, 98",-0.10989
1998-02-27,6.02,6.64,5.98,6.42,24706800.0,24706800.0,-0.4,-6.645,6.34667,"February 27, 98",-0.06645
1998-03-02,6.32,6.44,6.25,6.35,10957200.0,10957200.0,-0.03,-0.475,6.34667,"March 02, 98",-0.00475
1998-03-03,6.29,6.31,5.96,5.98,8016000.0,8016000.0,0.31,4.928,6.08333,"March 03, 98",0.04928
1998-03-04,6.0,6.19,5.83,6.12,7314000.0,7314000.0,-0.12,-2.0,6.04667,"March 04, 98",-0.02
1998-03-05,5.98,6.52,5.94,6.25,12001200.0,12001200.0,-0.27,-4.515,6.23667,"March 05, 98",-0.04515
1998-03-06,6.3,6.42,6.15,6.4,5887200.0,5887200.0,-0.1,-1.587,6.32333,"March 06, 98",-0.01587
1998-03-09,6.41,7.15,6.4,6.96,23055600.0,23055600.0,-0.55,-8.58,6.83667,"March 09, 98",-0.0858
1998-03-10,7.13,7.35,6.91,6.93,24750000.0,24750000.0,0.2,2.805,7.06333,"March 10, 98",0.02805
