date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2001-10-30,20.25,20.45,20.17,20.45,45441800.0,45441800.0,-0.2,-0.988,20.35667,"October 30, 01",-0.00988
2001-10-31,20.55,21.25,20.5,20.94,11104400.0,11104400.0,-0.39,-1.898,20.89667,"October 31, 01",-0.01898
2001-11-01,21.13,21.3,20.9,21.08,3901800.0,3901800.0,0.05,0.237,21.09333,"November 01, 01",0.00237
2001-11-02,21.03,21.55,21.01,21.45,4075000.0,4075000.0,-0.42,-1.997,21.33667,"November 02, 01",-0.01997
2001-11-05,21.75,21.75,21.38,21.45,2763800.0,2763800.0,0.3,1.379,21.52667,"November 05, 01",0.01379
2001-11-06,21.48,22.15,21.08,22.03,3248200.0,3248200.0,-0.55,-2.561,21.75333,"November 06, 01",-0.02561
2001-11-07,21.88,21.88,21.25,21.63,2675200.0,2675200.0,0.25,1.143,21.58667,"November 07, 01",0.01143
2001-11-08,21.5,21.55,21.0,21.35,3404000.0,3404000.0,0.15,0.698,21.3,"November 08, 01",0.00698
2001-11-09,21.25,21.25,20.5,21.0,3291600.0,3291600.0,0.25,1.176,20.91667,"November 09, 01",0.01176
2001-11-12,21.0,21.42,20.85,21.42,973600.0,973600.0,-0.42,-2.0,21.23,"November 12, 01",-0.02
2001-11-13,21.7,21.7,21.26,21.38,1721800.0,1721800.0,0.32,1.475,21.44667,"November 13, 01",0.01475
2001-11-14,22.0,23.0,21.78,22.98,4213000.0,4213000.0,-0.98,-4.455,22.58667,"November 14, 01",-0.04455
2001-11-15,22.85,23.38,22.73,23.38,2310400.0,2310400.0,-0.53,-2.319,23.16333,"November 15, 01",-0.02319
2001-11-16,23.45,23.6,23.15,23.4,2176200.0,2176200.0,0.05,0.213,23.38333,"November 16, 01",0.00213
2001-11-19,23.38,23.79,23.2,23.75,2007200.0,2007200.0,-0.37,-1.583,23.58,"November 19, 01",-0.01583
2001-11-20,23.65,24.63,23.63,24.4,2803000.0,2803000.0,-0.75,-3.171,24.22,"November 20, 01",-0.03171
2001-11-21,24.35,24.85,24.21,24.5,2684000.0,2684000.0,-0.15,-0.616,24.52,"November 21, 01",-0.00616
2001-11-23,24.48,24.67,24.48,24.59,287800.0,287800.0,-0.11,-0.449,24.58,"November 23, 01",-0.00449
2001-11-26,24.85,25.13,24.15,24.28,1917400.0,1917400.0,0.57,2.294,24.52,"November 26, 01",0.02294
2001-11-27,24.4,24.92,24.14,24.3,1148000.0,1148000.0,0.1,0.41,24.45333,"November 27, 01",0.0041
2001-11-28,24.28,24.6,23.75,24.48,625200.0,625200.0,-0.2,-0.824,24.27667,"November 28, 01",-0.00824
2001-11-29,24.75,25.05,24.54,25.0,1136800.0,1136800.0,-0.25,-1.01,24.86333,"November 29, 01",-0.0101
2001-11-30,25.05,25.5,24.9,25.42,2960200.0,2960200.0,-0.37,-1.477,25.27333,"November 30, 01",-0.01477
2001-12-03,25.4,25.65,25.05,25.65,1270800.0,1270800.0,-0.25,-0.984,25.45,"December 03, 01",-0.00984
2001-12-04,25.67,25.75,25.25,25.75,794000.0,794000.0,-0.08,-0.312,25.58333,"December 04, 01",-0.00312
2001-12-05,25.9,25.95,24.35,24.43,1356200.0,1356200.0,1.47,5.676,24.91,"December 05, 01",0.05676
2001-12-06,24.45,24.5,23.67,24.25,902600.0,902600.0,0.2,0.818,24.14,"December 06, 01",0.00818
2001-12-07,24.25,24.35,23.8,24.3,649600.0,649600.0,-0.05,-0.206,24.15,"December 07, 01",-0.00206
2001-12-10,24.3,24.43,24.08,24.13,308000.0,308000.0,0.17,0.7,24.21333,"December 10, 01",0.007
2001-12-11,24.13,24.34,23.86,24.1,892800.0,892800.0,0.03,0.124,24.1,"December 11, 01",0.00124
2001-12-12,24.13,24.13,23.92,23.93,478800.0,478800.0,0.2,0.829,23.99333,"December 12, 01",0.00829
2001-12-13,23.81,24.05,23.45,24.05,960600.0,960600.0,-0.24,-1.008,23.85,"December 13, 01",-0.01008
2001-12-14,24.0,24.05,23.67,24.0,813600.0,813600.0,0.0,0.0,23.90667,"December 14, 01",0.0
2001-12-17,24.05,24.65,23.96,24.63,421200.0,421200.0,-0.58,-2.412,24.41333,"December 17, 01",-0.02412
2001-12-18,24.75,24.8,24.61,24.65,809200.0,809200.0,0.1,0.404,24.68667,"December 18, 01",0.00404
2001-12-19,24.65,24.67,23.88,24.0,1473200.0,1473200.0,0.65,2.637,24.18333,"December 19, 01",0.02637
2001-12-20,23.88,24.0,23.4,23.45,1312000.0,1312000.0,0.43,1.801,23.61667,"December 20, 01",0.01801
2001-12-21,23.4,23.4,22.63,22.88,4283800.0,4283800.0,0.52,2.222,22.97,"December 21, 01",0.02222
2001-12-24,22.88,22.98,22.8,22.8,900200.0,900200.0,0.08,0.35,22.86,"December 24, 01",0.0035
2001-12-26,22.92,23.24,22.92,23.13,1191600.0,1191600.0,-0.21,-0.916,23.09667,"December 26, 01",-0.00916
2001-12-27,23.17,23.65,23.17,23.45,1925400.0,1925400.0,-0.28,-1.208,23.42333,"December 27, 01",-0.01208
2001-12-28,23.48,24.25,23.48,24.25,1714800.0,1714800.0,-0.77,-3.279,23.99333,"December 28, 01",-0.03279
2001-12-31,24.35,25.13,24.35,24.75,1792800.0,1792800.0,-0.4,-1.643,24.74333,"December 31, 01",-0.01643
2002-01-02,24.84,24.84,24.36,24.4,1933000.0,1933000.0,0.44,1.771,24.53333,"January 02, 02",0.01771
2002-01-03,24.4,24.64,24.23,24.23,625600.0,625600.0,0.17,0.697,24.36667,"January 03, 02",0.00697
2002-01-04,24.25,24.4,23.45,23.93,2318600.0,2318600.0,0.32,1.32,23.92667,"January 04, 02",0.0132
2002-01-07,23.93,23.97,23.5,23.51,1916400.0,1916400.0,0.42,1.755,23.66,"January 07, 02",0.01755
2002-01-08,23.42,23.92,23.2,23.7,932000.0,932000.0,-0.28,-1.196,23.60667,"January 08, 02",-0.01196
