date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,1.48,1.49,1.35,1.36,2273200.0,2273200.0,0.12,8.108,1.4,"January 02, 98",0.08108
1998-01-05,1.38,1.4,1.38,1.38,2430800.0,2430800.0,0.0,0.0,1.38667,"January 05, 98",0.0
1998-01-06,1.38,1.4,1.33,1.36,2985800.0,2985800.0,0.02,1.449,1.36333,"January 06, 98",0.01449
1998-01-07,1.39,1.39,1.35,1.35,6192000.0,6192000.0,0.04,2.878,1.36333,"January 07, 98",0.02878
1998-01-08,1.34,1.4,1.34,1.34,3364400.0,3364400.0,0.0,0.0,1.36,"January 08, 98",0.0
1998-01-09,1.34,1.35,1.22,1.22,2807600.0,2807600.0,0.12,8.955,1.26333,"January 09, 98",0.08955
1998-01-12,1.19,1.22,1.17,1.2,1222400.0,1222400.0,-0.01,-0.84,1.19667,"January 12, 98",-0.0084
1998-01-13,1.22,1.3,1.2,1.28,2038400.0,2038400.0,-0.06,-4.918,1.26,"January 13, 98",-0.04918
1998-01-14,1.28,1.31,1.26,1.28,691200.0,691200.0,0.0,0.0,1.28333,"January 14, 98",0.0
1998-01-15,1.27,1.29,1.26,1.28,798800.0,798800.0,-0.01,-0.787,1.27667,"January 15, 98",-0.00787
1998-01-16,1.28,1.42,1.26,1.42,7104200.0,7104200.0,-0.14,-10.938,1.36667,"January 16, 98",-0.10938
1998-01-20,1.42,1.48,1.39,1.46,5604400.0,5604400.0,-0.04,-2.817,1.44333,"January 20, 98",-0.02817
1998-01-21,1.43,1.47,1.42,1.43,2651600.0,2651600.0,0.0,0.0,1.44,"January 21, 98",0.0
1998-01-22,1.43,1.44,1.41,1.42,5325000.0,5325000.0,0.01,0.699,1.42333,"January 22, 98",0.00699
1998-01-23,1.44,1.44,1.38,1.4,6403200.0,6403200.0,0.04,2.778,1.40667,"January 23, 98",0.02778
1998-01-26,1.4,1.4,1.19,1.2,7003600.0,7003600.0,0.2,14.286,1.26333,"January 26, 98",0.14286
1998-01-27,1.21,1.28,1.04,1.18,8038400.0,8038400.0,0.03,2.479,1.16667,"January 27, 98",0.02479
1998-01-28,1.15,1.18,1.11,1.16,2347600.0,2347600.0,-0.01,-0.87,1.15,"January 28, 98",-0.0087
1998-01-29,1.13,1.17,1.13,1.16,1430400.0,1430400.0,-0.03,-2.655,1.15333,"January 29, 98",-0.02655
1998-01-30,1.17,1.19,1.15,1.19,1283400.0,1283400.0,-0.02,-1.709,1.17667,"January 30, 98",-0.01709
1998-02-02,1.19,1.2,1.17,1.18,5742800.0,5742800.0,0.01,0.84,1.18333,"February 02, 98",0.0084
1998-02-03,1.19,1.19,1.15,1.15,3221200.0,3221200.0,0.04,3.361,1.16333,"February 03, 98",0.03361
1998-02-04,1.15,1.21,1.15,1.21,11879600.0,11879600.0,-0.06,-5.217,1.19,"February 04, 98",-0.05217
1998-02-05,1.21,1.21,1.19,1.2,2241200.0,2241200.0,0.01,0.826,1.2,"February 05, 98",0.00826
1998-02-06,1.21,1.21,1.19,1.19,304200.0,304200.0,0.02,1.653,1.19667,"February 06, 98",0.01653
1998-02-09,1.21,1.21,1.17,1.17,609200.0,609200.0,0.04,3.306,1.18333,"February 09, 98",0.03306
1998-02-10,1.17,1.19,1.17,1.18,3699200.0,3699200.0,-0.01,-0.855,1.18,"February 10, 98",-0.00855
1998-02-11,1.17,1.18,1.17,1.17,896000.0,896000.0,0.0,0.0,1.17333,"February 11, 98",0.0
1998-02-12,1.17,1.17,1.16,1.16,556800.0,556800.0,0.01,0.855,1.16333,"February 12, 98",0.00855
1998-02-13,1.16,1.17,1.14,1.17,1123400.0,1123400.0,-0.01,-0.862,1.16,"February 13, 98",-0.00862
1998-02-17,1.16,1.17,1.14,1.14,425600.0,425600.0,0.02,1.724,1.15,"February 17, 98",0.01724
1998-02-18,1.14,1.16,1.14,1.15,526000.0,526000.0,-0.01,-0.877,1.15,"February 18, 98",-0.00877
