date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-09-19,92.7,99.7,89.95,93.89,271879400.0,271879400.0,-1.19,-1.284,94.51333,"September 19, 14",-0.01284
2014-09-22,92.7,92.95,89.5,89.89,66657800.0,66657800.0,2.81,3.031,90.78,"September 22, 14",0.03031
2014-09-23,88.94,90.48,86.62,87.17,39009800.0,39009800.0,1.77,1.99,88.09,"September 23, 14",0.0199
2014-09-24,88.47,90.57,87.22,90.57,32088000.0,32088000.0,-2.1,-2.374,89.45333,"September 24, 14",-0.02374
2014-09-25,91.09,91.5,88.5,88.92,28598000.0,28598000.0,2.17,2.382,89.64,"September 25, 14",0.02382
2014-09-26,89.73,90.46,88.66,90.46,18340000.0,18340000.0,-0.73,-0.814,89.86,"September 26, 14",-0.00814
2014-09-29,89.62,89.7,88.02,88.75,25302000.0,25302000.0,0.87,0.971,88.82333,"September 29, 14",0.00971
2014-09-30,89.0,90.88,88.46,88.85,24419400.0,24419400.0,0.15,0.169,89.39667,"September 30, 14",0.00169
2014-10-01,88.7,88.94,86.04,86.1,24029600.0,24029600.0,2.6,2.931,87.02667,"October 01, 14",0.02931
2014-10-02,86.27,88.2,85.61,87.06,21469700.0,21469700.0,-0.79,-0.916,86.95667,"October 02, 14",-0.00916
2014-10-03,88.1,89.94,87.65,88.1,18485700.0,18485700.0,0.0,0.0,88.56333,"October 03, 14",0.0
2014-10-06,89.15,89.65,88.06,88.31,9268400.0,9268400.0,0.84,0.942,88.67333,"October 06, 14",0.00942
2014-10-07,87.95,89.7,87.06,87.67,12791700.0,12791700.0,0.28,0.318,88.14333,"October 07, 14",0.00318
2014-10-08,88.0,88.5,87.06,88.3,10252600.0,10252600.0,-0.3,-0.341,87.95333,"October 08, 14",-0.00341
2014-10-09,88.51,90.35,88.0,88.79,21507000.0,21507000.0,-0.28,-0.316,89.04667,"October 09, 14",-0.00316
2014-10-10,88.25,88.74,85.24,85.88,15431400.0,15431400.0,2.37,2.686,86.62,"October 10, 14",0.02686
2014-10-13,86.85,86.89,84.92,85.12,14845000.0,14845000.0,1.73,1.992,85.64333,"October 13, 14",0.01992
2014-10-14,85.81,85.88,83.22,84.95,15559200.0,15559200.0,0.86,1.002,84.68333,"October 14, 14",0.01002
2014-10-15,84.04,86.49,82.81,85.6,16824300.0,16824300.0,-1.56,-1.856,84.96667,"October 15, 14",-0.01856
2014-10-16,84.98,89.18,84.01,88.85,15232000.0,15232000.0,-3.87,-4.554,87.34667,"October 16, 14",-0.04554
2014-10-17,90.4,90.9,87.67,87.91,17360700.0,17360700.0,2.49,2.754,88.82667,"October 17, 14",0.02754
2014-10-20,88.0,89.5,87.86,88.26,9891400.0,9891400.0,-0.26,-0.295,88.54,"October 20, 14",-0.00295
