date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,30.5,30.69,30.25,30.38,2458600.0,2458600.0,0.12,0.393,30.44,"January 02, 98",0.00393
1998-01-05,30.88,31.34,30.69,31.22,5986800.0,5986800.0,-0.34,-1.101,31.08333,"January 05, 98",-0.01101
1998-01-06,30.88,30.91,30.56,30.81,4401200.0,4401200.0,0.07,0.227,30.76,"January 06, 98",0.00227
1998-01-07,30.81,31.0,30.25,31.0,7112200.0,7112200.0,-0.19,-0.617,30.75,"January 07, 98",-0.00617
1998-01-08,31.0,31.0,30.44,30.69,8401200.0,8401200.0,0.31,1.0,30.71,"January 08, 98",0.01
1998-01-09,30.56,30.59,29.28,29.5,7178400.0,7178400.0,1.06,3.469,29.79,"January 09, 98",0.03469
1998-01-12,29.0,29.63,28.13,29.03,9723600.0,9723600.0,-0.03,-0.103,28.93,"January 12, 98",-0.00103
1998-01-13,30.0,30.09,28.69,29.03,10567600.0,10567600.0,0.97,3.233,29.27,"January 13, 98",0.03233
1998-01-14,29.5,30.41,29.44,30.41,7424000.0,7424000.0,-0.91,-3.085,30.08667,"January 14, 98",-0.03085
1998-01-15,30.19,30.31,29.75,30.06,4104800.0,4104800.0,0.13,0.431,30.04,"January 15, 98",0.00431
1998-01-16,30.28,30.97,30.06,30.72,5543800.0,5543800.0,-0.44,-1.453,30.58333,"January 16, 98",-0.01453
1998-01-20,31.13,31.5,30.53,31.41,4815600.0,4815600.0,-0.28,-0.899,31.14667,"January 20, 98",-0.00899
1998-01-21,31.34,31.34,30.19,30.44,5137400.0,5137400.0,0.9,2.872,30.65667,"January 21, 98",0.02872
1998-01-22,30.0,30.28,29.81,29.84,5013000.0,5013000.0,0.16,0.533,29.97667,"January 22, 98",0.00533
1998-01-23,29.84,30.16,29.0,29.59,6323600.0,6323600.0,0.25,0.838,29.58333,"January 23, 98",0.00838
1998-01-26,29.63,30.09,29.5,29.81,3923000.0,3923000.0,-0.18,-0.607,29.8,"January 26, 98",-0.00607
1998-01-27,29.94,30.69,29.88,30.63,3900800.0,3900800.0,-0.69,-2.305,30.4,"January 27, 98",-0.02305
1998-01-28,30.69,31.0,30.09,30.22,4564400.0,4564400.0,0.47,1.531,30.43667,"January 28, 98",0.01531
1998-01-29,30.19,30.97,30.03,30.44,5465800.0,5465800.0,-0.25,-0.828,30.48,"January 29, 98",-0.00828
1998-01-30,30.69,30.75,29.94,29.94,3394000.0,3394000.0,0.75,2.444,30.21,"January 30, 98",0.02444
1998-02-02,30.63,30.97,30.59,30.72,3927400.0,3927400.0,-0.09,-0.294,30.76,"February 02, 98",-0.00294
1998-02-03,30.59,31.25,30.53,31.22,3951000.0,3951000.0,-0.63,-2.059,31.0,"February 03, 98",-0.02059
1998-02-04,31.25,31.59,30.75,31.47,5295800.0,5295800.0,-0.22,-0.704,31.27,"February 04, 98",-0.00704
1998-02-05,32.0,32.0,31.5,31.78,5197600.0,5197600.0,0.22,0.688,31.76,"February 05, 98",0.00688
1998-02-06,31.91,32.69,31.91,32.41,6654200.0,6654200.0,-0.5,-1.567,32.33667,"February 06, 98",-0.01567
1998-02-09,32.47,32.63,32.03,32.22,3631000.0,3631000.0,0.25,0.77,32.29333,"February 09, 98",0.0077
1998-02-10,32.34,32.53,32.0,32.19,3339800.0,3339800.0,0.15,0.464,32.24,"February 10, 98",0.00464
1998-02-11,32.5,32.66,32.31,32.53,3842800.0,3842800.0,-0.03,-0.092,32.5,"February 11, 98",-0.00092
1998-02-12,32.44,32.81,31.84,32.59,3837400.0,3837400.0,-0.15,-0.462,32.41333,"February 12, 98",-0.00462
1998-02-13,32.47,32.5,31.91,32.16,4530400.0,4530400.0,0.31,0.955,32.19,"February 13, 98",0.00955
1998-02-17,32.5,32.59,32.0,32.31,3571600.0,3571600.0,0.19,0.585,32.3,"February 17, 98",0.00585
1998-02-18,32.28,32.56,32.22,32.38,2977000.0,2977000.0,-0.1,-0.31,32.38667,"February 18, 98",-0.0031
1998-02-19,32.5,32.56,32.13,32.22,2958800.0,2958800.0,0.28,0.862,32.30333,"February 19, 98",0.00862
1998-02-20,32.38,32.53,32.19,32.53,4577600.0,4577600.0,-0.15,-0.463,32.41667,"February 20, 98",-0.00463
1998-02-23,32.97,33.88,32.66,33.66,7243600.0,7243600.0,-0.69,-2.093,33.4,"February 23, 98",-0.02093
1998-02-24,33.5,33.72,33.09,33.19,5528200.0,5528200.0,0.31,0.925,33.33333,"February 24, 98",0.00925
1998-02-25,33.5,34.44,33.38,34.44,5734600.0,5734600.0,-0.94,-2.806,34.08667,"February 25, 98",-0.02806
1998-02-26,34.19,34.47,33.81,34.25,4410800.0,4410800.0,-0.06,-0.175,34.17667,"February 26, 98",-0.00175
1998-02-27,34.19,34.38,33.88,34.25,2931400.0,2931400.0,-0.06,-0.175,34.17,"February 27, 98",-0.00175
1998-03-02,34.25,34.38,34.0,34.03,3524200.0,3524200.0,0.22,0.642,34.13667,"March 02, 98",0.00642
1998-03-03,34.0,34.47,33.78,34.47,4350400.0,4350400.0,-0.47,-1.382,34.24,"March 03, 98",-0.01382
1998-03-04,34.5,34.69,34.28,34.53,5310200.0,5310200.0,-0.03,-0.087,34.5,"March 04, 98",-0.00087
1998-03-05,34.03,34.22,33.78,33.94,3918800.0,3918800.0,0.09,0.264,33.98,"March 05, 98",0.00264
