date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,10.48,10.63,10.42,10.52,21000.0,21000.0,-0.04,-0.382,10.52333,"January 02, 98",-0.00382
1998-01-05,10.81,10.81,10.32,10.42,40200.0,40200.0,0.39,3.608,10.51667,"January 05, 98",0.03608
1998-01-06,10.5,10.73,10.5,10.63,38300.0,38300.0,-0.13,-1.238,10.62,"January 06, 98",-0.01238
1998-01-07,10.52,10.52,10.2,10.48,77400.0,77400.0,0.04,0.38,10.4,"January 07, 98",0.0038
1998-01-08,10.36,10.52,10.36,10.4,25700.0,25700.0,-0.04,-0.386,10.42667,"January 08, 98",-0.00386
1998-01-09,10.48,10.65,10.44,10.44,94400.0,94400.0,0.04,0.382,10.51,"January 09, 98",0.00382
1998-01-12,10.36,10.48,10.36,10.48,102200.0,102200.0,-0.12,-1.158,10.44,"January 12, 98",-0.01158
1998-01-13,10.73,10.93,10.73,10.77,79300.0,79300.0,-0.04,-0.373,10.81,"January 13, 98",-0.00373
1998-01-14,10.97,11.05,10.85,11.01,66000.0,66000.0,-0.04,-0.365,10.97,"January 14, 98",-0.00365
1998-01-15,11.03,11.11,11.01,11.05,92900.0,92900.0,-0.02,-0.181,11.05667,"January 15, 98",-0.00181
1998-01-16,11.05,11.19,11.05,11.05,16000.0,16000.0,0.0,0.0,11.09667,"January 16, 98",0.0
1998-01-20,11.01,11.01,10.81,10.89,35200.0,35200.0,0.12,1.09,10.90333,"January 20, 98",0.0109
1998-01-21,10.85,11.09,10.85,11.07,97900.0,97900.0,-0.22,-2.028,11.00333,"January 21, 98",-0.02028
1998-01-22,10.99,11.29,10.99,11.17,71500.0,71500.0,-0.18,-1.638,11.15,"January 22, 98",-0.01638
1998-01-23,11.17,11.25,11.13,11.13,22500.0,22500.0,0.04,0.358,11.17,"January 23, 98",0.00358
1998-01-26,11.37,11.41,11.25,11.25,34300.0,34300.0,0.12,1.055,11.30333,"January 26, 98",0.01055
1998-01-27,11.53,11.88,11.53,11.77,77400.0,77400.0,-0.24,-2.082,11.72667,"January 27, 98",-0.02082
1998-01-28,11.73,11.73,11.53,11.65,46700.0,46700.0,0.08,0.682,11.63667,"January 28, 98",0.00682
1998-01-29,11.57,11.59,11.31,11.31,87000.0,87000.0,0.26,2.247,11.40333,"January 29, 98",0.02247
1998-01-30,11.35,11.45,11.29,11.35,86100.0,86100.0,0.0,0.0,11.36333,"January 30, 98",0.0
1998-02-02,11.37,11.55,11.37,11.51,91400.0,91400.0,-0.14,-1.231,11.47667,"February 02, 98",-0.01231
1998-02-03,11.51,11.53,11.41,11.49,52900.0,52900.0,0.02,0.174,11.47667,"February 03, 98",0.00174
1998-02-04,11.73,12.1,11.73,12.1,50100.0,50100.0,-0.37,-3.154,11.97667,"February 04, 98",-0.03154
1998-02-05,12.82,12.82,12.58,12.6,100000.0,100000.0,0.22,1.716,12.66667,"February 05, 98",0.01716
1998-02-06,12.64,12.8,12.62,12.68,129800.0,129800.0,-0.04,-0.316,12.7,"February 06, 98",-0.00316
1998-02-09,12.6,12.62,12.46,12.48,166600.0,166600.0,0.12,0.952,12.52,"February 09, 98",0.00952
1998-02-10,12.5,12.62,12.48,12.54,97000.0,97000.0,-0.04,-0.32,12.54667,"February 10, 98",-0.0032
1998-02-11,12.54,12.98,12.54,12.92,74900.0,74900.0,-0.38,-3.03,12.81333,"February 11, 98",-0.0303
1998-02-12,13.0,13.06,12.92,13.06,170100.0,170100.0,-0.06,-0.462,13.01333,"February 12, 98",-0.00462
1998-02-13,13.02,13.17,12.98,13.17,123300.0,123300.0,-0.15,-1.152,13.10667,"February 13, 98",-0.01152
1998-02-17,13.19,13.19,13.13,13.17,67200.0,67200.0,0.02,0.152,13.16333,"February 17, 98",0.00152
1998-02-18,13.23,13.37,13.23,13.37,32200.0,32200.0,-0.14,-1.058,13.32333,"February 18, 98",-0.01058
1998-02-19,13.71,13.87,13.69,13.81,33700.0,33700.0,-0.1,-0.729,13.79,"February 19, 98",-0.00729
1998-02-20,14.13,14.44,14.03,14.25,143400.0,143400.0,-0.12,-0.849,14.24,"February 20, 98",-0.00849
1998-02-23,14.48,14.5,14.44,14.5,92900.0,92900.0,-0.02,-0.138,14.48,"February 23, 98",-0.00138
1998-02-24,14.9,14.9,14.52,14.52,353300.0,353300.0,0.38,2.55,14.64667,"February 24, 98",0.0255
1998-02-25,14.8,15.0,14.8,14.86,100300.0,100300.0,-0.06,-0.405,14.88667,"February 25, 98",-0.00405
1998-02-26,15.02,15.08,14.88,15.0,122400.0,122400.0,0.02,0.133,14.98667,"February 26, 98",0.00133
1998-02-27,14.82,14.96,14.72,14.96,39000.0,39000.0,-0.14,-0.945,14.88,"February 27, 98",-0.00945
1998-03-02,15.16,15.3,15.1,15.14,111800.0,111800.0,0.02,0.132,15.18,"March 02, 98",0.00132
1998-03-03,15.08,15.2,15.08,15.16,56000.0,56000.0,-0.08,-0.531,15.14667,"March 03, 98",-0.00531
1998-03-04,14.54,14.66,14.52,14.52,202900.0,202900.0,0.02,0.138,14.56667,"March 04, 98",0.00138
1998-03-05,14.19,14.52,14.19,14.29,101200.0,101200.0,-0.1,-0.705,14.33333,"March 05, 98",-0.00705
1998-03-06,14.64,15.08,14.64,14.92,118000.0,118000.0,-0.28,-1.913,14.88,"March 06, 98",-0.01913
1998-03-09,14.92,15.24,14.92,15.04,35200.0,35200.0,-0.12,-0.804,15.06667,"March 09, 98",-0.00804
1998-03-10,14.92,14.92,14.72,14.72,56600.0,56600.0,0.2,1.34,14.78667,"March 10, 98",0.0134
1998-03-11,14.56,14.56,14.21,14.25,80800.0,80800.0,0.31,2.129,14.34,"March 11, 98",0.02129
1998-03-12,14.29,14.33,14.25,14.33,133500.0,133500.0,-0.04,-0.28,14.30333,"March 12, 98",-0.0028
1998-03-13,14.42,14.42,14.31,14.35,43600.0,43600.0,0.07,0.485,14.36,"March 13, 98",0.00485
1998-03-16,14.52,14.6,14.44,14.6,41700.0,41700.0,-0.08,-0.551,14.54667,"March 16, 98",-0.00551
1998-03-17,14.68,14.68,14.56,14.6,65300.0,65300.0,0.08,0.545,14.61333,"March 17, 98",0.00545
1998-03-18,14.4,14.46,14.35,14.4,187200.0,187200.0,0.0,0.0,14.40333,"March 18, 98",0.0
1998-03-19,14.35,14.52,14.31,14.38,37700.0,37700.0,-0.03,-0.209,14.40333,"March 19, 98",-0.00209
1998-03-20,14.64,14.84,14.62,14.84,56000.0,56000.0,-0.2,-1.366,14.76667,"March 20, 98",-0.01366
1998-03-23,14.8,15.2,14.8,15.16,46400.0,46400.0,-0.36,-2.432,15.05333,"March 23, 98",-0.02432
1998-03-24,15.16,15.52,15.16,15.48,190500.0,190500.0,-0.32,-2.111,15.38667,"March 24, 98",-0.02111
1998-03-25,15.5,15.63,15.48,15.52,127000.0,127000.0,-0.02,-0.129,15.54333,"March 25, 98",-0.00129
1998-03-26,15.34,15.36,15.22,15.28,38700.0,38700.0,0.06,0.391,15.28667,"March 26, 98",0.00391
1998-03-27,15.24,15.28,15.08,15.28,37100.0,37100.0,-0.04,-0.262,15.21333,"March 27, 98",-0.00262
1998-03-30,15.16,15.16,15.04,15.06,26300.0,26300.0,0.1,0.66,15.08667,"March 30, 98",0.0066
1998-03-31,15.02,15.16,15.02,15.16,19100.0,19100.0,-0.14,-0.932,15.11333,"March 31, 98",-0.00932
1998-04-01,15.32,15.48,15.26,15.36,59400.0,59400.0,-0.04,-0.261,15.36667,"April 01, 98",-0.00261
1998-04-02,15.48,15.56,15.46,15.56,4800.0,4800.0,-0.08,-0.517,15.52667,"April 02, 98",-0.00517
1998-04-03,15.65,15.65,15.58,15.65,21600.0,21600.0,0.0,0.0,15.62667,"April 03, 98",0.0
1998-04-06,15.73,15.83,15.73,15.73,102900.0,102900.0,0.0,0.0,15.76333,"April 06, 98",0.0
1998-04-07,15.67,15.75,15.67,15.71,43900.0,43900.0,-0.04,-0.255,15.71,"April 07, 98",-0.00255
1998-04-08,15.71,15.93,15.71,15.73,65300.0,65300.0,-0.02,-0.127,15.79,"April 08, 98",-0.00127
1998-04-09,15.81,16.09,15.81,15.91,59700.0,59700.0,-0.1,-0.633,15.93667,"April 09, 98",-0.00633
1998-04-13,15.91,16.03,15.89,15.95,152700.0,152700.0,-0.04,-0.251,15.95667,"April 13, 98",-0.00251
1998-04-14,16.41,16.43,16.29,16.33,160800.0,160800.0,0.08,0.488,16.35,"April 14, 98",0.00488
1998-04-15,16.25,16.27,16.19,16.25,75800.0,75800.0,0.0,0.0,16.23667,"April 15, 98",0.0
1998-04-16,16.17,16.33,16.17,16.33,385900.0,385900.0,-0.16,-0.989,16.27667,"April 16, 98",-0.00989
1998-04-17,16.41,16.77,16.33,16.61,128900.0,128900.0,-0.2,-1.219,16.57,"April 17, 98",-0.01219
1998-04-20,16.77,17.0,16.77,16.96,37100.0,37100.0,-0.19,-1.133,16.91,"April 20, 98",-0.01133
1998-04-21,17.0,17.3,17.0,17.28,113300.0,113300.0,-0.28,-1.647,17.19333,"April 21, 98",-0.01647
1998-04-22,16.92,16.98,16.81,16.88,191700.0,191700.0,0.04,0.236,16.89,"April 22, 98",0.00236
