date,1. open,2. high,3. low,4. close,5. volume
2000-12-20,5.0,5.0,5.0,5.0,0.0
2000-12-21,4.3,4.3,4.3,4.3,0.0
2000-12-22,3.5,3.5,3.5,3.5,0.0
2000-12-26,0.0,0.0,0.0,0.0,0.0
2000-12-27,3.8,3.8,3.8,3.8,0.0
2000-12-28,3.9,3.9,3.9,3.9,0.0
2000-12-29,4.0,4.0,4.0,4.0,0.0
2001-01-02,4.0,4.0,4.0,4.0,0.0
2001-01-03,3.8,3.8,3.8,3.8,0.0
2001-01-04,4.3,4.3,4.3,4.3,0.0
2001-01-05,4.3,4.3,4.3,4.3,0.0
2001-01-08,4.5,4.5,4.5,4.5,0.0
2001-01-09,4.4,4.4,4.4,4.4,0.0
2001-01-10,4.15,4.15,4.15,4.15,0.0
2001-01-11,4.15,4.15,4.15,4.15,0.0
2001-01-12,4.4,4.4,4.4,4.4,0.0
2001-01-16,5.1,5.1,5.1,5.1,0.0
2001-01-17,6.5,6.5,6.5,6.5,0.0
2001-01-18,6.2,6.2,6.2,6.2,0.0
2001-01-19,6.7,6.7,6.7,6.7,0.0
2001-01-22,6.4,6.4,6.4,6.4,0.0
2001-01-23,6.25,6.25,6.25,6.25,0.0
2001-01-24,0.0,0.0,0.0,0.0,0.0
2001-01-25,6.8,6.8,6.8,6.8,0.0
2001-01-26,0.0,0.0,0.0,0.0,0.0
2001-01-29,6.85,6.85,6.85,6.85,0.0
2001-01-30,7.05,7.05,7.05,7.05,0.0
2001-01-31,7.1,7.1,7.1,7.1,0.0
2001-02-01,7.0,7.0,7.0,7.0,0.0
2001-02-02,7.0,7.0,7.0,7.0,0.0
2001-02-05,7.0,7.0,7.0,7.0,0.0
2001-02-06,7.0,7.0,7.0,7.0,0.0
2001-02-07,7.0,7.0,7.0,7.0,0.0
2001-02-08,6.5,6.5,6.5,6.5,0.0
2001-02-09,6.85,6.85,6.85,6.85,0.0
2001-02-12,7.0,7.0,7.0,7.0,0.0
2001-02-13,6.6,6.6,6.6,6.6,0.0
2001-02-14,6.8,6.8,6.8,6.8,0.0
2001-02-15,6.75,6.75,6.75,6.75,0.0
2001-02-16,6.65,6.65,6.65,6.65,0.0
2001-02-20,5.5,6.0,5.5,5.8,2000.0
2001-02-21,5.65,5.65,5.65,5.65,0.0
2001-02-22,5.3,5.3,5.3,5.3,0.0
2001-02-23,5.3,5.3,5.3,5.3,0.0
2001-02-26,5.5,5.5,5.5,5.5,0.0
2001-02-27,5.5,5.5,5.5,5.5,0.0
2001-02-28,4.65,4.65,4.65,4.65,0.0
2001-03-01,4.1,4.1,4.1,4.1,0.0
2001-03-02,5.7,5.7,5.7,5.7,0.0
2001-03-05,5.5,5.5,5.5,5.5,0.0
2001-03-06,5.3,5.3,5.3,5.3,0.0
2001-03-07,5.3,5.3,5.3,5.3,0.0
2001-03-08,5.3,5.3,5.3,5.3,0.0
2001-03-09,5.3,5.3,5.3,5.3,0.0
2001-03-12,5.3,5.3,5.3,5.3,0.0
2001-03-13,5.4,5.4,5.4,5.4,0.0
2001-03-14,0.0,0.0,0.0,0.0,0.0
2001-03-15,4.75,4.75,4.75,4.75,0.0
2001-03-16,4.65,4.65,4.65,4.65,0.0
2001-03-19,4.6,4.6,4.6,4.6,0.0
2001-03-20,4.35,4.35,4.35,4.35,0.0
2001-03-21,4.15,4.15,4.15,4.15,0.0
2001-03-22,4.3,4.3,4.3,4.3,0.0
2001-03-23,4.4,4.4,4.4,4.4,0.0
2001-03-26,4.6,4.6,4.6,4.6,0.0
2001-03-27,4.6,4.6,4.6,4.6,0.0
2001-03-28,4.75,4.75,4.75,4.75,0.0
2001-03-29,4.75,4.75,4.75,4.75,0.0
2001-03-30,4.6,4.6,4.6,4.6,0.0
2001-04-02,5.0,5.0,5.0,5.0,0.0
2001-04-03,5.0,5.0,5.0,5.0,0.0
2001-04-04,4.45,4.45,4.45,4.45,0.0
2001-04-05,3.95,3.95,3.95,3.95,0.0
