date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-01-25,27.75,28.94,27.5,28.32,9225700.0,9225700.0,-0.57,-2.054,28.25333,"January 25, 13",-0.02054
2013-01-28,28.42,28.62,27.9,28.25,728700.0,728700.0,0.17,0.598,28.25667,"January 28, 13",0.00598
2013-01-29,28.0,28.82,27.82,28.75,387700.0,387700.0,-0.75,-2.679,28.46333,"January 29, 13",-0.02679
2013-01-30,29.0,29.0,28.32,28.63,122300.0,122300.0,0.37,1.276,28.65,"January 30, 13",0.01276
2013-01-31,28.47,28.62,27.5,28.0,274500.0,274500.0,0.47,1.651,28.04,"January 31, 13",0.01651
2013-02-01,28.2,28.63,27.8,28.3,108600.0,108600.0,-0.1,-0.355,28.24333,"February 01, 13",-0.00355
2013-02-04,28.32,28.67,27.56,28.04,194700.0,194700.0,0.28,0.989,28.09,"February 04, 13",0.00989
2013-02-05,28.08,28.3,27.5,27.86,255800.0,255800.0,0.22,0.783,27.88667,"February 05, 13",0.00783
2013-02-06,27.55,27.65,27.5,27.5,117300.0,117300.0,0.05,0.181,27.55,"February 06, 13",0.00181
2013-02-07,27.5,28.9,27.5,28.5,135200.0,135200.0,-1.0,-3.636,28.3,"February 07, 13",-0.03636
2013-02-08,28.39,29.79,28.1,29.5,99800.0,99800.0,-1.11,-3.91,29.13,"February 08, 13",-0.0391
2013-02-11,29.31,30.97,29.1,30.16,223800.0,223800.0,-0.85,-2.9,30.07667,"February 11, 13",-0.029
2013-02-12,31.5,31.5,29.21,29.25,239900.0,239900.0,2.25,7.143,29.98667,"February 12, 13",0.07143
2013-02-13,29.25,29.3,28.89,29.01,32600.0,32600.0,0.24,0.821,29.06667,"February 13, 13",0.00821
2013-02-14,29.22,29.48,28.48,28.7,55900.0,55900.0,0.52,1.78,28.88667,"February 14, 13",0.0178
2013-02-15,29.7,29.99,28.21,28.59,253400.0,253400.0,1.11,3.737,28.93,"February 15, 13",0.03737
2013-02-19,28.29,28.97,27.95,28.55,354100.0,354100.0,-0.26,-0.919,28.49,"February 19, 13",-0.00919
2013-02-20,28.41,29.75,28.32,29.09,31600.0,31600.0,-0.68,-2.394,29.05333,"February 20, 13",-0.02394
2013-02-21,28.95,28.95,27.8,28.35,124300.0,124300.0,0.6,2.073,28.36667,"February 21, 13",0.02073
2013-02-22,28.35,28.35,28.06,28.18,182000.0,182000.0,0.17,0.6,28.19667,"February 22, 13",0.006
2013-02-25,28.47,28.47,27.89,28.0,100400.0,100400.0,0.47,1.651,28.12,"February 25, 13",0.01651
2013-02-26,28.38,28.38,27.97,27.98,97200.0,97200.0,0.4,1.409,28.11,"February 26, 13",0.01409
2013-02-27,28.07,28.07,27.89,27.97,59900.0,59900.0,0.1,0.356,27.97667,"February 27, 13",0.00356
2013-02-28,27.98,28.05,27.9,27.96,31400.0,31400.0,0.02,0.071,27.97,"February 28, 13",0.00071
2013-03-01,27.86,28.02,27.86,27.99,43700.0,43700.0,-0.13,-0.467,27.95667,"March 01, 13",-0.00467
2013-03-04,27.99,28.06,27.96,28.0,51400.0,51400.0,-0.01,-0.036,28.00667,"March 04, 13",-0.00036
2013-03-05,28.05,29.55,27.53,28.35,236300.0,236300.0,-0.3,-1.07,28.47667,"March 05, 13",-0.0107
2013-03-06,28.35,28.48,27.82,28.03,84300.0,84300.0,0.32,1.129,28.11,"March 06, 13",0.01129
2013-03-07,28.03,28.25,27.62,27.95,122800.0,122800.0,0.08,0.285,27.94,"March 07, 13",0.00285
2013-03-08,27.93,28.51,27.66,28.08,116800.0,116800.0,-0.15,-0.537,28.08333,"March 08, 13",-0.00537
2013-03-11,28.08,29.25,28.0,28.99,210000.0,210000.0,-0.91,-3.241,28.74667,"March 11, 13",-0.03241
2013-03-12,29.14,30.88,28.77,30.56,170800.0,170800.0,-1.42,-4.873,30.07,"March 12, 13",-0.04873
2013-03-13,30.74,31.43,29.44,30.0,202800.0,202800.0,0.74,2.407,30.29,"March 13, 13",0.02407
2013-03-14,30.5,33.49,30.14,33.04,515500.0,515500.0,-2.54,-8.328,32.22333,"March 14, 13",-0.08328
2013-03-15,33.09,33.38,32.04,32.15,430500.0,430500.0,0.94,2.841,32.52333,"March 15, 13",0.02841
2013-03-18,32.11,33.85,31.55,32.79,228100.0,228100.0,-0.68,-2.118,32.73,"March 18, 13",-0.02118
2013-03-19,32.9,33.95,32.34,33.67,54900.0,54900.0,-0.77,-2.34,33.32,"March 19, 13",-0.0234
2013-03-20,33.91,35.13,33.91,34.76,86000.0,86000.0,-0.85,-2.507,34.6,"March 20, 13",-0.02507
2013-03-21,33.25,36.19,32.89,35.51,418100.0,418100.0,-2.26,-6.797,34.86333,"March 21, 13",-0.06797
2013-03-22,35.98,36.26,34.66,34.85,126800.0,126800.0,1.13,3.141,35.25667,"March 22, 13",0.03141
2013-03-25,35.55,35.96,34.11,34.5,190200.0,190200.0,1.05,2.954,34.85667,"March 25, 13",0.02954
2013-03-26,34.23,34.56,33.39,34.38,252400.0,252400.0,-0.15,-0.438,34.11,"March 26, 13",-0.00438
2013-03-27,34.1,34.1,32.88,33.65,204400.0,204400.0,0.45,1.32,33.54333,"March 27, 13",0.0132
2013-03-28,33.49,34.04,32.5,33.79,1195900.0,1195900.0,-0.3,-0.896,33.44333,"March 28, 13",-0.00896
2013-04-01,33.79,33.99,33.08,33.42,196700.0,196700.0,0.37,1.095,33.49667,"April 01, 13",0.01095
2013-04-02,33.62,33.7,32.93,33.06,145600.0,145600.0,0.56,1.666,33.23,"April 02, 13",0.01666
2013-04-03,33.15,33.16,32.0,32.66,146400.0,146400.0,0.49,1.478,32.60667,"April 03, 13",0.01478
2013-04-04,32.78,33.67,32.65,33.66,177000.0,177000.0,-0.88,-2.685,33.32667,"April 04, 13",-0.02685
2013-04-05,33.24,33.45,32.77,32.89,118500.0,118500.0,0.35,1.053,33.03667,"April 05, 13",0.01053
2013-04-08,33.03,33.57,32.55,33.57,33100.0,33100.0,-0.54,-1.635,33.23,"April 08, 13",-0.01635
2013-04-09,33.55,33.55,32.27,32.98,68100.0,68100.0,0.57,1.699,32.93333,"April 09, 13",0.01699
2013-04-10,32.95,33.68,32.68,33.24,187600.0,187600.0,-0.29,-0.88,33.2,"April 10, 13",-0.0088
2013-04-11,33.24,33.71,32.62,33.35,84200.0,84200.0,-0.11,-0.331,33.22667,"April 11, 13",-0.00331
2013-04-12,33.31,34.05,33.19,33.81,134400.0,134400.0,-0.5,-1.501,33.68333,"April 12, 13",-0.01501
2013-04-15,33.58,33.62,32.36,32.71,106400.0,106400.0,0.87,2.591,32.89667,"April 15, 13",0.02591
2013-04-16,33.05,33.95,32.69,33.4,285900.0,285900.0,-0.35,-1.059,33.34667,"April 16, 13",-0.01059
2013-04-17,33.59,33.66,32.71,32.95,217600.0,217600.0,0.64,1.905,33.10667,"April 17, 13",0.01905
2013-04-18,32.93,33.2,32.86,32.95,170900.0,170900.0,-0.02,-0.061,33.00333,"April 18, 13",-0.00061
2013-04-19,32.99,33.44,32.57,33.03,59100.0,59100.0,-0.04,-0.121,33.01333,"April 19, 13",-0.00121
2013-04-22,33.13,33.28,32.13,32.3,68300.0,68300.0,0.83,2.505,32.57,"April 22, 13",0.02505
2013-04-23,32.38,33.42,31.89,33.41,191600.0,191600.0,-1.03,-3.181,32.90667,"April 23, 13",-0.03181
2013-04-24,33.29,33.29,32.42,32.96,51700.0,51700.0,0.33,0.991,32.89,"April 24, 13",0.00991
2013-04-25,32.97,33.11,32.37,33.02,38000.0,38000.0,-0.05,-0.152,32.83333,"April 25, 13",-0.00152
2013-04-26,33.01,33.01,31.74,32.5,75600.0,75600.0,0.51,1.545,32.41667,"April 26, 13",0.01545
2013-04-29,32.64,33.24,32.44,32.54,117100.0,117100.0,0.1,0.306,32.74,"April 29, 13",0.00306
2013-04-30,32.42,32.77,32.01,32.44,83500.0,83500.0,-0.02,-0.062,32.40667,"April 30, 13",-0.00062
2013-05-01,32.4,32.5,31.51,31.66,92200.0,92200.0,0.74,2.284,31.89,"May 01, 13",0.02284
2013-05-02,31.76,33.0,31.62,32.43,218300.0,218300.0,-0.67,-2.11,32.35,"May 02, 13",-0.0211
2013-05-03,32.72,33.57,32.28,33.09,247400.0,247400.0,-0.37,-1.131,32.98,"May 03, 13",-0.01131
2013-05-06,33.19,33.8,32.65,33.07,98200.0,98200.0,0.12,0.362,33.17333,"May 06, 13",0.00362
2013-05-07,33.06,34.21,32.81,33.85,162600.0,162600.0,-0.79,-2.39,33.62333,"May 07, 13",-0.0239
2013-05-08,33.61,34.83,33.61,34.68,78200.0,78200.0,-1.07,-3.184,34.37333,"May 08, 13",-0.03184
2013-05-09,34.6,34.99,34.18,34.44,121700.0,121700.0,0.16,0.462,34.53667,"May 09, 13",0.00462
2013-05-10,34.28,34.75,33.65,33.93,111400.0,111400.0,0.35,1.021,34.11,"May 10, 13",0.01021
2013-05-13,33.63,33.85,33.23,33.61,108100.0,108100.0,0.02,0.059,33.56333,"May 13, 13",0.00059
2013-05-14,33.51,34.3,33.51,33.8,67200.0,67200.0,-0.29,-0.865,33.87,"May 14, 13",-0.00865
2013-05-15,33.7,33.9,33.63,33.71,67600.0,67600.0,-0.01,-0.03,33.74667,"May 15, 13",-0.0003
2013-05-16,33.72,34.01,33.62,33.91,81100.0,81100.0,-0.19,-0.563,33.84667,"May 16, 13",-0.00563
2013-05-17,33.96,34.0,33.75,33.97,106800.0,106800.0,-0.01,-0.029,33.90667,"May 17, 13",-0.00029
2013-05-20,33.93,34.34,33.61,34.31,184600.0,184600.0,-0.38,-1.12,34.08667,"May 20, 13",-0.0112
2013-05-21,34.24,35.73,34.24,35.15,95200.0,95200.0,-0.91,-2.658,35.04,"May 21, 13",-0.02658
2013-05-22,35.07,35.74,34.5,34.96,71900.0,71900.0,0.11,0.314,35.06667,"May 22, 13",0.00314
2013-05-23,34.66,34.78,33.54,34.26,80300.0,80300.0,0.4,1.154,34.19333,"May 23, 13",0.01154
2013-05-24,34.19,34.76,33.24,34.57,54200.0,54200.0,-0.38,-1.111,34.19,"May 24, 13",-0.01111
2013-05-28,34.8,35.73,34.39,35.48,77500.0,77500.0,-0.68,-1.954,35.2,"May 28, 13",-0.01954
2013-05-29,35.4,35.49,34.76,35.37,79900.0,79900.0,0.03,0.085,35.20667,"May 29, 13",0.00085
2013-05-30,35.74,38.17,35.74,38.15,252400.0,252400.0,-2.41,-6.743,37.35333,"May 30, 13",-0.06743
2013-05-31,38.07,38.39,35.88,36.05,211400.0,211400.0,2.02,5.306,36.77333,"May 31, 13",0.05306
2013-06-03,36.17,36.17,34.05,35.15,144800.0,144800.0,1.02,2.82,35.12333,"June 03, 13",0.0282
2013-06-04,35.27,36.32,34.52,34.91,94000.0,94000.0,0.36,1.021,35.25,"June 04, 13",0.01021
2013-06-05,34.97,35.47,34.58,34.8,73600.0,73600.0,0.17,0.486,34.95,"June 05, 13",0.00486
2013-06-06,34.85,35.54,34.7,35.49,39800.0,39800.0,-0.64,-1.836,35.24333,"June 06, 13",-0.01836
2013-06-07,35.99,36.63,35.94,36.1,54000.0,54000.0,-0.11,-0.306,36.22333,"June 07, 13",-0.00306
2013-06-10,35.57,36.81,35.57,36.49,50600.0,50600.0,-0.92,-2.586,36.29,"June 10, 13",-0.02586
