date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,24.38,24.44,24.13,24.31,111400.0,111400.0,0.07,0.287,24.29333,"January 02, 98",0.00287
1998-01-05,24.19,24.5,24.19,24.5,221200.0,221200.0,-0.31,-1.282,24.39667,"January 05, 98",-0.01282
1998-01-06,24.25,24.47,24.22,24.31,93600.0,93600.0,-0.06,-0.247,24.33333,"January 06, 98",-0.00247
1998-01-07,24.31,24.5,24.13,24.5,158400.0,158400.0,-0.19,-0.782,24.37667,"January 07, 98",-0.00782
1998-01-08,24.13,24.5,24.0,24.03,124000.0,124000.0,0.1,0.414,24.17667,"January 08, 98",0.00414
1998-01-09,24.03,24.16,23.75,23.78,245400.0,245400.0,0.25,1.04,23.89667,"January 09, 98",0.0104
1998-01-12,23.41,23.47,23.31,23.41,141200.0,141200.0,0.0,0.0,23.39667,"January 12, 98",0.0
1998-01-13,23.44,23.63,23.19,23.59,58400.0,58400.0,-0.15,-0.64,23.47,"January 13, 98",-0.0064
1998-01-14,23.63,23.63,23.19,23.44,77600.0,77600.0,0.19,0.804,23.42,"January 14, 98",0.00804
1998-01-15,23.56,23.56,23.38,23.41,28400.0,28400.0,0.15,0.637,23.45,"January 15, 98",0.00637
1998-01-16,22.88,22.91,21.75,22.06,899600.0,899600.0,0.82,3.584,22.24,"January 16, 98",0.03584
1998-01-20,22.13,22.47,22.06,22.31,280600.0,280600.0,-0.18,-0.813,22.28,"January 20, 98",-0.00813
1998-01-21,22.28,22.31,22.03,22.31,189400.0,189400.0,-0.03,-0.135,22.21667,"January 21, 98",-0.00135
1998-01-22,22.19,22.28,22.03,22.03,106000.0,106000.0,0.16,0.721,22.11333,"January 22, 98",0.00721
1998-01-23,22.03,22.19,21.53,21.72,120600.0,120600.0,0.31,1.407,21.81333,"January 23, 98",0.01407
1998-01-26,21.84,21.97,21.63,21.91,92000.0,92000.0,-0.07,-0.321,21.83667,"January 26, 98",-0.00321
1998-01-27,21.78,22.28,21.78,21.94,101600.0,101600.0,-0.16,-0.735,22.0,"January 27, 98",-0.00735
1998-01-28,21.81,22.31,21.78,22.22,86400.0,86400.0,-0.41,-1.88,22.10333,"January 28, 98",-0.0188
1998-01-29,22.09,22.31,22.06,22.22,122200.0,122200.0,-0.13,-0.589,22.19667,"January 29, 98",-0.00589
1998-01-30,22.16,22.31,21.88,22.03,156600.0,156600.0,0.13,0.587,22.07333,"January 30, 98",0.00587
1998-02-02,22.0,22.44,21.88,21.94,273200.0,273200.0,0.06,0.273,22.08667,"February 02, 98",0.00273
1998-02-03,21.94,22.13,21.84,21.84,151400.0,151400.0,0.1,0.456,21.93667,"February 03, 98",0.00456
1998-02-04,21.78,22.03,21.66,21.94,86200.0,86200.0,-0.16,-0.735,21.87667,"February 04, 98",-0.00735
1998-02-05,22.0,22.25,22.0,22.16,94800.0,94800.0,-0.16,-0.727,22.13667,"February 05, 98",-0.00727
1998-02-06,22.28,22.28,22.16,22.25,76800.0,76800.0,0.03,0.135,22.23,"February 06, 98",0.00135
1998-02-09,22.25,22.41,22.25,22.31,285200.0,285200.0,-0.06,-0.27,22.32333,"February 09, 98",-0.0027
1998-02-10,22.25,22.34,22.13,22.25,293400.0,293400.0,0.0,0.0,22.24,"February 10, 98",0.0
1998-02-11,22.22,22.34,22.22,22.31,113600.0,113600.0,-0.09,-0.405,22.29,"February 11, 98",-0.00405
1998-02-12,22.31,22.38,22.22,22.31,149800.0,149800.0,0.0,0.0,22.30333,"February 12, 98",0.0
1998-02-13,22.25,22.31,22.22,22.28,191200.0,191200.0,-0.03,-0.135,22.27,"February 13, 98",-0.00135
1998-02-17,22.41,22.44,22.13,22.16,162800.0,162800.0,0.25,1.116,22.24333,"February 17, 98",0.01116
1998-02-18,22.06,22.19,21.94,22.13,210800.0,210800.0,-0.07,-0.317,22.08667,"February 18, 98",-0.00317
1998-02-19,22.19,22.19,21.69,22.0,60600.0,60600.0,0.19,0.856,21.96,"February 19, 98",0.00856
1998-02-20,22.13,22.19,21.88,22.13,104800.0,104800.0,0.0,0.0,22.06667,"February 20, 98",0.0
1998-02-23,22.13,22.31,21.94,22.13,91200.0,91200.0,0.0,0.0,22.12667,"February 23, 98",0.0
1998-02-24,22.19,22.19,21.94,22.09,172800.0,172800.0,0.1,0.451,22.07333,"February 24, 98",0.00451
1998-02-25,22.16,22.25,22.0,22.19,61800.0,61800.0,-0.03,-0.135,22.14667,"February 25, 98",-0.00135
1998-02-26,22.09,22.13,21.94,22.06,171600.0,171600.0,0.03,0.136,22.04333,"February 26, 98",0.00136
1998-02-27,22.03,22.22,21.94,22.16,152800.0,152800.0,-0.13,-0.59,22.10667,"February 27, 98",-0.0059
1998-03-02,22.09,22.28,22.0,22.28,89800.0,89800.0,-0.19,-0.86,22.18667,"March 02, 98",-0.0086
1998-03-03,22.16,22.31,22.06,22.25,260200.0,260200.0,-0.09,-0.406,22.20667,"March 03, 98",-0.00406
1998-03-04,22.19,22.31,22.16,22.25,148400.0,148400.0,-0.06,-0.27,22.24,"March 04, 98",-0.0027
1998-03-05,22.16,22.25,22.06,22.25,151200.0,151200.0,-0.09,-0.406,22.18667,"March 05, 98",-0.00406
1998-03-06,22.19,22.25,22.0,22.0,91600.0,91600.0,0.19,0.856,22.08333,"March 06, 98",0.00856
1998-03-09,21.94,22.19,21.91,21.94,142000.0,142000.0,0.0,0.0,22.01333,"March 09, 98",0.0
1998-03-10,21.91,22.22,21.88,22.0,145000.0,145000.0,-0.09,-0.411,22.03333,"March 10, 98",-0.00411
1998-03-11,22.0,22.22,22.0,22.16,254600.0,254600.0,-0.16,-0.727,22.12667,"March 11, 98",-0.00727
1998-03-12,22.19,22.22,22.06,22.16,207600.0,207600.0,0.03,0.135,22.14667,"March 12, 98",0.00135
1998-03-13,22.19,22.56,22.0,22.47,468800.0,468800.0,-0.28,-1.262,22.34333,"March 13, 98",-0.01262
1998-03-16,22.5,22.5,22.25,22.38,218400.0,218400.0,0.12,0.533,22.37667,"March 16, 98",0.00533
1998-03-17,22.44,22.5,22.38,22.5,131400.0,131400.0,-0.06,-0.267,22.46,"March 17, 98",-0.00267
1998-03-18,22.5,22.5,22.38,22.47,101800.0,101800.0,0.03,0.133,22.45,"March 18, 98",0.00133
1998-03-19,22.5,22.69,22.38,22.56,314400.0,314400.0,-0.06,-0.267,22.54333,"March 19, 98",-0.00267
1998-03-20,22.59,22.81,22.5,22.66,232600.0,232600.0,-0.07,-0.31,22.65667,"March 20, 98",-0.0031
1998-03-23,22.66,22.81,22.5,22.56,186000.0,186000.0,0.1,0.441,22.62333,"March 23, 98",0.00441
1998-03-24,22.69,22.81,22.59,22.81,72200.0,72200.0,-0.12,-0.529,22.73667,"March 24, 98",-0.00529
1998-03-25,22.75,22.81,22.41,22.56,113400.0,113400.0,0.19,0.835,22.59333,"March 25, 98",0.00835
1998-03-26,22.5,22.78,22.5,22.72,175800.0,175800.0,-0.22,-0.978,22.66667,"March 26, 98",-0.00978
1998-03-27,22.81,23.0,22.75,22.91,322000.0,322000.0,-0.1,-0.438,22.88667,"March 27, 98",-0.00438
1998-03-30,23.0,23.0,22.75,22.81,114600.0,114600.0,0.19,0.826,22.85333,"March 30, 98",0.00826
1998-03-31,22.88,23.13,22.81,22.91,147200.0,147200.0,-0.03,-0.131,22.95,"March 31, 98",-0.00131
1998-04-01,22.91,23.09,22.75,23.09,79800.0,79800.0,-0.18,-0.786,22.97667,"April 01, 98",-0.00786
1998-04-02,23.09,23.09,22.91,22.97,150800.0,150800.0,0.12,0.52,22.99,"April 02, 98",0.0052
1998-04-03,22.97,23.13,22.72,22.84,176800.0,176800.0,0.13,0.566,22.89667,"April 03, 98",0.00566
1998-04-06,22.81,23.0,22.5,22.56,87200.0,87200.0,0.25,1.096,22.68667,"April 06, 98",0.01096
1998-04-07,22.56,22.56,22.13,22.28,108600.0,108600.0,0.28,1.241,22.32333,"April 07, 98",0.01241
1998-04-08,22.41,22.47,22.13,22.19,92800.0,92800.0,0.22,0.982,22.26333,"April 08, 98",0.00982
1998-04-09,22.19,22.31,22.09,22.22,44200.0,44200.0,-0.03,-0.135,22.20667,"April 09, 98",-0.00135
1998-04-13,22.47,22.56,22.19,22.22,168200.0,168200.0,0.25,1.113,22.32333,"April 13, 98",0.01113
1998-04-14,22.19,22.97,22.16,22.97,144800.0,144800.0,-0.78,-3.515,22.7,"April 14, 98",-0.03515
1998-04-15,22.88,22.88,22.63,22.78,54600.0,54600.0,0.1,0.437,22.76333,"April 15, 98",0.00437
1998-04-16,22.66,22.66,22.09,22.28,157600.0,157600.0,0.38,1.677,22.34333,"April 16, 98",0.01677
1998-04-17,22.19,22.78,22.19,22.66,223200.0,223200.0,-0.47,-2.118,22.54333,"April 17, 98",-0.02118
1998-04-20,22.63,22.63,22.5,22.53,138800.0,138800.0,0.1,0.442,22.55333,"April 20, 98",0.00442
1998-04-21,22.47,22.47,22.34,22.47,44400.0,44400.0,0.0,0.0,22.42667,"April 21, 98",0.0
1998-04-22,22.38,22.66,22.31,22.44,550400.0,550400.0,-0.06,-0.268,22.47,"April 22, 98",-0.00268
1998-04-23,22.38,22.63,22.34,22.53,75000.0,75000.0,-0.15,-0.67,22.5,"April 23, 98",-0.0067
1998-04-24,22.5,22.59,22.41,22.5,98600.0,98600.0,0.0,0.0,22.5,"April 24, 98",0.0
1998-04-27,22.38,22.44,22.09,22.16,140200.0,140200.0,0.22,0.983,22.23,"April 27, 98",0.00983
1998-04-28,22.22,22.22,22.06,22.09,279000.0,279000.0,0.13,0.585,22.12333,"April 28, 98",0.00585
1998-04-29,22.09,22.34,22.0,22.28,74200.0,74200.0,-0.19,-0.86,22.20667,"April 29, 98",-0.0086
1998-04-30,22.28,22.72,22.25,22.63,131200.0,131200.0,-0.35,-1.571,22.53333,"April 30, 98",-0.01571
1998-05-01,22.63,22.66,22.38,22.66,53200.0,53200.0,-0.03,-0.133,22.56667,"May 01, 98",-0.00133
1998-05-04,22.66,22.69,22.47,22.5,168200.0,168200.0,0.16,0.706,22.55333,"May 04, 98",0.00706
1998-05-05,22.56,22.63,22.44,22.59,88200.0,88200.0,-0.03,-0.133,22.55333,"May 05, 98",-0.00133
1998-05-06,22.63,22.63,22.31,22.34,174000.0,174000.0,0.29,1.281,22.42667,"May 06, 98",0.01281
1998-05-07,22.34,22.34,21.97,22.13,174600.0,174600.0,0.21,0.94,22.14667,"May 07, 98",0.0094
1998-05-08,22.13,22.31,21.91,22.25,158200.0,158200.0,-0.12,-0.542,22.15667,"May 08, 98",-0.00542
1998-05-11,22.34,22.59,22.34,22.47,111600.0,111600.0,-0.13,-0.582,22.46667,"May 11, 98",-0.00582
1998-05-12,22.44,22.5,22.22,22.5,67400.0,67400.0,-0.06,-0.267,22.40667,"May 12, 98",-0.00267
1998-05-13,22.44,22.53,22.41,22.47,57800.0,57800.0,-0.03,-0.134,22.47,"May 13, 98",-0.00134
1998-05-14,22.31,22.38,22.25,22.34,84600.0,84600.0,-0.03,-0.134,22.32333,"May 14, 98",-0.00134
1998-05-15,22.25,22.31,22.13,22.16,92200.0,92200.0,0.09,0.404,22.2,"May 15, 98",0.00404
1998-05-18,22.16,22.34,22.09,22.34,86400.0,86400.0,-0.18,-0.812,22.25667,"May 18, 98",-0.00812
1998-05-19,22.31,22.47,22.28,22.41,59600.0,59600.0,-0.1,-0.448,22.38667,"May 19, 98",-0.00448
1998-05-20,22.41,22.69,22.28,22.69,54600.0,54600.0,-0.28,-1.249,22.55333,"May 20, 98",-0.01249
1998-05-21,22.75,22.75,22.53,22.72,121800.0,121800.0,0.03,0.132,22.66667,"May 21, 98",0.00132
1998-05-22,22.63,22.66,22.5,22.5,58600.0,58600.0,0.13,0.574,22.55333,"May 22, 98",0.00574
1998-05-26,22.5,22.53,22.28,22.31,80200.0,80200.0,0.19,0.844,22.37333,"May 26, 98",0.00844
1998-05-27,22.25,22.75,22.13,22.66,177200.0,177200.0,-0.41,-1.843,22.51333,"May 27, 98",-0.01843
1998-05-28,22.66,22.84,22.66,22.72,473600.0,473600.0,-0.06,-0.265,22.74,"May 28, 98",-0.00265
1998-05-29,22.72,22.78,22.66,22.69,197200.0,197200.0,0.03,0.132,22.71,"May 29, 98",0.00132
1998-06-01,22.69,22.72,22.53,22.59,81000.0,81000.0,0.1,0.441,22.61333,"June 01, 98",0.00441
1998-06-02,22.47,22.56,22.22,22.38,114000.0,114000.0,0.09,0.401,22.38667,"June 02, 98",0.00401
