date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,30.51,30.74,29.91,30.31,766200.0,766200.0,0.2,0.656,30.32,"January 02, 98",0.00656
1998-01-05,30.44,31.4,30.38,31.04,1622600.0,1622600.0,-0.6,-1.971,30.94,"January 05, 98",-0.01971
1998-01-06,30.91,30.91,30.41,30.57,2093200.0,2093200.0,0.34,1.1,30.63,"January 06, 98",0.011
1998-01-07,30.54,30.57,29.71,30.11,1870500.0,1870500.0,0.43,1.408,30.13,"January 07, 98",0.01408
1998-01-08,29.81,29.81,29.05,29.22,1470300.0,1470300.0,0.59,1.979,29.36,"January 08, 98",0.01979
1998-01-09,29.12,29.22,28.29,28.42,2739200.0,2739200.0,0.7,2.404,28.64333,"January 09, 98",0.02404
1998-01-12,27.36,28.39,27.16,28.29,2102400.0,2102400.0,-0.93,-3.399,27.94667,"January 12, 98",-0.03399
1998-01-13,28.88,29.65,28.65,29.12,1570500.0,1570500.0,-0.24,-0.831,29.14,"January 13, 98",-0.00831
1998-01-14,29.12,29.55,29.02,29.51,1405000.0,1405000.0,-0.39,-1.339,29.36,"January 14, 98",-0.01339
1998-01-15,29.68,29.68,28.88,29.08,1228600.0,1228600.0,0.6,2.022,29.21333,"January 15, 98",0.02022
1998-01-16,29.41,30.08,29.25,30.01,1445100.0,1445100.0,-0.6,-2.04,29.78,"January 16, 98",-0.0204
1998-01-20,30.61,30.71,30.04,30.47,1274300.0,1274300.0,0.14,0.457,30.40667,"January 20, 98",0.00457
1998-01-21,30.08,30.44,29.15,29.81,1250300.0,1250300.0,0.27,0.898,29.8,"January 21, 98",0.00898
1998-01-22,29.41,29.68,29.05,29.28,1235600.0,1235600.0,0.13,0.442,29.33667,"January 22, 98",0.00442
1998-01-23,29.38,29.55,28.35,28.55,1234300.0,1234300.0,0.83,2.825,28.81667,"January 23, 98",0.02825
1998-01-26,28.69,29.28,28.49,29.28,1627300.0,1627300.0,-0.59,-2.056,29.01667,"January 26, 98",-0.02056
1998-01-27,29.15,29.28,28.09,29.08,3833900.0,3833900.0,0.07,0.24,28.81667,"January 27, 98",0.0024
1998-01-28,29.08,29.38,28.85,29.12,1742400.0,1742400.0,-0.04,-0.138,29.11667,"January 28, 98",-0.00138
1998-01-29,29.12,29.91,29.05,29.45,1992600.0,1992600.0,-0.33,-1.133,29.47,"January 29, 98",-0.01133
1998-01-30,29.41,29.41,28.69,28.72,1107700.0,1107700.0,0.69,2.346,28.94,"January 30, 98",0.02346
1998-02-02,29.41,29.68,29.41,29.41,2123000.0,2123000.0,0.0,0.0,29.5,"February 02, 98",0.0
1998-02-03,29.15,29.94,29.15,29.94,1586200.0,1586200.0,-0.79,-2.71,29.67667,"February 03, 98",-0.0271
1998-02-04,29.61,29.88,29.41,29.61,1563200.0,1563200.0,0.0,0.0,29.63333,"February 04, 98",0.0
1998-02-05,29.75,29.91,29.41,29.68,997700.0,997700.0,0.07,0.235,29.66667,"February 05, 98",0.00235
1998-02-06,29.88,30.38,29.85,30.18,1540000.0,1540000.0,-0.3,-1.004,30.13667,"February 06, 98",-0.01004
1998-02-09,30.04,30.34,30.04,30.24,1087500.0,1087500.0,-0.2,-0.666,30.20667,"February 09, 98",-0.00666
1998-02-10,30.14,30.67,30.14,30.57,1227100.0,1227100.0,-0.43,-1.427,30.46,"February 10, 98",-0.01427
