date,open,high,low,close,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,16.33,16.39,15.93,16.36,293600000,293600000,0.03,0.18,16.36,2-Jan-98,-0.00183711
1998-01-05,16.36,16.76,16.27,16.45,189000000,189000000,0.09,0.55,16.45,5-Jan-98,-0.005501222
1998-01-06,16.33,16.33,15.99,16.24,100200000,100200000,-0.09,-1.28,16.24,6-Jan-98,0.005511329
1998-01-07,16.15,16.48,16.02,16.12,307800000,307800000,-0.03,-0.74,16.12,7-Jan-98,0.001857585
1998-01-08,16.15,16.24,15.75,16.06,345900000,345900000,-0.09,-0.37,16.06,8-Jan-98,0.005572755
1998-01-09,16.02,16.15,15.17,15.23,242300000,242300000,-0.79,-5.17,15.23,9-Jan-98,0.049313358
1998-01-12,14.31,14.8,14.25,14.37,341400000,341400000,0.06,-5.65,14.37,12-Jan-98,-0.004192872
1998-01-13,14.59,15.38,14.47,15.35,320800000,320800000,0.76,6.82,15.35,13-Jan-98,-0.052090473
1998-01-14,15.29,15.54,15.29,15.44,205300000,205300000,0.15,0.59,15.44,14-Jan-98,-0.009810334
1998-01-15,15.57,15.69,15.08,15.11,350700000,350700000,-0.46,-2.14,15.11,15-Jan-98,0.029543995
1998-01-16,15.29,15.63,15.14,15.29,223400000,223400000,0,1.19,15.29,16-Jan-98,0
1998-01-20,15.29,15.32,15.08,15.23,275700000,275700000,-0.06,-0.39,15.23,20-Jan-98,0.003924133
1998-01-21,15.05,15.2,14.56,14.74,303400000,303400000,-0.31,-3.22,14.74,21-Jan-98,0.020598007
1998-01-22,14.8,14.8,14.47,14.56,121600000,121600000,-0.24,-1.22,14.56,22-Jan-98,0.016216216
1998-01-23,14.68,14.68,14.31,14.37,315700000,315700000,-0.31,-1.3,14.37,23-Jan-98,0.021117166
1998-01-26,14.37,14.68,14.37,14.68,381900000,381900000,0.31,2.16,14.68,26-Jan-98,-0.021572721
1998-01-27,14.62,14.89,14.43,14.83,291800000,291800000,0.21,1.02,14.83,27-Jan-98,-0.014363885
1998-01-28,14.92,15.23,14.86,14.92,331500000,331500000,0,0.61,14.92,28-Jan-98,0
