date,1. open,2. high,3. low,4. close,5. volume
1998-01-02,44.44,44.44,43.88,44.19,4500.0
1998-01-05,44.44,45.63,44.44,45.44,11900.0
1998-01-06,44.5,45.19,44.5,44.88,13300.0
1998-01-07,44.63,44.75,43.38,43.38,31200.0
1998-01-08,43.25,43.81,43.13,43.38,15100.0
1998-01-09,43.63,43.69,42.13,42.13,16600.0
1998-01-12,40.44,41.88,40.44,41.25,65000.0
1998-01-13,41.81,41.81,41.63,41.81,5000.0
1998-01-14,42.19,42.31,41.44,41.81,8600.0
1998-01-15,41.38,41.38,40.69,40.75,9000.0
1998-01-16,41.06,41.06,40.0,41.06,16900.0
1998-01-20,41.31,41.5,40.5,41.5,8900.0
1998-01-21,41.31,41.5,41.25,41.31,1800.0
1998-01-22,41.06,41.13,39.63,39.75,12200.0
1998-01-23,46.88,47.75,44.0,46.31,152700.0
1998-01-26,46.31,48.75,46.31,48.38,74300.0
1998-01-27,48.25,48.44,47.94,48.0,82200.0
1998-01-28,47.75,48.25,47.31,47.44,38100.0
1998-01-29,47.13,47.13,46.0,46.38,17700.0
1998-01-30,46.13,46.38,45.56,46.13,37500.0
1998-02-02,46.38,48.06,46.38,47.69,22800.0
1998-02-03,47.31,48.5,47.19,48.5,15500.0
1998-02-04,47.94,48.44,47.38,47.38,11500.0
1998-02-05,47.75,48.13,47.69,47.88,11500.0
1998-02-06,48.44,48.44,48.19,48.19,14300.0
1998-02-09,48.38,48.88,48.31,48.88,33500.0
1998-02-10,48.63,49.25,48.63,49.13,23900.0
1998-02-11,49.06,50.13,48.81,50.0,31000.0
1998-02-12,49.88,51.75,49.88,51.63,41000.0
1998-02-13,51.75,52.0,51.38,51.88,87000.0
1998-02-17,52.0,52.94,51.94,51.94,24300.0
1998-02-18,51.63,51.81,51.38,51.75,11000.0
1998-02-19,51.88,51.88,51.25,51.38,9400.0
1998-02-20,51.63,52.31,51.13,51.94,36100.0
1998-02-23,52.63,52.69,52.25,52.69,16700.0
1998-02-24,52.75,53.63,52.75,53.63,31500.0
1998-02-25,53.63,54.5,53.44,53.56,44000.0
1998-02-26,53.69,54.63,53.38,54.56,27800.0
1998-02-27,54.31,54.31,53.75,53.75,11300.0
1998-03-02,53.5,53.75,53.25,53.44,10200.0
1998-03-03,53.19,53.5,53.06,53.5,20100.0
1998-03-04,53.25,53.5,52.63,53.0,27000.0
1998-03-05,52.5,53.63,52.38,53.25,26700.0
1998-03-06,53.88,54.0,53.56,53.69,6800.0
1998-03-09,53.63,54.56,53.63,54.56,12500.0
1998-03-10,54.81,55.44,54.75,55.25,17900.0
1998-03-11,55.25,56.13,55.25,55.75,9800.0
1998-03-12,55.81,55.94,55.56,55.94,16100.0
1998-03-13,56.19,56.5,55.31,55.31,23000.0
1998-03-16,55.63,56.0,55.63,56.0,4700.0
1998-03-17,56.13,56.5,56.0,56.5,13300.0
1998-03-18,56.5,56.88,56.5,56.75,41400.0
1998-03-19,57.0,57.0,56.44,56.75,5700.0
1998-03-20,56.25,56.81,56.13,56.31,9800.0
1998-03-23,56.06,56.06,55.38,55.5,38500.0
1998-03-24,55.25,55.44,55.0,55.44,37500.0
1998-03-25,56.0,56.13,55.25,55.5,10700.0
1998-03-26,55.0,55.5,55.0,55.31,5300.0
1998-03-27,55.13,55.13,54.63,54.63,6600.0
1998-03-30,54.38,54.5,54.0,54.0,22500.0
1998-03-31,54.0,54.31,53.88,53.88,29300.0
1998-04-01,54.0,54.0,53.63,53.63,9000.0
1998-04-02,53.38,53.5,52.56,52.75,15200.0
1998-04-03,53.25,53.31,53.0,53.19,19100.0
1998-04-06,54.0,54.5,54.0,54.5,54400.0
1998-04-07,54.69,55.81,54.69,55.81,39600.0
1998-04-08,55.81,56.06,55.19,56.0,65500.0
1998-04-09,56.25,57.19,56.19,56.88,15200.0
1998-04-13,57.5,58.5,57.25,58.25,37400.0
1998-04-14,58.5,60.19,58.31,60.06,54300.0
1998-04-15,60.19,60.69,58.75,59.56,36300.0
1998-04-16,58.13,59.38,58.13,59.19,32700.0
1998-04-17,59.0,59.0,57.88,58.13,41000.0
1998-04-20,58.0,58.0,57.38,57.5,17000.0
1998-04-21,56.88,57.5,56.56,57.06,35600.0
1998-04-22,57.0,57.0,56.69,56.88,5500.0
1998-04-23,56.5,56.5,55.75,55.88,12700.0
1998-04-24,55.5,55.5,54.13,54.63,22100.0
1998-04-27,53.0,53.69,53.0,53.38,17500.0
1998-04-28,53.62,54.0,53.38,53.38,12300.0
1998-04-29,53.63,53.75,53.25,53.75,11500.0
1998-04-30,54.63,55.0,54.13,54.63,12900.0
1998-05-01,54.88,55.0,54.31,54.69,13700.0
1998-05-04,54.63,54.63,54.06,54.25,8900.0
1998-05-05,53.63,53.88,53.56,53.88,14500.0
1998-05-06,53.75,53.75,53.25,53.38,28100.0
1998-05-07,53.13,53.13,52.75,53.0,15300.0
1998-05-08,53.63,54.5,53.63,54.38,92200.0
1998-05-11,54.63,55.13,54.63,54.75,9900.0
1998-05-12,54.56,55.0,54.25,54.88,21000.0
1998-05-13,54.88,54.88,53.88,54.13,20900.0
1998-05-14,53.88,54.13,53.63,53.63,7900.0
1998-05-15,53.5,53.5,53.25,53.25,4400.0
1998-05-18,53.31,53.31,52.5,52.56,4200.0
1998-05-19,53.25,54.19,53.25,54.0,18800.0
1998-05-20,54.0,54.06,53.88,53.94,6000.0
1998-05-21,54.13,54.63,54.0,54.56,15400.0
1998-05-22,54.63,54.75,54.63,54.69,6400.0
1998-05-26,56.06,56.69,55.25,55.25,49200.0
1998-05-27,55.0,55.0,54.13,55.0,41000.0
1998-05-28,55.0,55.88,54.94,55.88,13500.0
1998-05-29,56.5,57.0,56.38,56.38,24300.0
1998-06-01,56.0,56.5,55.81,56.0,24800.0
1998-06-02,56.13,56.81,56.13,56.5,18000.0
1998-06-03,56.81,57.25,56.81,57.13,14200.0
1998-06-04,57.06,57.88,57.0,57.88,43000.0
1998-06-05,57.5,57.5,57.13,57.38,16500.0
1998-06-08,57.13,57.19,57.0,57.13,8200.0
1998-06-09,57.13,57.13,56.69,56.69,7400.0
1998-06-10,56.75,56.75,55.5,55.5,17200.0
1998-06-11,55.25,55.31,54.13,54.5,7700.0
1998-06-12,54.63,55.5,54.13,55.44,43000.0
1998-06-15,54.81,54.81,54.5,54.5,14400.0
1998-06-16,54.75,55.25,54.75,55.0,12600.0
1998-06-17,55.31,56.06,55.31,55.63,10200.0
1998-06-18,55.06,55.13,54.31,54.38,7000.0
1998-06-19,54.13,54.44,53.75,53.81,10000.0
1998-06-22,53.63,53.88,53.44,53.63,8000.0
1998-06-23,53.88,53.88,53.0,53.25,10100.0
1998-06-24,53.5,53.63,52.75,53.56,14400.0
1998-06-25,53.81,55.25,53.81,55.25,8300.0
1998-06-26,55.25,55.44,54.88,55.06,22300.0
1998-06-29,55.5,56.25,55.5,56.13,7900.0
1998-06-30,56.0,56.06,55.63,55.63,6900.0
1998-07-01,55.81,56.0,55.13,56.0,11100.0
1998-07-02,56.0,56.19,55.56,55.75,17500.0
1998-07-06,55.81,55.88,55.63,55.88,7800.0
1998-07-07,56.0,56.25,55.81,56.0,30500.0
1998-07-08,56.25,56.44,55.88,56.44,17400.0
1998-07-09,56.06,56.31,55.5,55.88,21700.0
1998-07-10,55.88,55.94,55.31,55.94,18400.0
1998-07-13,55.69,55.94,55.63,55.94,16100.0
1998-07-14,56.38,56.81,56.38,56.81,10800.0
1998-07-15,56.75,56.75,56.5,56.5,2700.0
1998-07-16,56.19,56.75,56.06,56.63,16500.0
1998-07-17,56.38,56.88,56.31,56.5,16700.0
1998-07-20,56.25,56.31,55.94,56.25,12600.0
1998-07-21,56.25,56.25,55.25,55.38,16800.0
1998-07-22,55.0,55.31,54.5,54.5,10000.0
1998-07-23,54.25,54.38,53.13,53.25,27200.0
1998-07-24,53.38,53.75,52.88,53.0,12400.0
1998-07-27,52.5,52.69,51.88,52.56,18200.0
1998-07-28,52.31,52.81,51.75,51.81,27500.0
1998-07-29,52.0,52.25,50.63,50.94,15600.0
1998-07-30,51.0,51.0,50.19,50.38,20700.0
1998-07-31,50.38,50.38,48.69,48.69,19000.0
1998-08-03,49.0,49.0,48.44,48.88,17400.0
1998-08-04,48.63,48.63,46.75,47.25,39800.0
1998-08-05,47.25,48.06,46.44,47.25,102700.0
1998-08-06,46.63,47.13,46.5,46.5,12000.0
1998-08-07,45.5,46.5,45.38,45.63,18000.0
1998-08-10,45.31,45.5,43.63,43.75,20200.0
1998-08-11,41.25,42.31,41.25,41.75,40400.0
1998-08-12,41.25,44.56,41.25,44.5,45700.0
1998-08-13,44.56,45.13,43.13,43.38,49900.0
1998-08-14,44.0,44.38,42.56,42.63,19900.0
1998-08-17,42.13,43.94,42.13,43.81,24200.0
1998-08-18,44.13,45.81,44.13,45.81,27000.0
1998-08-19,46.13,46.38,45.75,45.75,35700.0
1998-08-20,45.63,45.81,44.25,44.25,19300.0
1998-08-21,42.5,42.5,40.81,41.25,59000.0
1998-08-24,41.38,41.56,39.38,39.63,33200.0
1998-08-25,40.75,40.88,39.5,39.69,19400.0
1998-08-26,38.63,39.25,38.5,38.81,39100.0
1998-08-27,37.63,37.63,34.0,35.94,92100.0
1998-08-28,36.13,36.81,35.06,36.13,83500.0
1998-08-31,36.63,36.75,34.69,35.13,43400.0
1998-09-01,35.75,36.31,33.63,35.56,32900.0
1998-09-02,35.81,37.69,35.63,36.5,40900.0
1998-09-03,36.38,37.31,35.75,36.5,45500.0
1998-09-04,36.94,36.94,36.0,36.31,32100.0
1998-09-08,38.75,39.13,37.44,39.0,108900.0
1998-09-09,38.13,38.5,37.63,38.0,34700.0
1998-09-10,37.75,38.56,37.19,38.56,39500.0
1998-09-11,38.81,40.19,38.31,39.88,43300.0
1998-09-14,41.5,41.5,40.75,40.81,25200.0
1998-09-15,41.0,42.06,41.0,41.44,47000.0
1998-09-16,41.69,42.0,40.31,40.31,24700.0
1998-09-17,37.38,38.5,37.38,37.5,60200.0
1998-09-18,37.5,38.0,36.94,38.0,18000.0
1998-09-21,36.5,38.75,36.5,38.56,21900.0
1998-09-22,39.0,39.13,38.63,39.13,10400.0
1998-09-23,39.5,40.81,39.44,40.81,14700.0
1998-09-24,40.81,40.81,39.5,39.5,17700.0
1998-09-25,38.25,38.88,37.88,38.0,26800.0
1998-09-28,38.25,38.44,37.81,38.25,16000.0
1998-09-29,38.5,38.5,37.38,38.25,15700.0
1998-09-30,37.0,37.0,35.75,36.0,18900.0
