date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,270.0,270.0,265.63,267.5,428800.0,428800.0,2.5,0.926,267.71,"January 02, 98",0.00926
1998-01-05,271.25,271.88,261.56,265.63,758800.0,758800.0,5.62,2.072,266.35667,"January 05, 98",0.02072
1998-01-06,262.5,269.38,262.19,266.88,787800.0,787800.0,-4.38,-1.669,266.15,"January 06, 98",-0.01669
1998-01-07,267.81,269.69,254.69,258.13,813200.0,813200.0,9.68,3.615,260.83667,"January 07, 98",0.03615
1998-01-08,252.81,255.94,250.0,251.25,700700.0,700700.0,1.56,0.617,252.39667,"January 08, 98",0.00617
1998-01-09,250.31,251.88,233.75,238.44,1406900.0,1406900.0,11.87,4.742,241.35667,"January 09, 98",0.04742
1998-01-12,226.25,242.19,225.63,236.25,1137500.0,1137500.0,-10.0,-4.42,234.69,"January 12, 98",-0.0442
1998-01-13,245.0,248.44,244.06,248.13,806900.0,806900.0,-3.13,-1.278,246.87667,"January 13, 98",-0.01278
1998-01-14,249.69,253.44,248.44,251.25,724800.0,724800.0,-1.56,-0.625,251.04333,"January 14, 98",-0.00625
1998-01-15,250.94,252.5,248.13,248.75,462200.0,462200.0,2.19,0.873,249.79333,"January 15, 98",0.00873
1998-01-16,250.94,255.31,250.94,253.44,603900.0,603900.0,-2.5,-0.996,253.23,"January 16, 98",-0.00996
1998-01-20,255.31,256.56,246.88,253.75,763900.0,763900.0,1.56,0.611,252.39667,"January 20, 98",0.00611
1998-01-21,253.75,253.75,247.81,250.0,572400.0,572400.0,3.75,1.478,250.52,"January 21, 98",0.01478
1998-01-22,246.25,247.5,240.31,241.56,1081700.0,1081700.0,4.69,1.905,243.12333,"January 22, 98",0.01905
1998-01-23,242.81,245.63,233.75,240.0,725000.0,725000.0,2.81,1.157,239.79333,"January 23, 98",0.01157
1998-01-26,239.38,243.75,234.38,235.31,539000.0,539000.0,4.07,1.7,237.81333,"January 26, 98",0.017
1998-01-27,235.31,249.06,235.31,246.88,693400.0,693400.0,-11.57,-4.917,243.75,"January 27, 98",-0.04917
1998-01-28,250.0,252.5,246.56,250.63,715100.0,715100.0,-0.63,-0.252,249.89667,"January 28, 98",-0.00252
1998-01-29,250.0,255.94,248.44,250.63,604100.0,604100.0,-0.63,-0.252,251.67,"January 29, 98",-0.00252
1998-01-30,250.63,253.44,247.5,247.81,399200.0,399200.0,2.82,1.125,249.58333,"January 30, 98",0.01125
1998-02-02,253.13,261.25,253.13,260.63,871300.0,871300.0,-7.5,-2.963,258.33667,"February 02, 98",-0.02963
1998-02-03,259.38,266.88,258.13,266.25,940500.0,940500.0,-6.87,-2.649,263.75333,"February 03, 98",-0.02649
1998-02-04,264.38,266.88,262.19,265.94,642000.0,642000.0,-1.56,-0.59,265.00333,"February 04, 98",-0.0059
1998-02-05,266.56,266.88,260.63,265.0,430600.0,430600.0,1.56,0.585,264.17,"February 05, 98",0.00585
1998-02-06,264.38,267.5,263.13,264.69,474300.0,474300.0,-0.31,-0.117,265.10667,"February 06, 98",-0.00117
1998-02-09,266.25,267.19,262.5,265.63,538100.0,538100.0,0.62,0.233,265.10667,"February 09, 98",0.00233
1998-02-10,266.88,274.69,265.0,271.88,643100.0,643100.0,-5.0,-1.874,270.52333,"February 10, 98",-0.01874
1998-02-11,272.19,274.69,270.63,270.63,325900.0,325900.0,1.56,0.573,271.98333,"February 11, 98",0.00573
1998-02-12,270.63,277.5,266.25,274.38,489600.0,489600.0,-3.75,-1.386,272.71,"February 12, 98",-0.01386
1998-02-13,272.5,275.31,271.56,273.13,364700.0,364700.0,-0.63,-0.231,273.33333,"February 13, 98",-0.00231
1998-02-17,277.19,279.69,275.31,276.25,435500.0,435500.0,0.94,0.339,277.08333,"February 17, 98",0.00339
1998-02-18,277.5,279.38,276.25,278.75,379500.0,379500.0,-1.25,-0.45,278.12667,"February 18, 98",-0.0045
1998-02-19,278.75,278.75,273.13,275.63,503600.0,503600.0,3.12,1.119,275.83667,"February 19, 98",0.01119
1998-02-20,278.44,281.25,275.94,280.31,574400.0,574400.0,-1.87,-0.672,279.16667,"February 20, 98",-0.00672
1998-02-23,280.31,280.94,277.5,278.13,528200.0,528200.0,2.18,0.778,278.85667,"February 23, 98",0.00778
1998-02-24,277.5,278.44,274.06,275.31,469800.0,469800.0,2.19,0.789,275.93667,"February 24, 98",0.00789
1998-02-25,278.75,281.56,277.81,280.0,432200.0,432200.0,-1.25,-0.448,279.79,"February 25, 98",-0.00448
1998-02-26,277.81,280.0,276.56,280.0,280000.0,280000.0,-2.19,-0.788,278.85333,"February 26, 98",-0.00788
1998-02-27,279.38,279.38,275.63,278.13,315900.0,315900.0,1.25,0.447,277.71333,"February 27, 98",0.00447
1998-03-02,275.31,279.06,272.19,274.38,351800.0,351800.0,0.93,0.338,275.21,"March 02, 98",0.00338
1998-03-03,271.56,279.06,271.25,278.13,426800.0,426800.0,-6.57,-2.419,276.14667,"March 03, 98",-0.02419
1998-03-04,278.44,281.88,273.13,275.63,398900.0,398900.0,2.81,1.009,276.88,"March 04, 98",0.01009
1998-03-05,272.5,278.13,270.31,278.13,417800.0,417800.0,-5.63,-2.066,275.52333,"March 05, 98",-0.02066
1998-03-06,277.81,281.88,274.38,278.75,587800.0,587800.0,-0.94,-0.338,278.33667,"March 06, 98",-0.00338
1998-03-09,277.81,284.38,276.56,277.5,486500.0,486500.0,0.31,0.112,279.48,"March 09, 98",0.00112
1998-03-10,287.5,290.0,282.5,288.75,653300.0,653300.0,-1.25,-0.435,287.08333,"March 10, 98",-0.00435
1998-03-11,292.81,296.56,291.56,295.0,907400.0,907400.0,-2.19,-0.748,294.37333,"March 11, 98",-0.00748
1998-03-12,295.0,303.75,294.06,300.0,455900.0,455900.0,-5.0,-1.695,299.27,"March 12, 98",-0.01695
1998-03-13,303.44,305.31,299.38,301.88,390900.0,390900.0,1.56,0.514,302.19,"March 13, 98",0.00514
1998-03-16,300.63,303.75,298.13,301.25,541400.0,541400.0,-0.62,-0.206,301.04333,"March 16, 98",-0.00206
1998-03-17,302.19,306.25,300.63,305.0,600600.0,600600.0,-2.81,-0.93,303.96,"March 17, 98",-0.0093
1998-03-18,300.0,305.0,300.0,303.13,399300.0,399300.0,-3.13,-1.043,302.71,"March 18, 98",-0.01043
1998-03-19,302.81,306.25,302.5,304.06,345800.0,345800.0,-1.25,-0.413,304.27,"March 19, 98",-0.00413
1998-03-20,305.63,313.75,303.75,310.0,766500.0,766500.0,-4.37,-1.43,309.16667,"March 20, 98",-0.0143
1998-03-23,307.19,307.5,302.5,302.81,526800.0,526800.0,4.38,1.426,304.27,"March 23, 98",0.01426
1998-03-24,308.44,310.31,305.63,310.0,391600.0,391600.0,-1.56,-0.506,308.64667,"March 24, 98",-0.00506
1998-03-25,315.0,316.56,310.63,312.5,775400.0,775400.0,2.5,0.794,313.23,"March 25, 98",0.00794
1998-03-26,313.13,315.63,311.56,315.63,547400.0,547400.0,-2.5,-0.798,314.27333,"March 26, 98",-0.00798
1998-03-27,315.31,316.88,307.81,310.0,520200.0,520200.0,5.31,1.684,311.56333,"March 27, 98",0.01684
1998-03-30,308.75,309.69,297.5,302.5,577800.0,577800.0,6.25,2.024,303.23,"March 30, 98",0.02024
1998-03-31,303.75,305.63,297.5,300.0,690100.0,690100.0,3.75,1.235,301.04333,"March 31, 98",0.01235
1998-04-01,302.19,302.19,295.94,298.13,913500.0,913500.0,4.06,1.344,298.75333,"April 01, 98",0.01344
1998-04-02,300.63,306.88,299.38,306.25,618900.0,618900.0,-5.62,-1.869,304.17,"April 02, 98",-0.01869
1998-04-03,309.38,310.94,306.25,308.44,558000.0,558000.0,0.94,0.304,308.54333,"April 03, 98",0.00304
1998-04-06,336.25,367.5,336.25,365.0,3992700.0,3992700.0,-28.75,-8.55,356.25,"April 06, 98",-0.0855
1998-04-07,351.25,355.0,333.75,341.88,2000900.0,2000900.0,9.37,2.668,343.54333,"April 07, 98",0.02668
1998-04-08,342.5,342.81,333.75,336.25,1477100.0,1477100.0,6.25,1.825,337.60333,"April 08, 98",0.01825
1998-04-09,335.63,338.75,334.38,336.56,955400.0,955400.0,-0.93,-0.277,336.56333,"April 09, 98",-0.00277
1998-04-13,337.5,337.5,321.88,332.5,1137200.0,1137200.0,5.0,1.481,330.62667,"April 13, 98",0.01481
1998-04-14,332.81,334.69,329.06,334.38,781800.0,781800.0,-1.57,-0.472,332.71,"April 14, 98",-0.00472
1998-04-15,335.0,335.0,323.13,323.75,735000.0,735000.0,11.25,3.358,327.29333,"April 15, 98",0.03358
1998-04-16,323.44,323.44,316.56,316.56,595900.0,595900.0,6.88,2.127,318.85333,"April 16, 98",0.02127
1998-04-17,320.0,325.63,318.75,323.75,703900.0,703900.0,-3.75,-1.172,322.71,"April 17, 98",-0.01172
1998-04-20,329.38,330.0,318.44,321.88,835000.0,835000.0,7.5,2.277,323.44,"April 20, 98",0.02277
1998-04-21,324.38,326.25,322.5,325.0,896500.0,896500.0,-0.62,-0.191,324.58333,"April 21, 98",-0.00191
1998-04-22,326.25,328.44,323.44,326.25,531700.0,531700.0,0.0,0.0,326.04333,"April 22, 98",0.0
1998-04-23,320.63,322.81,318.44,318.75,418900.0,418900.0,1.88,0.586,320.0,"April 23, 98",0.00586
1998-04-24,319.38,322.5,312.19,314.38,603600.0,603600.0,5.0,1.566,316.35667,"April 24, 98",0.01566
1998-04-27,305.31,310.0,298.44,306.25,916400.0,916400.0,-0.94,-0.308,304.89667,"April 27, 98",-0.00308
1998-04-28,310.0,315.0,300.63,303.75,683200.0,683200.0,6.25,2.016,306.46,"April 28, 98",0.02016
1998-04-29,305.63,306.88,300.63,303.44,771000.0,771000.0,2.19,0.717,303.65,"April 29, 98",0.00717
1998-04-30,308.13,312.5,305.0,305.94,900100.0,900100.0,2.19,0.711,307.81333,"April 30, 98",0.00711
1998-05-01,310.0,312.5,308.75,310.94,558400.0,558400.0,-0.94,-0.303,310.73,"May 01, 98",-0.00303
1998-05-04,312.19,315.0,309.38,309.38,427600.0,427600.0,2.81,0.9,311.25333,"May 04, 98",0.009
1998-05-05,313.13,313.13,304.06,305.63,534400.0,534400.0,7.5,2.395,307.60667,"May 05, 98",0.02395
1998-05-06,306.25,307.81,299.38,299.38,535400.0,535400.0,6.87,2.243,302.19,"May 06, 98",0.02243
1998-05-07,300.31,303.13,297.81,301.25,613100.0,613100.0,-0.94,-0.313,300.73,"May 07, 98",-0.00313
1998-05-08,300.94,305.94,296.88,298.13,856400.0,856400.0,2.81,0.934,300.31667,"May 08, 98",0.00934
1998-05-11,299.69,305.0,299.69,303.44,625300.0,625300.0,-3.75,-1.251,302.71,"May 11, 98",-0.01251
1998-05-12,304.06,310.0,302.5,309.69,908000.0,908000.0,-5.63,-1.852,307.39667,"May 12, 98",-0.01852
