date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,25.68,26.17,25.1,25.83,1078200.0,1078200.0,-0.15,-0.584,25.7,"January 02, 98",-0.00584
1998-01-05,24.12,24.12,23.35,23.98,6570000.0,6570000.0,0.14,0.58,23.81667,"January 05, 98",0.0058
1998-01-06,23.98,24.42,23.74,24.12,4834900.0,4834900.0,-0.14,-0.584,24.09333,"January 06, 98",-0.00584
1998-01-07,24.12,24.17,23.74,24.12,4689800.0,4689800.0,0.0,0.0,24.01,"January 07, 98",0.0
1998-01-08,24.12,24.32,23.98,24.17,2736000.0,2736000.0,-0.05,-0.207,24.15667,"January 08, 98",-0.00207
1998-01-09,24.17,24.27,23.74,23.98,1299200.0,1299200.0,0.19,0.786,23.99667,"January 09, 98",0.00786
1998-01-12,23.54,24.95,23.44,24.95,2333000.0,2333000.0,-1.41,-5.99,24.44667,"January 12, 98",-0.0599
1998-01-13,24.9,25.1,24.37,25.05,3132100.0,3132100.0,-0.15,-0.602,24.84,"January 13, 98",-0.00602
1998-01-14,25.19,25.24,24.61,25.0,1324100.0,1324100.0,0.19,0.754,24.95,"January 14, 98",0.00754
1998-01-15,25.1,25.39,24.95,25.19,1301500.0,1301500.0,-0.09,-0.359,25.17667,"January 15, 98",-0.00359
1998-01-16,25.63,25.63,24.9,25.19,1365000.0,1365000.0,0.44,1.717,25.24,"January 16, 98",0.01717
1998-01-20,25.49,25.68,25.29,25.58,1290600.0,1290600.0,-0.09,-0.353,25.51667,"January 20, 98",-0.00353
1998-01-21,24.9,25.29,24.71,25.29,1769300.0,1769300.0,-0.39,-1.566,25.09667,"January 21, 98",-0.01566
1998-01-22,24.85,25.05,24.42,24.61,2193100.0,2193100.0,0.24,0.966,24.69333,"January 22, 98",0.00966
1998-01-23,24.56,24.71,24.42,24.51,1432900.0,1432900.0,0.05,0.204,24.54667,"January 23, 98",0.00204
