date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-08-18,12.88,13.13,12.88,13.0,5783000.0,5783000.0,-0.12,-0.932,13.00333,"August 18, 98",-0.00932
1998-08-19,13.0,13.25,13.0,13.0,388700.0,388700.0,0.0,0.0,13.08333,"August 19, 98",0.0
1998-08-20,13.13,13.25,13.0,13.0,348500.0,348500.0,0.13,0.99,13.08333,"August 20, 98",0.0099
1998-08-21,13.0,13.0,13.0,13.0,804000.0,804000.0,0.0,0.0,13.0,"August 21, 98",0.0
1998-08-24,13.0,13.0,13.0,13.0,119700.0,119700.0,0.0,0.0,13.0,"August 24, 98",0.0
1998-08-25,13.0,13.0,12.88,13.0,294100.0,294100.0,0.0,0.0,12.96,"August 25, 98",0.0
1998-08-26,13.0,13.0,12.13,12.25,383800.0,383800.0,0.75,5.769,12.46,"August 26, 98",0.05769
1998-08-27,12.25,12.38,10.75,11.13,435300.0,435300.0,1.12,9.143,11.42,"August 27, 98",0.09143
1998-08-28,11.38,11.38,10.0,10.0,192400.0,192400.0,1.38,12.127,10.46,"August 28, 98",0.12127
1998-08-31,10.0,10.13,7.63,8.13,150800.0,150800.0,1.87,18.7,8.63,"August 31, 98",0.187
1998-09-01,8.25,9.0,6.69,8.5,440700.0,440700.0,-0.25,-3.03,8.06333,"September 01, 98",-0.0303
1998-09-02,8.5,10.5,8.5,9.56,509200.0,509200.0,-1.06,-12.471,9.52,"September 02, 98",-0.12471
1998-09-03,9.75,9.75,8.5,8.75,165900.0,165900.0,1.0,10.256,9.0,"September 03, 98",0.10256
1998-09-04,9.0,9.0,8.13,8.38,155700.0,155700.0,0.62,6.889,8.50333,"September 04, 98",0.06889
1998-09-08,9.0,10.0,8.75,9.88,149300.0,149300.0,-0.88,-9.778,9.54333,"September 08, 98",-0.09778
1998-09-09,9.88,10.0,9.5,9.5,116900.0,116900.0,0.38,3.846,9.66667,"September 09, 98",0.03846
1998-09-10,9.38,9.38,9.0,9.25,80700.0,80700.0,0.13,1.386,9.21,"September 10, 98",0.01386
1998-09-11,9.31,9.38,9.0,9.0,84800.0,84800.0,0.31,3.33,9.12667,"September 11, 98",0.0333
1998-09-14,9.25,9.63,9.0,9.0,90800.0,90800.0,0.25,2.703,9.21,"September 14, 98",0.02703
1998-09-15,9.13,9.25,8.63,8.75,200400.0,200400.0,0.38,4.162,8.87667,"September 15, 98",0.04162
1998-09-16,8.75,8.75,7.75,7.88,221300.0,221300.0,0.87,9.943,8.12667,"September 16, 98",0.09943
1998-09-17,7.88,8.63,7.88,8.28,87300.0,87300.0,-0.4,-5.076,8.26333,"September 17, 98",-0.05076
