date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2010-01-05,35.0,35.0,35.0,35.0,10000.0,10000.0,0.0,0.0,35.0,"January 05, 10",0.0
2010-01-06,35.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,"January 06, 10",0.0
2010-01-07,35.25,35.5,35.0,35.0,9800.0,9800.0,0.25,0.709,35.16667,"January 07, 10",0.00709
2010-01-08,34.55,34.55,33.5,33.5,32200.0,32200.0,1.05,3.039,33.85,"January 08, 10",0.03039
2010-01-11,33.5,33.5,33.5,33.5,3700.0,3700.0,0.0,0.0,33.5,"January 11, 10",0.0
2010-01-12,33.5,33.55,33.5,33.5,5100.0,5100.0,0.0,0.0,33.51667,"January 12, 10",0.0
2010-01-13,33.01,33.01,32.5,32.75,226300.0,226300.0,0.26,0.788,32.75333,"January 13, 10",0.00788
2010-01-14,32.75,32.75,32.75,32.75,150500.0,150500.0,0.0,0.0,32.75,"January 14, 10",0.0
2010-01-15,32.5,32.5,32.25,32.25,45500.0,45500.0,0.25,0.769,32.33333,"January 15, 10",0.00769
2010-01-19,32.25,32.25,31.75,32.0,19400.0,19400.0,0.25,0.775,32.0,"January 19, 10",0.00775
2010-01-20,31.5,31.75,31.5,31.75,600.0,600.0,-0.25,-0.794,31.66667,"January 20, 10",-0.00794
2010-01-21,31.5,31.6,31.5,31.6,600.0,600.0,-0.1,-0.317,31.56667,"January 21, 10",-0.00317
2010-01-22,31.5,31.5,31.5,31.5,200.0,200.0,0.0,0.0,31.5,"January 22, 10",0.0
2010-01-25,31.1,31.25,31.0,31.25,1300.0,1300.0,-0.15,-0.482,31.16667,"January 25, 10",-0.00482
2010-01-26,31.0,31.0,30.75,30.75,300.0,300.0,0.25,0.806,30.83333,"January 26, 10",0.00806
2010-01-27,30.55,31.0,30.55,30.75,77000.0,77000.0,-0.2,-0.655,30.76667,"January 27, 10",-0.00655
2010-01-28,31.0,31.0,30.75,30.75,10400.0,10400.0,0.25,0.806,30.83333,"January 28, 10",0.00806
2010-01-29,30.85,30.85,30.5,30.63,30700.0,30700.0,0.22,0.713,30.66,"January 29, 10",0.00713
2010-02-01,30.25,30.5,30.25,30.5,3500.0,3500.0,-0.25,-0.826,30.41667,"February 01, 10",-0.00826
2010-02-02,30.5,30.5,30.5,30.5,600.0,600.0,0.0,0.0,30.5,"February 02, 10",0.0
2010-02-03,30.1,30.1,29.75,29.75,5200.0,5200.0,0.35,1.163,29.86667,"February 03, 10",0.01163
2010-02-04,30.0,30.25,30.0,30.25,29400.0,29400.0,-0.25,-0.833,30.16667,"February 04, 10",-0.00833
2010-02-05,30.48,30.5,30.0,30.5,1800.0,1800.0,-0.02,-0.066,30.33333,"February 05, 10",-0.00066
2010-02-08,30.0,30.0,29.75,29.85,47400.0,47400.0,0.15,0.5,29.86667,"February 08, 10",0.005
2010-02-09,29.1,29.8,29.1,29.8,29700.0,29700.0,-0.7,-2.405,29.56667,"February 09, 10",-0.02405
2010-02-10,29.4,29.85,29.4,29.75,107600.0,107600.0,-0.35,-1.19,29.66667,"February 10, 10",-0.0119
2010-02-11,29.74,29.74,29.5,29.74,10000.0,10000.0,0.0,0.0,29.66,"February 11, 10",0.0
2010-02-12,29.74,29.74,29.74,29.74,100.0,100.0,0.0,0.0,29.74,"February 12, 10",0.0
2010-02-16,29.74,29.74,29.74,29.74,0.0,0.0,0.0,0.0,0.0,"February 16, 10",0.0
2010-02-17,29.74,29.74,29.74,29.74,0.0,0.0,0.0,0.0,0.0,"February 17, 10",0.0
2010-02-18,29.1,29.7,29.1,29.7,1700.0,1700.0,-0.6,-2.062,29.5,"February 18, 10",-0.02062
2010-02-19,29.7,29.7,29.7,29.7,0.0,0.0,0.0,0.0,0.0,"February 19, 10",0.0
2010-02-22,29.1,29.72,29.1,29.7,19700.0,19700.0,-0.6,-2.062,29.50667,"February 22, 10",-0.02062
2010-02-23,29.7,29.7,29.7,29.7,0.0,0.0,0.0,0.0,0.0,"February 23, 10",0.0
2010-02-24,29.7,29.7,29.7,29.7,0.0,0.0,0.0,0.0,0.0,"February 24, 10",0.0
2010-02-25,29.5,29.7,29.5,29.5,2800.0,2800.0,0.0,0.0,29.56667,"February 25, 10",0.0
2010-02-26,29.25,29.75,29.25,29.75,2700.0,2700.0,-0.5,-1.709,29.58333,"February 26, 10",-0.01709
2010-03-01,29.75,30.1,29.75,30.1,24800.0,24800.0,-0.35,-1.176,29.98333,"March 01, 10",-0.01176
2010-03-02,30.1,30.4,30.0,30.4,29100.0,29100.0,-0.3,-0.997,30.26667,"March 02, 10",-0.00997
2010-03-03,30.5,30.75,30.5,30.75,131800.0,131800.0,-0.25,-0.82,30.66667,"March 03, 10",-0.0082
2010-03-04,31.0,31.5,30.75,31.02,17000.0,17000.0,-0.02,-0.065,31.09,"March 04, 10",-0.00065
2010-03-05,31.25,31.75,31.25,31.75,48900.0,48900.0,-0.5,-1.6,31.58333,"March 05, 10",-0.016
2010-03-08,31.5,31.75,31.5,31.75,49100.0,49100.0,-0.25,-0.794,31.66667,"March 08, 10",-0.00794
2010-03-09,32.0,32.75,31.98,32.75,134900.0,134900.0,-0.75,-2.344,32.49333,"March 09, 10",-0.02344
2010-03-10,32.95,33.0,32.0,33.0,111000.0,111000.0,-0.05,-0.152,32.66667,"March 10, 10",-0.00152
2010-03-11,33.0,33.0,32.5,32.5,33100.0,33100.0,0.5,1.515,32.66667,"March 11, 10",0.01515
2010-03-12,33.0,33.0,32.5,32.5,207600.0,207600.0,0.5,1.515,32.66667,"March 12, 10",0.01515
2010-03-15,33.0,33.5,32.5,33.0,247100.0,247100.0,0.0,0.0,33.0,"March 15, 10",0.0
2010-03-16,32.25,33.0,32.25,32.75,16500.0,16500.0,-0.5,-1.55,32.66667,"March 16, 10",-0.0155
2010-03-17,33.0,34.0,33.0,34.0,115000.0,115000.0,-1.0,-3.03,33.66667,"March 17, 10",-0.0303
2010-03-18,34.0,34.75,34.0,34.75,15400.0,15400.0,-0.75,-2.206,34.5,"March 18, 10",-0.02206
2010-03-19,34.75,34.75,34.5,34.75,1300.0,1300.0,0.0,0.0,34.66667,"March 19, 10",0.0
2010-03-22,34.75,34.75,34.25,34.43,6000.0,6000.0,0.32,0.921,34.47667,"March 22, 10",0.00921
2010-03-23,34.25,35.25,34.25,35.0,53700.0,53700.0,-0.75,-2.19,34.83333,"March 23, 10",-0.0219
2010-03-24,35.0,35.0,35.0,35.0,1400.0,1400.0,0.0,0.0,35.0,"March 24, 10",0.0
2010-03-25,34.75,35.0,34.5,34.5,91000.0,91000.0,0.25,0.719,34.66667,"March 25, 10",0.00719
2010-03-26,35.0,35.0,34.75,34.75,57800.0,57800.0,0.25,0.714,34.83333,"March 26, 10",0.00714
2010-03-29,34.5,35.0,34.4,34.5,205600.0,205600.0,0.0,0.0,34.63333,"March 29, 10",0.0
2010-03-30,34.5,34.52,34.45,34.45,44000.0,44000.0,0.05,0.145,34.47333,"March 30, 10",0.00145
2010-03-31,34.5,34.5,34.25,34.5,91700.0,91700.0,0.0,0.0,34.41667,"March 31, 10",0.0
2010-04-01,34.5,35.0,34.35,35.0,59600.0,59600.0,-0.5,-1.449,34.78333,"April 01, 10",-0.01449
2010-04-05,34.5,35.0,34.5,35.0,45500.0,45500.0,-0.5,-1.449,34.83333,"April 05, 10",-0.01449
2010-04-06,35.0,35.0,34.55,34.55,1300.0,1300.0,0.45,1.286,34.7,"April 06, 10",0.01286
2010-04-07,34.55,35.0,34.55,34.55,51800.0,51800.0,0.0,0.0,34.7,"April 07, 10",0.0
2010-04-08,34.55,34.55,34.55,34.55,0.0,0.0,0.0,0.0,0.0,"April 08, 10",0.0
2010-04-09,34.55,34.7,34.55,34.7,50500.0,50500.0,-0.15,-0.434,34.65,"April 09, 10",-0.00434
2010-04-12,34.75,35.25,34.75,35.0,190400.0,190400.0,-0.25,-0.719,35.0,"April 12, 10",-0.00719
2010-04-13,35.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,"April 13, 10",0.0
2010-04-14,35.25,35.75,35.25,35.25,35000.0,35000.0,0.0,0.0,35.41667,"April 14, 10",0.0
2010-04-15,35.45,36.0,35.3,36.0,11700.0,11700.0,-0.55,-1.551,35.76667,"April 15, 10",-0.01551
2010-04-16,36.1,36.1,36.1,36.1,900.0,900.0,0.0,0.0,36.1,"April 16, 10",0.0
2010-04-19,36.0,36.05,36.0,36.01,36600.0,36600.0,-0.01,-0.028,36.02,"April 19, 10",-0.00028
2010-04-20,36.01,36.01,36.01,36.01,0.0,0.0,0.0,0.0,0.0,"April 20, 10",0.0
2010-04-21,35.51,35.51,35.51,35.51,100.0,100.0,0.0,0.0,35.51,"April 21, 10",0.0
2010-04-22,36.0,36.0,35.95,36.0,16400.0,16400.0,0.0,0.0,35.98333,"April 22, 10",0.0
2010-04-23,36.25,36.25,36.25,36.25,2700.0,2700.0,0.0,0.0,36.25,"April 23, 10",0.0
2010-04-26,36.27,36.5,36.27,36.5,3700.0,3700.0,-0.23,-0.634,36.42333,"April 26, 10",-0.00634
2010-04-27,36.5,36.5,36.5,36.5,1700.0,1700.0,0.0,0.0,36.5,"April 27, 10",0.0
2010-04-28,36.5,36.5,36.33,36.5,16800.0,16800.0,0.0,0.0,36.44333,"April 28, 10",0.0
2010-04-29,36.5,37.25,36.5,37.25,50400.0,50400.0,-0.75,-2.055,37.0,"April 29, 10",-0.02055
2010-04-30,37.5,38.0,37.25,37.9,130400.0,130400.0,-0.4,-1.067,37.71667,"April 30, 10",-0.01067
2010-05-03,38.5,39.5,38.5,39.5,26600.0,26600.0,-1.0,-2.597,39.16667,"May 03, 10",-0.02597
2010-05-04,39.5,39.99,39.0,39.75,9700.0,9700.0,-0.25,-0.633,39.58,"May 04, 10",-0.00633
2010-05-05,39.5,39.75,39.0,39.5,83100.0,83100.0,0.0,0.0,39.41667,"May 05, 10",0.0
2010-05-06,39.0,39.0,37.0,38.35,43500.0,43500.0,0.65,1.667,38.11667,"May 06, 10",0.01667
2010-05-07,37.8,38.0,37.5,37.85,4000.0,4000.0,-0.05,-0.132,37.78333,"May 07, 10",-0.00132
2010-05-10,37.5,38.25,37.5,37.75,41000.0,41000.0,-0.25,-0.667,37.83333,"May 10, 10",-0.00667
2010-05-11,37.75,38.0,37.75,38.0,2200.0,2200.0,-0.25,-0.662,37.91667,"May 11, 10",-0.00662
2010-05-12,38.0,38.0,38.0,38.0,3200.0,3200.0,0.0,0.0,38.0,"May 12, 10",0.0
2010-05-13,38.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,"May 13, 10",0.0
2010-05-14,37.65,37.65,37.5,37.6,900.0,900.0,0.05,0.133,37.58333,"May 14, 10",0.00133
2010-05-17,37.6,38.0,37.6,38.0,4400.0,4400.0,-0.4,-1.064,37.86667,"May 17, 10",-0.01064
2010-05-18,37.0,37.25,37.0,37.25,6000.0,6000.0,-0.25,-0.676,37.16667,"May 18, 10",-0.00676
2010-05-19,37.0,38.2,37.0,38.2,5800.0,5800.0,-1.2,-3.243,37.8,"May 19, 10",-0.03243
2010-05-20,38.0,38.0,37.0,37.0,126600.0,126600.0,1.0,2.632,37.33333,"May 20, 10",0.02632
2010-05-21,36.8,36.8,36.5,36.75,1900.0,1900.0,0.05,0.136,36.68333,"May 21, 10",0.00136
2010-05-24,36.5,36.5,36.25,36.3,72100.0,72100.0,0.2,0.548,36.35,"May 24, 10",0.00548
2010-05-25,36.0,36.5,35.25,36.0,5300.0,5300.0,0.0,0.0,35.91667,"May 25, 10",0.0
2010-05-26,36.0,36.0,36.0,36.0,5000.0,5000.0,0.0,0.0,36.0,"May 26, 10",0.0
2010-05-27,36.13,36.15,36.0,36.0,145500.0,145500.0,0.13,0.36,36.05,"May 27, 10",0.0036
2010-05-28,36.0,36.0,36.0,36.0,400.0,400.0,0.0,0.0,36.0,"May 28, 10",0.0
2010-06-01,36.0,36.0,35.88,35.88,43800.0,43800.0,0.12,0.333,35.92,"June 01, 10",0.00333
2010-06-02,35.25,35.3,35.0,35.0,8300.0,8300.0,0.25,0.709,35.1,"June 02, 10",0.00709
2010-06-03,35.0,35.0,35.0,35.0,2200.0,2200.0,0.0,0.0,35.0,"June 03, 10",0.0
2010-06-04,35.0,35.0,34.75,35.0,2700.0,2700.0,0.0,0.0,34.91667,"June 04, 10",0.0
2010-06-07,34.75,35.0,33.75,33.75,211300.0,211300.0,1.0,2.878,34.16667,"June 07, 10",0.02878
2010-06-08,34.0,34.5,33.8,34.5,159700.0,159700.0,-0.5,-1.471,34.26667,"June 08, 10",-0.01471
2010-06-09,34.0,34.75,34.0,34.52,405800.0,405800.0,-0.52,-1.529,34.42333,"June 09, 10",-0.01529
2010-06-10,34.52,34.52,34.52,34.52,0.0,0.0,0.0,0.0,0.0,"June 10, 10",0.0
2010-06-11,34.25,34.55,34.25,34.5,20200.0,20200.0,-0.25,-0.73,34.43333,"June 11, 10",-0.0073
2010-06-14,34.75,34.75,34.1,34.1,15200.0,15200.0,0.65,1.871,34.31667,"June 14, 10",0.01871
2010-06-15,34.1,34.55,34.0,34.5,23200.0,23200.0,-0.4,-1.173,34.35,"June 15, 10",-0.01173
2010-06-16,34.5,34.7,34.5,34.7,1100.0,1100.0,-0.2,-0.58,34.63333,"June 16, 10",-0.0058
2010-06-17,34.25,34.95,34.25,34.75,24300.0,24300.0,-0.5,-1.46,34.65,"June 17, 10",-0.0146
2010-06-18,34.75,35.25,34.75,35.25,128800.0,128800.0,-0.5,-1.439,35.08333,"June 18, 10",-0.01439
2010-06-21,35.25,35.25,35.25,35.25,400.0,400.0,0.0,0.0,35.25,"June 21, 10",0.0
2010-06-22,35.3,35.5,35.3,35.5,1900.0,1900.0,-0.2,-0.567,35.43333,"June 22, 10",-0.00567
2010-06-23,35.65,35.65,35.65,35.65,1300.0,1300.0,0.0,0.0,35.65,"June 23, 10",0.0
2010-06-24,35.6,35.6,35.6,35.6,200.0,200.0,0.0,0.0,35.6,"June 24, 10",0.0
2010-06-25,35.6,35.6,35.6,35.6,0.0,0.0,0.0,0.0,0.0,"June 25, 10",0.0
2010-06-28,35.25,35.35,35.0,35.35,12300.0,12300.0,-0.1,-0.284,35.23333,"June 28, 10",-0.00284
2010-06-29,35.3,35.5,35.15,35.5,2700.0,2700.0,-0.2,-0.567,35.38333,"June 29, 10",-0.00567
