date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,19.22,19.24,19.12,19.15,853200.0,853200.0,0.07,0.364,19.17,"January 02, 98",0.00364
1998-01-05,19.19,19.4,19.0,19.13,1744200.0,1744200.0,0.06,0.313,19.17667,"January 05, 98",0.00313
1998-01-06,19.13,19.19,18.99,19.12,1328400.0,1328400.0,0.01,0.052,19.1,"January 06, 98",0.00052
1998-01-07,19.06,19.1,18.86,18.86,1728900.0,1728900.0,0.2,1.049,18.94,"January 07, 98",0.01049
1998-01-08,18.81,19.03,18.78,18.94,1845000.0,1845000.0,-0.13,-0.691,18.91667,"January 08, 98",-0.00691
1998-01-09,18.97,19.56,18.89,18.9,3448800.0,3448800.0,0.07,0.369,19.11667,"January 09, 98",0.00369
1998-01-12,18.85,19.12,18.83,19.06,2175300.0,2175300.0,-0.21,-1.114,19.00333,"January 12, 98",-0.01114
1998-01-13,19.06,19.28,19.06,19.13,1489500.0,1489500.0,-0.07,-0.367,19.15667,"January 13, 98",-0.00367
1998-01-14,19.22,19.22,18.97,19.17,1300500.0,1300500.0,0.05,0.26,19.12,"January 14, 98",0.0026
1998-01-15,19.17,19.17,18.92,18.95,1111500.0,1111500.0,0.22,1.148,19.01333,"January 15, 98",0.01148
1998-01-16,19.28,19.28,18.94,18.96,2102400.0,2102400.0,0.32,1.66,19.06,"January 16, 98",0.0166
1998-01-20,19.22,19.56,19.11,19.55,1679400.0,1679400.0,-0.33,-1.717,19.40667,"January 20, 98",-0.01717
1998-01-21,19.53,19.61,19.37,19.47,815400.0,815400.0,0.06,0.307,19.48333,"January 21, 98",0.00307
1998-01-22,19.44,19.67,19.38,19.63,1218600.0,1218600.0,-0.19,-0.977,19.56,"January 22, 98",-0.00977
1998-01-23,19.56,19.56,19.35,19.39,1094400.0,1094400.0,0.17,0.869,19.43333,"January 23, 98",0.00869
1998-01-26,19.36,19.6,19.36,19.47,1076400.0,1076400.0,-0.11,-0.568,19.47667,"January 26, 98",-0.00568
1998-01-27,19.47,19.69,19.39,19.4,1801800.0,1801800.0,0.07,0.36,19.49333,"January 27, 98",0.0036
1998-01-28,19.42,19.5,19.36,19.44,2860200.0,2860200.0,-0.02,-0.103,19.43333,"January 28, 98",-0.00103
1998-01-29,19.44,19.57,19.25,19.25,2285100.0,2285100.0,0.19,0.977,19.35667,"January 29, 98",0.00977
1998-01-30,19.26,19.26,18.68,18.84,2430900.0,2430900.0,0.42,2.181,18.92667,"January 30, 98",0.02181
1998-02-02,18.94,19.0,18.67,18.89,4855500.0,4855500.0,0.05,0.264,18.85333,"February 02, 98",0.00264
1998-02-03,18.92,19.31,18.82,19.26,2469600.0,2469600.0,-0.34,-1.797,19.13,"February 03, 98",-0.01797
1998-02-04,19.28,19.44,19.15,19.4,2485800.0,2485800.0,-0.12,-0.622,19.33,"February 04, 98",-0.00622
1998-02-05,19.58,19.81,19.56,19.75,1898100.0,1898100.0,-0.17,-0.868,19.70667,"February 05, 98",-0.00868
1998-02-06,19.81,19.97,19.78,19.94,1113300.0,1113300.0,-0.13,-0.656,19.89667,"February 06, 98",-0.00656
1998-02-09,19.97,20.11,19.85,20.01,1836900.0,1836900.0,-0.04,-0.2,19.99,"February 09, 98",-0.002
1998-02-10,20.28,20.28,19.89,20.01,1215900.0,1215900.0,0.27,1.331,20.06,"February 10, 98",0.01331
1998-02-11,20.04,20.22,19.86,19.94,2736000.0,2736000.0,0.1,0.499,20.00667,"February 11, 98",0.00499
1998-02-12,19.92,19.98,19.81,19.92,1800000.0,1800000.0,0.0,0.0,19.90333,"February 12, 98",0.0
1998-02-13,19.92,20.03,19.88,19.92,1056600.0,1056600.0,0.0,0.0,19.94333,"February 13, 98",0.0
1998-02-17,20.01,20.01,19.73,19.81,1924200.0,1924200.0,0.2,1.0,19.85,"February 17, 98",0.01
1998-02-18,19.81,19.83,19.69,19.77,1493100.0,1493100.0,0.04,0.202,19.76333,"February 18, 98",0.00202
1998-02-19,19.77,19.77,19.64,19.72,1394100.0,1394100.0,0.05,0.253,19.71,"February 19, 98",0.00253
1998-02-20,19.72,19.74,19.58,19.69,1834200.0,1834200.0,0.03,0.152,19.67,"February 20, 98",0.00152
1998-02-23,19.67,19.71,19.5,19.63,2702700.0,2702700.0,0.04,0.203,19.61333,"February 23, 98",0.00203
1998-02-24,19.63,19.84,19.57,19.73,2847600.0,2847600.0,-0.1,-0.509,19.71333,"February 24, 98",-0.00509
1998-02-25,19.79,20.83,19.79,20.72,3354300.0,3354300.0,-0.93,-4.699,20.44667,"February 25, 98",-0.04699
1998-02-26,20.72,20.97,20.64,20.88,2840400.0,2840400.0,-0.16,-0.772,20.83,"February 26, 98",-0.00772
1998-02-27,21.11,21.32,20.97,21.22,2082600.0,2082600.0,-0.11,-0.521,21.17,"February 27, 98",-0.00521
1998-03-02,21.53,21.69,21.35,21.35,2488500.0,2488500.0,0.18,0.836,21.46333,"March 02, 98",0.00836
1998-03-03,21.31,21.38,21.31,21.33,2820600.0,2820600.0,-0.02,-0.094,21.34,"March 03, 98",-0.00094
1998-03-04,21.33,21.33,21.06,21.14,2832300.0,2832300.0,0.19,0.891,21.17667,"March 04, 98",0.00891
1998-03-05,21.17,21.18,20.97,21.01,1916100.0,1916100.0,0.16,0.756,21.05333,"March 05, 98",0.00756
1998-03-06,21.01,21.31,21.01,21.21,2382300.0,2382300.0,-0.2,-0.952,21.17667,"March 06, 98",-0.00952
1998-03-09,21.21,21.43,21.2,21.25,2216700.0,2216700.0,-0.04,-0.189,21.29333,"March 09, 98",-0.00189
1998-03-10,21.42,21.64,21.31,21.61,4086000.0,4086000.0,-0.19,-0.887,21.52,"March 10, 98",-0.00887
1998-03-11,21.56,21.67,21.38,21.38,1732500.0,1732500.0,0.18,0.835,21.47667,"March 11, 98",0.00835
1998-03-12,21.38,21.66,21.31,21.63,2972700.0,2972700.0,-0.25,-1.169,21.53333,"March 12, 98",-0.01169
1998-03-13,21.63,21.79,21.46,21.78,1502100.0,1502100.0,-0.15,-0.693,21.67667,"March 13, 98",-0.00693
1998-03-16,22.11,22.46,22.11,22.44,3786300.0,3786300.0,-0.33,-1.493,22.33667,"March 16, 98",-0.01493
1998-03-17,22.44,22.44,22.31,22.4,1616400.0,1616400.0,0.04,0.178,22.38333,"March 17, 98",0.00178
1998-03-18,22.5,22.72,22.46,22.64,1711800.0,1711800.0,-0.14,-0.622,22.60667,"March 18, 98",-0.00622
1998-03-19,22.63,22.63,22.38,22.44,1465200.0,1465200.0,0.19,0.84,22.48333,"March 19, 98",0.0084
1998-03-20,22.55,23.0,22.35,23.0,2136600.0,2136600.0,-0.45,-1.996,22.78333,"March 20, 98",-0.01996
1998-03-23,23.0,23.0,22.58,22.6,1323900.0,1323900.0,0.4,1.739,22.72667,"March 23, 98",0.01739
1998-03-24,22.89,22.89,22.57,22.63,2222100.0,2222100.0,0.26,1.136,22.69667,"March 24, 98",0.01136
1998-03-25,22.67,23.0,22.67,22.8,1838700.0,1838700.0,-0.13,-0.573,22.82333,"March 25, 98",-0.00573
1998-03-26,22.8,23.06,22.8,23.03,1889100.0,1889100.0,-0.23,-1.009,22.96333,"March 26, 98",-0.01009
1998-03-27,23.07,23.11,22.69,22.69,1753200.0,1753200.0,0.38,1.647,22.83,"March 27, 98",0.01647
1998-03-30,22.81,22.85,22.71,22.78,1608300.0,1608300.0,0.03,0.132,22.78,"March 30, 98",0.00132
1998-03-31,22.89,22.92,22.78,22.78,1951200.0,1951200.0,0.11,0.481,22.82667,"March 31, 98",0.00481
1998-04-01,22.78,22.85,22.69,22.81,1373400.0,1373400.0,-0.03,-0.132,22.78333,"April 01, 98",-0.00132
1998-04-02,22.81,23.19,22.78,23.15,1159200.0,1159200.0,-0.34,-1.491,23.04,"April 02, 98",-0.01491
1998-04-03,23.15,23.15,22.75,22.77,2484000.0,2484000.0,0.38,1.641,22.89,"April 03, 98",0.01641
1998-04-06,23.06,23.44,23.06,23.31,2197800.0,2197800.0,-0.25,-1.084,23.27,"April 06, 98",-0.01084
1998-04-07,23.42,23.42,23.1,23.14,1607400.0,1607400.0,0.28,1.196,23.22,"April 07, 98",0.01196
1998-04-08,23.11,23.13,22.71,22.76,997200.0,997200.0,0.35,1.514,22.86667,"April 08, 98",0.01514
1998-04-09,22.74,22.97,22.63,22.86,1988100.0,1988100.0,-0.12,-0.528,22.82,"April 09, 98",-0.00528
1998-04-13,22.86,22.94,22.71,22.9,1287000.0,1287000.0,-0.04,-0.175,22.85,"April 13, 98",-0.00175
1998-04-14,22.9,23.07,22.83,23.0,1764900.0,1764900.0,-0.1,-0.437,22.96667,"April 14, 98",-0.00437
1998-04-15,23.01,23.64,23.01,23.64,1865700.0,1865700.0,-0.63,-2.738,23.43,"April 15, 98",-0.02738
1998-04-16,23.56,23.56,23.32,23.42,1385100.0,1385100.0,0.14,0.594,23.43333,"April 16, 98",0.00594
1998-04-17,23.42,23.81,23.33,23.81,1369800.0,1369800.0,-0.39,-1.665,23.65,"April 17, 98",-0.01665
1998-04-20,23.78,23.78,23.38,23.38,815400.0,815400.0,0.4,1.682,23.51333,"April 20, 98",0.01682
1998-04-21,23.22,23.46,23.13,23.31,976500.0,976500.0,-0.09,-0.388,23.3,"April 21, 98",-0.00388
1998-04-22,23.28,23.88,23.17,23.62,1876500.0,1876500.0,-0.34,-1.46,23.55667,"April 22, 98",-0.0146
1998-04-23,23.59,23.61,22.92,23.1,890100.0,890100.0,0.49,2.077,23.21,"April 23, 98",0.02077
1998-04-24,23.11,23.2,22.72,22.88,1387800.0,1387800.0,0.23,0.995,22.93333,"April 24, 98",0.00995
1998-04-27,22.9,23.15,22.46,22.78,2983500.0,2983500.0,0.12,0.524,22.79667,"April 27, 98",0.00524
1998-04-28,22.97,22.97,22.46,22.83,2272500.0,2272500.0,0.14,0.609,22.75333,"April 28, 98",0.00609
1998-04-29,22.81,22.81,22.42,22.52,861300.0,861300.0,0.29,1.271,22.58333,"April 29, 98",0.01271
1998-04-30,22.67,23.13,22.67,22.99,2118600.0,2118600.0,-0.32,-1.412,22.93,"April 30, 98",-0.01412
1998-05-01,23.17,23.56,23.17,23.56,1479600.0,1479600.0,-0.39,-1.683,23.43,"May 01, 98",-0.01683
1998-05-04,23.33,23.56,23.23,23.24,1002600.0,1002600.0,0.09,0.386,23.34333,"May 04, 98",0.00386
1998-05-05,23.24,23.4,23.23,23.34,1478700.0,1478700.0,-0.1,-0.43,23.32333,"May 05, 98",-0.0043
1998-05-06,23.33,23.38,23.24,23.29,1635300.0,1635300.0,0.04,0.171,23.30333,"May 06, 98",0.00171
1998-05-07,23.26,23.51,23.22,23.28,1301400.0,1301400.0,-0.02,-0.086,23.33667,"May 07, 98",-0.00086
1998-05-08,23.38,23.67,23.38,23.54,2818800.0,2818800.0,-0.16,-0.684,23.53,"May 08, 98",-0.00684
1998-05-11,23.54,23.82,23.49,23.49,1493100.0,1493100.0,0.05,0.212,23.6,"May 11, 98",0.00212
1998-05-12,23.46,23.53,23.29,23.49,1066500.0,1066500.0,-0.03,-0.128,23.43667,"May 12, 98",-0.00128
1998-05-13,23.43,23.72,23.43,23.71,1316700.0,1316700.0,-0.28,-1.195,23.62,"May 13, 98",-0.01195
1998-05-14,23.72,23.79,23.64,23.67,1314000.0,1314000.0,0.05,0.211,23.7,"May 14, 98",0.00211
1998-05-15,23.64,23.76,23.56,23.64,2115900.0,2115900.0,0.0,0.0,23.65333,"May 15, 98",0.0
1998-05-18,23.83,23.92,23.19,23.35,852600.0,852600.0,0.48,2.014,23.48667,"May 18, 98",0.02014
1998-05-19,23.58,23.58,23.17,23.44,1031400.0,1031400.0,0.14,0.594,23.39667,"May 19, 98",0.00594
1998-05-20,23.46,23.56,23.25,23.48,802200.0,802200.0,-0.02,-0.085,23.43,"May 20, 98",-0.00085
