date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-01-03,9.95,9.95,9.95,9.95,0.0,0.0,0.0,0.0,0.0,"January 03, 17",0.0
2017-01-04,9.93,9.93,9.93,9.93,500.0,500.0,0.0,0.0,9.93,"January 04, 17",0.0
2017-01-05,10.0,10.0,10.0,10.0,100000.0,100000.0,0.0,0.0,10.0,"January 05, 17",0.0
2017-01-06,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,"January 06, 17",0.0
2017-01-09,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,"January 09, 17",0.0
2017-01-10,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,"January 10, 17",0.0
2017-01-11,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,"January 11, 17",0.0
2017-01-12,9.95,9.95,9.95,9.95,600.0,600.0,0.0,0.0,9.95,"January 12, 17",0.0
2017-01-13,10.0,10.0,9.95,9.95,300.0,300.0,0.05,0.5,9.96667,"January 13, 17",0.005
2017-01-17,9.95,9.95,9.95,9.95,0.0,0.0,0.0,0.0,0.0,"January 17, 17",0.0
2017-01-18,9.95,9.95,9.95,9.95,0.0,0.0,0.0,0.0,0.0,"January 18, 17",0.0
2017-01-19,9.99,9.99,9.95,9.95,3100.0,3100.0,0.04,0.4,9.96333,"January 19, 17",0.004
2017-01-20,10.0,10.05,10.0,10.0,3300.0,3300.0,0.0,0.0,10.01667,"January 20, 17",0.0
2017-01-23,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,"January 23, 17",0.0
2017-01-24,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,"January 24, 17",0.0
2017-01-25,10.0,10.0,9.99,10.0,9200.0,9200.0,0.0,0.0,9.99667,"January 25, 17",0.0
2017-01-26,10.0,10.1,10.0,10.05,3600.0,3600.0,-0.05,-0.5,10.05,"January 26, 17",-0.005
2017-01-27,10.0,10.0,10.0,10.0,3600.0,3600.0,0.0,0.0,10.0,"January 27, 17",0.0
2017-01-30,10.0,10.05,10.0,10.0,6800.0,6800.0,0.0,0.0,10.01667,"January 30, 17",0.0
2017-01-31,10.0,10.05,10.0,10.05,9800.0,9800.0,-0.05,-0.5,10.03333,"January 31, 17",-0.005
2017-02-01,10.05,10.05,10.05,10.05,500.0,500.0,0.0,0.0,10.05,"February 01, 17",0.0
2017-02-02,10.05,10.05,10.05,10.05,0.0,0.0,0.0,0.0,0.0,"February 02, 17",0.0
2017-02-03,10.05,10.05,10.05,10.05,0.0,0.0,0.0,0.0,0.0,"February 03, 17",0.0
2017-02-06,10.0,10.0,10.0,10.0,800.0,800.0,0.0,0.0,10.0,"February 06, 17",0.0
2017-02-07,10.03,10.03,10.0,10.0,2000.0,2000.0,0.03,0.299,10.01,"February 07, 17",0.00299
2017-02-08,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,"February 08, 17",0.0
2017-02-09,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,"February 09, 17",0.0
2017-02-10,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,"February 10, 17",0.0
2017-02-13,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,"February 13, 17",0.0
2017-02-14,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,"February 14, 17",0.0
