date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,31.25,31.5,31.13,31.31,13500.0,13500.0,-0.06,-0.192,31.31333,"January 02, 98",-0.00192
1998-01-05,31.38,32.5,31.38,32.38,20100.0,20100.0,-1.0,-3.187,32.08667,"January 05, 98",-0.03187
1998-01-06,32.25,32.25,31.88,31.94,11600.0,11600.0,0.31,0.961,32.02333,"January 06, 98",0.00961
1998-01-07,31.88,31.88,30.88,30.88,13000.0,13000.0,1.0,3.137,31.21333,"January 07, 98",0.03137
1998-01-08,30.63,30.69,30.38,30.44,18100.0,18100.0,0.19,0.62,30.50333,"January 08, 98",0.0062
1998-01-09,30.19,30.31,29.0,29.0,8400.0,8400.0,1.19,3.942,29.43667,"January 09, 98",0.03942
1998-01-12,27.88,28.38,26.75,27.81,36600.0,36600.0,0.07,0.251,27.64667,"January 12, 98",0.00251
1998-01-13,28.63,28.69,28.19,28.31,8300.0,8300.0,0.32,1.118,28.39667,"January 13, 98",0.01118
1998-01-14,28.56,28.81,27.5,28.0,27300.0,27300.0,0.56,1.961,28.10333,"January 14, 98",0.01961
1998-01-15,27.63,27.63,26.75,26.75,22000.0,22000.0,0.88,3.185,27.04333,"January 15, 98",0.03185
1998-01-16,27.19,27.19,26.38,26.88,19400.0,19400.0,0.31,1.14,26.81667,"January 16, 98",0.0114
1998-01-20,26.88,26.88,26.25,26.63,12600.0,12600.0,0.25,0.93,26.58667,"January 20, 98",0.0093
1998-01-21,26.38,26.44,26.25,26.31,17800.0,17800.0,0.07,0.265,26.33333,"January 21, 98",0.00265
1998-01-22,26.25,26.25,24.5,25.0,22400.0,22400.0,1.25,4.762,25.25,"January 22, 98",0.04762
1998-01-23,28.0,28.38,25.5,26.44,52600.0,52600.0,1.56,5.571,26.77333,"January 23, 98",0.05571
1998-01-26,26.69,28.13,26.69,28.0,34000.0,34000.0,-1.31,-4.908,27.60667,"January 26, 98",-0.04908
1998-01-27,28.13,29.19,28.13,28.81,8900.0,8900.0,-0.68,-2.417,28.71,"January 27, 98",-0.02417
1998-01-28,28.81,28.81,27.81,28.0,24100.0,24100.0,0.81,2.812,28.20667,"January 28, 98",0.02812
1998-01-29,27.81,27.81,27.44,27.69,8200.0,8200.0,0.12,0.431,27.64667,"January 29, 98",0.00431
1998-01-30,27.69,27.69,27.25,27.25,14200.0,14200.0,0.44,1.589,27.39667,"January 30, 98",0.01589
1998-02-02,28.0,28.13,27.88,27.94,12000.0,12000.0,0.06,0.214,27.98333,"February 02, 98",0.00214
1998-02-03,27.88,29.0,27.88,28.75,9600.0,9600.0,-0.87,-3.121,28.54333,"February 03, 98",-0.03121
1998-02-04,28.75,29.13,28.19,28.19,13100.0,13100.0,0.56,1.948,28.50333,"February 04, 98",0.01948
1998-02-05,28.44,28.69,28.44,28.5,7900.0,7900.0,-0.06,-0.211,28.54333,"February 05, 98",-0.00211
1998-02-06,29.0,29.31,29.0,29.19,21600.0,21600.0,-0.19,-0.655,29.16667,"February 06, 98",-0.00655
1998-02-09,29.38,29.69,29.31,29.63,12600.0,12600.0,-0.25,-0.851,29.54333,"February 09, 98",-0.00851
1998-02-10,29.63,30.19,29.5,30.0,19000.0,19000.0,-0.37,-1.249,29.89667,"February 10, 98",-0.01249
1998-02-11,30.25,31.75,30.0,31.25,131900.0,131900.0,-1.0,-3.306,31.0,"February 11, 98",-0.03306
1998-02-12,31.0,31.69,30.5,31.38,163900.0,163900.0,-0.38,-1.226,31.19,"February 12, 98",-0.01226
1998-02-13,31.38,31.88,30.63,31.88,30400.0,30400.0,-0.5,-1.593,31.46333,"February 13, 98",-0.01593
1998-02-17,32.0,32.69,32.0,32.0,31000.0,31000.0,0.0,0.0,32.23,"February 17, 98",0.0
1998-02-18,32.0,32.0,31.63,31.88,9900.0,9900.0,0.12,0.375,31.83667,"February 18, 98",0.00375
1998-02-19,31.88,31.88,30.56,30.75,20300.0,20300.0,1.13,3.545,31.06333,"February 19, 98",0.03545
1998-02-20,30.75,31.0,30.25,30.75,16100.0,16100.0,0.0,0.0,30.66667,"February 20, 98",0.0
1998-02-23,31.0,31.63,31.0,31.63,7200.0,7200.0,-0.63,-2.032,31.42,"February 23, 98",-0.02032
1998-02-24,31.5,31.81,31.0,31.44,9300.0,9300.0,0.06,0.19,31.41667,"February 24, 98",0.0019
