date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,5.3,5.41,5.15,5.35,1348800.0,1348800.0,-0.05,-0.943,5.30333,"January 02, 98",-0.00943
1998-01-05,5.44,5.5,5.15,5.17,2719200.0,2719200.0,0.27,4.963,5.27333,"January 05, 98",0.04963
1998-01-06,5.15,5.17,5.06,5.1,1935000.0,1935000.0,0.05,0.971,5.11,"January 06, 98",0.00971
1998-01-07,5.08,5.17,4.99,5.09,2617200.0,2617200.0,-0.01,-0.197,5.08333,"January 07, 98",-0.00197
1998-01-08,5.1,5.27,5.08,5.16,1363200.0,1363200.0,-0.06,-1.176,5.17,"January 08, 98",-0.01176
1998-01-09,5.17,5.19,4.99,5.06,1060800.0,1060800.0,0.11,2.128,5.08,"January 09, 98",0.02128
1998-01-12,5.02,5.04,4.92,5.02,1974600.0,1974600.0,0.0,0.0,4.99333,"January 12, 98",0.0
1998-01-13,5.02,5.17,5.02,5.14,931200.0,931200.0,-0.12,-2.39,5.11,"January 13, 98",-0.0239
1998-01-14,5.15,5.45,5.15,5.45,6558600.0,6558600.0,-0.3,-5.825,5.35,"January 14, 98",-0.05825
1998-01-15,5.46,5.47,5.25,5.38,4205400.0,4205400.0,0.08,1.465,5.36667,"January 15, 98",0.01465
1998-01-16,5.4,5.56,5.38,5.52,2682600.0,2682600.0,-0.12,-2.222,5.48667,"January 16, 98",-0.02222
1998-01-20,5.52,5.56,5.4,5.47,2770200.0,2770200.0,0.05,0.906,5.47667,"January 20, 98",0.00906
1998-01-21,5.44,5.5,5.42,5.42,501600.0,501600.0,0.02,0.368,5.44667,"January 21, 98",0.00368
1998-01-22,5.38,5.53,5.38,5.48,917400.0,917400.0,-0.1,-1.859,5.46333,"January 22, 98",-0.01859
1998-01-23,5.33,5.58,5.17,5.54,3445800.0,3445800.0,-0.21,-3.94,5.43,"January 23, 98",-0.0394
1998-01-26,5.54,5.58,5.42,5.43,998400.0,998400.0,0.11,1.986,5.47667,"January 26, 98",0.01986
1998-01-27,5.42,5.46,5.17,5.29,1727400.0,1727400.0,0.13,2.399,5.30667,"January 27, 98",0.02399
1998-01-28,5.29,5.31,5.05,5.05,1804200.0,1804200.0,0.24,4.537,5.13667,"January 28, 98",0.04537
