date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2001-12-13,1.19,1.48,1.19,1.43,56373600.0,56373600.0,-0.24,-20.168,1.36667,"December 13, 01",-0.20168
2001-12-14,1.43,1.44,1.37,1.39,11307200.0,11307200.0,0.04,2.797,1.4,"December 14, 01",0.02797
2001-12-17,1.39,1.43,1.38,1.42,1756800.0,1756800.0,-0.03,-2.158,1.41,"December 17, 01",-0.02158
2001-12-18,1.41,1.45,1.39,1.44,3585600.0,3585600.0,-0.03,-2.128,1.42667,"December 18, 01",-0.02128
2001-12-19,1.44,1.78,1.43,1.73,3352800.0,3352800.0,-0.29,-20.139,1.64667,"December 19, 01",-0.20139
2001-12-20,1.7,1.9,1.65,1.65,3855200.0,3855200.0,0.05,2.941,1.73333,"December 20, 01",0.02941
2001-12-21,1.67,1.68,1.65,1.66,3245600.0,3245600.0,0.01,0.599,1.66333,"December 21, 01",0.00599
2001-12-24,1.66,1.69,1.63,1.66,968000.0,968000.0,0.0,0.0,1.66,"December 24, 01",0.0
2001-12-26,1.66,1.72,1.65,1.69,2115200.0,2115200.0,-0.03,-1.807,1.68667,"December 26, 01",-0.01807
2001-12-27,1.71,1.74,1.69,1.73,2372000.0,2372000.0,-0.02,-1.17,1.72,"December 27, 01",-0.0117
2001-12-28,1.72,1.82,1.72,1.79,1108800.0,1108800.0,-0.07,-4.07,1.77667,"December 28, 01",-0.0407
2001-12-31,1.82,1.93,1.77,1.83,451200.0,451200.0,-0.01,-0.549,1.84333,"December 31, 01",-0.00549
2002-01-02,1.89,1.89,1.82,1.83,1448000.0,1448000.0,0.06,3.175,1.84667,"January 02, 02",0.03175
2002-01-03,1.82,1.84,1.82,1.83,328800.0,328800.0,-0.01,-0.549,1.83,"January 03, 02",-0.00549
2002-01-04,1.84,1.84,1.78,1.81,549600.0,549600.0,0.03,1.63,1.81,"January 04, 02",0.0163
2002-01-07,1.79,1.81,1.7,1.71,789600.0,789600.0,0.08,4.469,1.74,"January 07, 02",0.04469
2002-01-08,1.72,1.77,1.71,1.77,1184000.0,1184000.0,-0.05,-2.907,1.75,"January 08, 02",-0.02907
2002-01-09,1.77,1.77,1.73,1.73,696800.0,696800.0,0.04,2.26,1.74333,"January 09, 02",0.0226
2002-01-10,1.74,1.74,1.65,1.71,552000.0,552000.0,0.03,1.724,1.7,"January 10, 02",0.01724
2002-01-11,1.69,1.81,1.69,1.77,194400.0,194400.0,-0.08,-4.734,1.75667,"January 11, 02",-0.04734
2002-01-14,1.78,1.78,1.73,1.75,129600.0,129600.0,0.03,1.685,1.75333,"January 14, 02",0.01685
2002-01-15,1.75,1.75,1.73,1.75,94400.0,94400.0,0.0,0.0,1.74333,"January 15, 02",0.0
2002-01-16,1.75,1.76,1.67,1.67,149600.0,149600.0,0.08,4.571,1.7,"January 16, 02",0.04571
2002-01-17,1.67,1.71,1.52,1.63,1036800.0,1036800.0,0.04,2.395,1.62,"January 17, 02",0.02395
2002-01-18,1.61,1.64,1.59,1.63,833600.0,833600.0,-0.02,-1.242,1.62,"January 18, 02",-0.01242
2002-01-22,1.61,1.68,1.6,1.68,470400.0,470400.0,-0.07,-4.348,1.65333,"January 22, 02",-0.04348
