date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2003-09-10,19.72,21.0,19.72,20.0,266000.0,266000.0,-0.28,-1.42,20.24,"September 10, 03",-0.0142
2003-09-11,20.5,22.5,20.5,21.75,3155200.0,3155200.0,-1.25,-6.098,21.58333,"September 11, 03",-0.06098
2003-09-12,22.0,22.5,20.24,20.29,4408900.0,4408900.0,1.71,7.773,21.01,"September 12, 03",0.07773
2003-09-15,19.8,20.4,19.35,20.13,3313500.0,3313500.0,-0.33,-1.667,19.96,"September 15, 03",-0.01667
2003-09-16,19.95,20.0,18.4,18.54,4218000.0,4218000.0,1.41,7.068,18.98,"September 16, 03",0.07068
2003-09-17,18.43,19.39,17.7,19.33,5253800.0,5253800.0,-0.9,-4.883,18.80667,"September 17, 03",-0.04883
2003-09-18,19.15,19.45,18.91,19.17,2149500.0,2149500.0,-0.02,-0.104,19.17667,"September 18, 03",-0.00104
2003-09-19,19.2,19.6,19.0,19.15,2300000.0,2300000.0,0.05,0.26,19.25,"September 19, 03",0.0026
2003-09-22,18.97,19.14,18.26,18.7,1605400.0,1605400.0,0.27,1.423,18.7,"September 22, 03",0.01423
2003-09-23,18.7,19.68,18.55,19.45,1874300.0,1874300.0,-0.75,-4.011,19.22667,"September 23, 03",-0.04011
2003-09-24,19.45,19.7,18.8,18.87,1501000.0,1501000.0,0.58,2.982,19.12333,"September 24, 03",0.02982
2003-09-25,18.95,19.1,18.59,18.9,2406700.0,2406700.0,0.05,0.264,18.86333,"September 25, 03",0.00264
2003-09-26,18.9,19.28,18.56,18.65,1417100.0,1417100.0,0.25,1.323,18.83,"September 26, 03",0.01323
2003-09-29,18.75,18.84,17.85,18.39,2398400.0,2398400.0,0.36,1.92,18.36,"September 29, 03",0.0192
2003-09-30,18.3,18.5,17.88,18.06,1557000.0,1557000.0,0.24,1.311,18.14667,"September 30, 03",0.01311
2003-10-01,18.06,19.15,18.05,19.1,3345400.0,3345400.0,-1.04,-5.759,18.76667,"October 01, 03",-0.05759
2003-10-02,19.1,20.35,19.05,20.27,3580100.0,3580100.0,-1.17,-6.126,19.89,"October 02, 03",-0.06126
2003-10-03,20.4,21.05,20.16,20.4,2325600.0,2325600.0,0.0,0.0,20.53667,"October 03, 03",0.0
2003-10-06,19.73,19.8,18.75,19.62,4407900.0,4407900.0,0.11,0.558,19.39,"October 06, 03",0.00558
2003-10-07,19.4,19.46,19.2,19.3,3724100.0,3724100.0,0.1,0.515,19.32,"October 07, 03",0.00515
2003-10-08,19.3,19.59,19.0,19.52,4694000.0,4694000.0,-0.22,-1.14,19.37,"October 08, 03",-0.0114
2003-10-09,19.65,20.1,19.6,19.85,3380600.0,3380600.0,-0.2,-1.018,19.85,"October 09, 03",-0.01018
2003-10-10,19.85,20.31,19.78,20.19,2687500.0,2687500.0,-0.34,-1.713,20.09333,"October 10, 03",-0.01713
2003-10-13,19.97,20.14,19.96,20.07,1233200.0,1233200.0,-0.1,-0.501,20.05667,"October 13, 03",-0.00501
2003-10-14,20.08,20.74,20.0,20.58,2555800.0,2555800.0,-0.5,-2.49,20.44,"October 14, 03",-0.0249
2003-10-15,20.58,20.7,20.35,20.64,1381700.0,1381700.0,-0.06,-0.292,20.56333,"October 15, 03",-0.00292
2003-10-16,20.61,20.61,20.3,20.33,840900.0,840900.0,0.28,1.359,20.41333,"October 16, 03",0.01359
2003-10-17,19.9,20.25,19.65,19.7,1455900.0,1455900.0,0.2,1.005,19.86667,"October 17, 03",0.01005
2003-10-20,19.71,19.84,19.37,19.55,987700.0,987700.0,0.16,0.812,19.58667,"October 20, 03",0.00812
2003-10-21,19.4,19.98,19.35,19.92,1192300.0,1192300.0,-0.52,-2.68,19.75,"October 21, 03",-0.0268
2003-10-22,19.78,19.84,19.6,19.76,551900.0,551900.0,0.02,0.101,19.73333,"October 22, 03",0.00101
2003-10-23,19.56,19.6,19.21,19.38,903600.0,903600.0,0.18,0.92,19.39667,"October 23, 03",0.0092
2003-10-24,19.43,19.6,19.35,19.4,509200.0,509200.0,0.03,0.154,19.45,"October 24, 03",0.00154
2003-10-27,19.4,19.9,19.4,19.77,1557500.0,1557500.0,-0.37,-1.907,19.69,"October 27, 03",-0.01907
2003-10-28,19.8,20.46,19.78,20.19,1645300.0,1645300.0,-0.39,-1.97,20.14333,"October 28, 03",-0.0197
2003-10-29,20.19,20.19,19.86,20.0,1036400.0,1036400.0,0.19,0.941,20.01667,"October 29, 03",0.00941
2003-10-30,20.02,20.05,19.72,19.95,554400.0,554400.0,0.07,0.35,19.90667,"October 30, 03",0.0035
2003-10-31,19.87,20.4,19.8,20.4,1985500.0,1985500.0,-0.53,-2.667,20.2,"October 31, 03",-0.02667
2003-11-03,20.3,20.65,20.15,20.16,972900.0,972900.0,0.14,0.69,20.32,"November 03, 03",0.0069
2003-11-04,20.1,20.22,19.9,20.15,703800.0,703800.0,-0.05,-0.249,20.09,"November 04, 03",-0.00249
2003-11-05,20.0,20.15,20.0,20.06,1064200.0,1064200.0,-0.06,-0.3,20.07,"November 05, 03",-0.003
2003-11-06,20.03,20.03,19.7,19.94,840300.0,840300.0,0.09,0.449,19.89,"November 06, 03",0.00449
2003-11-07,19.98,20.0,19.79,19.98,776400.0,776400.0,0.0,0.0,19.92333,"November 07, 03",0.0
2003-11-10,19.8,19.8,19.03,19.45,2082500.0,2082500.0,0.35,1.768,19.42667,"November 10, 03",0.01768
2003-11-11,19.4,19.61,19.35,19.55,1215300.0,1215300.0,-0.15,-0.773,19.50333,"November 11, 03",-0.00773
2003-11-12,19.55,19.6,19.43,19.52,996800.0,996800.0,0.03,0.153,19.51667,"November 12, 03",0.00153
2003-11-13,19.49,19.5,19.0,19.0,1242700.0,1242700.0,0.49,2.514,19.16667,"November 13, 03",0.02514
2003-11-14,19.0,19.01,18.67,18.8,650300.0,650300.0,0.2,1.053,18.82667,"November 14, 03",0.01053
2003-11-17,18.68,19.13,18.25,18.83,1616800.0,1616800.0,-0.15,-0.803,18.73667,"November 17, 03",-0.00803
2003-11-18,18.95,19.28,18.83,19.23,4401300.0,4401300.0,-0.28,-1.478,19.11333,"November 18, 03",-0.01478
2003-11-19,19.4,20.04,19.1,19.85,2919000.0,2919000.0,-0.45,-2.32,19.66333,"November 19, 03",-0.0232
2003-11-20,19.8,19.8,19.43,19.6,836800.0,836800.0,0.2,1.01,19.61,"November 20, 03",0.0101
2003-11-21,19.7,19.7,19.14,19.44,816500.0,816500.0,0.26,1.32,19.42667,"November 21, 03",0.0132
2003-11-24,19.44,19.45,18.9,18.94,1613900.0,1613900.0,0.5,2.572,19.09667,"November 24, 03",0.02572
2003-11-25,18.94,19.18,18.9,19.08,600500.0,600500.0,-0.14,-0.739,19.05333,"November 25, 03",-0.00739
2003-11-26,19.18,19.38,19.13,19.29,865300.0,865300.0,-0.11,-0.574,19.26667,"November 26, 03",-0.00574
2003-11-28,19.26,19.44,19.26,19.33,128000.0,128000.0,-0.07,-0.363,19.34333,"November 28, 03",-0.00363
2003-12-01,19.32,19.74,19.32,19.71,1167700.0,1167700.0,-0.39,-2.019,19.59,"December 01, 03",-0.02019
2003-12-02,19.91,20.84,19.91,20.72,4427100.0,4427100.0,-0.81,-4.068,20.49,"December 02, 03",-0.04068
2003-12-03,20.77,21.0,20.4,20.7,685000.0,685000.0,0.07,0.337,20.7,"December 03, 03",0.00337
2003-12-04,20.84,20.84,20.55,20.71,620100.0,620100.0,0.13,0.624,20.7,"December 04, 03",0.00624
2003-12-05,20.75,20.95,20.6,20.6,717400.0,717400.0,0.15,0.723,20.71667,"December 05, 03",0.00723
2003-12-08,20.6,20.6,20.19,20.39,721300.0,721300.0,0.21,1.019,20.39333,"December 08, 03",0.01019
2003-12-09,20.4,20.74,20.4,20.73,446900.0,446900.0,-0.33,-1.618,20.62333,"December 09, 03",-0.01618
2003-12-10,20.77,21.15,20.74,21.09,1554500.0,1554500.0,-0.32,-1.541,20.99333,"December 10, 03",-0.01541
2003-12-11,21.11,21.18,20.6,20.75,787800.0,787800.0,0.36,1.705,20.84333,"December 11, 03",0.01705
2003-12-12,20.76,20.98,20.5,20.72,223400.0,223400.0,0.04,0.193,20.73333,"December 12, 03",0.00193
2003-12-15,20.75,20.85,20.29,20.35,304100.0,304100.0,0.4,1.928,20.49667,"December 15, 03",0.01928
2003-12-16,20.25,20.55,20.24,20.55,274100.0,274100.0,-0.3,-1.481,20.44667,"December 16, 03",-0.01481
2003-12-17,20.55,20.58,20.35,20.4,353500.0,353500.0,0.15,0.73,20.44333,"December 17, 03",0.0073
2003-12-18,20.5,21.25,20.5,21.12,1642600.0,1642600.0,-0.62,-3.024,20.95667,"December 18, 03",-0.03024
2003-12-19,21.23,21.24,20.51,20.52,1057600.0,1057600.0,0.71,3.344,20.75667,"December 19, 03",0.03344
2003-12-22,20.63,20.94,20.58,20.78,431800.0,431800.0,-0.15,-0.727,20.76667,"December 22, 03",-0.00727
2003-12-23,20.95,21.18,20.75,21.14,422400.0,422400.0,-0.19,-0.907,21.02333,"December 23, 03",-0.00907
2003-12-24,21.0,21.16,21.0,21.06,288500.0,288500.0,-0.06,-0.286,21.07333,"December 24, 03",-0.00286
2003-12-26,20.96,21.34,20.93,21.24,209500.0,209500.0,-0.28,-1.336,21.17,"December 26, 03",-0.01336
2003-12-29,21.35,21.89,21.3,21.86,1059000.0,1059000.0,-0.51,-2.389,21.68333,"December 29, 03",-0.02389
2003-12-30,21.85,22.18,21.65,21.95,1340500.0,1340500.0,-0.1,-0.458,21.92667,"December 30, 03",-0.00458
2003-12-31,21.7,21.98,21.7,21.8,329200.0,329200.0,-0.1,-0.461,21.82667,"December 31, 03",-0.00461
2004-01-02,21.78,21.93,21.62,21.71,660500.0,660500.0,0.07,0.321,21.75333,"January 02, 04",0.00321
2004-01-05,21.71,21.8,21.38,21.6,508100.0,508100.0,0.11,0.507,21.59333,"January 05, 04",0.00507
2004-01-06,21.4,21.4,21.0,21.08,1154700.0,1154700.0,0.32,1.495,21.16,"January 06, 04",0.01495
2004-01-07,21.01,21.3,20.9,21.15,1797600.0,1797600.0,-0.14,-0.666,21.11667,"January 07, 04",-0.00666
2004-01-08,21.22,21.83,21.1,21.45,526300.0,526300.0,-0.23,-1.084,21.46,"January 08, 04",-0.01084
2004-01-09,21.3,21.53,21.27,21.53,439100.0,439100.0,-0.23,-1.08,21.44333,"January 09, 04",-0.0108
2004-01-12,21.45,21.88,21.4,21.83,662300.0,662300.0,-0.38,-1.772,21.70333,"January 12, 04",-0.01772
2004-01-13,21.85,21.88,21.57,21.75,497500.0,497500.0,0.1,0.458,21.73333,"January 13, 04",0.00458
2004-01-14,21.75,21.98,21.57,21.95,1209900.0,1209900.0,-0.2,-0.92,21.83333,"January 14, 04",-0.0092
2004-01-15,21.95,22.26,21.82,22.2,1218100.0,1218100.0,-0.25,-1.139,22.09333,"January 15, 04",-0.01139
2004-01-16,22.23,22.55,22.2,22.3,1613000.0,1613000.0,-0.07,-0.315,22.35,"January 16, 04",-0.00315
2004-01-20,22.3,22.88,22.3,22.88,1207500.0,1207500.0,-0.58,-2.601,22.68667,"January 20, 04",-0.02601
2004-01-21,22.95,23.49,22.82,23.35,1514500.0,1514500.0,-0.4,-1.743,23.22,"January 21, 04",-0.01743
2004-01-22,23.45,23.89,23.45,23.65,821400.0,821400.0,-0.2,-0.853,23.66333,"January 22, 04",-0.00853
