date,1. open,2. high,3. low,4. close,5. volume
2007-07-13,12.35,12.35,12.35,12.35,3615.0
2007-07-16,12.45,12.45,12.45,12.45,11747.0
2007-07-17,12.35,12.35,12.35,12.35,8135.0
2007-07-18,12.35,12.35,12.35,12.35,600.0
2007-07-19,12.5,12.5,12.5,12.5,600.0
2007-07-20,12.25,12.45,12.25,12.25,5300.0
2007-07-23,12.25,12.25,12.25,12.25,500.0
2007-07-24,12.6,12.6,12.6,12.6,5154.0
2007-07-25,12.7,12.7,12.7,12.7,500.0
2007-07-26,13.25,13.55,13.25,13.25,7350.0
2007-07-27,13.1,13.45,13.1,13.1,10171.0
2007-07-30,13.3,13.3,13.3,13.3,5500.0
2007-07-31,13.35,13.35,13.35,13.35,2440.0
2007-08-01,13.15,13.15,13.15,13.15,1800.0
2007-08-02,12.8595,13.0,12.8595,12.8595,41100.0
2007-08-03,13.05,13.05,13.05,13.05,3275.0
2007-08-06,13.2,13.2,13.2,13.2,3300.0
2007-08-07,13.5,13.5,13.5,13.5,13444.0
2007-08-08,14.15,14.15,14.15,14.15,6998.0
2007-08-09,13.55,13.9,13.55,13.55,2543.0
2007-08-10,13.4,13.55,13.4,13.4,4490.0
2007-08-13,13.05,13.4,13.05,13.05,9851.0
2007-08-14,13.45,13.45,13.45,13.45,18205.0
2007-08-15,12.9,13.2,12.9,12.9,3200.0
2007-08-16,12.5,12.5,12.5,12.5,10640.0
2007-08-17,12.85,12.85,12.85,12.85,2200.0
2007-08-20,12.8,12.85,12.8,12.8,500.0
2007-08-21,12.9,12.9,12.9,12.9,3800.0
2007-08-22,13.05,13.25,13.05,13.05,2600.0
2007-08-23,13.45,13.45,13.45,13.45,2050.0
2007-08-24,13.55,13.55,13.55,13.55,9895.0
2007-08-27,13.8,13.8,13.8,13.8,14205.0
2007-08-28,13.8,13.8,13.8,13.8,0.0
2007-08-29,13.1,13.1,13.1,13.1,2850.0
2007-08-30,12.95,12.95,12.95,12.95,10650.0
2007-08-31,12.95,12.95,12.95,12.95,500.0
2007-09-04,13.3,13.3,13.3,13.3,350.0
2007-09-05,12.9,12.9,12.9,12.9,831.0
2007-09-06,13.05,13.05,13.05,13.05,744.0
2007-09-07,12.45,12.7,12.45,12.45,6850.0
2007-09-10,12.7,12.7,12.7,12.7,692.0
2007-09-11,12.4,12.65,12.4,12.4,880.0
