date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,9.44,9.73,9.27,9.68,42853600.0,42853600.0,-0.24,-2.542,9.56,"January 02, 98",-0.02542
1998-01-05,9.69,9.85,9.46,9.66,70754800.0,70754800.0,0.03,0.31,9.65667,"January 05, 98",0.0031
1998-01-06,9.54,9.73,9.35,9.53,54234000.0,54234000.0,0.01,0.105,9.53667,"January 06, 98",0.00105
1998-01-07,9.48,9.48,9.16,9.25,74174800.0,74174800.0,0.23,2.426,9.29667,"January 07, 98",0.02426
1998-01-08,9.16,9.46,8.92,9.35,75943600.0,75943600.0,-0.19,-2.074,9.24333,"January 08, 98",-0.02074
1998-01-09,9.23,9.35,8.98,9.04,83994000.0,83994000.0,0.19,2.059,9.12333,"January 09, 98",0.02059
1998-01-12,8.67,9.29,8.58,9.28,78526000.0,78526000.0,-0.61,-7.036,9.05,"January 12, 98",-0.07036
1998-01-13,9.33,9.41,9.19,9.33,62359200.0,62359200.0,0.0,0.0,9.31,"January 13, 98",0.0
1998-01-14,9.48,9.52,9.31,9.5,52188400.0,52188400.0,-0.02,-0.211,9.44333,"January 14, 98",-0.00211
1998-01-15,9.46,9.71,9.43,9.57,49991200.0,49991200.0,-0.11,-1.163,9.57,"January 15, 98",-0.01163
1998-01-16,9.71,9.79,9.59,9.65,48571600.0,48571600.0,0.06,0.618,9.67667,"January 16, 98",0.00618
1998-01-20,9.72,9.92,9.69,9.92,56923200.0,56923200.0,-0.2,-2.058,9.84333,"January 20, 98",-0.02058
1998-01-21,9.79,9.92,9.46,9.9,52260400.0,52260400.0,-0.11,-1.124,9.76,"January 21, 98",-0.01124
1998-01-22,9.76,9.86,9.59,9.63,43438800.0,43438800.0,0.13,1.332,9.69333,"January 22, 98",0.01332
1998-01-23,9.72,9.77,9.42,9.61,46768000.0,46768000.0,0.11,1.132,9.6,"January 23, 98",0.01132
1998-01-26,9.66,9.67,9.3,9.44,39954400.0,39954400.0,0.22,2.277,9.47,"January 26, 98",0.02277
1998-01-27,9.44,9.9,9.31,9.88,67517200.0,67517200.0,-0.44,-4.661,9.69667,"January 27, 98",-0.04661
1998-01-28,9.98,10.4,9.95,10.31,104662000.0,104662000.0,-0.33,-3.307,10.22,"January 28, 98",-0.03307
1998-01-29,10.33,10.79,10.31,10.63,125108800.0,125108800.0,-0.3,-2.904,10.57667,"January 29, 98",-0.02904
1998-01-30,10.72,10.73,10.46,10.51,51928800.0,51928800.0,0.21,1.959,10.56667,"January 30, 98",0.01959
1998-02-02,10.82,10.94,10.58,10.66,84200800.0,84200800.0,0.16,1.479,10.72667,"February 02, 98",0.01479
1998-02-03,10.66,10.8,10.35,10.5,88447200.0,88447200.0,0.16,1.501,10.55,"February 03, 98",0.01501
1998-02-04,10.58,10.96,10.56,10.76,125086000.0,125086000.0,-0.18,-1.701,10.76,"February 04, 98",-0.01701
1998-02-05,10.96,11.03,10.73,10.73,75684000.0,75684000.0,0.23,2.099,10.83,"February 05, 98",0.02099
1998-02-06,10.71,11.0,10.58,10.99,47048800.0,47048800.0,-0.28,-2.614,10.85667,"February 06, 98",-0.02614
1998-02-09,11.06,11.06,10.56,10.67,55943200.0,55943200.0,0.39,3.526,10.76333,"February 09, 98",0.03526
1998-02-10,10.71,10.85,10.56,10.79,58441200.0,58441200.0,-0.08,-0.747,10.73333,"February 10, 98",-0.00747
1998-02-11,10.84,10.85,10.68,10.81,32716800.0,32716800.0,0.03,0.277,10.78,"February 11, 98",0.00277
1998-02-12,10.72,10.98,10.69,10.88,45181600.0,45181600.0,-0.16,-1.493,10.85,"February 12, 98",-0.01493
1998-02-13,10.82,10.97,10.75,10.81,30223200.0,30223200.0,0.01,0.092,10.84333,"February 13, 98",0.00092
1998-02-17,10.98,11.0,10.69,10.82,41662800.0,41662800.0,0.16,1.457,10.83667,"February 17, 98",0.01457
1998-02-18,10.77,10.94,10.75,10.92,44554800.0,44554800.0,-0.15,-1.393,10.87,"February 18, 98",-0.01393
1998-02-19,10.96,11.04,10.9,10.91,43772400.0,43772400.0,0.05,0.456,10.95,"February 19, 98",0.00456
1998-02-20,10.98,11.02,10.78,10.97,51100000.0,51100000.0,0.01,0.091,10.92333,"February 20, 98",0.00091
1998-02-23,11.06,11.08,10.86,10.94,38246800.0,38246800.0,0.12,1.085,10.96,"February 23, 98",0.01085
1998-02-24,10.98,11.16,10.79,10.79,58074400.0,58074400.0,0.19,1.73,10.91333,"February 24, 98",0.0173
1998-02-25,10.9,11.16,10.8,11.13,51614800.0,51614800.0,-0.23,-2.11,11.03,"February 25, 98",-0.0211
1998-02-26,11.07,11.1,10.96,11.08,46743600.0,46743600.0,-0.01,-0.09,11.04667,"February 26, 98",-0.0009
1998-02-27,11.19,11.42,10.98,10.98,58439200.0,58439200.0,0.21,1.877,11.12667,"February 27, 98",0.01877
1998-03-02,11.15,11.21,10.75,10.88,45166800.0,45166800.0,0.27,2.422,10.94667,"March 02, 98",0.02422
1998-03-03,10.72,10.83,10.56,10.75,52573600.0,52573600.0,-0.03,-0.28,10.71333,"March 03, 98",-0.0028
1998-03-04,10.76,10.92,10.72,10.88,39176400.0,39176400.0,-0.12,-1.115,10.84,"March 04, 98",-0.01115
1998-03-05,10.56,10.77,10.19,10.31,102384000.0,102384000.0,0.25,2.367,10.42333,"March 05, 98",0.02367
1998-03-06,10.43,10.75,10.32,10.73,64338400.0,64338400.0,-0.3,-2.876,10.6,"March 06, 98",-0.02876
1998-03-09,10.61,10.74,10.19,10.2,61294800.0,61294800.0,0.41,3.864,10.37667,"March 09, 98",0.03864
1998-03-10,10.46,10.48,10.0,10.23,88537200.0,88537200.0,0.23,2.199,10.23667,"March 10, 98",0.02199
1998-03-11,10.41,10.71,10.34,10.44,75829200.0,75829200.0,-0.03,-0.288,10.49667,"March 11, 98",-0.00288
1998-03-12,10.54,10.69,10.42,10.66,47346400.0,47346400.0,-0.12,-1.139,10.59,"March 12, 98",-0.01139
1998-03-13,10.79,10.88,10.69,10.76,41296000.0,41296000.0,0.03,0.278,10.77667,"March 13, 98",0.00278
1998-03-16,10.8,10.82,10.65,10.73,33524400.0,33524400.0,0.07,0.648,10.73333,"March 16, 98",0.00648
1998-03-17,10.74,10.82,10.48,10.76,54018000.0,54018000.0,-0.02,-0.186,10.68667,"March 17, 98",-0.00186
1998-03-18,10.54,10.75,10.52,10.59,57488800.0,57488800.0,-0.05,-0.474,10.62,"March 18, 98",-0.00474
1998-03-19,10.6,10.74,10.52,10.72,45343600.0,45343600.0,-0.12,-1.132,10.66,"March 19, 98",-0.01132
1998-03-20,10.73,10.73,10.58,10.6,42997600.0,42997600.0,0.13,1.212,10.63667,"March 20, 98",0.01212
1998-03-23,10.57,10.98,10.56,10.79,70598400.0,70598400.0,-0.22,-2.081,10.77667,"March 23, 98",-0.02081
1998-03-24,10.98,11.36,10.96,11.3,85840800.0,85840800.0,-0.32,-2.914,11.20667,"March 24, 98",-0.02914
1998-03-25,11.64,11.65,11.5,11.59,68151600.0,68151600.0,0.05,0.43,11.58,"March 25, 98",0.0043
1998-03-26,11.53,11.63,11.42,11.56,41119200.0,41119200.0,-0.03,-0.26,11.53667,"March 26, 98",-0.0026
1998-03-27,11.64,11.67,11.47,11.56,50054800.0,50054800.0,0.08,0.687,11.56667,"March 27, 98",0.00687
1998-03-30,11.55,11.6,11.15,11.24,38302800.0,38302800.0,0.31,2.684,11.33,"March 30, 98",0.02684
1998-03-31,11.33,11.5,11.27,11.4,36589600.0,36589600.0,-0.07,-0.618,11.39,"March 31, 98",-0.00618
1998-04-01,11.45,11.59,11.27,11.55,44187600.0,44187600.0,-0.1,-0.873,11.47,"April 01, 98",-0.00873
1998-04-02,11.54,11.79,11.5,11.71,51847600.0,51847600.0,-0.17,-1.473,11.66667,"April 02, 98",-0.01473
1998-04-03,11.72,11.99,11.69,11.78,54301600.0,54301600.0,-0.06,-0.512,11.82,"April 03, 98",-0.00512
1998-04-06,11.88,11.9,11.47,11.5,43793200.0,43793200.0,0.38,3.199,11.62333,"April 06, 98",0.03199
1998-04-07,11.39,11.52,11.22,11.5,52782400.0,52782400.0,-0.11,-0.966,11.41333,"April 07, 98",-0.00966
1998-04-08,11.57,11.57,11.25,11.38,50500000.0,50500000.0,0.19,1.642,11.4,"April 08, 98",0.01642
1998-04-09,11.46,11.48,11.03,11.17,66436000.0,66436000.0,0.29,2.531,11.22667,"April 09, 98",0.02531
1998-04-13,11.09,11.19,11.01,11.08,42171600.0,42171600.0,0.01,0.09,11.09333,"April 13, 98",0.0009
1998-04-14,11.04,11.4,11.03,11.28,57588000.0,57588000.0,-0.24,-2.174,11.23667,"April 14, 98",-0.02174
1998-04-15,11.4,11.83,11.35,11.78,66373200.0,66373200.0,-0.38,-3.333,11.65333,"April 15, 98",-0.03333
1998-04-16,11.79,11.88,11.6,11.7,41024800.0,41024800.0,0.09,0.763,11.72667,"April 16, 98",0.00763
1998-04-17,11.57,11.75,11.56,11.74,30150400.0,30150400.0,-0.17,-1.469,11.68333,"April 17, 98",-0.01469
1998-04-20,11.85,12.17,11.76,12.04,42646800.0,42646800.0,-0.19,-1.603,11.99,"April 20, 98",-0.01603
