date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2000-10-23,17.38,18.0,17.38,18.0,22000.0,22000.0,-0.62,-3.567,17.79333,"October 23, 00",-0.03567
2000-10-24,17.25,17.25,16.5,16.63,83200.0,83200.0,0.62,3.594,16.79333,"October 24, 00",0.03594
2000-10-25,16.0,16.31,16.0,16.31,8600.0,8600.0,-0.31,-1.938,16.20667,"October 25, 00",-0.01938
2000-10-26,15.75,15.81,15.69,15.75,6400.0,6400.0,0.0,0.0,15.75,"October 26, 00",0.0
2000-10-27,15.44,15.63,15.44,15.63,3000.0,3000.0,-0.19,-1.231,15.56667,"October 27, 00",-0.01231
2000-10-30,15.63,15.69,15.5,15.56,5900.0,5900.0,0.07,0.448,15.58333,"October 30, 00",0.00448
2000-10-31,15.63,15.81,15.63,15.69,3800.0,3800.0,-0.06,-0.384,15.71,"October 31, 00",-0.00384
2000-11-01,15.56,15.63,15.44,15.63,11000.0,11000.0,-0.07,-0.45,15.56667,"November 01, 00",-0.0045
2000-11-02,15.5,15.63,15.13,15.13,149000.0,149000.0,0.37,2.387,15.29667,"November 02, 00",0.02387
2000-11-03,15.38,15.5,15.31,15.38,19300.0,19300.0,0.0,0.0,15.39667,"November 03, 00",0.0
2000-11-06,15.0,15.13,14.56,14.63,44800.0,44800.0,0.37,2.467,14.77333,"November 06, 00",0.02467
2000-11-07,14.38,14.38,14.19,14.25,34400.0,34400.0,0.13,0.904,14.27333,"November 07, 00",0.00904
2000-11-08,14.25,14.5,14.25,14.25,14500.0,14500.0,0.0,0.0,14.33333,"November 08, 00",0.0
2000-11-09,14.38,14.38,14.06,14.06,10600.0,10600.0,0.32,2.225,14.16667,"November 09, 00",0.02225
2000-11-10,14.25,14.38,14.13,14.13,17700.0,17700.0,0.12,0.842,14.21333,"November 10, 00",0.00842
2000-11-13,14.13,14.38,13.75,13.75,25200.0,25200.0,0.38,2.689,13.96,"November 13, 00",0.02689
2000-11-14,14.0,14.13,14.0,14.06,21900.0,21900.0,-0.06,-0.429,14.06333,"November 14, 00",-0.00429
2000-11-15,14.13,14.25,14.13,14.19,9900.0,9900.0,-0.06,-0.425,14.19,"November 15, 00",-0.00425
2000-11-16,14.31,14.5,14.31,14.5,10600.0,10600.0,-0.19,-1.328,14.43667,"November 16, 00",-0.01328
2000-11-17,14.5,14.56,14.38,14.5,9600.0,9600.0,0.0,0.0,14.48,"November 17, 00",0.0
2000-11-20,14.38,14.5,14.38,14.5,3700.0,3700.0,-0.12,-0.834,14.46,"November 20, 00",-0.00834
2000-11-21,14.25,14.31,14.19,14.31,28200.0,28200.0,-0.06,-0.421,14.27,"November 21, 00",-0.00421
2000-11-22,14.19,14.19,13.94,14.06,8600.0,8600.0,0.13,0.916,14.06333,"November 22, 00",0.00916
2000-11-24,14.19,14.19,14.13,14.13,2200.0,2200.0,0.06,0.423,14.15,"November 24, 00",0.00423
2000-11-27,14.19,14.19,14.13,14.19,7800.0,7800.0,0.0,0.0,14.17,"November 27, 00",0.0
