date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,16.19,16.22,15.83,15.92,1140800.0,1140800.0,0.27,1.668,15.99,"January 02, 98",0.01668
1998-01-05,15.81,16.41,15.7,16.41,2015600.0,2015600.0,-0.6,-3.795,16.17333,"January 05, 98",-0.03795
1998-01-06,16.13,16.23,15.64,15.73,2194000.0,2194000.0,0.4,2.48,15.86667,"January 06, 98",0.0248
1998-01-07,15.81,15.92,15.45,15.81,1859200.0,1859200.0,0.0,0.0,15.72667,"January 07, 98",0.0
1998-01-08,15.81,15.81,15.34,15.58,2550000.0,2550000.0,0.23,1.455,15.57667,"January 08, 98",0.01455
1998-01-09,15.52,15.73,15.25,15.55,3323600.0,3323600.0,-0.03,-0.193,15.51,"January 09, 98",-0.00193
1998-01-12,15.25,15.75,15.22,15.75,1194800.0,1194800.0,-0.5,-3.279,15.57333,"January 12, 98",-0.03279
1998-01-13,15.72,15.77,15.41,15.75,1004400.0,1004400.0,-0.03,-0.191,15.64333,"January 13, 98",-0.00191
1998-01-14,15.75,16.31,15.75,16.25,1818000.0,1818000.0,-0.5,-3.175,16.10333,"January 14, 98",-0.03175
1998-01-15,16.27,16.3,16.09,16.13,1273200.0,1273200.0,0.14,0.86,16.17333,"January 15, 98",0.0086
1998-01-16,16.25,16.42,16.13,16.41,1230800.0,1230800.0,-0.16,-0.985,16.32,"January 16, 98",-0.00985
1998-01-20,16.75,16.81,16.42,16.81,1636000.0,1636000.0,-0.06,-0.358,16.68,"January 20, 98",-0.00358
1998-01-21,16.75,16.77,16.31,16.42,1222000.0,1222000.0,0.33,1.97,16.5,"January 21, 98",0.0197
1998-01-22,16.27,16.64,16.27,16.33,1330800.0,1330800.0,-0.06,-0.369,16.41333,"January 22, 98",-0.00369
1998-01-23,16.38,16.5,16.09,16.16,1340800.0,1340800.0,0.22,1.343,16.25,"January 23, 98",0.01343
