date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2000-06-09,11.05,11.62,10.8,11.31,7867600.0,7867600.0,-0.26,-2.353,11.24333,"June 09, 00",-0.02353
2000-06-12,11.21,12.09,11.16,11.93,1204600.0,1204600.0,-0.72,-6.423,11.72667,"June 12, 00",-0.06423
2000-06-13,11.98,12.04,11.36,11.73,594700.0,594700.0,0.25,2.087,11.71,"June 13, 00",0.02087
2000-06-14,11.47,11.67,11.42,11.57,605300.0,605300.0,-0.1,-0.872,11.55333,"June 14, 00",-0.00872
2000-06-15,11.47,11.83,11.47,11.62,517800.0,517800.0,-0.15,-1.308,11.64,"June 15, 00",-0.01308
2000-06-16,11.57,11.73,11.57,11.62,155600.0,155600.0,-0.05,-0.432,11.64,"June 16, 00",-0.00432
2000-06-19,11.83,12.55,11.78,12.45,1053100.0,1053100.0,-0.62,-5.241,12.26,"June 19, 00",-0.05241
2000-06-20,12.45,12.91,12.4,12.86,678500.0,678500.0,-0.41,-3.293,12.72333,"June 20, 00",-0.03293
2000-06-21,12.76,13.17,12.4,12.6,376500.0,376500.0,0.16,1.254,12.72333,"June 21, 00",0.01254
2000-06-22,13.02,13.12,12.6,12.71,287900.0,287900.0,0.31,2.381,12.81,"June 22, 00",0.02381
2000-06-23,12.6,12.6,12.04,12.29,182100.0,182100.0,0.31,2.46,12.31,"June 23, 00",0.0246
2000-06-26,12.24,13.02,12.04,12.86,339800.0,339800.0,-0.62,-5.065,12.64,"June 26, 00",-0.05065
2000-06-27,12.65,13.48,12.65,13.12,470300.0,470300.0,-0.47,-3.715,13.08333,"June 27, 00",-0.03715
2000-06-28,13.12,13.43,12.96,13.12,434800.0,434800.0,0.0,0.0,13.17,"June 28, 00",0.0
2000-06-29,13.02,13.02,12.71,12.81,319400.0,319400.0,0.21,1.613,12.84667,"June 29, 00",0.01613
2000-06-30,12.81,13.38,12.5,13.38,279600.0,279600.0,-0.57,-4.45,13.08667,"June 30, 00",-0.0445
2000-07-03,13.22,13.22,13.02,13.07,47700.0,47700.0,0.15,1.135,13.10333,"July 03, 00",0.01135
2000-07-05,12.91,14.05,12.91,13.38,595900.0,595900.0,-0.47,-3.641,13.44667,"July 05, 00",-0.03641
