date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-08,10.0,10.0,9.25,9.5,134200.0,134200.0,0.5,5.0,9.58333,"January 08, 98",0.05
1998-01-09,9.61,9.61,9.61,9.61,1900.0,1900.0,0.0,0.0,9.61,"January 09, 98",0.0
1998-01-12,9.25,9.25,8.75,8.88,93400.0,93400.0,0.37,4.0,8.96,"January 12, 98",0.04
1998-01-13,9.13,9.63,9.0,9.5,281300.0,281300.0,-0.37,-4.053,9.37667,"January 13, 98",-0.04053
1998-01-14,9.31,10.0,9.31,9.81,167200.0,167200.0,-0.5,-5.371,9.70667,"January 14, 98",-0.05371
1998-01-15,10.0,11.56,9.81,11.06,907200.0,907200.0,-1.06,-10.6,10.81,"January 15, 98",-0.106
1998-01-16,11.06,11.13,10.81,11.0,78000.0,78000.0,0.06,0.542,10.98,"January 16, 98",0.00542
1998-01-20,10.88,11.06,10.88,10.91,167300.0,167300.0,-0.03,-0.276,10.95,"January 20, 98",-0.00276
1998-01-21,10.94,10.94,10.22,10.25,92100.0,92100.0,0.69,6.307,10.47,"January 21, 98",0.06307
1998-01-22,10.19,10.44,10.19,10.25,26100.0,26100.0,-0.06,-0.589,10.29333,"January 22, 98",-0.00589
1998-01-23,10.25,10.31,10.13,10.13,61500.0,61500.0,0.12,1.171,10.19,"January 23, 98",0.01171
1998-01-26,10.13,10.19,9.81,10.0,60600.0,60600.0,0.13,1.283,10.0,"January 26, 98",0.01283
1998-01-27,9.81,10.25,9.38,10.0,82300.0,82300.0,-0.19,-1.937,9.87667,"January 27, 98",-0.01937
1998-01-28,10.0,10.38,10.0,10.19,23300.0,23300.0,-0.19,-1.9,10.19,"January 28, 98",-0.019
1998-01-29,10.13,10.13,10.0,10.0,12000.0,12000.0,0.13,1.283,10.04333,"January 29, 98",0.01283
1998-01-30,10.0,10.0,9.88,10.0,12800.0,12800.0,0.0,0.0,9.96,"January 30, 98",0.0
1998-02-02,9.88,10.0,9.75,9.75,26000.0,26000.0,0.13,1.316,9.83333,"February 02, 98",0.01316
1998-02-03,9.75,10.0,9.75,10.0,75000.0,75000.0,-0.25,-2.564,9.91667,"February 03, 98",-0.02564
1998-02-04,9.94,10.19,9.94,9.97,32300.0,32300.0,-0.03,-0.302,10.03333,"February 04, 98",-0.00302
1998-02-05,9.94,10.13,9.94,10.06,47800.0,47800.0,-0.12,-1.207,10.04333,"February 05, 98",-0.01207
1998-02-06,9.94,10.31,9.94,10.13,51200.0,51200.0,-0.19,-1.911,10.12667,"February 06, 98",-0.01911
1998-02-09,10.0,10.25,9.94,10.06,71300.0,71300.0,-0.06,-0.6,10.08333,"February 09, 98",-0.006
1998-02-10,9.94,10.0,9.94,9.94,64900.0,64900.0,0.0,0.0,9.96,"February 10, 98",0.0
1998-02-11,9.94,10.0,9.63,9.63,118700.0,118700.0,0.31,3.119,9.75333,"February 11, 98",0.03119
1998-02-12,9.88,9.94,9.75,9.81,42500.0,42500.0,0.07,0.709,9.83333,"February 12, 98",0.00709
1998-02-13,9.81,9.94,9.63,9.63,10200.0,10200.0,0.18,1.835,9.73333,"February 13, 98",0.01835
1998-02-17,9.63,9.75,9.5,9.56,108000.0,108000.0,0.07,0.727,9.60333,"February 17, 98",0.00727
1998-02-18,9.56,9.94,9.56,9.81,65900.0,65900.0,-0.25,-2.615,9.77,"February 18, 98",-0.02615
1998-02-19,9.88,9.88,9.5,9.56,84800.0,84800.0,0.32,3.239,9.64667,"February 19, 98",0.03239
1998-02-20,9.56,9.69,9.56,9.63,24000.0,24000.0,-0.07,-0.732,9.62667,"February 20, 98",-0.00732
1998-02-23,9.63,9.63,9.38,9.44,213400.0,213400.0,0.19,1.973,9.48333,"February 23, 98",0.01973
1998-02-24,9.44,9.5,9.44,9.44,206600.0,206600.0,0.0,0.0,9.46,"February 24, 98",0.0
1998-02-25,9.5,9.56,9.44,9.5,191900.0,191900.0,0.0,0.0,9.5,"February 25, 98",0.0
1998-02-26,9.5,9.5,9.44,9.44,27100.0,27100.0,0.06,0.632,9.46,"February 26, 98",0.00632
1998-02-27,9.44,9.44,9.31,9.31,50700.0,50700.0,0.13,1.377,9.35333,"February 27, 98",0.01377
1998-03-02,9.31,9.44,9.31,9.31,43500.0,43500.0,0.0,0.0,9.35333,"March 02, 98",0.0
1998-03-03,9.38,9.88,9.38,9.75,434200.0,434200.0,-0.37,-3.945,9.67,"March 03, 98",-0.03945
1998-03-04,9.75,9.94,9.69,9.94,78100.0,78100.0,-0.19,-1.949,9.85667,"March 04, 98",-0.01949
1998-03-05,9.81,10.0,9.81,9.88,82300.0,82300.0,-0.07,-0.714,9.89667,"March 05, 98",-0.00714
1998-03-06,9.88,10.13,9.88,10.0,87800.0,87800.0,-0.12,-1.215,10.00333,"March 06, 98",-0.01215
1998-03-09,10.0,10.13,9.81,9.81,48500.0,48500.0,0.19,1.9,9.91667,"March 09, 98",0.019
1998-03-10,9.75,9.81,9.63,9.69,49700.0,49700.0,0.06,0.615,9.71,"March 10, 98",0.00615
1998-03-11,9.69,9.75,9.63,9.69,47900.0,47900.0,0.0,0.0,9.69,"March 11, 98",0.0
1998-03-12,9.63,9.63,9.56,9.63,28800.0,28800.0,0.0,0.0,9.60667,"March 12, 98",0.0
1998-03-13,9.75,9.78,9.56,9.78,27800.0,27800.0,-0.03,-0.308,9.70667,"March 13, 98",-0.00308
1998-03-16,9.69,9.75,9.69,9.69,37000.0,37000.0,0.0,0.0,9.71,"March 16, 98",0.0
1998-03-17,9.88,9.88,9.69,9.72,6200.0,6200.0,0.16,1.619,9.76333,"March 17, 98",0.01619
1998-03-18,9.69,9.81,9.69,9.72,48400.0,48400.0,-0.03,-0.31,9.74,"March 18, 98",-0.0031
1998-03-19,9.69,9.75,9.56,9.56,49100.0,49100.0,0.13,1.342,9.62333,"March 19, 98",0.01342
1998-03-20,9.5,9.59,9.5,9.56,19500.0,19500.0,-0.06,-0.632,9.55,"March 20, 98",-0.00632
1998-03-23,9.56,9.56,9.44,9.47,81300.0,81300.0,0.09,0.941,9.49,"March 23, 98",0.00941
