date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,4.22,4.28,4.19,4.28,188800.0,188800.0,-0.06,-1.422,4.25,"January 02, 98",-0.01422
1998-01-05,4.25,4.25,4.22,4.23,172000.0,172000.0,0.02,0.471,4.23333,"January 05, 98",0.00471
1998-01-06,4.19,4.2,4.09,4.16,91600.0,91600.0,0.03,0.716,4.15,"January 06, 98",0.00716
1998-01-07,4.13,4.13,4.08,4.09,202800.0,202800.0,0.04,0.969,4.1,"January 07, 98",0.00969
1998-01-08,4.03,4.09,4.03,4.09,152000.0,152000.0,-0.06,-1.489,4.07,"January 08, 98",-0.01489
1998-01-09,4.06,4.08,3.98,4.0,72000.0,72000.0,0.06,1.478,4.02,"January 09, 98",0.01478
1998-01-12,3.97,4.06,3.92,4.02,104000.0,104000.0,-0.05,-1.259,4.0,"January 12, 98",-0.01259
1998-01-13,4.0,4.03,4.0,4.02,18400.0,18400.0,-0.02,-0.5,4.01667,"January 13, 98",-0.005
1998-01-14,4.0,4.05,4.0,4.03,51200.0,51200.0,-0.03,-0.75,4.02667,"January 14, 98",-0.0075
1998-01-15,4.02,4.08,4.02,4.08,46000.0,46000.0,-0.06,-1.493,4.06,"January 15, 98",-0.01493
1998-01-16,4.11,4.16,4.08,4.11,111200.0,111200.0,0.0,0.0,4.11667,"January 16, 98",0.0
1998-01-20,4.06,4.08,4.06,4.08,160400.0,160400.0,-0.02,-0.493,4.07333,"January 20, 98",-0.00493
1998-01-21,4.06,4.09,4.03,4.03,178400.0,178400.0,0.03,0.739,4.05,"January 21, 98",0.00739
1998-01-22,4.05,4.09,4.03,4.08,258800.0,258800.0,-0.03,-0.741,4.06667,"January 22, 98",-0.00741
1998-01-23,4.05,4.08,4.03,4.03,78000.0,78000.0,0.02,0.494,4.04667,"January 23, 98",0.00494
1998-01-26,4.03,4.06,4.02,4.05,174000.0,174000.0,-0.02,-0.496,4.04333,"January 26, 98",-0.00496
1998-01-27,4.05,4.19,4.05,4.17,232800.0,232800.0,-0.12,-2.963,4.13667,"January 27, 98",-0.02963
1998-01-28,4.17,4.27,4.16,4.23,1294400.0,1294400.0,-0.06,-1.439,4.22,"January 28, 98",-0.01439
1998-01-29,4.2,4.23,4.17,4.17,262000.0,262000.0,0.03,0.714,4.19,"January 29, 98",0.00714
1998-01-30,4.17,4.19,4.16,4.16,275200.0,275200.0,0.01,0.24,4.17,"January 30, 98",0.0024
1998-02-02,4.14,4.16,4.0,4.06,444800.0,444800.0,0.08,1.932,4.07333,"February 02, 98",0.01932
1998-02-03,4.05,4.09,4.03,4.06,128800.0,128800.0,-0.01,-0.247,4.06,"February 03, 98",-0.00247
1998-02-04,4.05,4.11,4.05,4.09,723600.0,723600.0,-0.04,-0.988,4.08333,"February 04, 98",-0.00988
1998-02-05,4.08,4.11,4.06,4.08,196000.0,196000.0,0.0,0.0,4.08333,"February 05, 98",0.0
1998-02-06,4.05,4.06,4.03,4.05,93600.0,93600.0,0.0,0.0,4.04667,"February 06, 98",0.0
