date,1. open,2. high,3. low,4. close,5. volume
1998-01-02,30.81,31.0,30.56,31.0,695200.0
1998-01-05,31.0,31.0,30.56,30.88,542800.0
1998-01-06,30.69,31.19,30.63,31.0,1227800.0
1998-01-07,30.75,32.56,30.69,32.56,1415400.0
1998-01-08,32.31,32.56,31.94,32.56,1456200.0
1998-01-09,33.0,33.0,31.63,31.75,996200.0
1998-01-12,31.0,31.88,30.94,31.56,1233800.0
1998-01-13,31.44,31.5,30.88,31.06,817600.0
1998-01-14,31.19,32.31,30.88,32.19,1698000.0
1998-01-15,32.31,32.5,31.75,32.0,1507200.0
1998-01-16,32.0,32.13,31.63,31.75,1130800.0
1998-01-20,31.75,32.0,31.5,32.0,1061000.0
1998-01-21,32.0,32.0,31.31,31.5,1347400.0
1998-01-22,31.25,31.5,30.94,31.31,1461600.0
1998-01-23,31.19,31.5,31.0,31.13,493800.0
1998-01-26,31.13,31.63,30.69,31.63,552000.0
1998-01-27,31.5,31.88,31.44,31.63,829200.0
1998-01-28,31.56,32.06,31.56,32.0,1396200.0
1998-01-29,32.0,32.19,31.69,31.94,668400.0
1998-01-30,31.69,31.94,31.19,31.88,838400.0
1998-02-02,32.0,32.63,32.0,32.19,1317000.0
1998-02-03,32.31,32.44,32.06,32.38,334000.0
1998-02-04,32.44,32.5,31.88,32.0,610000.0
1998-02-05,31.81,32.13,31.81,32.0,662200.0
1998-02-06,32.13,32.38,31.75,31.94,838400.0
1998-02-09,31.94,32.06,31.69,32.0,1004400.0
1998-02-10,32.0,32.38,31.94,32.0,550200.0
1998-02-11,32.25,32.5,32.06,32.19,465000.0
1998-02-12,32.13,32.56,32.0,32.5,863800.0
1998-02-13,32.31,32.38,32.06,32.19,481400.0
1998-02-17,31.94,32.44,31.63,31.69,592800.0
1998-02-18,31.63,32.31,31.5,32.25,613600.0
1998-02-19,32.5,32.5,31.88,32.44,598400.0
1998-02-20,32.75,32.94,32.5,32.94,403000.0
1998-02-23,33.0,33.31,32.56,32.81,572600.0
