date,1. open,2. high,3. low,4. close,5. volume
2007-07-13,29.6,30.1,29.6,29.6,10416.0
2007-07-16,29.7,29.8,29.7,29.7,20528.0
2007-07-17,29.5,29.8,29.5,29.5,6287.0
2007-07-18,29.2,29.75,29.2,29.2,16993.0
2007-07-19,29.3,29.75,29.3,29.3,27618.0
2007-07-20,29.55,29.9539,29.45,29.55,23894.0
2007-07-23,29.9,30.1,29.65,29.9,11670.0
2007-07-24,29.76,30.35,29.5,29.76,11984.0
2007-07-25,29.59,30.0,29.59,29.59,59652.0
2007-07-26,29.16,29.85,28.8,29.16,13176.0
2007-07-27,28.9,29.5,28.9,28.9,25902.0
2007-07-30,29.2,29.45,28.95,29.2,15899.0
2007-07-31,29.2,29.5,29.15,29.2,9957.0
2007-08-01,29.22,29.37,28.85,29.22,33117.0
2007-08-02,29.25,29.32,29.0,29.25,18896.0
2007-08-03,27.55,28.9,27.52,27.55,24501.0
2007-08-06,29.15,29.5,29.02,29.15,25410.0
2007-08-07,28.9,29.5,28.9,28.9,11812.0
2007-08-08,29.65,29.97,29.5,29.65,31751.0
2007-08-09,29.05,29.7,29.05,29.05,15598.0
2007-08-10,28.75,29.47,28.75,28.75,24602.0
2007-08-13,28.75,28.95,28.75,28.75,15968.0
2007-08-14,28.5,28.95,28.5,28.5,17191.0
2007-08-15,28.65,29.35,28.65,28.65,66957.0
2007-08-16,29.05,29.15,28.05,29.05,35579.0
2007-08-17,29.3,29.5,29.0,29.3,29108.0
2007-08-20,28.3,28.8,28.3,28.3,15763.0
2007-08-21,28.6,29.1,28.46,28.6,15401.0
2007-08-22,29.25,29.35,28.5,29.25,60670.0
2007-08-23,28.7,28.7,28.15,28.7,22650.0
2007-08-24,28.6,28.62,28.0,28.6,24472.0
2007-08-27,28.15,28.4,28.15,28.15,35506.0
2007-08-28,27.9,28.7,27.9,27.9,18355.0
2007-08-29,28.11,28.5,28.0,28.11,44121.0
2007-08-30,28.5,28.75,28.5,28.5,30744.0
2007-08-31,29.02,29.5,28.9,29.02,38342.0
2007-09-04,28.5,28.94,28.46,28.5,18966.0
2007-09-05,27.86,28.22,27.81,27.86,35137.0
2007-09-06,28.21,28.55,28.2,28.21,16155.0
2007-09-07,28.28,28.4,27.75,28.28,28522.0
2007-09-10,28.2,28.22,27.65,28.2,26804.0
2007-09-11,27.45,27.65,27.4,27.45,24373.0
2007-09-12,27.65,27.92,27.6,27.65,38460.0
2007-09-13,27.35,27.75,27.3,27.35,10961.0
2007-09-14,28.0,28.05,27.75,28.0,23985.0
2007-09-17,27.6,27.92,27.55,27.6,26416.0
2007-09-18,27.05,27.85,26.95,27.05,18530.0
2007-09-19,28.1,28.3673,27.75,28.1,69890.0
2007-09-20,28.5,28.7,28.35,28.5,45330.0
2007-09-21,28.4,28.7,28.1,28.4,30162.0
2007-09-24,28.25,28.6,28.25,28.25,10695.0
2007-09-25,28.6,28.9,28.1,28.6,12179.0
2007-09-26,28.2,28.25,27.7,28.2,33512.0
2007-09-27,28.45,28.6,28.3,28.45,14751.0
