date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2004-07-13,14.0,14.1,13.49,13.5,14964100.0,14964100.0,0.5,3.571,13.69667,"July 13, 04",0.03571
2004-07-14,13.5,13.55,12.91,13.44,2801000.0,2801000.0,0.06,0.444,13.3,"July 14, 04",0.00444
2004-07-15,13.45,13.85,13.35,13.84,1276200.0,1276200.0,-0.39,-2.9,13.68,"July 15, 04",-0.029
2004-07-16,13.87,13.9,13.51,13.83,1488200.0,1488200.0,0.04,0.288,13.74667,"July 16, 04",0.00288
2004-07-19,13.8,13.8,13.35,13.52,966200.0,966200.0,0.28,2.029,13.55667,"July 19, 04",0.02029
2004-07-20,13.52,13.93,13.41,13.93,719300.0,719300.0,-0.41,-3.033,13.75667,"July 20, 04",-0.03033
2004-07-21,13.94,13.94,13.5,13.6,472300.0,472300.0,0.34,2.439,13.68,"July 21, 04",0.02439
2004-07-22,13.6,13.65,13.33,13.6,218500.0,218500.0,0.0,0.0,13.52667,"July 22, 04",0.0
2004-07-23,13.4,13.62,13.4,13.56,268500.0,268500.0,-0.16,-1.194,13.52667,"July 23, 04",-0.01194
2004-07-26,13.5,13.5,13.05,13.2,236200.0,236200.0,0.3,2.222,13.25,"July 26, 04",0.02222
2004-07-27,13.2,13.2,12.4,12.75,2668000.0,2668000.0,0.45,3.409,12.78333,"July 27, 04",0.03409
2004-07-28,12.85,13.12,12.84,13.03,1028100.0,1028100.0,-0.18,-1.401,12.99667,"July 28, 04",-0.01401
2004-07-29,13.1,13.78,13.1,13.78,1015700.0,1015700.0,-0.68,-5.191,13.55333,"July 29, 04",-0.05191
2004-07-30,13.72,13.9,13.55,13.9,623000.0,623000.0,-0.18,-1.312,13.78333,"July 30, 04",-0.01312
2004-08-02,13.8,13.8,13.55,13.7,329400.0,329400.0,0.1,0.725,13.68333,"August 02, 04",0.00725
2004-08-03,13.7,14.08,13.7,13.94,1557100.0,1557100.0,-0.24,-1.752,13.90667,"August 03, 04",-0.01752
2004-08-04,14.04,14.04,13.88,13.9,156300.0,156300.0,0.14,0.997,13.94,"August 04, 04",0.00997
2004-08-05,13.94,14.0,13.86,13.89,188100.0,188100.0,0.05,0.359,13.91667,"August 05, 04",0.00359
2004-08-06,13.82,14.0,13.7,13.8,276300.0,276300.0,0.02,0.145,13.83333,"August 06, 04",0.00145
2004-08-09,13.8,13.8,13.5,13.7,212100.0,212100.0,0.1,0.725,13.66667,"August 09, 04",0.00725
2004-08-10,13.7,13.85,13.65,13.79,272400.0,272400.0,-0.09,-0.657,13.76333,"August 10, 04",-0.00657
2004-08-11,13.8,13.88,13.6,13.7,166800.0,166800.0,0.1,0.725,13.72667,"August 11, 04",0.00725
2004-08-12,13.65,13.75,13.58,13.63,284700.0,284700.0,0.02,0.147,13.65333,"August 12, 04",0.00147
2004-08-13,13.68,13.7,13.35,13.4,104900.0,104900.0,0.28,2.047,13.48333,"August 13, 04",0.02047
2004-08-16,13.4,13.55,13.4,13.48,86400.0,86400.0,-0.08,-0.597,13.47667,"August 16, 04",-0.00597
2004-08-17,13.4,13.65,13.25,13.45,161100.0,161100.0,-0.05,-0.373,13.45,"August 17, 04",-0.00373
2004-08-18,13.52,13.64,13.35,13.61,43000.0,43000.0,-0.09,-0.666,13.53333,"August 18, 04",-0.00666
2004-08-19,13.6,13.6,12.75,13.3,124100.0,124100.0,0.3,2.206,13.21667,"August 19, 04",0.02206
2004-08-20,13.25,13.64,13.1,13.64,112300.0,112300.0,-0.39,-2.943,13.46,"August 20, 04",-0.02943
2004-08-23,13.7,13.91,13.6,13.85,442900.0,442900.0,-0.15,-1.095,13.78667,"August 23, 04",-0.01095
2004-08-24,13.75,13.8,13.45,13.8,607400.0,607400.0,-0.05,-0.364,13.68333,"August 24, 04",-0.00364
2004-08-25,13.8,13.89,13.51,13.8,307300.0,307300.0,0.0,0.0,13.73333,"August 25, 04",0.0
2004-08-26,13.9,13.9,13.7,13.7,104300.0,104300.0,0.2,1.439,13.76667,"August 26, 04",0.01439
2004-08-27,13.75,14.08,13.75,14.04,880600.0,880600.0,-0.29,-2.109,13.95667,"August 27, 04",-0.02109
2004-08-30,14.0,14.15,13.9,14.02,265000.0,265000.0,-0.02,-0.143,14.02333,"August 30, 04",-0.00143
2004-08-31,13.95,14.25,13.95,14.25,401800.0,401800.0,-0.3,-2.151,14.15,"August 31, 04",-0.02151
2004-09-01,14.25,14.59,14.25,14.45,421400.0,421400.0,-0.2,-1.404,14.43,"September 01, 04",-0.01404
2004-09-02,14.5,14.5,14.15,14.3,273800.0,273800.0,0.2,1.379,14.31667,"September 02, 04",0.01379
2004-09-03,14.05,14.2,13.75,14.0,310100.0,310100.0,0.05,0.356,13.98333,"September 03, 04",0.00356
2004-09-07,14.0,14.05,13.65,13.87,329000.0,329000.0,0.13,0.929,13.85667,"September 07, 04",0.00929
2004-09-08,13.77,13.87,13.7,13.79,178000.0,178000.0,-0.02,-0.145,13.78667,"September 08, 04",-0.00145
2004-09-09,13.69,13.95,13.69,13.78,163500.0,163500.0,-0.09,-0.657,13.80667,"September 09, 04",-0.00657
2004-09-10,14.15,14.37,13.9,14.37,1073900.0,1073900.0,-0.22,-1.555,14.21333,"September 10, 04",-0.01555
2004-09-13,14.3,14.5,14.27,14.35,394400.0,394400.0,-0.05,-0.35,14.37333,"September 13, 04",-0.0035
2004-09-14,14.44,14.9,14.28,14.83,500500.0,500500.0,-0.39,-2.701,14.67,"September 14, 04",-0.02701
2004-09-15,15.0,15.37,14.9,15.22,1045100.0,1045100.0,-0.22,-1.467,15.16333,"September 15, 04",-0.01467
2004-09-16,15.22,15.5,15.22,15.48,531000.0,531000.0,-0.26,-1.708,15.4,"September 16, 04",-0.01708
2004-09-17,15.4,15.4,15.1,15.2,270400.0,270400.0,0.2,1.299,15.23333,"September 17, 04",0.01299
2004-09-20,15.2,15.48,15.15,15.25,185700.0,185700.0,-0.05,-0.329,15.29333,"September 20, 04",-0.00329
2004-09-21,15.33,15.53,15.22,15.4,241000.0,241000.0,-0.07,-0.457,15.38333,"September 21, 04",-0.00457
2004-09-22,15.25,15.35,14.8,15.11,351900.0,351900.0,0.14,0.918,15.08667,"September 22, 04",0.00918
2004-09-23,15.01,15.2,14.88,14.97,181000.0,181000.0,0.04,0.266,15.01667,"September 23, 04",0.00266
2004-09-24,15.05,15.2,14.85,15.04,215900.0,215900.0,0.01,0.066,15.03,"September 24, 04",0.00066
2004-09-27,15.0,15.02,14.65,14.88,344400.0,344400.0,0.12,0.8,14.85,"September 27, 04",0.008
2004-09-28,14.8,15.25,14.62,15.25,223500.0,223500.0,-0.45,-3.041,15.04,"September 28, 04",-0.03041
2004-09-29,15.35,15.4,14.95,15.05,757800.0,757800.0,0.3,1.954,15.13333,"September 29, 04",0.01954
