date,1. open,2. high,3. low,4. close,5. volume
2005-06-29,24.0,24.51,23.11,24.1,10565100.0
2005-06-30,24.5,25.0,24.25,24.95,1792600.0
2005-07-01,24.45,26.0,24.45,25.85,578100.0
2005-07-05,26.05,26.6,26.05,26.35,976200.0
2005-07-06,26.6,26.69,24.9,25.41,610600.0
2005-07-07,25.4,26.15,25.2,25.9,458000.0
2005-07-08,26.1,26.5,25.35,26.41,245600.0
2005-07-11,26.5,26.94,26.43,26.65,333800.0
2005-07-12,26.4,26.4,25.95,25.99,398400.0
2005-07-13,25.85,25.85,25.25,25.35,534600.0
2005-07-14,25.0,26.39,24.9,25.63,699700.0
2005-07-15,25.53,25.53,24.65,24.9,195700.0
2005-07-18,24.9,25.2,24.67,24.9,297200.0
2005-07-19,25.1,25.39,24.71,25.25,327900.0
2005-07-20,25.25,26.95,25.0,26.67,539300.0
2005-07-21,26.65,27.11,26.01,26.9,353300.0
2005-07-22,26.8,26.9,26.51,26.8,280600.0
2005-07-25,26.8,27.5,26.8,27.11,188300.0
2005-07-26,27.15,27.15,26.3,26.66,135400.0
2005-07-27,26.3,26.3,25.8,26.1,137200.0
2005-07-28,26.15,26.22,25.72,26.19,161500.0
2005-07-29,26.15,26.55,25.95,26.5,125700.0
2005-08-01,26.25,27.15,26.01,27.05,219400.0
2005-08-02,26.95,27.3154,26.8,26.85,165300.0
2005-08-03,26.83,26.83,26.41,26.7,169100.0
2005-08-04,26.6,26.64,25.25,25.47,496600.0
2005-08-05,25.4,25.4,24.77,24.96,274200.0
2005-08-08,25.06,25.25,24.32,24.59,182300.0
2005-08-09,24.6,25.11,24.3,24.91,359400.0
2005-08-10,25.0,25.37,25.0,25.33,330200.0
2005-08-11,25.45,25.45,24.85,24.97,123000.0
2005-08-12,24.95,24.95,24.61,24.78,91000.0
2005-08-15,24.8,25.05,24.45,24.93,82000.0
2005-08-16,24.94,24.94,24.4,24.53,38000.0
2005-08-17,24.65,24.69,24.45,24.65,197600.0
2005-08-18,24.61,25.09,24.35,24.97,117300.0
2005-08-19,24.8,24.89,24.49,24.49,384200.0
2005-08-22,24.45,24.55,24.33,24.51,67100.0
2005-08-23,24.46,24.5,24.2,24.2,127100.0
2005-08-24,24.16,24.36,23.65,23.72,220500.0
2005-08-25,23.72,23.82,22.91,22.94,422400.0
2005-08-26,22.85,23.1,22.15,22.73,456500.0
2005-08-29,22.6,22.9,22.1,22.37,180900.0
2005-08-30,22.37,22.37,21.92,21.95,397000.0
2005-08-31,21.95,22.5,21.59,22.5,798500.0
2005-09-01,22.6,22.6,21.9,22.21,410800.0
2005-09-02,22.21,22.4,21.85,22.27,282400.0
2005-09-06,22.3,23.1,22.3,22.74,333800.0
2005-09-07,22.74,22.75,21.632,22.0,497900.0
2005-09-08,22.0,22.5,21.67,22.15,686400.0
2005-09-09,22.05,23.85,22.0,23.6,454700.0
2005-09-12,23.65,23.7,23.53,23.7,79600.0
2005-09-13,23.7,23.7,23.48,23.51,161600.0
2005-09-14,23.55,23.85,23.3,23.85,245900.0
2005-09-15,23.96,25.28,23.87,25.22,464300.0
2005-09-16,25.35,25.37,24.95,25.17,90300.0
2005-09-19,25.29,25.29,24.72,24.75,194300.0
2005-09-20,24.85,24.92,23.9,24.0,335400.0
2005-09-21,23.8,23.9,22.48,22.75,257400.0
