date,1. open,2. high,3. low,4. close,5. volume
2010-06-21,11.92,12.0,11.75,11.83,1763237.0
2010-06-22,11.92,12.0,11.65,11.72,2893530.0
2010-06-23,11.92,12.0,11.65,11.88,3442203.0
2010-06-24,11.92,12.0,11.65,11.72,3931873.0
2010-06-25,11.92,12.0,11.65,11.97,4379991.0
2010-06-28,11.92,12.17,11.65,12.03,4642146.0
2010-06-29,11.92,12.17,11.65,11.69,5079357.0
2010-06-30,11.92,12.17,11.65,11.67,5894076.0
2010-07-01,11.92,12.17,11.65,12.12,7024975.0
2010-07-02,11.92,12.17,11.65,11.9,7574078.0
2010-07-06,11.92,12.36,11.65,12.12,8478260.0
2010-07-07,11.92,12.61,11.65,12.6,9291281.0
2010-07-08,11.92,12.61,11.65,12.56,9892908.0
2010-07-09,11.92,12.61,11.65,12.55,11069396.0
2010-07-12,11.92,12.61,11.65,12.41,11219794.0
2010-07-13,11.92,12.72,11.65,12.63,11501754.0
2010-07-14,11.92,12.82,11.65,12.75,12619872.0
2010-07-15,11.92,13.13,11.65,13.1,13328706.0
2010-07-16,11.92,13.2,11.65,12.91,13773779.0
2010-07-19,11.92,13.2,11.65,13.05,14055055.0
2010-07-20,11.92,13.2,11.65,12.96,14244351.0
2010-07-21,11.92,13.2,11.65,12.66,14467793.0
2010-07-22,11.92,13.21,11.65,13.15,14933939.0
2010-07-23,11.92,13.21,11.65,13.14,15105887.0
2010-07-26,11.92,13.28,11.65,13.24,15557551.0
2010-07-27,11.92,13.42,11.65,13.35,16053897.0
2010-07-28,11.92,13.42,11.65,13.25,16599043.0
2010-07-29,11.92,13.6,11.65,13.37,16937797.0
2010-07-30,11.92,13.6,11.65,13.38,17722522.0
2010-08-02,11.92,13.75,11.65,13.62,18760432.0
2010-08-03,11.92,13.75,11.65,13.66,19316161.0
2010-08-04,11.92,13.78,11.65,13.75,19568507.0
2010-08-05,11.92,13.78,11.65,13.39,20483206.0
2010-08-06,11.92,13.78,11.65,13.47,20988344.0
2010-08-09,11.92,13.78,11.65,13.6,21346651.0
2010-08-10,11.92,13.78,11.65,13.48,21838751.0
2010-08-11,11.92,13.78,11.65,12.98,22347632.0
2010-08-12,11.92,13.78,11.65,13.23,22759576.0
2010-08-13,11.92,13.78,11.65,13.32,22993436.0
2010-08-16,11.92,13.78,11.65,13.55,23307826.0
2010-08-17,11.92,13.78,11.65,13.46,23582000.0
2010-08-18,11.92,13.78,11.65,13.34,23797323.0
2010-08-19,11.92,13.78,11.65,12.98,24081541.0
2010-08-20,11.92,13.78,11.65,12.81,24399259.0
2010-08-23,11.92,13.78,11.65,12.92,24629840.0
2010-08-24,11.92,13.78,11.65,12.81,25042921.0
2010-08-25,11.92,13.78,11.65,12.94,25221192.0
2010-08-26,11.92,13.78,11.65,12.81,25432325.0
2010-08-27,11.92,13.78,11.65,13.19,25794000.0
2010-08-30,11.92,13.78,11.65,12.96,25931220.0
2010-08-31,11.92,13.78,11.65,13.08,26131294.0
2010-09-01,11.92,13.78,11.65,13.3,26345877.0
2010-09-02,11.92,13.78,11.65,13.26,26515990.0
2010-09-03,11.92,13.78,11.65,13.3,27273310.0
2010-09-07,11.92,13.78,11.65,13.07,28615566.0
2010-09-08,11.92,13.78,11.65,13.22,29277972.0
2010-09-09,11.92,13.78,11.65,13.26,29494457.0
2010-09-10,11.92,13.78,11.65,13.19,29685875.0
2010-09-13,11.92,13.78,11.65,13.43,29995911.0
2010-09-14,11.92,13.78,11.65,13.59,30243885.0
2010-09-15,11.92,13.78,11.65,13.61,30377870.0
2010-09-16,11.92,13.78,11.65,13.61,30574076.0
2010-09-17,11.92,13.78,11.65,13.43,30730378.0
2010-09-20,11.92,13.78,11.65,13.57,30971946.0
2010-09-21,11.92,13.78,11.65,13.55,31297521.0
2010-09-22,11.92,13.78,11.65,13.54,31461767.0
2010-09-23,11.92,13.78,11.65,13.39,31733124.0
2010-09-24,11.92,14.86,11.65,13.73,32070170.0
2010-09-27,11.92,14.86,11.65,13.6,32188665.0
2010-09-28,11.92,14.86,11.65,13.72,32773394.0
2010-09-29,11.92,14.86,11.65,13.71,34091862.0
2010-09-30,11.92,14.86,11.65,13.63,34611718.0
2010-10-01,11.92,14.86,11.65,13.86,34757874.0
2010-10-04,11.92,14.86,11.65,13.58,35068621.0
2010-10-05,11.92,14.86,11.65,13.9,35749279.0
2010-10-06,11.92,14.86,11.65,13.96,36116810.0
2010-10-07,11.92,14.86,11.65,13.88,36475308.0
2010-10-08,11.92,14.86,11.65,13.73,36693137.0
2010-10-11,11.92,14.86,11.65,13.73,36824122.0
2010-10-12,11.92,14.86,11.65,13.72,37195749.0
2010-10-13,11.92,14.86,11.65,13.95,37320726.0
2010-10-14,11.92,14.86,11.65,13.99,38082566.0
2010-10-15,11.92,14.86,11.65,14.08,38504014.0
2010-10-18,11.92,14.86,11.65,14.05,38704608.0
2010-10-19,11.92,14.86,11.65,13.8,39402386.0
2010-10-20,11.92,14.86,11.65,14.04,39795655.0
2010-10-21,11.92,14.86,11.65,14.02,40097824.0
2010-10-22,11.92,14.86,11.65,13.97,40251076.0
2010-10-25,11.92,14.86,11.65,13.97,40501563.0
2010-10-26,11.92,14.86,11.65,14.0,41091952.0
2010-10-27,11.92,14.86,11.65,13.91,41811534.0
2010-10-28,11.92,14.86,11.65,14.46,42711591.0
2010-10-29,11.92,14.86,11.65,14.41,43417102.0
2010-11-01,11.92,14.86,11.65,14.4,43674122.0
2010-11-02,11.92,14.86,11.65,14.76,43904030.0
2010-11-03,11.92,14.86,11.65,14.65,44061152.0
2010-11-04,11.92,14.86,11.65,14.47,44576481.0
2010-11-05,11.92,14.86,11.65,14.26,45193549.0
2010-11-08,11.92,14.86,11.65,14.02,46411930.0
2010-11-09,11.92,14.86,11.65,13.97,47186706.0
2010-11-10,11.92,14.86,11.65,14.05,47540351.0
2010-11-11,11.92,14.86,11.65,13.84,47798436.0
2010-11-12,11.92,14.86,11.65,13.73,48056666.0
2010-11-15,11.92,14.86,11.65,13.7,48451884.0
2010-11-16,11.92,14.86,11.65,13.41,48923869.0
2010-11-17,11.92,14.86,11.65,13.5,49307769.0
2010-11-18,11.92,14.86,11.65,13.75,49502405.0
2010-11-19,11.92,14.86,11.65,13.8,49729170.0
2010-11-22,11.92,14.86,11.65,13.61,50012843.0
2010-11-23,11.92,14.86,11.65,13.25,50510637.0
2010-11-24,11.92,14.86,11.65,13.3,51060320.0
2010-11-26,11.92,14.86,11.65,13.14,51292088.0
2010-11-29,11.92,14.86,11.65,13.02,52143937.0
2010-11-30,11.92,14.86,11.65,12.82,52847196.0
2010-12-01,11.92,14.86,11.65,13.18,53508392.0
2010-12-02,11.92,14.86,11.65,13.18,53783253.0
2010-12-03,11.92,14.86,11.65,13.28,54159737.0
2010-12-06,11.92,14.86,11.65,13.06,54431773.0
2010-12-07,11.92,14.86,11.65,13.0,54909349.0
2010-12-08,11.92,14.86,11.65,12.99,55211983.0
2010-12-09,11.92,14.86,11.65,13.14,55441125.0
2010-12-10,11.92,14.86,11.65,13.02,55782554.0
2010-12-13,11.92,14.86,11.65,13.14,56104026.0
2010-12-14,11.92,14.86,11.65,13.13,56655944.0
2010-12-15,11.92,14.86,11.65,12.9,57335871.0
2010-12-16,11.92,14.86,11.65,12.98,57758183.0
2010-12-17,11.92,14.86,11.65,12.78,58272110.0
2010-12-20,11.92,14.86,11.65,12.65,58925929.0
2010-12-21,11.92,14.86,11.65,12.7,59209426.0
2010-12-22,11.92,14.86,11.65,12.59,61899063.0
2010-12-23,11.92,14.86,11.65,12.66,62219154.0
2010-12-27,11.92,14.86,11.65,12.64,62507852.0
2010-12-28,11.92,14.86,11.65,12.58,62913323.0
2010-12-29,11.92,14.86,11.65,12.78,63170124.0
2010-12-30,11.92,14.86,11.65,12.73,63465732.0
2010-12-31,11.92,14.86,11.65,12.8,63797472.0
2011-01-03,11.92,14.86,11.65,12.95,64231768.0
2011-01-04,11.92,14.86,11.65,12.86,64476720.0
2011-01-05,11.92,14.86,11.65,12.64,64940948.0
2011-01-06,11.92,14.86,11.65,12.7,65178224.0
2011-01-07,11.92,14.86,11.65,12.72,65370721.0
2011-01-10,11.92,14.86,11.65,12.57,65677136.0
2011-01-11,11.92,14.86,11.65,12.46,66254911.0
2011-01-12,11.92,14.86,11.65,12.73,66469613.0
2011-01-13,11.92,14.86,11.65,12.84,66948538.0
2011-01-14,11.92,14.86,11.65,12.9,67150731.0
2011-01-18,11.92,14.86,11.65,12.84,67569360.0
2011-01-19,11.92,14.86,11.65,12.89,67870632.0
2011-01-20,11.92,14.86,11.65,13.14,68118374.0
2011-01-21,11.92,14.86,11.65,13.47,68506867.0
2011-01-24,11.92,14.86,11.65,13.62,68869513.0
2011-01-25,11.92,14.86,11.65,13.52,69166175.0
2011-01-26,11.92,14.86,11.65,13.48,69497158.0
2011-01-27,11.92,14.86,11.65,13.52,72958553.0
2011-01-28,11.92,14.86,11.65,13.18,73357867.0
2011-01-31,11.92,14.86,11.65,13.32,73725413.0
2011-02-01,11.92,14.86,11.65,13.62,73965129.0
2011-02-02,11.92,14.86,11.65,13.69,74183049.0
2011-02-03,11.92,14.86,11.65,13.59,74480023.0
2011-02-04,11.92,14.86,11.65,13.64,74831203.0
2011-02-07,11.92,14.86,11.65,13.61,74985231.0
2011-02-08,11.92,14.86,11.65,13.65,75259873.0
2011-02-09,11.92,14.86,11.65,13.72,75474508.0
2011-02-10,11.92,14.86,11.65,13.57,75713544.0
2011-02-11,11.92,14.86,11.65,13.49,75969910.0
2011-02-14,11.92,14.86,11.65,13.37,76230363.0
2011-02-15,11.92,14.86,11.65,13.33,76521002.0
2011-02-16,11.92,14.86,11.65,13.52,76719026.0
2011-02-17,11.92,14.86,11.65,13.54,77695062.0
2011-02-18,11.92,14.86,11.65,13.68,78090543.0
2011-02-22,11.92,14.86,11.65,13.6,78287317.0
2011-02-23,11.92,14.86,11.65,13.65,78540321.0
2011-02-24,11.92,14.86,11.65,13.55,78796310.0
2011-02-25,11.92,14.86,11.65,13.35,79043622.0
2011-02-28,11.92,14.86,11.65,13.42,79285250.0
2011-03-01,11.92,14.86,11.65,13.29,79651936.0
2011-03-02,11.92,14.86,11.65,13.53,79888700.0
2011-03-03,11.92,14.86,11.65,13.51,80804606.0
2011-03-04,11.92,14.86,11.65,13.52,81664613.0
2011-03-07,11.92,14.86,11.65,13.46,82336550.0
2011-03-08,11.92,14.86,11.65,14.01,82724535.0
2011-03-09,11.92,14.86,11.65,14.06,82983347.0
2011-03-10,11.92,14.86,11.65,14.05,83446240.0
2011-03-11,11.92,14.86,11.65,14.13,83951084.0
2011-03-14,11.92,14.86,11.65,14.06,84111004.0
2011-03-15,11.92,14.86,11.65,13.66,84411639.0
2011-03-16,11.92,14.86,11.65,13.3,84820231.0
2011-03-17,11.92,14.86,11.65,13.55,85187030.0
2011-03-18,11.92,14.86,11.65,13.58,85336334.0
2011-03-21,11.92,15.38,11.65,15.13,89093739.0
2011-03-22,11.92,15.38,11.65,15.28,90410615.0
2011-03-23,11.92,15.38,11.65,15.3,91295794.0
2011-03-24,11.92,15.38,11.65,15.34,91642244.0
2011-03-25,11.92,15.8,11.65,15.06,91926039.0
2011-03-28,11.92,15.8,11.65,15.02,92603255.0
2011-03-29,11.92,15.8,11.65,15.15,93027709.0
2011-03-30,11.92,15.8,11.65,15.32,93563992.0
2011-03-31,11.92,15.8,11.65,15.42,94500478.0
2011-04-01,11.92,15.8,11.65,15.7,94693391.0
2011-04-04,11.92,15.8,11.65,15.75,94889406.0
2011-04-05,11.92,15.82,11.65,15.74,95099373.0
2011-04-06,15.84,15.86,15.75,15.8,261432.0
2011-04-07,15.75,15.83,15.67,15.78,134417.0
2011-04-08,15.85,15.99,15.81,15.89,179695.0
2011-04-11,16.01,16.09,15.96,15.99,260302.0
2011-04-12,15.99,16.05,15.85,15.93,199875.0
2011-04-13,15.99,16.11,15.95,16.02,1978415.0
2011-04-14,15.89,16.0,15.89,15.97,641675.0
2011-04-15,16.05,16.22,16.04,16.2,233614.0
2011-04-18,15.91,15.93,15.68,15.81,416751.0
2011-04-19,15.75,15.81,15.61,15.67,665676.0
2011-04-20,16.21,16.3,16.15,16.22,371450.0
2011-04-21,16.16,16.2,16.01,16.06,134596.0
2011-04-25,16.06,16.13,16.01,16.07,165130.0
2011-04-26,16.29,16.36,16.2,16.25,931698.0
2011-04-27,16.26,16.37,16.1,16.37,5336731.0
2011-04-28,16.41,16.59,16.4,16.58,2147961.0
2011-04-29,16.45,16.67,16.45,16.6,274145.0
2011-05-02,16.76,16.78,16.62,16.65,3278495.0
2011-05-03,16.52,16.76,16.5,16.72,90563.0
2011-05-04,16.81,16.85,16.55,16.61,319767.0
2011-05-05,16.43,16.4446,16.1,16.17,455286.0
2011-05-06,16.15,16.29,15.85,15.96,385740.0
2011-05-09,15.93,15.98,15.85,15.98,332764.0
2011-05-10,15.39,15.39,15.01,15.14,388426.0
2011-05-11,15.25,15.25,14.89,15.01,927269.0
2011-05-12,14.87,15.12,14.84,15.1,706011.0
2011-05-13,14.98,15.02,14.72,14.73,480452.0
2011-05-16,14.65,14.9407,14.65,14.73,3280156.0
2011-05-17,14.66,14.76,14.6,14.73,816310.0
2011-05-18,14.94,15.05,14.92,15.02,191398.0
2011-05-19,15.12,15.22,15.05,15.21,273620.0
2011-05-20,15.08,15.08,14.8,14.8,156110.0
2011-05-23,14.59,14.66,14.52,14.56,830992.0
2011-05-24,14.61,14.61,14.45,14.46,232327.0
2011-05-25,14.37,14.51,14.31,14.44,223007.0
2011-05-26,14.4,14.49,14.27,14.44,579722.0
2011-05-27,14.29,14.47,14.27,14.46,225697.0
2011-05-31,14.83,14.83,14.73,14.82,224907.0
2011-06-01,14.82,14.82,14.53,14.55,305813.0
2011-06-02,14.67,14.68,14.47,14.58,238423.0
2011-06-03,14.46,14.71,14.46,14.62,269518.0
2011-06-06,14.62,14.65,14.46,14.48,125447.0
2011-06-07,14.73,14.85,14.68,14.75,305048.0
2011-06-08,14.6,14.67,14.52,14.56,215012.0
2011-06-09,14.57,14.75,14.55,14.69,130306.0
2011-06-10,14.68,14.69,14.4,14.52,177056.0
2011-06-13,14.69,14.85,14.64,14.72,132090.0
2011-06-14,15.16,15.29,15.13,15.22,203558.0
2011-06-15,14.72,14.84,14.54,14.56,144861.0
2011-06-16,14.54,14.68,14.48,14.66,485410.0
2011-06-17,15.03,15.04,14.88,14.96,140651.0
2011-06-20,14.82,15.0,14.8,14.96,335599.0
2011-06-21,15.04,15.26,14.98,15.25,385311.0
2011-06-22,15.25,15.4,15.25,15.25,158570.0
2011-06-23,14.97,15.13,14.91,15.1,283551.0
2011-06-24,14.85,14.85,14.59,14.63,231189.0
2011-06-27,14.76,14.96,14.76,14.88,237476.0
2011-06-28,14.87,15.01,14.82,14.91,296442.0
2011-06-29,15.1,15.22,15.03,15.22,170755.0
2011-06-30,15.35,15.72,15.35,15.63,373182.0
2011-07-01,15.36,15.5,15.33,15.47,153396.0
2011-07-05,15.35,15.38,15.23,15.27,148099.0
2011-07-06,15.05,15.12,14.99,15.07,153752.0
2011-07-07,15.16,15.3567,15.16,15.26,303694.0
2011-07-08,14.99,15.22,14.98,15.04,596484.0
2011-07-11,14.57,14.64,14.39,14.48,350578.0
2011-07-12,14.23,14.28,14.1,14.1,170438.0
2011-07-13,14.3,14.57,14.28,14.46,125343.0
2011-07-14,14.5,14.57,14.36,14.36,108546.0
2011-07-15,14.58,14.58,14.37,14.47,137391.0
2011-07-18,14.3,14.34,14.08,14.23,100871.0
2011-07-19,14.44,14.65,14.44,14.6,335828.0
2011-07-20,14.79,14.92,14.69,14.87,129163.0
2011-07-21,15.05,15.19,15.05,15.13,157611.0
2011-07-22,15.2,15.35,15.19,15.33,163005.0
2011-07-25,15.18,15.24,15.15,15.17,214692.0
2011-07-26,15.52,15.65,15.46,15.56,1711045.0
2011-07-27,15.45,15.46,15.18,15.22,225674.0
2011-07-28,15.11,15.32,15.09,15.21,167598.0
2011-07-29,15.34,15.653,15.31,15.49,277934.0
2011-08-01,15.38,15.38,14.7,14.92,374166.0
2011-08-02,14.8,14.95,14.52,14.54,397712.0
2011-08-03,14.94,14.95,14.55,14.69,105427.0
2011-08-04,14.79,14.82,14.0,14.05,375442.0
2011-08-05,14.23,14.43,13.83,14.28,476788.0
2011-08-08,14.09,14.26,13.5,13.61,294694.0
2011-08-09,13.35,13.61,13.03,13.61,473578.0
2011-08-10,13.63,13.63,12.83,12.87,206684.0
2011-08-11,12.71,13.35,12.65,13.18,253663.0
2011-08-12,13.4,13.62,13.27,13.52,1711664.0
2011-08-15,13.73,13.85,13.68,13.83,118293.0
2011-08-16,13.62,13.9,13.57,13.67,103367.0
2011-08-17,13.78,13.94,13.62,13.76,181635.0
2011-08-18,13.25,13.31,12.97,13.14,362091.0
2011-08-19,12.86,13.15,12.81,12.85,112031.0
2011-08-22,13.34,13.37,12.95,12.95,147424.0
2011-08-23,13.58,13.93,13.5,13.91,166224.0
2011-08-24,13.86,14.12,13.83,14.0,110488.0
2011-08-25,13.71,13.74,13.42,13.47,97867.0
2011-08-26,13.29,13.66,13.24,13.59,61891.0
2011-08-29,13.9,14.02,13.8,13.99,93446.0
2011-08-30,13.66,13.8,13.55,13.79,213652.0
2011-08-31,13.91,14.08,12.61,12.78,1816702.0
2011-09-01,12.79,12.91,12.68,12.76,682868.0
2011-09-02,12.62,12.63,12.35,12.39,1848283.0
2011-09-06,11.82,11.82,11.47,11.665,563854.0
2011-09-07,11.81,11.95,11.73,11.95,226146.0
2011-09-08,11.68,11.92,11.66,11.68,299278.0
