date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2003-12-24,16.85,16.85,16.22,16.41,2290000,2290000,-0.44,-2.9,16.41,24-Dec-03,0.02611
2003-12-26,16.4,16.5,16.25,16.4,1480000,1480000,0,-0.06,16.4,26-Dec-03,0
2003-12-29,16.55,16.55,16.24,16.31,1790000,1790000,-0.24,-0.55,16.31,29-Dec-03,0.0145
2003-12-30,16.45,16.55,16.28,16.47,1260000,1260000,0.02,0.98,16.47,30-Dec-03,-0.00122
2003-12-31,16.4,16.67,16.37,16.55,1350000,1350000,0.15,0.49,16.55,31-Dec-03,-0.00915
2004-01-02,16.56,16.91,16,16.01,3090000,3090000,-0.55,-3.26,16.01,2-Jan-04,0.03321
2004-01-05,16.25,16.52,16,16.35,2980000,2980000,0.1,2.12,16.35,5-Jan-04,-0.00615
2004-01-06,16.35,16.55,16.24,16.4,1600000,1600000,0.05,0.31,16.4,6-Jan-04,-0.00306
2004-01-07,16,16.6,16,16.2,2640000,2640000,0.2,-1.22,16.2,7-Jan-04,-0.0125
2004-01-08,16.35,17.23,16.33,17.01,3540000,3540000,0.66,5,17.01,8-Jan-04,-0.04037
2004-01-09,16.76,17.7,16.7,17.17,2330000,2330000,0.41,0.94,17.17,9-Jan-04,-0.02446
2004-01-12,17.25,17.5,17,17.4,1590000,1590000,0.15,1.34,17.4,12-Jan-04,-0.0087
2004-01-13,17.2,17.38,16.7,16.88,1860000,1860000,-0.32,-2.99,16.88,13-Jan-04,0.0186
2004-01-14,16.88,17.14,16.52,16.85,2630000,2630000,-0.03,-0.18,16.85,14-Jan-04,0.00178
2004-01-15,16.82,17.04,16.68,16.77,1610000,1610000,-0.05,-0.47,16.77,15-Jan-04,0.00297
2004-01-16,17.9,17.9,17.06,17.23,2100000,2100000,-0.67,2.74,17.23,16-Jan-04,0.03743
2004-01-20,17.43,17.43,16.9,16.98,1370000,1370000,-0.45,-1.45,16.98,20-Jan-04,0.02582
2004-01-21,17.15,17.5,16.81,17.5,2060000,2060000,0.35,3.06,17.5,21-Jan-04,-0.02041
2004-01-22,17.4,17.44,17.23,17.33,977600000,977600000,-0.07,-0.97,17.33,22-Jan-04,0.00402
2004-01-23,17.7,18.05,17.5,17.55,4720000,4720000,-0.15,1.27,17.55,23-Jan-04,0.00847
2004-01-26,17.4,17.46,17.02,17.3,1920000,1920000,-0.1,-1.42,17.3,26-Jan-04,0.00575
2004-01-27,17.2,17.45,16.99,17.2,2390000,2390000,0,-0.58,17.2,27-Jan-04,0
2004-01-28,17.19,17.19,16.65,16.7,3600000,3600000,-0.49,-2.91,16.7,28-Jan-04,0.0285
2004-01-29,17.2,17.2,16.27,16.68,2760000,2760000,-0.52,-0.12,16.68,29-Jan-04,0.03023
2004-01-30,16.8,16.9,16.47,16.74,1660000,1660000,-0.06,0.36,16.74,30-Jan-04,0.00357
2004-02-02,17.05,17.05,16.55,16.9,2040000,2040000,-0.15,0.96,16.9,2-Feb-04,0.0088
2004-02-03,16.75,16.91,16.43,16.83,3420000,3420000,0.08,-0.41,16.83,3-Feb-04,-0.00478
2004-02-04,16.77,16.9,16.3,16.5,1700000,1700000,-0.27,-1.96,16.5,4-Feb-04,0.0161
2004-02-05,16.4,16.48,16.21,16.3,1730000,1730000,-0.1,-1.21,16.3,5-Feb-04,0.0061
2004-02-06,16.48,17.05,16.35,17.03,3330000,3330000,0.55,4.48,17.03,6-Feb-04,-0.03337
2004-02-09,17.1,17.25,16.91,17.1,1760000,1760000,0,0.41,17.1,9-Feb-04,0
2004-02-10,17.1,17.95,17.1,17.68,4280000,4280000,0.58,3.39,17.68,10-Feb-04,-0.03392
2004-02-11,17.85,17.95,17.51,17.69,3420000,3420000,-0.16,0.06,17.69,11-Feb-04,0.00896
2004-02-12,17.85,17.85,16.89,17.1,2300000,2300000,-0.75,-3.34,17.1,12-Feb-04,0.04202
2004-02-13,17.4,17.4,16.95,17.03,2710000,2710000,-0.37,-0.41,17.03,13-Feb-04,0.02126
2004-02-17,17.25,17.25,16.91,17.2,2150000,2150000,-0.05,1,17.2,17-Feb-04,0.0029
2004-02-18,17.32,17.59,17.2,17.54,2460000,2460000,0.22,1.98,17.54,18-Feb-04,-0.0127
2004-02-19,17.54,17.63,17,17.04,3130000,3130000,-0.5,-2.85,17.04,19-Feb-04,0.02851
2004-02-20,16.94,17.05,16.7,17,1960000,1960000,0.06,-0.23,17,20-Feb-04,-0.00354
2004-02-23,17,17.2,16.77,16.89,1260000,1260000,-0.11,-0.65,16.89,23-Feb-04,0.00647
2004-02-24,16.89,17.19,16.89,17.1,2270000,2270000,0.21,1.24,17.1,24-Feb-04,-0.01243
2004-02-25,17.13,17.36,16.9,17.2,2530000,2530000,0.07,0.58,17.2,25-Feb-04,-0.00409
2004-02-26,16.8,17.01,16.78,16.95,1370000,1370000,0.15,-1.45,16.95,26-Feb-04,-0.00893
2004-02-27,17,17.38,16.85,17.34,2190000,2190000,0.34,2.3,17.34,27-Feb-04,-0.02
2004-03-01,17.4,17.75,17.34,17.5,1400000,1400000,0.1,0.92,17.5,1-Mar-04,-0.00575
2004-03-02,17.52,17.55,17,17,2810000,2810000,-0.52,-2.86,17,2-Mar-04,0.02968
2004-03-03,16.75,16.95,16.49,16.8,3200000,3200000,0.05,-1.18,16.8,3-Mar-04,-0.00299
2004-03-04,16.57,17.1,16.57,16.85,2760000,2760000,0.28,0.3,16.85,4-Mar-04,-0.0169
2004-03-05,16.51,16.83,16.51,16.55,2090000,2090000,0.04,-1.78,16.55,5-Mar-04,-0.00242
2004-03-08,16.58,16.84,16.41,16.43,1300000,1300000,-0.15,-0.73,16.43,8-Mar-04,0.00905
2004-03-09,16.6,16.65,16,16.2,1830000,1830000,-0.4,-1.4,16.2,9-Mar-04,0.0241
2004-03-10,16.27,16.48,15.6,15.99,3520000,3520000,-0.28,-1.3,15.99,10-Mar-04,0.01721
2004-03-11,15.85,16.05,15.23,15.5,2770000,2770000,-0.35,-3.06,15.5,11-Mar-04,0.02208
2004-03-12,15.6,16.1,15.35,15.78,4200000,4200000,0.18,1.81,15.78,12-Mar-04,-0.01154
2004-03-15,15.68,15.69,15.05,15.38,3820000,3820000,-0.3,-2.53,15.38,15-Mar-04,0.01913
2004-03-16,15.52,15.7,15.4,15.69,2540000,2540000,0.17,2.02,15.69,16-Mar-04,-0.01095
2004-03-17,15.85,16.1,15.77,15.94,1560000,1560000,0.09,1.59,15.94,17-Mar-04,-0.00568
2004-03-18,15.78,16.15,15.54,15.9,1900000,1900000,0.12,-0.25,15.9,18-Mar-04,-0.0076
2004-03-19,16.4,16.4,15.9,16.35,2090000,2090000,-0.05,2.83,16.35,19-Mar-04,0.00305
2004-03-22,16.25,16.25,15.63,15.8,2020000,2020000,-0.45,-3.36,15.8,22-Mar-04,0.02769
2004-03-23,15.65,15.88,15.43,15.45,3740000,3740000,-0.2,-2.22,15.45,23-Mar-04,0.01278
2004-03-24,15.45,15.55,15.1,15.23,2630000,2630000,-0.22,-1.42,15.23,24-Mar-04,0.01424
2004-03-25,15.4,15.53,15.26,15.39,1790000,1790000,-0.01,1.05,15.39,25-Mar-04,0.00065
2004-03-26,15.2,15.45,14.7,15.38,3810000,3810000,0.18,-0.06,15.38,26-Mar-04,-0.01184
2004-03-29,15.38,15.38,15,15.22,5290000,5290000,-0.16,-1.04,15.22,29-Mar-04,0.0104
2004-03-30,15.28,15.44,15.09,15.4,2700000,2700000,0.12,1.18,15.4,30-Mar-04,-0.00785
2004-03-31,15.3,15.52,15.21,15.38,3260000,3260000,0.08,-0.13,15.38,31-Mar-04,-0.00523
2004-04-01,15.8,16.09,15.6,15.9,3760000,3760000,0.1,3.38,15.9,1-Apr-04,-0.00633
2004-04-02,16.05,16.3,15.95,16.3,3100000,3100000,0.25,2.52,16.3,2-Apr-04,-0.01558
2004-04-05,16.25,16.32,16.09,16.25,1740000,1740000,0,-0.31,16.25,5-Apr-04,0
2004-04-06,16.1,16.39,16.05,16.16,2290000,2290000,0.06,-0.55,16.16,6-Apr-04,-0.00373
2004-04-07,16.2,16.3,15.9,16.12,1560000,1560000,-0.08,-0.25,16.12,7-Apr-04,0.00494
2004-04-08,16.25,16.32,16.11,16.27,940800000,940800000,0.02,0.93,16.27,8-Apr-04,-0.00123
2004-04-12,16.7,17.2,16.66,17,2810000,2810000,0.3,4.49,17,12-Apr-04,-0.01796
2004-04-13,17.05,17.19,16.8,16.9,3220000,3220000,-0.15,-0.59,16.9,13-Apr-04,0.0088
2004-04-14,16.85,17.15,16.61,17.15,2610000,2610000,0.3,1.48,17.15,14-Apr-04,-0.0178
2004-04-15,17.15,17.25,16.92,17.19,3400000,3400000,0.04,0.23,17.19,15-Apr-04,-0.00233
2004-04-16,17.05,17.35,16.92,17.29,2330000,2330000,0.24,0.58,17.29,16-Apr-04,-0.01408
2004-04-19,17.29,17.6,17.25,17.48,2250000,2250000,0.19,1.1,17.48,19-Apr-04,-0.01099
2004-04-20,17.43,17.67,17.31,17.4,3130000,3130000,-0.03,-0.46,17.4,20-Apr-04,0.00172
2004-04-21,17.39,17.45,17.25,17.33,2050000,2050000,-0.06,-0.4,17.33,21-Apr-04,0.00345
2004-04-22,17.55,17.77,17.49,17.71,2040000,2040000,0.16,2.19,17.71,22-Apr-04,-0.00912
