date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,9.17,9.17,9.02,9.04,690600.0,690600.0,0.13,1.418,9.07667,"January 02, 98",0.01418
1998-01-05,9.04,9.06,8.96,9.0,641600.0,641600.0,0.04,0.442,9.00667,"January 05, 98",0.00442
1998-01-06,9.02,9.02,8.92,8.92,657200.0,657200.0,0.1,1.109,8.95333,"January 06, 98",0.01109
1998-01-07,8.92,8.94,8.67,8.69,1748400.0,1748400.0,0.23,2.578,8.76667,"January 07, 98",0.02578
1998-01-08,8.67,8.73,8.42,8.42,590400.0,590400.0,0.25,2.884,8.52333,"January 08, 98",0.02884
1998-01-09,8.5,8.5,8.13,8.17,838800.0,838800.0,0.33,3.882,8.26667,"January 09, 98",0.03882
1998-01-12,8.13,8.13,7.9,7.92,942800.0,942800.0,0.21,2.583,7.98333,"January 12, 98",0.02583
1998-01-13,7.96,8.13,7.94,8.13,955400.0,955400.0,-0.17,-2.136,8.06667,"January 13, 98",-0.02136
1998-01-14,8.1,8.29,8.06,8.29,897000.0,897000.0,-0.19,-2.346,8.21333,"January 14, 98",-0.02346
1998-01-15,8.33,8.33,8.25,8.29,618600.0,618600.0,0.04,0.48,8.29,"January 15, 98",0.0048
1998-01-16,8.33,8.35,8.25,8.31,2086800.0,2086800.0,0.02,0.24,8.30333,"January 16, 98",0.0024
1998-01-20,8.29,8.38,8.29,8.33,1651400.0,1651400.0,-0.04,-0.483,8.33333,"January 20, 98",-0.00483
1998-01-21,8.33,8.33,8.29,8.31,613400.0,613400.0,0.02,0.24,8.31,"January 21, 98",0.0024
1998-01-22,8.29,8.33,8.25,8.29,2613200.0,2613200.0,0.0,0.0,8.29,"January 22, 98",0.0
1998-01-23,8.33,8.33,8.27,8.27,1640600.0,1640600.0,0.06,0.72,8.29,"January 23, 98",0.0072
1998-01-26,8.27,8.27,8.0,8.0,546000.0,546000.0,0.27,3.265,8.09,"January 26, 98",0.03265
1998-01-27,8.02,8.02,7.71,7.75,709400.0,709400.0,0.27,3.367,7.82667,"January 27, 98",0.03367
1998-01-28,7.79,7.83,7.46,7.63,1811000.0,1811000.0,0.16,2.054,7.64,"January 28, 98",0.02054
1998-01-29,7.54,8.17,7.54,8.1,4071000.0,4071000.0,-0.56,-7.427,7.93667,"January 29, 98",-0.07427
1998-01-30,8.15,8.29,8.02,8.13,1542600.0,1542600.0,0.02,0.245,8.14667,"January 30, 98",0.00245
1998-02-02,8.08,8.81,8.08,8.67,1650000.0,1650000.0,-0.59,-7.302,8.52,"February 02, 98",-0.07302
1998-02-03,8.67,9.67,8.67,9.58,2811800.0,2811800.0,-0.91,-10.496,9.30667,"February 03, 98",-0.10496
1998-02-04,9.54,10.04,9.5,9.92,3513800.0,3513800.0,-0.38,-3.983,9.82,"February 04, 98",-0.03983
1998-02-05,9.94,10.02,9.69,9.69,1232000.0,1232000.0,0.25,2.515,9.8,"February 05, 98",0.02515
1998-02-06,9.69,9.9,9.67,9.71,689400.0,689400.0,-0.02,-0.206,9.76,"February 06, 98",-0.00206
1998-02-09,9.75,9.75,9.56,9.71,429800.0,429800.0,0.04,0.41,9.67333,"February 09, 98",0.0041
1998-02-10,9.67,9.71,9.6,9.65,174000.0,174000.0,0.02,0.207,9.65333,"February 10, 98",0.00207
1998-02-11,9.69,9.69,9.65,9.67,586400.0,586400.0,0.02,0.206,9.67,"February 11, 98",0.00206
1998-02-12,9.69,9.69,9.58,9.67,323400.0,323400.0,0.02,0.206,9.64667,"February 12, 98",0.00206
1998-02-13,9.67,9.96,9.67,9.94,2052200.0,2052200.0,-0.27,-2.792,9.85667,"February 13, 98",-0.02792
1998-02-17,9.88,9.92,9.69,9.81,905400.0,905400.0,0.07,0.709,9.80667,"February 17, 98",0.00709
1998-02-18,9.83,9.94,9.83,9.92,1371000.0,1371000.0,-0.09,-0.916,9.89667,"February 18, 98",-0.00916
1998-02-19,9.9,9.92,9.83,9.88,756600.0,756600.0,0.02,0.202,9.87667,"February 19, 98",0.00202
1998-02-20,9.94,10.4,9.94,10.33,2629800.0,2629800.0,-0.39,-3.924,10.22333,"February 20, 98",-0.03924
1998-02-23,10.33,10.38,10.21,10.38,1182800.0,1182800.0,-0.05,-0.484,10.32333,"February 23, 98",-0.00484
1998-02-24,10.25,10.35,10.21,10.25,881400.0,881400.0,0.0,0.0,10.27,"February 24, 98",0.0
1998-02-25,10.23,10.31,10.08,10.19,981600.0,981600.0,0.04,0.391,10.19333,"February 25, 98",0.00391
1998-02-26,10.42,10.54,10.21,10.38,4191800.0,4191800.0,0.04,0.384,10.37667,"February 26, 98",0.00384
1998-02-27,10.38,10.75,10.31,10.73,2052200.0,2052200.0,-0.35,-3.372,10.59667,"February 27, 98",-0.03372
1998-03-02,10.75,11.46,10.73,11.21,1732400.0,1732400.0,-0.46,-4.279,11.13333,"March 02, 98",-0.04279
1998-03-03,11.23,11.67,11.13,11.54,2478200.0,2478200.0,-0.31,-2.76,11.44667,"March 03, 98",-0.0276
1998-03-04,11.46,11.46,10.83,10.9,673200.0,673200.0,0.56,4.887,11.06333,"March 04, 98",0.04887
1998-03-05,10.81,10.85,10.69,10.77,662400.0,662400.0,0.04,0.37,10.77,"March 05, 98",0.0037
1998-03-06,10.79,10.81,10.71,10.77,708600.0,708600.0,0.02,0.185,10.76333,"March 06, 98",0.00185
1998-03-09,10.79,10.98,10.67,10.96,1348400.0,1348400.0,-0.17,-1.576,10.87,"March 09, 98",-0.01576
1998-03-10,10.9,11.29,10.81,11.0,777600.0,777600.0,-0.1,-0.917,11.03333,"March 10, 98",-0.00917
1998-03-11,11.02,11.15,10.94,11.02,711200.0,711200.0,0.0,0.0,11.03667,"March 11, 98",0.0
1998-03-12,11.25,11.79,11.25,11.71,1696200.0,1696200.0,-0.46,-4.089,11.58333,"March 12, 98",-0.04089
1998-03-13,11.71,11.96,11.54,11.83,989400.0,989400.0,-0.12,-1.025,11.77667,"March 13, 98",-0.01025
1998-03-16,11.83,11.98,11.73,11.9,626600.0,626600.0,-0.07,-0.592,11.87,"March 16, 98",-0.00592
1998-03-17,11.9,11.9,11.42,11.52,152000.0,152000.0,0.38,3.193,11.61333,"March 17, 98",0.03193
