date,1. open,2. high,3. low,4. close,5. volume
2018-09-20,36.0,39.3,35.25,36.5,10977065.0
2018-09-21,34.94,35.75,34.0,34.25,1852228.0
2018-09-24,34.0,35.01,32.4,34.21,820045.0
2018-09-25,34.4,36.22,33.9,36.22,617621.0
2018-09-26,36.66,40.25,35.56,37.46,1634339.0
2018-09-27,38.3186,39.44,36.55,36.65,491715.0
2018-09-28,36.95,38.88,36.5,37.97,310121.0
2018-10-01,39.0,39.3,35.39,37.08,540416.0
2018-10-02,36.77,37.0,34.13,34.34,491171.0
2018-10-03,34.31,36.0,34.01,34.88,473320.0
2018-10-04,34.56,35.66,33.6702,33.7,631043.0
2018-10-05,33.66,34.1099,29.68,31.64,450918.0
2018-10-08,31.41,32.0,29.0,29.8,606642.0
2018-10-09,29.38,29.87,27.83,29.41,980699.0
2018-10-10,29.11,29.25,27.5,27.9,909847.0
2018-10-11,27.74,28.88,27.62,27.92,400807.0
2018-10-12,28.25,29.7471,27.7759,28.0,505285.0
2018-10-15,28.08,28.3,27.64,27.86,296560.0
2018-10-16,27.99,30.89,27.99,28.59,442318.0
2018-10-17,28.63,30.6,28.0821,30.55,356989.0
2018-10-18,30.19,31.31,29.0,29.06,352762.0
2018-10-19,30.25,30.48,26.36,26.77,483150.0
2018-10-22,26.83,27.2,25.26,26.08,628792.0
2018-10-23,25.72,27.18,24.67,27.08,226705.0
2018-10-24,27.0,27.55,25.0,25.12,576405.0
2018-10-25,25.28,26.78,25.01,26.48,332311.0
2018-10-26,26.28,26.479,25.05,25.54,328675.0
2018-10-29,25.72,26.41,25.27,25.88,361575.0
2018-10-30,25.6,29.0,25.6,28.43,451728.0
2018-10-31,28.0,29.896,27.76,28.3,469483.0
2018-11-01,28.32,29.0,27.13,28.25,284121.0
2018-11-02,28.29,30.27,28.0817,30.11,295497.0
2018-11-05,30.11,30.72,29.0,30.05,222206.0
2018-11-06,30.15,30.95,29.6,30.44,155621.0
2018-11-07,30.69,32.14,30.35,31.79,188806.0
2018-11-08,31.78,33.87,31.78,33.86,318504.0
2018-11-09,33.36,33.387,31.72,32.52,365913.0
2018-11-12,32.63,32.63,30.77,30.98,453353.0
2018-11-13,28.65,31.7337,28.02,28.95,750312.0
2018-11-14,29.38,29.7,26.74,26.92,398906.0
2018-11-15,26.7,29.13,26.4527,29.0,179680.0
2018-11-16,29.1,31.2,28.49,30.69,208927.0
2018-11-19,30.81,30.9949,28.2686,29.07,167665.0
2018-11-20,28.64,28.64,27.53,28.05,274344.0
2018-11-21,28.29,28.81,27.82,27.99,107544.0
2018-11-23,27.86,28.62,27.54,28.42,54977.0
2018-11-26,28.59,28.77,27.915,28.39,134743.0
2018-11-27,28.12,29.64,28.079,29.51,160642.0
2018-11-28,29.6,30.49,29.27,30.0,129252.0
2018-11-29,29.92,31.46,29.88,31.28,135563.0
2018-11-30,31.1,31.4179,29.55,29.71,208709.0
2018-12-03,30.32,30.7999,28.32,28.6,382140.0
2018-12-04,28.5,29.77,28.4,28.82,246146.0
2018-12-06,28.24,29.12,27.29,29.01,267344.0
2018-12-07,28.92,30.37,28.3423,30.24,232014.0
2018-12-10,30.08,31.8,29.94,31.44,514796.0
2018-12-11,31.84,31.84,30.76,31.03,376616.0
2018-12-12,31.2,32.47,30.95,31.86,174480.0
2018-12-13,32.04,32.04,30.95,31.7,107694.0
2018-12-14,31.47,32.8,31.015,32.24,295461.0
2018-12-17,32.17,32.42,30.54,30.92,463808.0
2018-12-18,31.16,32.48,31.0,32.35,370572.0
2018-12-19,32.42,33.82,31.81,32.86,360124.0
2018-12-20,32.0,32.0,28.035,28.52,566066.0
2018-12-21,28.55,28.5975,25.57,26.3,1007927.0
2018-12-24,26.11,28.87,26.11,27.76,577953.0
2018-12-26,27.76,28.9,27.76,28.77,307373.0
2018-12-27,28.28,29.36,27.85,29.36,162211.0
2018-12-28,29.44,31.5,28.035,28.41,207024.0
2018-12-31,28.5,28.885,27.3,27.81,240874.0
