date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-09-24,0.94,0.95,0.78,0.83,518656000.0,518656000.0,0.11,11.702,0.85333,"September 24, 98",0.11702
1998-09-25,0.8,0.81,0.72,0.79,121255800.0,121255800.0,0.01,1.25,0.77333,"September 25, 98",0.0125
1998-09-28,0.83,0.89,0.81,0.85,89772800.0,89772800.0,-0.02,-2.41,0.85,"September 28, 98",-0.0241
1998-09-29,0.87,0.88,0.84,0.86,39289500.0,39289500.0,0.01,1.149,0.86,"September 29, 98",0.01149
1998-09-30,0.83,0.84,0.76,0.79,44113700.0,44113700.0,0.04,4.819,0.79667,"September 30, 98",0.04819
1998-10-01,0.75,0.76,0.7,0.7,44433100.0,44433100.0,0.05,6.667,0.72,"October 01, 98",0.06667
1998-10-02,0.71,0.73,0.61,0.7,46816700.0,46816700.0,0.01,1.408,0.68,"October 02, 98",0.01408
1998-10-05,0.69,0.69,0.61,0.63,33832300.0,33832300.0,0.06,8.696,0.64333,"October 05, 98",0.08696
1998-10-06,0.67,0.67,0.56,0.64,40270300.0,40270300.0,0.03,4.478,0.62333,"October 06, 98",0.04478
1998-10-07,0.61,0.62,0.54,0.54,35058300.0,35058300.0,0.07,11.475,0.56667,"October 07, 98",0.11475
1998-10-08,0.49,0.51,0.44,0.51,57172200.0,57172200.0,-0.02,-4.082,0.48667,"October 08, 98",-0.04082
1998-10-09,0.54,0.57,0.52,0.54,38519700.0,38519700.0,0.0,0.0,0.54333,"October 09, 98",0.0
1998-10-12,0.56,0.56,0.55,0.55,28198300.0,28198300.0,0.01,1.786,0.55333,"October 12, 98",0.01786
1998-10-13,0.55,0.56,0.51,0.52,15430600.0,15430600.0,0.03,5.455,0.53,"October 13, 98",0.05455
1998-10-14,0.51,0.56,0.51,0.53,30935500.0,30935500.0,-0.02,-3.922,0.53333,"October 14, 98",-0.03922
1998-10-15,0.53,0.57,0.53,0.57,29144900.0,29144900.0,-0.04,-7.547,0.55667,"October 15, 98",-0.07547
1998-10-16,0.59,0.64,0.58,0.63,43343900.0,43343900.0,-0.04,-6.78,0.61667,"October 16, 98",-0.0678
1998-10-19,0.65,0.81,0.65,0.8,78151300.0,78151300.0,-0.15,-23.077,0.75333,"October 19, 98",-0.23077
1998-10-20,0.86,0.91,0.79,0.82,109292100.0,109292100.0,0.04,4.651,0.84,"October 20, 98",0.04651
1998-10-21,0.86,0.9,0.83,0.89,65703000.0,65703000.0,-0.03,-3.488,0.87333,"October 21, 98",-0.03488
1998-10-22,0.91,0.94,0.86,0.9,53323100.0,53323100.0,0.01,1.099,0.9,"October 22, 98",0.01099
1998-10-23,0.91,0.92,0.87,0.88,32309700.0,32309700.0,0.03,3.297,0.89,"October 23, 98",0.03297
1998-10-26,1.05,1.29,1.03,1.29,389981400.0,389981400.0,-0.24,-22.857,1.20333,"October 26, 98",-0.22857
1998-10-27,1.43,1.59,1.41,1.45,571032600.0,571032600.0,-0.02,-1.399,1.48333,"October 27, 98",-0.01399
1998-10-28,1.37,1.49,1.34,1.4,254555100.0,254555100.0,-0.03,-2.19,1.41,"October 28, 98",-0.0219
1998-10-29,1.42,1.45,1.4,1.4,81150800.0,81150800.0,0.02,1.408,1.41667,"October 29, 98",0.01408
1998-10-30,1.42,1.48,1.4,1.46,94944900.0,94944900.0,-0.04,-2.817,1.44667,"October 30, 98",-0.02817
1998-11-02,1.52,1.54,1.47,1.47,123707800.0,123707800.0,0.05,3.289,1.49333,"November 02, 98",0.03289
1998-11-03,1.49,1.5,1.46,1.47,45978400.0,45978400.0,0.02,1.342,1.47667,"November 03, 98",0.01342
1998-11-04,1.5,1.5,1.43,1.45,44632600.0,44632600.0,0.05,3.333,1.46,"November 04, 98",0.03333
1998-11-05,1.42,1.47,1.38,1.42,66085100.0,66085100.0,0.0,0.0,1.42333,"November 05, 98",0.0
1998-11-06,1.41,1.48,1.41,1.47,48966500.0,48966500.0,-0.06,-4.255,1.45333,"November 06, 98",-0.04255
1998-11-09,1.48,1.81,1.48,1.81,202355300.0,202355300.0,-0.33,-22.297,1.7,"November 09, 98",-0.22297
1998-11-10,1.98,2.46,1.95,2.3,577698700.0,577698700.0,-0.32,-16.162,2.23667,"November 10, 98",-0.16162
1998-11-11,2.23,2.37,2.0,2.03,306874600.0,306874600.0,0.2,8.969,2.13333,"November 11, 98",0.08969
1998-11-12,2.0,2.33,1.97,2.21,223699400.0,223699400.0,-0.21,-10.5,2.17,"November 12, 98",-0.105
1998-11-13,2.28,2.33,2.1,2.17,135688600.0,135688600.0,0.11,4.825,2.2,"November 13, 98",0.04825
1998-11-16,2.27,2.28,2.14,2.24,82411000.0,82411000.0,0.03,1.322,2.22,"November 16, 98",0.01322
1998-11-17,2.24,2.33,2.17,2.26,81555700.0,81555700.0,-0.02,-0.893,2.25333,"November 17, 98",-0.00893
1998-11-18,2.29,2.6,2.2,2.59,201192000.0,201192000.0,-0.3,-13.1,2.46333,"November 18, 98",-0.131
1998-11-19,2.65,2.72,2.49,2.52,135973700.0,135973700.0,0.13,4.906,2.57667,"November 19, 98",0.04906
1998-11-20,2.63,2.63,2.46,2.58,67214100.0,67214100.0,0.05,1.901,2.55667,"November 20, 98",0.01901
1998-11-23,2.68,3.43,2.66,3.38,162518400.0,162518400.0,-0.7,-26.119,3.15667,"November 23, 98",-0.26119
1998-11-24,3.31,4.11,3.12,3.45,342451900.0,342451900.0,-0.14,-4.23,3.56,"November 24, 98",-0.0423
1998-11-25,3.52,3.76,3.43,3.59,195546700.0,195546700.0,-0.07,-1.989,3.59333,"November 25, 98",-0.01989
1998-11-27,3.7,3.86,3.63,3.82,66632500.0,66632500.0,-0.12,-3.243,3.77,"November 27, 98",-0.03243
1998-11-30,3.94,3.95,3.3,3.47,135768400.0,135768400.0,0.47,11.929,3.57333,"November 30, 98",0.11929
1998-12-01,3.28,3.67,3.19,3.63,147874600.0,147874600.0,-0.35,-10.671,3.49667,"December 01, 98",-0.10671
1998-12-02,3.61,3.75,3.47,3.56,72072600.0,72072600.0,0.05,1.385,3.59333,"December 02, 98",0.01385
1998-12-03,3.48,3.65,3.24,3.28,76469100.0,76469100.0,0.2,5.747,3.39,"December 03, 98",0.05747
1998-12-04,3.42,3.47,2.81,3.2,138288900.0,138288900.0,0.22,6.433,3.16,"December 04, 98",0.06433
1998-12-07,3.21,3.21,2.93,3.06,115382300.0,115382300.0,0.15,4.673,3.06667,"December 07, 98",0.04673
1998-12-08,2.95,3.19,2.92,3.1,120868000.0,120868000.0,-0.15,-5.085,3.07,"December 08, 98",-0.05085
1998-12-09,3.11,3.41,3.03,3.15,119431000.0,119431000.0,-0.04,-1.286,3.19667,"December 09, 98",-0.01286
1998-12-10,3.23,3.34,3.16,3.26,114025100.0,114025100.0,-0.03,-0.929,3.25333,"December 10, 98",-0.00929
1998-12-11,3.2,3.39,3.19,3.37,60257200.0,60257200.0,-0.17,-5.313,3.31667,"December 11, 98",-0.05313
1998-12-14,3.26,3.38,3.25,3.31,46685500.0,46685500.0,-0.05,-1.534,3.31333,"December 14, 98",-0.01534
1998-12-15,3.38,3.41,3.32,3.4,40424300.0,40424300.0,-0.02,-0.592,3.37667,"December 15, 98",-0.00592
1998-12-16,3.51,3.96,3.51,3.92,123251600.0,123251600.0,-0.41,-11.681,3.79667,"December 16, 98",-0.11681
1998-12-17,3.82,4.27,3.78,4.18,106326900.0,106326900.0,-0.36,-9.424,4.07667,"December 17, 98",-0.09424
1998-12-18,4.38,4.6,4.3,4.42,83830900.0,83830900.0,-0.04,-0.913,4.44,"December 18, 98",-0.00913
1998-12-21,4.53,5.27,4.51,5.2,132164500.0,132164500.0,-0.67,-14.79,4.99333,"December 21, 98",-0.1479
1998-12-22,5.37,5.45,4.95,5.28,105979100.0,105979100.0,0.09,1.676,5.22667,"December 22, 98",0.01676
1998-12-23,5.4,5.46,5.15,5.23,42699500.0,42699500.0,0.17,3.148,5.28,"December 23, 98",0.03148
1998-12-24,5.09,5.21,4.95,5.02,26213900.0,26213900.0,0.07,1.375,5.06,"December 24, 98",0.01375
1998-12-28,5.04,5.3,4.84,5.01,60770400.0,60770400.0,0.03,0.595,5.05,"December 28, 98",0.00595
1998-12-29,5.1,5.1,4.73,4.8,33729600.0,33729600.0,0.3,5.882,4.87667,"December 29, 98",0.05882
1998-12-30,4.72,4.73,4.02,4.43,99484000.0,99484000.0,0.29,6.144,4.39333,"December 30, 98",0.06144
1998-12-31,4.27,4.53,4.23,4.23,37441900.0,37441900.0,0.04,0.937,4.33,"December 31, 98",0.00937
1999-01-04,4.15,4.4,4.07,4.21,44689700.0,44689700.0,-0.06,-1.446,4.22667,"January 04, 99",-0.01446
1999-01-05,4.0,4.08,3.85,3.93,75265900.0,75265900.0,0.07,1.75,3.95333,"January 05, 99",0.0175
1999-01-06,4.1,5.0,4.09,4.96,108921500.0,108921500.0,-0.86,-20.976,4.68333,"January 06, 99",-0.20976
1999-01-07,4.77,5.52,4.74,5.23,118450200.0,118450200.0,-0.46,-9.644,5.16333,"January 07, 99",-0.09644
1999-01-08,5.52,5.63,5.03,5.13,89453500.0,89453500.0,0.39,7.065,5.26333,"January 08, 99",0.07065
1999-01-11,5.33,5.35,4.88,5.11,43982600.0,43982600.0,0.22,4.128,5.11333,"January 11, 99",0.04128
1999-01-12,4.91,5.13,4.21,4.22,63262400.0,63262400.0,0.69,14.053,4.52,"January 12, 99",0.14053
1999-01-13,3.81,4.14,3.72,3.78,77586800.0,77586800.0,0.03,0.787,3.88,"January 13, 99",0.00787
1999-01-14,3.94,4.24,3.84,3.95,70641300.0,70641300.0,-0.01,-0.254,4.01,"January 14, 99",-0.00254
1999-01-15,3.99,4.24,3.89,3.92,44786600.0,44786600.0,0.07,1.754,4.01667,"January 15, 99",0.01754
1999-01-19,4.34,4.38,3.74,4.03,36757600.0,36757600.0,0.31,7.143,4.05,"January 19, 99",0.07143
1999-01-20,4.03,4.04,3.68,3.75,52302400.0,52302400.0,0.28,6.948,3.82333,"January 20, 99",0.06948
1999-01-21,3.45,3.54,3.16,3.19,90029400.0,90029400.0,0.26,7.536,3.29667,"January 21, 99",0.07536
1999-01-22,2.91,3.86,2.91,3.45,125966000.0,125966000.0,-0.54,-18.557,3.40667,"January 22, 99",-0.18557
1999-01-25,3.51,3.82,3.21,3.81,108978500.0,108978500.0,-0.3,-8.547,3.61333,"January 25, 99",-0.08547
1999-01-26,3.84,4.12,3.74,3.87,84680600.0,84680600.0,-0.03,-0.781,3.91,"January 26, 99",-0.00781
1999-01-27,5.35,5.51,4.98,5.32,251110800.0,251110800.0,0.03,0.561,5.27,"January 27, 99",0.00561
1999-01-28,5.33,5.36,5.02,5.13,66746500.0,66746500.0,0.2,3.752,5.17,"January 28, 99",0.03752
1999-01-29,5.02,5.2,4.77,4.87,91791500.0,91791500.0,0.15,2.988,4.94667,"January 29, 99",0.02988
1999-02-01,4.89,4.91,4.59,4.59,66256100.0,66256100.0,0.3,6.135,4.69667,"February 01, 99",0.06135
1999-02-02,4.56,4.56,4.3,4.46,49086200.0,49086200.0,0.1,2.193,4.44,"February 02, 99",0.02193
1999-02-03,4.37,4.91,4.33,4.88,53545500.0,53545500.0,-0.51,-11.67,4.70667,"February 03, 99",-0.1167
1999-02-04,4.8,4.88,4.16,4.19,217672000.0,217672000.0,0.61,12.708,4.41,"February 04, 99",0.12708
1999-02-05,4.31,4.33,3.86,3.88,105733900.0,105733900.0,0.43,9.977,4.02333,"February 05, 99",0.09977
1999-02-08,4.03,4.29,3.91,4.05,80677500.0,80677500.0,-0.02,-0.496,4.08333,"February 08, 99",-0.00496
1999-02-09,4.05,4.07,3.68,3.73,48128200.0,48128200.0,0.32,7.901,3.82667,"February 09, 99",0.07901
1999-02-10,3.68,3.79,3.37,3.72,71650600.0,71650600.0,-0.04,-1.087,3.62667,"February 10, 99",-0.01087
1999-02-11,3.84,4.22,3.74,4.2,75174700.0,75174700.0,-0.36,-9.375,4.05333,"February 11, 99",-0.09375
1999-02-12,4.14,4.34,4.0,4.14,69090200.0,69090200.0,0.0,0.0,4.16,"February 12, 99",0.0
1999-02-16,4.23,4.31,4.0,4.05,36124700.0,36124700.0,0.18,4.255,4.12,"February 16, 99",0.04255
1999-02-17,4.18,4.31,4.03,4.09,66951800.0,66951800.0,0.09,2.153,4.14333,"February 17, 99",0.02153
1999-02-18,4.11,4.18,3.9,4.12,43047400.0,43047400.0,-0.01,-0.243,4.06667,"February 18, 99",-0.00243
1999-02-19,4.15,4.24,4.06,4.2,36124700.0,36124700.0,-0.05,-1.205,4.16667,"February 19, 99",-0.01205
1999-02-22,4.29,5.0,4.24,4.89,100812700.0,100812700.0,-0.6,-13.986,4.71,"February 22, 99",-0.13986
