date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,7.75,7.88,7.75,7.88,2300.0,2300.0,-0.13,-1.677,7.83667,"January 02, 98",-0.01677
1998-01-05,7.81,8.25,7.81,8.25,6700.0,6700.0,-0.44,-5.634,8.10333,"January 05, 98",-0.05634
1998-01-06,7.75,8.38,7.75,8.38,7200.0,7200.0,-0.63,-8.129,8.17,"January 06, 98",-0.08129
1998-01-07,8.38,8.38,8.38,8.38,800.0,800.0,0.0,0.0,8.38,"January 07, 98",0.0
1998-01-08,8.38,9.0,8.38,9.0,73100.0,73100.0,-0.62,-7.399,8.79333,"January 08, 98",-0.07399
1998-01-09,9.0,9.0,9.0,9.0,600.0,600.0,0.0,0.0,9.0,"January 09, 98",0.0
1998-01-12,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,"January 12, 98",0.0
1998-01-13,9.25,9.25,8.75,9.13,51100.0,51100.0,0.12,1.297,9.04333,"January 13, 98",0.01297
1998-01-14,9.5,9.5,9.13,9.5,4400.0,4400.0,0.0,0.0,9.37667,"January 14, 98",0.0
1998-01-15,9.5,10.38,9.5,10.38,11000.0,11000.0,-0.88,-9.263,10.08667,"January 15, 98",-0.09263
1998-01-16,10.38,10.5,10.0,10.0,11700.0,11700.0,0.38,3.661,10.16667,"January 16, 98",0.03661
1998-01-20,10.0,10.5,10.0,10.5,34300.0,34300.0,-0.5,-5.0,10.33333,"January 20, 98",-0.05
1998-01-21,11.0,11.38,11.0,11.0,15900.0,15900.0,0.0,0.0,11.12667,"January 21, 98",0.0
1998-01-22,11.0,11.63,10.75,11.63,40000.0,40000.0,-0.63,-5.727,11.33667,"January 22, 98",-0.05727
1998-01-23,12.0,13.0,11.88,12.5,19000.0,19000.0,-0.5,-4.167,12.46,"January 23, 98",-0.04167
1998-01-26,12.75,14.25,12.63,13.25,62500.0,62500.0,-0.5,-3.922,13.37667,"January 26, 98",-0.03922
1998-01-27,13.13,13.13,13.13,13.13,2700.0,2700.0,0.0,0.0,13.13,"January 27, 98",0.0
1998-01-28,13.13,13.5,11.75,11.75,124000.0,124000.0,1.38,10.51,12.33333,"January 28, 98",0.1051
1998-01-29,11.5,11.5,11.5,11.5,70000.0,70000.0,0.0,0.0,11.5,"January 29, 98",0.0
1998-01-30,11.0,11.25,10.75,11.0,35700.0,35700.0,0.0,0.0,11.0,"January 30, 98",0.0
1998-02-02,10.81,11.25,10.81,11.0,70500.0,70500.0,-0.19,-1.758,11.02,"February 02, 98",-0.01758
1998-02-03,10.63,11.0,10.63,11.0,15400.0,15400.0,-0.37,-3.481,10.87667,"February 03, 98",-0.03481
1998-02-04,10.63,10.63,10.5,10.5,2300.0,2300.0,0.13,1.223,10.54333,"February 04, 98",0.01223
1998-02-05,10.5,10.5,8.88,9.0,34200.0,34200.0,1.5,14.286,9.46,"February 05, 98",0.14286
1998-02-06,9.25,9.25,8.63,8.63,12300.0,12300.0,0.62,6.703,8.83667,"February 06, 98",0.06703
1998-02-09,9.13,9.13,8.88,8.91,21400.0,21400.0,0.22,2.41,8.97333,"February 09, 98",0.0241
1998-02-10,9.0,9.06,9.0,9.0,20500.0,20500.0,0.0,0.0,9.02,"February 10, 98",0.0
1998-02-11,9.13,9.5,9.13,9.13,36000.0,36000.0,0.0,0.0,9.25333,"February 11, 98",0.0
1998-02-12,9.13,9.13,9.13,9.13,0.0,0.0,0.0,0.0,0.0,"February 12, 98",0.0
1998-02-13,9.13,9.13,9.13,9.13,0.0,0.0,0.0,0.0,0.0,"February 13, 98",0.0
1998-02-17,8.88,8.88,8.88,8.88,200.0,200.0,0.0,0.0,8.88,"February 17, 98",0.0
1998-02-18,9.06,9.06,8.88,8.88,9600.0,9600.0,0.18,1.987,8.94,"February 18, 98",0.01987
1998-02-19,8.88,8.88,8.88,8.88,10000.0,10000.0,0.0,0.0,8.88,"February 19, 98",0.0
1998-02-20,8.88,9.0,8.88,9.0,25500.0,25500.0,-0.12,-1.351,8.96,"February 20, 98",-0.01351
1998-02-23,8.88,8.88,8.75,8.75,31900.0,31900.0,0.13,1.464,8.79333,"February 23, 98",0.01464
1998-02-24,9.0,9.0,8.63,8.88,11800.0,11800.0,0.12,1.333,8.83667,"February 24, 98",0.01333
1998-02-25,8.5,9.0,8.5,8.75,38600.0,38600.0,-0.25,-2.941,8.75,"February 25, 98",-0.02941
1998-02-26,8.75,8.75,8.75,8.75,5000.0,5000.0,0.0,0.0,8.75,"February 26, 98",0.0
1998-02-27,8.75,8.75,8.75,8.75,100.0,100.0,0.0,0.0,8.75,"February 27, 98",0.0
1998-03-02,8.75,8.75,8.75,8.75,200.0,200.0,0.0,0.0,8.75,"March 02, 98",0.0
1998-03-03,8.63,8.75,8.25,8.75,18900.0,18900.0,-0.12,-1.39,8.58333,"March 03, 98",-0.0139
1998-03-04,8.75,8.75,8.38,8.5,14600.0,14600.0,0.25,2.857,8.54333,"March 04, 98",0.02857
1998-03-05,8.5,8.5,8.5,8.5,0.0,0.0,0.0,0.0,0.0,"March 05, 98",0.0
1998-03-06,8.75,8.75,8.75,8.75,800.0,800.0,0.0,0.0,8.75,"March 06, 98",0.0
1998-03-09,8.63,8.63,8.5,8.5,4700.0,4700.0,0.13,1.506,8.54333,"March 09, 98",0.01506
1998-03-10,8.63,8.63,8.25,8.63,9500.0,9500.0,0.0,0.0,8.50333,"March 10, 98",0.0
1998-03-11,8.25,8.38,8.13,8.13,73600.0,73600.0,0.12,1.455,8.21333,"March 11, 98",0.01455
1998-03-12,8.0,8.0,7.75,8.0,4300.0,4300.0,0.0,0.0,7.91667,"March 12, 98",0.0
1998-03-13,8.0,8.0,6.75,7.63,21200.0,21200.0,0.37,4.625,7.46,"March 13, 98",0.04625
1998-03-16,7.0,7.63,6.75,7.0,41000.0,41000.0,0.0,0.0,7.12667,"March 16, 98",0.0
1998-03-17,6.88,6.88,6.38,6.5,21100.0,21100.0,0.38,5.523,6.58667,"March 17, 98",0.05523
1998-03-18,6.75,7.0,6.38,6.88,5800.0,5800.0,-0.13,-1.926,6.75333,"March 18, 98",-0.01926
1998-03-19,7.0,7.75,6.88,6.88,90700.0,90700.0,0.12,1.714,7.17,"March 19, 98",0.01714
1998-03-20,7.13,7.25,7.0,7.25,39200.0,39200.0,-0.12,-1.683,7.16667,"March 20, 98",-0.01683
1998-03-23,7.5,7.5,6.88,6.88,8800.0,8800.0,0.62,8.267,7.08667,"March 23, 98",0.08267
1998-03-24,6.88,7.38,6.88,7.13,35900.0,35900.0,-0.25,-3.634,7.13,"March 24, 98",-0.03634
1998-03-25,7.25,7.38,7.0,7.25,110100.0,110100.0,0.0,0.0,7.21,"March 25, 98",0.0
1998-03-26,7.25,7.25,7.0,7.13,44600.0,44600.0,0.12,1.655,7.12667,"March 26, 98",0.01655
1998-03-27,7.13,7.75,7.06,7.75,116800.0,116800.0,-0.62,-8.696,7.52,"March 27, 98",-0.08696
1998-03-30,7.63,7.63,7.5,7.5,26400.0,26400.0,0.13,1.704,7.54333,"March 30, 98",0.01704
1998-03-31,7.5,7.63,7.5,7.63,9700.0,9700.0,-0.13,-1.733,7.58667,"March 31, 98",-0.01733
1998-04-01,7.63,7.63,7.25,7.5,152400.0,152400.0,0.13,1.704,7.46,"April 01, 98",0.01704
1998-04-02,7.5,7.5,7.25,7.38,9500.0,9500.0,0.12,1.6,7.37667,"April 02, 98",0.016
1998-04-03,7.25,7.31,7.25,7.31,1300.0,1300.0,-0.06,-0.828,7.29,"April 03, 98",-0.00828
1998-04-06,7.25,7.25,7.0,7.06,17300.0,17300.0,0.19,2.621,7.10333,"April 06, 98",0.02621
1998-04-07,7.0,7.13,7.0,7.06,2300.0,2300.0,-0.06,-0.857,7.06333,"April 07, 98",-0.00857
1998-04-08,7.13,7.13,7.13,7.13,600.0,600.0,0.0,0.0,7.13,"April 08, 98",0.0
1998-04-09,7.13,7.13,7.0,7.13,1010400.0,1010400.0,0.0,0.0,7.08667,"April 09, 98",0.0
1998-04-13,7.13,7.13,7.0,7.06,8100.0,8100.0,0.07,0.982,7.06333,"April 13, 98",0.00982
1998-04-14,7.0,7.0,6.0,6.13,451200.0,451200.0,0.87,12.429,6.37667,"April 14, 98",0.12429
1998-04-15,6.13,6.25,5.75,5.81,97300.0,97300.0,0.32,5.22,5.93667,"April 15, 98",0.0522
1998-04-16,6.0,6.5,5.94,6.38,214500.0,214500.0,-0.38,-6.333,6.27333,"April 16, 98",-0.06333
1998-04-17,7.0,7.0,6.5,7.0,9500.0,9500.0,0.0,0.0,6.83333,"April 17, 98",0.0
1998-04-20,7.13,7.13,7.0,7.0,8900.0,8900.0,0.13,1.823,7.04333,"April 20, 98",0.01823
1998-04-21,7.13,7.13,7.13,7.13,1300.0,1300.0,0.0,0.0,7.13,"April 21, 98",0.0
1998-04-22,7.13,7.13,6.88,6.88,16300.0,16300.0,0.25,3.506,6.96333,"April 22, 98",0.03506
1998-04-23,7.0,7.13,7.0,7.06,43300.0,43300.0,-0.06,-0.857,7.06333,"April 23, 98",-0.00857
1998-04-24,7.0,7.13,7.0,7.13,134000.0,134000.0,-0.13,-1.857,7.08667,"April 24, 98",-0.01857
1998-04-27,7.13,7.13,7.0,7.13,61300.0,61300.0,0.0,0.0,7.08667,"April 27, 98",0.0
1998-04-28,7.13,7.13,6.75,7.0,35500.0,35500.0,0.13,1.823,6.96,"April 28, 98",0.01823
1998-04-29,6.88,6.88,6.63,6.75,13000.0,13000.0,0.13,1.89,6.75333,"April 29, 98",0.0189
1998-04-30,6.5,6.88,6.5,6.75,11000.0,11000.0,-0.25,-3.846,6.71,"April 30, 98",-0.03846
1998-05-01,6.75,6.75,6.75,6.75,0.0,0.0,0.0,0.0,0.0,"May 01, 98",0.0
1998-05-04,7.0,7.13,7.0,7.13,21100.0,21100.0,-0.13,-1.857,7.08667,"May 04, 98",-0.01857
1998-05-05,7.13,7.13,7.0,7.0,41200.0,41200.0,0.13,1.823,7.04333,"May 05, 98",0.01823
1998-05-06,7.0,7.0,6.88,6.88,69300.0,69300.0,0.12,1.714,6.92,"May 06, 98",0.01714
1998-05-07,6.88,6.88,6.5,6.5,45300.0,45300.0,0.38,5.523,6.62667,"May 07, 98",0.05523
1998-05-08,6.5,6.5,6.38,6.38,279500.0,279500.0,0.12,1.846,6.42,"May 08, 98",0.01846
1998-05-11,6.63,6.88,6.0,6.0,261200.0,261200.0,0.63,9.502,6.29333,"May 11, 98",0.09502
1998-05-12,6.0,6.25,6.0,6.25,158000.0,158000.0,-0.25,-4.167,6.16667,"May 12, 98",-0.04167
1998-05-13,6.25,6.25,5.88,6.0,6700.0,6700.0,0.25,4.0,6.04333,"May 13, 98",0.04
1998-05-14,6.0,6.25,5.75,6.13,39900.0,39900.0,-0.13,-2.167,6.04333,"May 14, 98",-0.02167
1998-05-15,6.25,6.25,6.0,6.06,120700.0,120700.0,0.19,3.04,6.10333,"May 15, 98",0.0304
1998-05-18,6.0,6.13,5.88,5.88,34700.0,34700.0,0.12,2.0,5.96333,"May 18, 98",0.02
1998-05-19,5.88,6.0,5.75,5.75,62000.0,62000.0,0.13,2.211,5.83333,"May 19, 98",0.02211
1998-05-20,5.88,5.88,5.63,5.88,11300.0,11300.0,0.0,0.0,5.79667,"May 20, 98",0.0
1998-05-21,5.88,5.88,5.5,5.5,12000.0,12000.0,0.38,6.463,5.62667,"May 21, 98",0.06463
1998-05-22,6.25,6.25,5.88,6.13,32900.0,32900.0,0.12,1.92,6.08667,"May 22, 98",0.0192
1998-05-26,6.13,6.13,5.5,5.75,24000.0,24000.0,0.38,6.199,5.79333,"May 26, 98",0.06199
1998-05-27,5.25,6.13,5.25,6.0,5400.0,5400.0,-0.75,-14.286,5.79333,"May 27, 98",-0.14286
1998-05-28,6.13,6.13,5.75,5.75,4600.0,4600.0,0.38,6.199,5.87667,"May 28, 98",0.06199
1998-05-29,5.94,5.94,5.94,5.94,10500.0,10500.0,0.0,0.0,5.94,"May 29, 98",0.0
1998-06-01,5.88,5.88,5.63,5.63,17100.0,17100.0,0.25,4.252,5.71333,"June 01, 98",0.04252
1998-06-02,6.0,6.0,6.0,6.0,23100.0,23100.0,0.0,0.0,6.0,"June 02, 98",0.0
1998-06-03,6.06,6.06,6.0,6.0,4300.0,4300.0,0.06,0.99,6.02,"June 03, 98",0.0099
1998-06-04,6.0,6.0,5.75,5.75,2000.0,2000.0,0.25,4.167,5.83333,"June 04, 98",0.04167
1998-06-05,6.0,6.13,5.5,5.5,44300.0,44300.0,0.5,8.333,5.71,"June 05, 98",0.08333
1998-06-08,5.75,5.75,5.5,5.5,35300.0,35300.0,0.25,4.348,5.58333,"June 08, 98",0.04348
1998-06-09,5.5,5.5,5.0,5.13,136400.0,136400.0,0.37,6.727,5.21,"June 09, 98",0.06727
1998-06-10,5.38,5.38,5.0,5.0,58300.0,58300.0,0.38,7.063,5.12667,"June 10, 98",0.07063
1998-06-11,5.13,5.13,5.13,5.13,3500.0,3500.0,0.0,0.0,5.13,"June 11, 98",0.0
1998-06-12,4.88,4.88,4.75,4.81,8400.0,8400.0,0.07,1.434,4.81333,"June 12, 98",0.01434
1998-06-15,4.88,4.88,4.38,4.5,18200.0,18200.0,0.38,7.787,4.58667,"June 15, 98",0.07787
1998-06-16,4.5,4.63,4.38,4.5,9200.0,9200.0,0.0,0.0,4.50333,"June 16, 98",0.0
1998-06-17,4.63,4.63,4.5,4.5,11600.0,11600.0,0.13,2.808,4.54333,"June 17, 98",0.02808
1998-06-18,4.5,4.63,4.44,4.63,28400.0,28400.0,-0.13,-2.889,4.56667,"June 18, 98",-0.02889
1998-06-19,4.63,4.63,4.38,4.44,42200.0,42200.0,0.19,4.104,4.48333,"June 19, 98",0.04104
1998-06-22,4.41,4.41,4.41,4.41,5400.0,5400.0,0.0,0.0,4.41,"June 22, 98",0.0
1998-06-23,4.34,4.44,3.09,3.75,327200.0,327200.0,0.59,13.594,3.76,"June 23, 98",0.13594
1998-06-24,4.13,4.5,4.0,4.38,125600.0,125600.0,-0.25,-6.053,4.29333,"June 24, 98",-0.06053
1998-06-25,4.5,4.5,4.25,4.25,67300.0,67300.0,0.25,5.556,4.33333,"June 25, 98",0.05556
1998-06-26,4.5,4.5,4.31,4.31,24000.0,24000.0,0.19,4.222,4.37333,"June 26, 98",0.04222
1998-06-29,4.5,4.5,4.31,4.31,1000.0,1000.0,0.19,4.222,4.37333,"June 29, 98",0.04222
1998-06-30,4.38,4.5,4.38,4.38,4900.0,4900.0,0.0,0.0,4.42,"June 30, 98",0.0
1998-07-01,4.38,4.5,4.25,4.5,7500.0,7500.0,-0.12,-2.74,4.41667,"July 01, 98",-0.0274
1998-07-02,4.5,4.5,4.38,4.38,20700.0,20700.0,0.12,2.667,4.42,"July 02, 98",0.02667
1998-07-06,4.5,4.5,3.5,3.94,125700.0,125700.0,0.56,12.444,3.98,"July 06, 98",0.12444
1998-07-07,4.25,4.25,3.63,4.0,85500.0,85500.0,0.25,5.882,3.96,"July 07, 98",0.05882
1998-07-08,4.13,4.13,3.88,4.0,18600.0,18600.0,0.13,3.148,4.00333,"July 08, 98",0.03148
1998-07-09,4.13,4.13,4.0,4.0,8600.0,8600.0,0.13,3.148,4.04333,"July 09, 98",0.03148
1998-07-10,4.13,4.13,4.0,4.13,3300.0,3300.0,0.0,0.0,4.08667,"July 10, 98",0.0
1998-07-13,4.0,4.13,3.63,3.63,61100.0,61100.0,0.37,9.25,3.79667,"July 13, 98",0.0925
1998-07-14,3.88,3.88,3.75,3.81,10700.0,10700.0,0.07,1.804,3.81333,"July 14, 98",0.01804
1998-07-15,3.88,4.0,3.63,3.75,94900.0,94900.0,0.13,3.351,3.79333,"July 15, 98",0.03351
1998-07-16,4.13,4.13,3.25,3.25,54100.0,54100.0,0.88,21.308,3.54333,"July 16, 98",0.21308
1998-07-17,3.38,3.5,3.25,3.25,24700.0,24700.0,0.13,3.846,3.33333,"July 17, 98",0.03846
1998-07-20,3.63,4.13,3.38,3.88,143600.0,143600.0,-0.25,-6.887,3.79667,"July 20, 98",-0.06887
1998-07-21,4.0,4.0,3.88,3.94,59700.0,59700.0,0.06,1.5,3.94,"July 21, 98",0.015
1998-07-22,3.94,3.94,3.69,3.75,140100.0,140100.0,0.19,4.822,3.79333,"July 22, 98",0.04822
1998-07-23,3.63,3.81,3.63,3.69,123300.0,123300.0,-0.06,-1.653,3.71,"July 23, 98",-0.01653
1998-07-24,3.81,3.81,3.69,3.75,6600.0,6600.0,0.06,1.575,3.75,"July 24, 98",0.01575
1998-07-27,3.88,3.88,3.69,3.88,6100.0,6100.0,0.0,0.0,3.81667,"July 27, 98",0.0
1998-07-28,3.94,4.0,3.88,4.0,7000.0,7000.0,-0.06,-1.523,3.96,"July 28, 98",-0.01523
1998-07-29,4.13,4.13,4.0,4.06,114100.0,114100.0,0.07,1.695,4.06333,"July 29, 98",0.01695
1998-07-30,4.13,4.13,4.06,4.13,1900.0,1900.0,0.0,0.0,4.10667,"July 30, 98",0.0
1998-07-31,4.13,4.13,4.0,4.0,34100.0,34100.0,0.13,3.148,4.04333,"July 31, 98",0.03148
1998-08-03,4.06,4.06,4.0,4.0,7100.0,7100.0,0.06,1.478,4.02,"August 03, 98",0.01478
1998-08-04,3.97,3.97,3.97,3.97,500.0,500.0,0.0,0.0,3.97,"August 04, 98",0.0
1998-08-05,3.97,3.97,3.81,3.88,24000.0,24000.0,0.09,2.267,3.88667,"August 05, 98",0.02267
1998-08-06,3.81,3.88,3.81,3.84,36300.0,36300.0,-0.03,-0.787,3.84333,"August 06, 98",-0.00787
1998-08-07,3.97,3.97,3.88,3.91,20100.0,20100.0,0.06,1.511,3.92,"August 07, 98",0.01511
1998-08-10,3.94,3.94,3.81,3.81,5300.0,5300.0,0.13,3.299,3.85333,"August 10, 98",0.03299
1998-08-11,3.75,3.81,3.75,3.75,6600.0,6600.0,0.0,0.0,3.77,"August 11, 98",0.0
