date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,35.38,35.81,35.0,35.31,212000.0,212000.0,0.07,0.198,35.37333,"January 02, 98",0.00198
1998-01-05,35.19,35.56,34.25,34.69,250200.0,250200.0,0.5,1.421,34.83333,"January 05, 98",0.01421
1998-01-06,34.5,35.0,34.19,34.88,219700.0,219700.0,-0.38,-1.101,34.69,"January 06, 98",-0.01101
1998-01-07,34.63,34.81,34.13,34.25,273100.0,273100.0,0.38,1.097,34.39667,"January 07, 98",0.01097
1998-01-08,34.25,35.5,34.25,35.31,237300.0,237300.0,-1.06,-3.095,35.02,"January 08, 98",-0.03095
1998-01-09,35.19,35.25,33.5,33.63,383300.0,383300.0,1.56,4.433,34.12667,"January 09, 98",0.04433
1998-01-12,32.63,34.13,32.25,34.13,517000.0,517000.0,-1.5,-4.597,33.50333,"January 12, 98",-0.04597
1998-01-13,34.25,34.5,33.88,34.0,153900.0,153900.0,0.25,0.73,34.12667,"January 13, 98",0.0073
1998-01-14,34.13,34.19,33.44,34.0,106000.0,106000.0,0.13,0.381,33.87667,"January 14, 98",0.00381
1998-01-15,34.0,34.13,33.69,33.81,139100.0,139100.0,0.19,0.559,33.87667,"January 15, 98",0.00559
1998-01-16,34.13,34.25,33.31,34.0,274500.0,274500.0,0.13,0.381,33.85333,"January 16, 98",0.00381
1998-01-20,34.0,35.31,33.94,35.31,193800.0,193800.0,-1.31,-3.853,34.85333,"January 20, 98",-0.03853
1998-01-21,35.25,35.31,33.94,33.94,129700.0,129700.0,1.31,3.716,34.39667,"January 21, 98",0.03716
1998-01-22,34.0,34.25,33.25,33.5,177000.0,177000.0,0.5,1.471,33.66667,"January 22, 98",0.01471
1998-01-23,32.63,32.63,31.75,32.13,820100.0,820100.0,0.5,1.532,32.17,"January 23, 98",0.01532
1998-01-26,32.38,33.19,32.38,33.0,416200.0,416200.0,-0.62,-1.915,32.85667,"January 26, 98",-0.01915
1998-01-27,33.19,33.19,32.19,32.25,282700.0,282700.0,0.94,2.832,32.54333,"January 27, 98",0.02832
1998-01-28,32.5,32.81,32.38,32.69,251000.0,251000.0,-0.19,-0.585,32.62667,"January 28, 98",-0.00585
1998-01-29,32.75,34.5,32.38,33.94,548400.0,548400.0,-1.19,-3.634,33.60667,"January 29, 98",-0.03634
1998-01-30,33.69,33.69,32.5,32.88,491900.0,491900.0,0.81,2.404,33.02333,"January 30, 98",0.02404
1998-02-02,33.5,34.5,33.5,34.31,427600.0,427600.0,-0.81,-2.418,34.10333,"February 02, 98",-0.02418
1998-02-03,34.06,34.31,33.0,33.06,408700.0,408700.0,1.0,2.936,33.45667,"February 03, 98",0.02936
1998-02-04,33.19,33.19,31.88,32.19,925500.0,925500.0,1.0,3.013,32.42,"February 04, 98",0.03013
1998-02-05,32.38,32.44,31.88,32.19,420200.0,420200.0,0.19,0.587,32.17,"February 05, 98",0.00587
1998-02-06,32.0,32.5,31.88,31.94,368700.0,368700.0,0.06,0.188,32.10667,"February 06, 98",0.00188
1998-02-09,31.94,32.5,31.94,32.38,518600.0,518600.0,-0.44,-1.378,32.27333,"February 09, 98",-0.01378
1998-02-10,32.44,32.94,32.44,32.63,437200.0,437200.0,-0.19,-0.586,32.67,"February 10, 98",-0.00586
1998-02-11,32.63,34.0,32.63,33.81,399700.0,399700.0,-1.18,-3.616,33.48,"February 11, 98",-0.03616
1998-02-12,33.56,34.25,33.5,34.25,343000.0,343000.0,-0.69,-2.056,34.0,"February 12, 98",-0.02056
1998-02-13,34.19,34.69,33.38,33.38,413900.0,413900.0,0.81,2.369,33.81667,"February 13, 98",0.02369
1998-02-17,33.44,34.44,33.44,34.06,387100.0,387100.0,-0.62,-1.854,33.98,"February 17, 98",-0.01854
1998-02-18,34.06,34.25,33.94,34.19,337900.0,337900.0,-0.13,-0.382,34.12667,"February 18, 98",-0.00382
1998-02-19,34.19,34.5,34.06,34.44,460000.0,460000.0,-0.25,-0.731,34.33333,"February 19, 98",-0.00731
1998-02-20,34.69,34.69,33.75,34.19,318400.0,318400.0,0.5,1.441,34.21,"February 20, 98",0.01441
1998-02-23,34.19,34.69,33.75,34.13,246800.0,246800.0,0.06,0.175,34.19,"February 23, 98",0.00175
1998-02-24,34.06,34.88,33.88,34.75,469800.0,469800.0,-0.69,-2.026,34.50333,"February 24, 98",-0.02026
1998-02-25,34.81,35.25,34.63,34.63,438100.0,438100.0,0.18,0.517,34.83667,"February 25, 98",0.00517
1998-02-26,34.63,35.63,34.38,35.44,412800.0,412800.0,-0.81,-2.339,35.15,"February 26, 98",-0.02339
1998-02-27,35.44,35.94,35.06,35.94,316800.0,316800.0,-0.5,-1.411,35.64667,"February 27, 98",-0.01411
1998-03-02,35.81,35.88,35.06,35.25,304800.0,304800.0,0.56,1.564,35.39667,"March 02, 98",0.01564
1998-03-03,35.25,35.75,35.13,35.75,195600.0,195600.0,-0.5,-1.418,35.54333,"March 03, 98",-0.01418
1998-03-04,35.56,36.0,35.06,35.81,254700.0,254700.0,-0.25,-0.703,35.62333,"March 04, 98",-0.00703
1998-03-05,35.75,36.13,35.5,35.88,332600.0,332600.0,-0.13,-0.364,35.83667,"March 05, 98",-0.00364
1998-03-06,35.88,37.0,35.88,37.0,149200.0,149200.0,-1.12,-3.122,36.62667,"March 06, 98",-0.03122
1998-03-09,36.88,36.94,35.88,36.38,330500.0,330500.0,0.5,1.356,36.4,"March 09, 98",0.01356
1998-03-10,36.63,36.94,36.38,36.63,177400.0,177400.0,0.0,0.0,36.65,"March 10, 98",0.0
1998-03-11,36.5,36.94,36.06,36.94,160500.0,160500.0,-0.44,-1.205,36.64667,"March 11, 98",-0.01205
1998-03-12,36.75,36.75,36.25,36.25,117800.0,117800.0,0.5,1.361,36.41667,"March 12, 98",0.01361
1998-03-13,36.5,36.88,36.25,36.38,135200.0,135200.0,0.12,0.329,36.50333,"March 13, 98",0.00329
1998-03-16,36.31,37.0,36.31,37.0,119800.0,119800.0,-0.69,-1.9,36.77,"March 16, 98",-0.019
1998-03-17,37.0,37.0,36.19,36.5,133000.0,133000.0,0.5,1.351,36.56333,"March 17, 98",0.01351
1998-03-18,36.5,37.19,36.25,36.75,255500.0,255500.0,-0.25,-0.685,36.73,"March 18, 98",-0.00685
1998-03-19,37.0,37.44,36.5,37.31,223600.0,223600.0,-0.31,-0.838,37.08333,"March 19, 98",-0.00838
1998-03-20,37.44,37.63,37.19,37.19,247500.0,247500.0,0.25,0.668,37.33667,"March 20, 98",0.00668
1998-03-23,37.13,37.19,36.44,36.63,150000.0,150000.0,0.5,1.347,36.75333,"March 23, 98",0.01347
1998-03-24,36.56,36.94,36.5,36.81,148100.0,148100.0,-0.25,-0.684,36.75,"March 24, 98",-0.00684
1998-03-25,37.0,37.06,36.25,36.5,195700.0,195700.0,0.5,1.351,36.60333,"March 25, 98",0.01351
1998-03-26,36.38,36.38,35.69,36.19,178600.0,178600.0,0.19,0.522,36.08667,"March 26, 98",0.00522
1998-03-27,36.19,37.19,36.13,36.81,222900.0,222900.0,-0.62,-1.713,36.71,"March 27, 98",-0.01713
1998-03-30,36.75,36.94,36.06,36.06,177900.0,177900.0,0.69,1.878,36.35333,"March 30, 98",0.01878
1998-03-31,36.06,36.94,36.06,36.5,277500.0,277500.0,-0.44,-1.22,36.5,"March 31, 98",-0.0122
1998-04-01,36.63,36.81,35.88,36.56,320100.0,320100.0,0.07,0.191,36.41667,"April 01, 98",0.00191
1998-04-02,36.69,37.56,36.56,37.56,121400.0,121400.0,-0.87,-2.371,37.22667,"April 02, 98",-0.02371
1998-04-03,37.69,38.0,37.19,37.19,279200.0,279200.0,0.5,1.327,37.46,"April 03, 98",0.01327
1998-04-06,37.44,38.38,37.25,38.13,278400.0,278400.0,-0.69,-1.843,37.92,"April 06, 98",-0.01843
1998-04-07,38.19,38.81,37.75,38.38,396500.0,396500.0,-0.19,-0.498,38.31333,"April 07, 98",-0.00498
1998-04-08,38.13,38.19,37.5,37.75,243700.0,243700.0,0.38,0.997,37.81333,"April 08, 98",0.00997
1998-04-09,37.69,39.25,37.63,39.06,179000.0,179000.0,-1.37,-3.635,38.64667,"April 09, 98",-0.03635
1998-04-13,38.81,39.13,38.0,39.06,216800.0,216800.0,-0.25,-0.644,38.73,"April 13, 98",-0.00644
1998-04-14,39.19,39.38,38.75,38.81,210600.0,210600.0,0.38,0.97,38.98,"April 14, 98",0.0097
1998-04-15,38.81,40.69,38.81,40.13,252800.0,252800.0,-1.32,-3.401,39.87667,"April 15, 98",-0.03401
1998-04-16,40.06,40.06,39.13,39.13,325800.0,325800.0,0.93,2.322,39.44,"April 16, 98",0.02322
1998-04-17,39.13,40.19,38.94,40.06,245600.0,245600.0,-0.93,-2.377,39.73,"April 17, 98",-0.02377
1998-04-20,39.94,40.25,39.56,39.69,181700.0,181700.0,0.25,0.626,39.83333,"April 20, 98",0.00626
1998-04-21,39.5,40.0,39.31,39.81,98600.0,98600.0,-0.31,-0.785,39.70667,"April 21, 98",-0.00785
1998-04-22,39.63,40.38,39.63,40.19,115900.0,115900.0,-0.56,-1.413,40.06667,"April 22, 98",-0.01413
1998-04-23,40.0,40.13,39.31,39.63,205100.0,205100.0,0.37,0.925,39.69,"April 23, 98",0.00925
1998-04-24,39.56,39.94,38.5,38.69,245200.0,245200.0,0.87,2.199,39.04333,"April 24, 98",0.02199
1998-04-27,38.56,38.56,37.31,37.38,221400.0,221400.0,1.18,3.06,37.75,"April 27, 98",0.0306
1998-04-28,38.0,38.44,37.06,37.13,517400.0,517400.0,0.87,2.289,37.54333,"April 28, 98",0.02289
1998-04-29,37.25,38.25,36.94,38.13,227200.0,227200.0,-0.88,-2.362,37.77333,"April 29, 98",-0.02362
1998-04-30,38.13,39.5,38.13,38.69,146900.0,146900.0,-0.56,-1.469,38.77333,"April 30, 98",-0.01469
1998-05-01,38.94,39.25,38.13,38.81,124300.0,124300.0,0.13,0.334,38.73,"May 01, 98",0.00334
1998-05-04,38.81,39.94,38.69,38.69,119800.0,119800.0,0.12,0.309,39.10667,"May 04, 98",0.00309
1998-05-05,38.63,38.63,37.81,38.25,138100.0,138100.0,0.38,0.984,38.23,"May 05, 98",0.00984
1998-05-06,38.31,38.31,36.5,36.63,247600.0,247600.0,1.68,4.385,37.14667,"May 06, 98",0.04385
1998-05-07,36.63,37.38,36.31,37.13,149600.0,149600.0,-0.5,-1.365,36.94,"May 07, 98",-0.01365
1998-05-08,37.06,37.94,37.0,37.56,127400.0,127400.0,-0.5,-1.349,37.5,"May 08, 98",-0.01349
1998-05-11,37.44,38.5,37.44,38.5,201600.0,201600.0,-1.06,-2.831,38.14667,"May 11, 98",-0.02831
1998-05-12,38.44,39.31,37.75,38.44,295100.0,295100.0,0.0,0.0,38.5,"May 12, 98",0.0
1998-05-13,38.44,38.75,37.88,38.06,85100.0,85100.0,0.38,0.989,38.23,"May 13, 98",0.00989
1998-05-14,37.88,38.25,37.5,37.69,84200.0,84200.0,0.19,0.502,37.81333,"May 14, 98",0.00502
1998-05-15,37.56,37.69,36.19,36.19,264400.0,264400.0,1.37,3.647,36.69,"May 15, 98",0.03647
1998-05-18,36.38,36.56,36.06,36.31,111100.0,111100.0,0.07,0.192,36.31,"May 18, 98",0.00192
1998-05-19,36.56,37.0,36.38,37.0,140000.0,140000.0,-0.44,-1.204,36.79333,"May 19, 98",-0.01204
1998-05-20,37.13,37.13,36.25,36.25,174200.0,174200.0,0.88,2.37,36.54333,"May 20, 98",0.0237
1998-05-21,36.25,36.94,35.81,36.75,159200.0,159200.0,-0.5,-1.379,36.5,"May 21, 98",-0.01379
