date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label
1998-01-02,1.88,1.9,1.82,1.87,729600000,729600000,,-0.53,1.87,1/2/98
1998-01-03,1.88,1.88,1.74,1.8,4030000,4030000,-0.07,-3.74,1.8,1/3/98
1998-01-04,1.77,1.79,1.75,1.78,2520000,2520000,-0.02,-1.11,1.78,1/4/98
1998-01-05,1.76,1.81,1.76,1.81,412800000,412800000,0.03,1.69,1.81,1/5/98
1998-01-06,1.79,1.81,1.75,1.77,672000000,672000000,-0.04,-2.21,1.77,1/6/98
1998-01-07,1.77,1.78,1.69,1.7,1700000,1700000,-0.07,-3.95,1.7,1/7/98
1998-01-08,1.69,1.73,1.69,1.71,1500000,1500000,0.01,0.59,1.71,1/8/98
1998-01-09,1.74,1.81,1.74,1.78,2100000,2100000,0.07,4.09,1.78,1/9/98
1998-01-10,1.76,1.8,1.75,1.75,822400000,822400000,-0.03,-1.69,1.75,1/10/98
1998-01-11,1.75,1.78,1.75,1.76,192000000,192000000,0.01,0.57,1.76,1/11/98
1998-01-12,1.78,1.78,1.76,1.76,662400000,662400000,0,0,1.76,1/12/98
1998-01-13,1.76,1.78,1.75,1.77,937600000,937600000,0.01,0.57,1.77,1/13/98
1998-01-14,1.75,1.78,1.75,1.78,528000000,528000000,0.01,0.56,1.78,1/14/98
1998-01-15,1.75,1.78,1.75,1.75,105600000,105600000,-0.03,-1.69,1.75,1/15/98
1998-01-16,1.78,1.81,1.75,1.78,2640000,2640000,0.03,1.71,1.78,1/16/98
1998-01-17,1.76,1.81,1.76,1.79,400000000,400000000,0.01,0.56,1.79,1/17/98
1998-01-18,1.78,1.81,1.77,1.79,528000000,528000000,0,0,1.79,1/18/98
1998-01-19,1.79,1.85,1.79,1.84,896000000,896000000,0.05,2.79,1.84,1/19/98
1998-01-20,1.87,1.95,1.87,1.95,4630000,4630000,0.11,5.98,1.95,1/20/98
1998-01-21,1.91,1.95,1.91,1.91,3520000,3520000,-0.04,-2.05,1.91,1/21/98
1998-01-22,1.95,1.95,1.91,1.95,1640000,1640000,0.04,2.09,1.95,1/22/98
