date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,57.19,57.81,53.75,57.34,221700.0,221700.0,-0.15,-0.262,56.3,"January 02, 98",-0.00262
1998-01-05,58.13,63.44,56.88,63.28,1302400.0,1302400.0,-5.15,-8.859,61.2,"January 05, 98",-0.08859
1998-01-06,62.81,63.44,60.0,61.48,413900.0,413900.0,1.33,2.117,61.64,"January 06, 98",0.02117
1998-01-07,60.63,63.13,55.63,62.34,653000.0,653000.0,-1.71,-2.82,60.36667,"January 07, 98",-0.0282
1998-01-08,61.56,63.44,60.31,61.09,649100.0,649100.0,0.47,0.763,61.61333,"January 08, 98",0.00763
1998-01-09,60.63,60.78,56.25,57.19,597000.0,597000.0,3.44,5.674,58.07333,"January 09, 98",0.05674
1998-01-12,55.0,58.75,52.97,56.56,418800.0,418800.0,-1.56,-2.836,56.09333,"January 12, 98",-0.02836
1998-01-13,57.81,58.75,56.56,57.11,238900.0,238900.0,0.7,1.211,57.47333,"January 13, 98",0.01211
1998-01-14,57.5,57.81,55.63,56.88,206200.0,206200.0,0.62,1.078,56.77333,"January 14, 98",0.01078
1998-01-15,55.94,57.34,54.69,56.41,141500.0,141500.0,-0.47,-0.84,56.14667,"January 15, 98",-0.0084
1998-01-16,56.56,57.81,55.63,57.19,197600.0,197600.0,-0.63,-1.114,56.87667,"January 16, 98",-0.01114
1998-01-20,58.59,59.06,56.88,58.28,272300.0,272300.0,0.31,0.529,58.07333,"January 20, 98",0.00529
1998-01-21,58.13,60.63,56.56,59.84,342600.0,342600.0,-1.71,-2.942,59.01,"January 21, 98",-0.02942
1998-01-22,59.69,60.0,58.44,59.22,191700.0,191700.0,0.47,0.787,59.22,"January 22, 98",0.00787
1998-01-23,58.59,59.69,53.75,55.0,560200.0,560200.0,3.59,6.127,56.14667,"January 23, 98",0.06127
1998-01-26,55.0,55.31,49.84,50.63,456600.0,456600.0,4.37,7.945,51.92667,"January 26, 98",0.07945
1998-01-27,49.69,53.44,49.38,49.77,470000.0,470000.0,-0.08,-0.161,50.86333,"January 27, 98",-0.00161
1998-01-28,49.84,51.25,46.88,51.09,533900.0,533900.0,-1.25,-2.508,49.74,"January 28, 98",-0.02508
1998-01-29,51.25,51.25,50.0,50.47,354600.0,354600.0,0.78,1.522,50.57333,"January 29, 98",0.01522
1998-01-30,50.63,54.84,50.31,54.53,503500.0,503500.0,-3.9,-7.703,53.22667,"January 30, 98",-0.07703
1998-02-02,56.25,60.0,55.94,59.53,702300.0,702300.0,-3.28,-5.831,58.49,"February 02, 98",-0.05831
1998-02-03,59.53,62.5,59.38,61.88,454600.0,454600.0,-2.35,-3.948,61.25333,"February 03, 98",-0.03948
1998-02-04,61.25,61.88,59.69,61.41,321600.0,321600.0,-0.16,-0.261,60.99333,"February 04, 98",-0.00261
