date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1999-01-29,30.0,31.88,29.25,30.75,11336200.0,11336200.0,-0.75,-2.5,30.62667,"January 29, 99",-0.025
1999-02-01,32.0,32.0,30.5,30.56,1052600.0,1052600.0,1.44,4.5,31.02,"February 01, 99",0.045
1999-02-02,30.75,30.75,28.31,28.88,1084900.0,1084900.0,1.87,6.081,29.31333,"February 02, 99",0.06081
1999-02-03,29.0,29.13,28.81,28.94,485500.0,485500.0,0.06,0.207,28.96,"February 03, 99",0.00207
1999-02-04,28.94,29.06,28.88,28.88,204400.0,204400.0,0.06,0.207,28.94,"February 04, 99",0.00207
1999-02-05,28.88,29.13,28.88,29.0,329700.0,329700.0,-0.12,-0.416,29.00333,"February 05, 99",-0.00416
1999-02-08,29.0,29.19,29.0,29.0,222200.0,222200.0,0.0,0.0,29.06333,"February 08, 99",0.0
1999-02-09,29.0,29.38,29.0,29.0,130400.0,130400.0,0.0,0.0,29.12667,"February 09, 99",0.0
1999-02-10,28.88,29.13,28.88,28.94,61600.0,61600.0,-0.06,-0.208,28.98333,"February 10, 99",-0.00208
1999-02-11,29.0,29.25,28.88,29.13,66000.0,66000.0,-0.13,-0.448,29.08667,"February 11, 99",-0.00448
1999-02-12,29.63,29.69,29.31,29.69,99400.0,99400.0,-0.06,-0.202,29.56333,"February 12, 99",-0.00202
1999-02-16,29.63,29.69,29.38,29.63,88000.0,88000.0,0.0,0.0,29.56667,"February 16, 99",0.0
1999-02-17,29.5,30.25,29.44,30.0,94000.0,94000.0,-0.5,-1.695,29.89667,"February 17, 99",-0.01695
1999-02-18,30.06,30.13,30.0,30.13,209900.0,209900.0,-0.07,-0.233,30.08667,"February 18, 99",-0.00233
1999-02-19,30.25,30.31,30.0,30.13,86000.0,86000.0,0.12,0.397,30.14667,"February 19, 99",0.00397
1999-02-22,30.0,30.13,30.0,30.06,55500.0,55500.0,-0.06,-0.2,30.06333,"February 22, 99",-0.002
1999-02-23,30.13,30.13,29.94,30.0,52500.0,52500.0,0.13,0.431,30.02333,"February 23, 99",0.00431
1999-02-24,30.0,31.19,29.94,30.94,126000.0,126000.0,-0.94,-3.133,30.69,"February 24, 99",-0.03133
1999-02-25,30.94,30.94,30.13,30.25,123700.0,123700.0,0.69,2.23,30.44,"February 25, 99",0.0223
1999-02-26,30.25,31.38,30.25,31.38,64300.0,64300.0,-1.13,-3.736,31.00333,"February 26, 99",-0.03736
1999-03-01,30.88,31.0,30.31,31.0,165100.0,165100.0,-0.12,-0.389,30.77,"March 01, 99",-0.00389
1999-03-02,31.25,32.44,31.25,31.5,286700.0,286700.0,-0.25,-0.8,31.73,"March 02, 99",-0.008
1999-03-03,31.69,31.75,31.06,31.06,77800.0,77800.0,0.63,1.988,31.29,"March 03, 99",0.01988
1999-03-04,30.94,30.94,30.06,30.13,269000.0,269000.0,0.81,2.618,30.37667,"March 04, 99",0.02618
1999-03-05,30.5,30.5,30.13,30.19,27300.0,27300.0,0.31,1.016,30.27333,"March 05, 99",0.01016
1999-03-08,30.19,30.19,30.0,30.0,59300.0,59300.0,0.19,0.629,30.06333,"March 08, 99",0.00629
1999-03-09,29.81,30.13,29.75,30.13,95500.0,95500.0,-0.32,-1.073,30.00333,"March 09, 99",-0.01073
1999-03-10,30.0,30.0,29.75,29.81,52500.0,52500.0,0.19,0.633,29.85333,"March 10, 99",0.00633
1999-03-11,29.81,30.0,29.81,30.0,53900.0,53900.0,-0.19,-0.637,29.93667,"March 11, 99",-0.00637
1999-03-12,30.19,30.5,30.19,30.5,25700.0,25700.0,-0.31,-1.027,30.39667,"March 12, 99",-0.01027
1999-03-15,30.5,31.69,30.5,31.69,40700.0,40700.0,-1.19,-3.902,31.29333,"March 15, 99",-0.03902
1999-03-16,31.69,33.13,31.69,32.81,184500.0,184500.0,-1.12,-3.534,32.54333,"March 16, 99",-0.03534
1999-03-17,32.81,34.0,32.56,32.75,120600.0,120600.0,0.06,0.183,33.10333,"March 17, 99",0.00183
1999-03-18,32.75,33.06,32.69,32.69,113100.0,113100.0,0.06,0.183,32.81333,"March 18, 99",0.00183
1999-03-19,32.75,32.75,32.06,32.56,108500.0,108500.0,0.19,0.58,32.45667,"March 19, 99",0.0058
1999-03-22,32.56,32.75,32.56,32.56,53000.0,53000.0,0.0,0.0,32.62333,"March 22, 99",0.0
1999-03-23,32.44,32.5,31.81,31.88,110000.0,110000.0,0.56,1.726,32.06333,"March 23, 99",0.01726
1999-03-24,32.0,32.0,31.63,31.75,36400.0,36400.0,0.25,0.781,31.79333,"March 24, 99",0.00781
1999-03-25,31.81,31.94,31.75,31.88,41800.0,41800.0,-0.07,-0.22,31.85667,"March 25, 99",-0.0022
1999-03-26,31.88,31.94,31.81,31.88,109500.0,109500.0,0.0,0.0,31.87667,"March 26, 99",0.0
1999-03-29,31.88,32.38,31.88,32.38,19300.0,19300.0,-0.5,-1.568,32.21333,"March 29, 99",-0.01568
1999-03-30,32.63,32.94,32.63,32.81,17700.0,17700.0,-0.18,-0.552,32.79333,"March 30, 99",-0.00552
1999-03-31,32.5,35.38,32.5,35.38,203700.0,203700.0,-2.88,-8.862,34.42,"March 31, 99",-0.08862
1999-04-01,35.13,35.13,34.31,34.5,33300.0,33300.0,0.63,1.793,34.64667,"April 01, 99",0.01793
1999-04-05,34.25,34.25,33.5,33.56,168900.0,168900.0,0.69,2.015,33.77,"April 05, 99",0.02015
1999-04-06,33.44,33.44,32.69,32.69,72000.0,72000.0,0.75,2.243,32.94,"April 06, 99",0.02243
1999-04-07,32.69,33.94,32.69,33.19,39900.0,39900.0,-0.5,-1.53,33.27333,"April 07, 99",-0.0153
1999-04-08,33.13,33.5,32.88,33.44,26700.0,26700.0,-0.31,-0.936,33.27333,"April 08, 99",-0.00936
1999-04-09,33.19,33.63,32.94,33.63,61900.0,61900.0,-0.44,-1.326,33.4,"April 09, 99",-0.01326
1999-04-12,33.44,33.81,33.44,33.81,18600.0,18600.0,-0.37,-1.106,33.68667,"April 12, 99",-0.01106
1999-04-13,33.81,34.75,33.81,34.5,49800.0,49800.0,-0.69,-2.041,34.35333,"April 13, 99",-0.02041
1999-04-14,34.38,36.0,34.31,36.0,66900.0,66900.0,-1.62,-4.712,35.43667,"April 14, 99",-0.04712
1999-04-15,35.56,36.13,35.06,36.13,41200.0,41200.0,-0.57,-1.603,35.77333,"April 15, 99",-0.01603
1999-04-16,36.0,36.06,35.5,35.88,65900.0,65900.0,0.12,0.333,35.81333,"April 16, 99",0.00333
1999-04-19,35.75,36.56,35.75,36.19,27200.0,27200.0,-0.44,-1.231,36.16667,"April 19, 99",-0.01231
1999-04-20,36.38,36.44,36.13,36.13,6400.0,6400.0,0.25,0.687,36.23333,"April 20, 99",0.00687
1999-04-21,36.13,36.88,36.06,36.88,17200.0,17200.0,-0.75,-2.076,36.60667,"April 21, 99",-0.02076
1999-04-22,36.75,36.88,36.56,36.88,57800.0,57800.0,-0.13,-0.354,36.77333,"April 22, 99",-0.00354
1999-04-23,36.94,37.13,36.63,36.63,19400.0,19400.0,0.31,0.839,36.79667,"April 23, 99",0.00839
1999-04-26,36.75,36.94,36.38,36.94,47100.0,47100.0,-0.19,-0.517,36.75333,"April 26, 99",-0.00517
1999-04-27,36.75,37.0,36.75,36.94,47900.0,47900.0,-0.19,-0.517,36.89667,"April 27, 99",-0.00517
1999-04-28,37.0,37.25,36.88,36.88,102500.0,102500.0,0.12,0.324,37.00333,"April 28, 99",0.00324
1999-04-29,36.88,36.94,36.63,36.63,8000.0,8000.0,0.25,0.678,36.73333,"April 29, 99",0.00678
1999-04-30,36.88,37.25,36.75,37.13,21000.0,21000.0,-0.25,-0.678,37.04333,"April 30, 99",-0.00678
1999-05-03,37.13,37.56,36.63,37.06,93600.0,93600.0,0.07,0.189,37.08333,"May 03, 99",0.00189
1999-05-04,37.19,38.0,36.88,38.0,92300.0,92300.0,-0.81,-2.178,37.62667,"May 04, 99",-0.02178
1999-05-05,38.0,38.38,37.5,37.5,131700.0,131700.0,0.5,1.316,37.79333,"May 05, 99",0.01316
