date,1. open,2. high,3. low,4. close,5. volume
2016-01-04,17.109,17.25,16.96,17.0845,148222.0
2016-01-05,16.96,17.09,16.86,17.08,49582.0
2016-01-06,16.77,16.82,16.66,16.79,55314.0
2016-01-07,16.42,16.52,16.24,16.39,20646.0
2016-01-08,16.555,16.59,16.11,16.11,29984.0
2016-01-11,16.13,16.18,16.01,16.11,35403.0
2016-01-12,16.328,16.54,16.27,16.54,54755.0
2016-01-13,16.493,16.64,16.25,16.4,51726.0
2016-01-14,16.33,16.6,16.28,16.535,51318.0
2016-01-15,16.13,16.22,15.94,16.15,46890.0
2016-01-19,16.43,16.472,16.22,16.315,83498.0
2016-01-20,15.89,16.02,15.52,15.9,128691.0
2016-01-21,15.76,16.11,15.62,16.06,76320.0
2016-01-22,16.44,16.65,16.4,16.56,20000.0
2016-01-25,16.635,16.74,16.43,16.43,94568.0
2016-01-26,16.36,16.72,16.36,16.56,62430.0
2016-01-27,16.57,16.74,16.359,16.359,28544.0
2016-01-28,16.63,16.75,16.52,16.71,27531.0
2016-01-29,16.71,17.2,16.71,17.2,54609.0
2016-02-01,16.86,17.18,16.855,17.18,35636.0
2016-02-02,16.836,16.88,16.762,16.82,26530.0
2016-02-03,17.05,17.17,16.8,17.17,158407.0
2016-02-04,16.9,17.12,16.84,17.07,62758.0
2016-02-05,17.15,17.15,16.82,16.92,46483.0
2016-02-08,16.31,16.32,16.02,16.1,48445.0
2016-02-09,15.68,15.98,15.68,15.9,125666.0
2016-02-10,15.953,16.146,15.91,16.025,46159.0
2016-02-11,15.72,15.81,15.52,15.75,56717.0
2016-02-12,15.84,16.1,15.76,16.1,30057.0
2016-02-16,16.17,16.29,16.02,16.28,25168.0
2016-02-17,16.48,16.73,16.46,16.64,40919.0
2016-02-18,16.67,16.77,16.65,16.71,43184.0
2016-02-19,16.59,16.78,16.498,16.78,31566.0
2016-02-22,16.705,16.86,16.7,16.84,22006.0
2016-02-23,16.61,16.65,16.35,16.45,34219.0
2016-02-24,16.135,16.36,16.07,16.36,58342.0
2016-02-25,16.37,16.46,16.25,16.46,56544.0
2016-02-26,16.49,16.53,16.2,16.31,175436.0
2016-02-29,16.39,16.62,16.39,16.49,31440.0
2016-03-01,16.66,16.98,16.66,16.85,117040.0
2016-03-02,16.71,16.88,16.68,16.88,81567.0
2016-03-03,16.81,17.03,16.81,17.03,24489.0
2016-03-04,17.026,17.22,17.0,17.15,25036.0
2016-03-07,17.07,17.28,17.03,17.11,27353.0
2016-03-08,16.92,17.19,16.92,17.075,51321.0
2016-03-09,17.23,17.23,17.05,17.089,27248.0
2016-03-10,17.145,17.24,16.91,17.2,24264.0
2016-03-11,17.357,17.5,17.35,17.39,29955.0
2016-03-14,17.415,17.5,17.39,17.415,26276.0
2016-03-15,17.22,17.27,17.16,17.27,44317.0
2016-03-16,16.96,17.38,16.96,17.38,30021.0
2016-03-17,17.475,17.67,17.42,17.62,40208.0
2016-03-18,17.56,17.65,17.47,17.57,45923.0
2016-03-21,17.33,17.42,17.3,17.39,20756.0
2016-03-22,17.06,17.35,17.05,17.1,58015.0
2016-03-23,17.34,17.39,17.14,17.215,43399.0
2016-03-24,17.215,17.3,17.15,17.27,85525.0
2016-03-28,17.05,17.48,17.05,17.48,32697.0
2016-03-29,17.48,17.85,17.48,17.85,31513.0
2016-03-30,18.0,18.03,17.97,18.03,31987.0
2016-03-31,17.895,18.03,17.86,17.94,24013.0
2016-04-01,17.849,17.95,17.75,17.95,29727.0
2016-04-04,18.155,18.17,18.03,18.09,77404.0
2016-04-05,17.83,17.86,17.66,17.73,70945.0
2016-04-06,17.775,18.04,17.77,17.99,29243.0
2016-04-07,17.756,17.8,17.65,17.69,49893.0
2016-04-08,17.38,17.56,17.38,17.52,20469.0
2016-04-11,17.595,17.75,17.53,17.53,51264.0
2016-04-12,17.61,17.7,17.49,17.68,77773.0
2016-04-13,17.74,17.74,17.6,17.655,57332.0
2016-04-14,17.72,17.82,17.64,17.71,65895.0
2016-04-15,17.76,17.85,17.73,17.7584,48760.0
2016-04-18,17.825,18.04,17.81,18.03,30684.0
2016-04-19,18.49,18.64,18.45,18.63,43837.0
2016-04-20,18.44,18.55,18.37,18.42,113918.0
2016-04-21,18.3,18.32,18.15,18.23,19057.0
2016-04-22,18.196,18.23,18.04,18.21,20682.0
2016-04-25,18.16,18.33,18.11,18.29,25018.0
2016-04-26,18.5,18.5,18.31,18.41,17057.0
2016-04-27,18.43,18.5,18.35,18.47,16399.0
2016-04-28,18.3,18.55,18.3,18.43,32482.0
2016-04-29,18.395,18.43,18.26,18.275,81060.0
2016-05-02,18.341,18.49,18.32,18.49,54797.0
2016-05-03,18.46,18.5,18.33,18.44,73448.0
2016-05-04,18.26,18.43,18.25,18.43,30921.0
2016-05-05,18.26,18.41,18.22,18.3,52291.0
2016-05-06,18.05,18.17,17.94,18.16,21144.0
2016-05-09,18.1775,18.205,18.1,18.17,21253.0
2016-05-10,18.19,18.45,18.19,18.34,30861.0
2016-05-11,18.145,18.38,18.12,18.29,81457.0
2016-05-12,18.5,18.53,18.22,18.33,69730.0
2016-05-13,18.07,18.09,17.93,17.93,41437.0
2016-05-16,18.0,18.28,18.0,18.235,21787.0
2016-05-17,18.36,18.4,18.21,18.23,31342.0
2016-05-18,18.44,18.7,18.37,18.56,19898.0
2016-05-19,18.52,18.52,18.32,18.4,38807.0
2016-05-20,18.39,18.45,18.23,18.3,26049.0
2016-05-23,18.435,18.46,18.34,18.38,26052.0
2016-05-24,18.7,18.9,18.7,18.855,46541.0
2016-05-25,18.795,18.8,18.67,18.69,147950.0
2016-05-26,19.02,19.05,18.88,18.91,101964.0
2016-05-27,18.87,18.98,18.82,18.92,124189.0
2016-05-31,19.005,19.13,18.84,18.92,24825.0
2016-06-01,18.52,18.75,18.52,18.75,19973.0
2016-06-02,18.7,18.84,18.65,18.815,84122.0
2016-06-03,18.86,18.93,18.71,18.89,80533.0
2016-06-06,18.93,19.055,18.87,18.925,26847.0
2016-06-07,19.1,19.24,19.1,19.19,32887.0
2016-06-08,19.28,19.38,19.23,19.3,22465.0
