date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2012-05-18,42.05,45.0,38.0,38.23,573576400.0,573576400.0,3.82,9.084,40.41,"May 18, 12",0.09084
2012-05-21,36.53,36.66,33.0,34.03,168192700.0,168192700.0,2.5,6.844,34.56333,"May 21, 12",0.06844
2012-05-22,32.61,33.59,30.94,31.0,101786600.0,101786600.0,1.61,4.937,31.84333,"May 22, 12",0.04937
2012-05-23,31.37,32.5,31.36,32.0,73600000.0,73600000.0,-0.63,-2.008,31.95333,"May 23, 12",-0.02008
2012-05-24,32.95,33.21,31.77,33.03,50237200.0,50237200.0,-0.08,-0.243,32.67,"May 24, 12",-0.00243
2012-05-25,32.9,32.95,31.11,31.91,37149800.0,37149800.0,0.99,3.009,31.99,"May 25, 12",0.03009
2012-05-29,31.48,31.69,28.65,28.84,78063400.0,78063400.0,2.64,8.386,29.72667,"May 29, 12",0.08386
2012-05-30,28.7,29.55,27.86,28.19,57267900.0,57267900.0,0.51,1.777,28.53333,"May 30, 12",0.01777
2012-05-31,28.55,29.67,26.83,29.6,111639200.0,111639200.0,-1.05,-3.678,28.7,"May 31, 12",-0.03678
2012-06-01,28.89,29.15,27.39,27.72,41855500.0,41855500.0,1.17,4.05,28.08667,"June 01, 12",0.0405
2012-06-04,27.2,27.65,26.44,26.9,35230300.0,35230300.0,0.3,1.103,26.99667,"June 04, 12",0.01103
2012-06-05,26.7,27.76,25.75,25.87,42473400.0,42473400.0,0.83,3.109,26.46,"June 05, 12",0.03109
2012-06-06,26.07,27.17,25.52,26.81,61489200.0,61489200.0,-0.74,-2.839,26.5,"June 06, 12",-0.02839
2012-06-07,27.0,27.35,26.15,26.31,26159500.0,26159500.0,0.69,2.556,26.60333,"June 07, 12",0.02556
2012-06-08,26.55,27.76,26.44,27.1,38034000.0,38034000.0,-0.55,-2.072,27.1,"June 08, 12",-0.02072
2012-06-11,27.18,28.07,26.84,27.01,28219600.0,28219600.0,0.17,0.625,27.30667,"June 11, 12",0.00625
2012-06-12,27.48,27.77,26.96,27.4,15816800.0,15816800.0,0.08,0.291,27.37667,"June 12, 12",0.00291
2012-06-13,27.66,28.1,27.1,27.27,17102800.0,17102800.0,0.39,1.41,27.49,"June 13, 12",0.0141
2012-06-14,27.65,28.32,27.38,28.29,16855000.0,16855000.0,-0.64,-2.315,27.99667,"June 14, 12",-0.02315
2012-06-15,28.51,30.1,28.35,30.01,43563800.0,43563800.0,-1.5,-5.261,29.48667,"June 15, 12",-0.05261
2012-06-18,29.96,32.08,29.41,31.41,42978900.0,42978900.0,-1.45,-4.84,30.96667,"June 18, 12",-0.0484
2012-06-19,31.54,32.18,30.7,31.91,30849000.0,30849000.0,-0.37,-1.173,31.59667,"June 19, 12",-0.01173
2012-06-20,31.92,31.93,31.15,31.6,15553600.0,15553600.0,0.32,1.003,31.56,"June 20, 12",0.01003
2012-06-21,31.67,32.5,31.51,31.84,21875300.0,21875300.0,-0.17,-0.537,31.95,"June 21, 12",-0.00537
2012-06-22,32.41,33.45,32.06,33.05,74834000.0,74834000.0,-0.64,-1.975,32.85333,"June 22, 12",-0.01975
2012-06-25,32.86,33.02,31.55,32.06,24352900.0,24352900.0,0.8,2.435,32.21,"June 25, 12",0.02435
2012-06-26,32.69,33.44,32.5,33.1,24858700.0,24858700.0,-0.41,-1.254,33.01333,"June 26, 12",-0.01254
