date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-10-15,16.39,16.41,15.65,15.75,64971351.0,64971351.0,15.75,0.0,16.0237,"Oct 15, 15",0.0
2015-10-16,15.8,16.06,15.43,16.0,11191997.0,11191997.0,0.25,1.587,15.8357,"Oct 16, 15",0.015873015873015872
2015-10-19,16.15,16.15,15.76,15.81,3437333.0,3437333.0,-0.19,-1.188,15.901,"Oct 19, 15",0.003809523809523841
2015-10-20,15.88,15.95,15.36,15.4,5049269.0,5049269.0,-0.41,-2.593,15.5617,"Oct 20, 15",-0.0222222222222222
2015-10-21,15.37,15.51,14.99,15.36,15941640.0,15941640.0,-0.04,-0.26,15.2327,"Oct 21, 15",-0.024761904761904797
2015-10-22,15.49,16.01,15.22,16.01,6227831.0,6227831.0,0.65,4.232,15.7658,"Oct 22, 15",0.016507936507936607
2015-10-23,16.15,16.47,16.01,16.26,7586142.0,7586142.0,0.25,1.562,16.2097,"Oct 23, 15",0.03238095238095248
2015-10-26,16.1,16.7,15.82,16.36,6008464.0,6008464.0,0.1,0.615,16.4332,"Oct 26, 15",0.03873015873015869
2015-10-27,16.4,16.47,15.15,15.45,6652766.0,6652766.0,-0.91,-5.562,15.5672,"Oct 27, 15",-0.019047619047619094
2015-10-28,15.38,15.94,15.2,15.51,3887793.0,3887793.0,0.06,0.388,15.5954,"Oct 28, 15",-0.015238095238095252
2015-10-29,15.44,15.9,15.42,15.71,1899319.0,1899319.0,0.2,1.289,15.6973,"Oct 29, 15",-0.0025396825396824855
2015-10-30,15.89,16.19,15.77,15.84,2612710.0,2612710.0,0.13,0.827,15.9371,"Oct 30, 15",0.005714285714285706
2015-11-02,15.84,16.08,15.55,15.98,1004808.0,1004808.0,0.14,0.884,15.8854,"Nov 2, 15",0.01460317460317463
2015-11-03,15.93,16.25,15.62,16.14,1228197.0,1228197.0,0.16,1.001,15.9963,"Nov 3, 15",0.024761904761904797
2015-11-04,16.25,16.26,16.0,16.14,989757.0,989757.0,0.0,0.0,16.1544,"Nov 4, 15",0.024761904761904797
2015-11-05,16.1,16.63,16.01,16.31,5831406.0,5831406.0,0.17,1.053,16.3851,"Nov 5, 15",0.03555555555555547
2015-11-06,16.23,17.3,16.21,17.08,7998775.0,7998775.0,0.77,4.721,16.9589,"Nov 6, 15",0.08444444444444434
2015-11-09,17.6,17.6417,16.74,17.46,4340437.0,4340437.0,0.38,2.225,17.2219,"Nov 9, 15",0.10857142857142862
2015-11-10,17.49,17.92,17.41,17.8,6404113.0,6404113.0,0.34,1.947,17.7334,"Nov 10, 15",0.1301587301587302
2015-11-11,17.9,17.99,17.51,17.71,2074448.0,2074448.0,-0.09,-0.506,17.7692,"Nov 11, 15",0.1244444444444445
2015-11-12,17.55,17.83,17.35,17.67,3546594.0,3546594.0,-0.04,-0.226,17.616,"Nov 12, 15",0.12190476190476202
2015-11-13,17.27,17.56,16.9,16.97,2665298.0,2665298.0,-0.7,-3.962,17.2531,"Nov 13, 15",0.07746031746031738
2015-11-16,16.91,17.0,16.42,16.81,1935272.0,1935272.0,-0.16,-0.943,16.7474,"Nov 16, 15",0.06730158730158722
2015-11-17,16.84,17.0,16.72,16.82,2068205.0,2068205.0,0.01,0.059,16.8268,"Nov 17, 15",0.06793650793650795
2015-11-18,16.87,17.0801,16.69,16.88,2519642.0,2519642.0,0.06,0.357,16.8474,"Nov 18, 15",0.07174603174603168
2015-11-19,16.79,16.85,16.05,16.2,2316868.0,2316868.0,-0.68,-4.028,16.2889,"Nov 19, 15",0.028571428571428525
2015-11-20,16.2,16.62,16.11,16.36,1866715.0,1866715.0,0.16,0.988,16.3692,"Nov 20, 15",0.03873015873015869
2015-11-23,16.33,16.68,16.25,16.49,2513492.0,2513492.0,0.13,0.795,16.494,"Nov 23, 15",0.046984126984126885
2015-11-24,16.5,16.78,16.34,16.69,2212496.0,2212496.0,0.2,1.213,16.6374,"Nov 24, 15",0.05968253968253976
2015-11-25,16.78,16.95,16.3,16.47,860919.0,860919.0,-0.22,-1.318,16.621,"Nov 25, 15",0.045714285714285645
2015-11-27,16.5,16.7,16.36,16.6,284937.0,284937.0,0.13,0.789,16.5676,"Nov 27, 15",0.05396825396825406
2015-11-30,16.6,16.86,16.51,16.8,1129460.0,1129460.0,0.2,1.205,16.6907,"Nov 30, 15",0.06666666666666671
2015-12-01,16.93,17.33,16.82,17.3,1321190.0,1321190.0,0.5,2.976,17.1261,"Dec 1, 15",0.09841269841269845
2015-12-02,17.26,17.26,16.88,17.0,2166995.0,2166995.0,-0.3,-1.734,17.0193,"Dec 2, 15",0.07936507936507936
2015-12-03,17.04,17.0948,16.66,16.98,1551909.0,1551909.0,-0.02,-0.118,16.8508,"Dec 3, 15",0.07809523809523812
2015-12-04,17.02,17.29,16.96,17.26,1466648.0,1466648.0,0.28,1.649,17.1679,"Dec 4, 15",0.09587301587301597
2015-12-07,17.11,17.45,17.08,17.25,1678416.0,1678416.0,-0.01,-0.058,17.2413,"Dec 7, 15",0.09523809523809523
2015-12-08,17.16,17.35,16.896,17.25,2525221.0,2525221.0,0.0,0.0,17.2072,"Dec 8, 15",0.09523809523809523
2015-12-09,17.14,17.32,16.69,16.72,1898923.0,1898923.0,-0.53,-3.072,16.9519,"Dec 9, 15",0.06158730158730152
