date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2001-06-20,24.0,24.5,23.9,23.9,11000.0,11000.0,0.1,0.417,24.1,"June 20, 01",0.00417
2001-06-21,24.5,25.5,24.5,25.5,39300.0,39300.0,-1.0,-4.082,25.16667,"June 21, 01",-0.04082
2001-06-22,25.5,25.65,25.5,25.6,33800.0,33800.0,-0.1,-0.392,25.58333,"June 22, 01",-0.00392
2001-06-25,25.9,26.5,25.9,26.5,9100.0,9100.0,-0.6,-2.317,26.3,"June 25, 01",-0.02317
2001-06-26,26.5,26.5,26.15,26.45,109800.0,109800.0,0.05,0.189,26.36667,"June 26, 01",0.00189
2001-06-27,26.45,26.6,26.44,26.6,185300.0,185300.0,-0.15,-0.567,26.54667,"June 27, 01",-0.00567
2001-06-28,26.8,27.5,26.8,27.5,66000.0,66000.0,-0.7,-2.612,27.26667,"June 28, 01",-0.02612
2001-06-29,27.55,28.1,27.55,28.0,71300.0,71300.0,-0.45,-1.633,27.88333,"June 29, 01",-0.01633
2001-07-02,28.0,28.4,28.0,28.0,69700.0,69700.0,0.0,0.0,28.13333,"July 02, 01",0.0
2001-07-03,28.01,28.16,28.01,28.05,56200.0,56200.0,-0.04,-0.143,28.07333,"July 03, 01",-0.00143
2001-07-05,28.05,28.05,27.94,27.95,61900.0,61900.0,0.1,0.357,27.98,"July 05, 01",0.00357
2001-07-06,27.95,30.0,26.9,30.0,3337400.0,3337400.0,-2.05,-7.335,28.96667,"July 06, 01",-0.07335
2001-07-09,30.0,31.3,29.8,29.91,1674700.0,1674700.0,0.09,0.3,30.33667,"July 09, 01",0.003
2001-07-10,29.91,30.01,28.55,28.55,1210400.0,1210400.0,1.36,4.547,29.03667,"July 10, 01",0.04547
2001-07-11,28.45,29.01,28.38,28.5,2426400.0,2426400.0,-0.05,-0.176,28.63,"July 11, 01",-0.00176
2001-07-12,28.51,30.2,28.51,29.45,1294600.0,1294600.0,-0.94,-3.297,29.38667,"July 12, 01",-0.03297
2001-07-13,29.35,30.02,28.99,29.0,709500.0,709500.0,0.35,1.193,29.33667,"July 13, 01",0.01193
2001-07-16,29.0,29.61,28.52,28.75,593900.0,593900.0,0.25,0.862,28.96,"July 16, 01",0.00862
2001-07-17,28.75,29.75,28.71,29.59,837100.0,837100.0,-0.84,-2.922,29.35,"July 17, 01",-0.02922
2001-07-18,29.52,30.0,29.43,29.49,396600.0,396600.0,0.03,0.102,29.64,"July 18, 01",0.00102
2001-07-19,29.44,29.5,28.81,28.9,303600.0,303600.0,0.54,1.834,29.07,"July 19, 01",0.01834
2001-07-20,28.8,29.15,28.8,28.96,519000.0,519000.0,-0.16,-0.556,28.97,"July 20, 01",-0.00556
2001-07-23,28.96,29.01,28.6,29.01,206100.0,206100.0,-0.05,-0.173,28.87333,"July 23, 01",-0.00173
2001-07-24,28.95,29.3,28.74,28.98,268600.0,268600.0,-0.03,-0.104,29.00667,"July 24, 01",-0.00104
2001-07-25,28.97,29.79,28.75,29.55,385200.0,385200.0,-0.58,-2.002,29.36333,"July 25, 01",-0.02002
2001-07-26,29.4,29.95,29.18,29.93,208500.0,208500.0,-0.53,-1.803,29.68667,"July 26, 01",-0.01803
2001-07-27,29.92,30.55,29.9,30.53,274600.0,274600.0,-0.61,-2.039,30.32667,"July 27, 01",-0.02039
2001-07-30,30.54,32.15,30.54,31.62,289200.0,289200.0,-1.08,-3.536,31.43667,"July 30, 01",-0.03536
2001-07-31,31.6,33.5,31.6,33.02,357300.0,357300.0,-1.42,-4.494,32.70667,"July 31, 01",-0.04494
2001-08-01,33.1,34.28,33.1,34.0,759800.0,759800.0,-0.9,-2.719,33.79333,"August 01, 01",-0.02719
2001-08-02,33.95,34.2,33.66,33.71,365500.0,365500.0,0.24,0.707,33.85667,"August 02, 01",0.00707
2001-08-03,33.5,33.55,32.6,32.65,139800.0,139800.0,0.85,2.537,32.93333,"August 03, 01",0.02537
2001-08-06,32.8,32.9,32.08,32.14,161700.0,161700.0,0.66,2.012,32.37333,"August 06, 01",0.02012
2001-08-07,32.14,32.7,32.1,32.45,186400.0,186400.0,-0.31,-0.965,32.41667,"August 07, 01",-0.00965
2001-08-08,32.5,32.6,32.0,32.49,322400.0,322400.0,0.01,0.031,32.36333,"August 08, 01",0.00031
2001-08-09,32.5,32.6,32.35,32.51,169400.0,169400.0,-0.01,-0.031,32.48667,"August 09, 01",-0.00031
2001-08-10,32.51,32.75,32.1,32.15,328500.0,328500.0,0.36,1.107,32.33333,"August 10, 01",0.01107
2001-08-13,32.14,32.14,31.99,32.0,396200.0,396200.0,0.14,0.436,32.04333,"August 13, 01",0.00436
2001-08-14,33.0,33.0,32.48,32.79,269000.0,269000.0,0.21,0.636,32.75667,"August 14, 01",0.00636
2001-08-15,32.8,33.1,32.0,32.0,307000.0,307000.0,0.8,2.439,32.36667,"August 15, 01",0.02439
2001-08-16,32.0,32.15,31.8,32.0,280600.0,280600.0,0.0,0.0,31.98333,"August 16, 01",0.0
2001-08-17,31.95,32.25,31.79,32.24,211200.0,211200.0,-0.29,-0.908,32.09333,"August 17, 01",-0.00908
2001-08-20,32.29,32.29,32.0,32.02,150900.0,150900.0,0.27,0.836,32.10333,"August 20, 01",0.00836
2001-08-21,32.0,32.45,32.0,32.3,321800.0,321800.0,-0.3,-0.938,32.25,"August 21, 01",-0.00938
2001-08-22,32.2,32.63,32.15,32.5,234300.0,234300.0,-0.3,-0.932,32.42667,"August 22, 01",-0.00932
2001-08-23,32.25,32.5,32.2,32.4,72300.0,72300.0,-0.15,-0.465,32.36667,"August 23, 01",-0.00465
2001-08-24,32.35,32.4,32.2,32.35,69600.0,69600.0,0.0,0.0,32.31667,"August 24, 01",0.0
