date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,3.63,3.69,3.56,3.65,4204800.0,4204800.0,-0.02,-0.551,3.63333,"January 02, 98",-0.00551
1998-01-05,3.65,3.66,3.59,3.66,2480800.0,2480800.0,-0.01,-0.274,3.63667,"January 05, 98",-0.00274
1998-01-06,3.63,3.67,3.59,3.59,3173200.0,3173200.0,0.04,1.102,3.61667,"January 06, 98",0.01102
1998-01-07,3.61,3.62,3.5,3.59,4306000.0,4306000.0,0.02,0.554,3.57,"January 07, 98",0.00554
1998-01-08,3.57,3.61,3.56,3.58,2035600.0,2035600.0,-0.01,-0.28,3.58333,"January 08, 98",-0.0028
1998-01-09,3.57,3.57,3.44,3.44,5676000.0,5676000.0,0.13,3.641,3.48333,"January 09, 98",0.03641
1998-01-12,3.42,3.57,3.33,3.53,10503600.0,10503600.0,-0.11,-3.216,3.47667,"January 12, 98",-0.03216
1998-01-13,3.52,3.57,3.52,3.57,3645600.0,3645600.0,-0.05,-1.42,3.55333,"January 13, 98",-0.0142
1998-01-14,3.57,3.58,3.55,3.56,1657600.0,1657600.0,0.01,0.28,3.56333,"January 14, 98",0.0028
1998-01-15,3.58,3.76,3.55,3.74,6439200.0,6439200.0,-0.16,-4.469,3.68333,"January 15, 98",-0.04469
1998-01-16,3.74,3.89,3.72,3.78,8521200.0,8521200.0,-0.04,-1.07,3.79667,"January 16, 98",-0.0107
1998-01-20,3.75,3.91,3.74,3.86,7012800.0,7012800.0,-0.11,-2.933,3.83667,"January 20, 98",-0.02933
1998-01-21,3.79,3.85,3.75,3.85,3680800.0,3680800.0,-0.06,-1.583,3.81667,"January 21, 98",-0.01583
1998-01-22,3.8,3.93,3.79,3.86,5208000.0,5208000.0,-0.06,-1.579,3.86,"January 22, 98",-0.01579
1998-01-23,3.91,3.91,3.84,3.88,2732400.0,2732400.0,0.03,0.767,3.87667,"January 23, 98",0.00767
1998-01-26,3.85,3.89,3.78,3.78,3693600.0,3693600.0,0.07,1.818,3.81667,"January 26, 98",0.01818
1998-01-27,3.77,3.83,3.77,3.83,3640000.0,3640000.0,-0.06,-1.592,3.81,"January 27, 98",-0.01592
1998-01-28,3.85,3.94,3.8,3.92,4063200.0,4063200.0,-0.07,-1.818,3.88667,"January 28, 98",-0.01818
1998-01-29,3.88,3.94,3.87,3.89,2257200.0,2257200.0,-0.01,-0.258,3.9,"January 29, 98",-0.00258
1998-01-30,3.89,3.91,3.84,3.84,1024000.0,1024000.0,0.05,1.285,3.86333,"January 30, 98",0.01285
1998-02-02,3.89,3.98,3.88,3.9,4793200.0,4793200.0,-0.01,-0.257,3.92,"February 02, 98",-0.00257
1998-02-03,3.91,4.0,3.87,3.93,6294400.0,6294400.0,-0.02,-0.512,3.93333,"February 03, 98",-0.00512
1998-02-04,3.89,3.97,3.89,3.92,1672000.0,1672000.0,-0.03,-0.771,3.92667,"February 04, 98",-0.00771
1998-02-05,3.93,3.98,3.91,3.94,3434400.0,3434400.0,-0.01,-0.254,3.94333,"February 05, 98",-0.00254
1998-02-06,3.95,3.95,3.92,3.93,912400.0,912400.0,0.02,0.506,3.93333,"February 06, 98",0.00506
1998-02-09,3.94,3.94,3.92,3.94,3996400.0,3996400.0,0.0,0.0,3.93333,"February 09, 98",0.0
