date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2010-12-09,27.25,28.11,26.99,27.92,10609700.0,10609700.0,-0.67,-2.459,27.67333,"December 09, 10",-0.02459
2010-12-10,27.4,27.72,27.06,27.41,1206800.0,1206800.0,-0.01,-0.036,27.39667,"December 10, 10",-0.00036
2010-12-13,27.5,27.72,27.0,27.4,473200.0,473200.0,0.1,0.364,27.37333,"December 13, 10",0.00364
2010-12-14,27.7,27.97,27.02,27.31,358200.0,358200.0,0.39,1.408,27.43333,"December 14, 10",0.01408
2010-12-15,27.2,27.7,27.19,27.45,242200.0,242200.0,-0.25,-0.919,27.44667,"December 15, 10",-0.00919
2010-12-16,27.6,27.65,27.21,27.65,260000.0,260000.0,-0.05,-0.181,27.50333,"December 16, 10",-0.00181
2010-12-17,27.55,28.06,27.5,28.06,69800.0,69800.0,-0.51,-1.851,27.87333,"December 17, 10",-0.01851
2010-12-20,28.1,28.42,27.84,28.14,65900.0,65900.0,-0.04,-0.142,28.13333,"December 20, 10",-0.00142
2010-12-21,28.17,29.04,28.01,28.91,210200.0,210200.0,-0.74,-2.627,28.65333,"December 21, 10",-0.02627
2010-12-22,29.0,30.52,28.96,29.45,103000.0,103000.0,-0.45,-1.552,29.64333,"December 22, 10",-0.01552
2010-12-23,29.68,29.68,28.89,29.1,66100.0,66100.0,0.58,1.954,29.22333,"December 23, 10",0.01954
2010-12-27,29.15,29.36,28.87,28.98,29800.0,29800.0,0.17,0.583,29.07,"December 27, 10",0.00583
2010-12-28,28.99,29.13,28.81,29.05,90200.0,90200.0,-0.06,-0.207,28.99667,"December 28, 10",-0.00207
2010-12-29,29.25,29.25,28.84,29.08,85300.0,85300.0,0.17,0.581,29.05667,"December 29, 10",0.00581
2010-12-30,29.23,29.95,28.61,28.96,149800.0,149800.0,0.27,0.924,29.17333,"December 30, 10",0.00924
2010-12-31,29.0,29.12,28.83,29.12,68800.0,68800.0,-0.12,-0.414,29.02333,"December 31, 10",-0.00414
2011-01-03,29.5,29.51,28.74,28.98,230900.0,230900.0,0.52,1.763,29.07667,"January 03, 11",0.01763
2011-01-04,29.23,29.23,28.5,28.53,56500.0,56500.0,0.7,2.395,28.75333,"January 04, 11",0.02395
2011-01-05,28.68,28.9,28.3,28.41,178700.0,178700.0,0.27,0.941,28.53667,"January 05, 11",0.00941
2011-01-06,28.61,29.21,28.53,29.0,218600.0,218600.0,-0.39,-1.363,28.91333,"January 06, 11",-0.01363
2011-01-07,31.04,31.2,30.15,30.54,2144000.0,2144000.0,0.5,1.611,30.63,"January 07, 11",0.01611
2011-01-10,30.89,31.33,30.82,30.93,621700.0,621700.0,-0.04,-0.129,31.02667,"January 10, 11",-0.00129
2011-01-11,31.2,31.24,30.41,30.58,330800.0,330800.0,0.62,1.987,30.74333,"January 11, 11",0.01987
2011-01-12,30.78,30.9,30.21,30.3,216500.0,216500.0,0.48,1.559,30.47,"January 12, 11",0.01559
2011-01-13,30.38,30.76,30.3,30.51,132800.0,132800.0,-0.13,-0.428,30.52333,"January 13, 11",-0.00428
2011-01-14,30.67,31.35,30.59,31.35,269100.0,269100.0,-0.68,-2.217,31.09667,"January 14, 11",-0.02217
2011-01-18,31.35,31.47,30.35,30.89,49400.0,49400.0,0.46,1.467,30.90333,"January 18, 11",0.01467
2011-01-19,30.67,30.83,30.41,30.52,300200.0,300200.0,0.15,0.489,30.58667,"January 19, 11",0.00489
2011-01-20,30.3,31.09,29.98,30.6,155300.0,155300.0,-0.3,-0.99,30.55667,"January 20, 11",-0.0099
2011-01-21,30.71,30.71,29.99,30.22,152300.0,152300.0,0.49,1.596,30.30667,"January 21, 11",0.01596
2011-01-24,30.18,30.44,29.8,30.3,85000.0,85000.0,-0.12,-0.398,30.18,"January 24, 11",-0.00398
2011-01-25,30.21,30.32,30.0,30.32,54100.0,54100.0,-0.11,-0.364,30.21333,"January 25, 11",-0.00364
2011-01-26,30.27,30.44,30.07,30.35,62600.0,62600.0,-0.08,-0.264,30.28667,"January 26, 11",-0.00264
2011-01-27,30.71,31.0,30.29,30.31,168400.0,168400.0,0.4,1.303,30.53333,"January 27, 11",0.01303
2011-01-28,30.19,30.2,29.3,29.72,311600.0,311600.0,0.47,1.557,29.74,"January 28, 11",0.01557
2011-01-31,29.78,29.78,29.56,29.73,57400.0,57400.0,0.05,0.168,29.69,"January 31, 11",0.00168
2011-02-01,29.75,29.86,29.22,29.28,197800.0,197800.0,0.47,1.58,29.45333,"February 01, 11",0.0158
2011-02-02,29.13,29.49,29.05,29.12,100500.0,100500.0,0.01,0.034,29.22,"February 02, 11",0.00034
2011-02-03,29.09,29.3,28.88,28.9,169600.0,169600.0,0.19,0.653,29.02667,"February 03, 11",0.00653
2011-02-04,28.89,29.22,28.6,29.2,146300.0,146300.0,-0.31,-1.073,29.00667,"February 04, 11",-0.01073
2011-02-07,29.74,29.74,29.45,29.5,148300.0,148300.0,0.24,0.807,29.56333,"February 07, 11",0.00807
2011-02-08,29.67,29.89,29.2,29.84,107300.0,107300.0,-0.17,-0.573,29.64333,"February 08, 11",-0.00573
2011-02-09,29.62,29.75,29.4,29.46,35800.0,35800.0,0.16,0.54,29.53667,"February 09, 11",0.0054
2011-02-10,29.26,29.42,28.58,29.25,197400.0,197400.0,0.01,0.034,29.08333,"February 10, 11",0.00034
2011-02-11,29.2,29.37,28.84,29.13,91600.0,91600.0,0.07,0.24,29.11333,"February 11, 11",0.0024
2011-02-14,29.0,29.1,28.66,28.83,75900.0,75900.0,0.17,0.586,28.86333,"February 14, 11",0.00586
2011-02-15,28.8,29.15,28.8,29.04,59800.0,59800.0,-0.24,-0.833,28.99667,"February 15, 11",-0.00833
2011-02-16,29.03,29.14,28.8,29.14,75800.0,75800.0,-0.11,-0.379,29.02667,"February 16, 11",-0.00379
2011-02-17,29.15,29.33,28.98,29.02,49700.0,49700.0,0.13,0.446,29.11,"February 17, 11",0.00446
2011-02-18,29.02,29.76,29.0,29.76,59100.0,59100.0,-0.74,-2.55,29.50667,"February 18, 11",-0.0255
2011-02-22,29.5,29.71,29.0,29.21,146200.0,146200.0,0.29,0.983,29.30667,"February 22, 11",0.00983
2011-02-23,29.0,29.6,29.0,29.06,158500.0,158500.0,-0.06,-0.207,29.22,"February 23, 11",-0.00207
2011-02-24,29.08,29.42,29.02,29.1,102300.0,102300.0,-0.02,-0.069,29.18,"February 24, 11",-0.00069
2011-02-25,29.12,29.88,29.12,29.3,99600.0,99600.0,-0.18,-0.618,29.43333,"February 25, 11",-0.00618
2011-02-28,29.34,29.88,29.2,29.25,182900.0,182900.0,0.09,0.307,29.44333,"February 28, 11",0.00307
2011-03-01,29.4,29.46,28.95,29.06,133100.0,133100.0,0.34,1.156,29.15667,"March 01, 11",0.01156
2011-03-02,29.0,29.08,28.5,28.74,177600.0,177600.0,0.26,0.897,28.77333,"March 02, 11",0.00897
2011-03-03,28.58,29.1,28.58,29.08,101500.0,101500.0,-0.5,-1.749,28.92,"March 03, 11",-0.01749
2011-03-04,29.1,29.22,28.7,28.8,119400.0,119400.0,0.3,1.031,28.90667,"March 04, 11",0.01031
2011-03-07,28.92,28.92,27.96,28.0,183800.0,183800.0,0.92,3.181,28.29333,"March 07, 11",0.03181
2011-03-08,28.0,28.87,27.93,28.74,263200.0,263200.0,-0.74,-2.643,28.51333,"March 08, 11",-0.02643
2011-03-09,28.63,29.03,28.24,28.9,147700.0,147700.0,-0.27,-0.943,28.72333,"March 09, 11",-0.00943
2011-03-10,28.66,28.75,28.16,28.5,134100.0,134100.0,0.16,0.558,28.47,"March 10, 11",0.00558
2011-03-11,28.02,28.43,27.76,28.28,143200.0,143200.0,-0.26,-0.928,28.15667,"March 11, 11",-0.00928
2011-03-14,27.98,28.29,27.9,28.18,119100.0,119100.0,-0.2,-0.715,28.12333,"March 14, 11",-0.00715
2011-03-15,27.71,29.25,27.6,29.07,278700.0,278700.0,-1.36,-4.908,28.64,"March 15, 11",-0.04908
2011-03-16,29.01,29.44,28.34,29.36,421600.0,421600.0,-0.35,-1.206,29.04667,"March 16, 11",-0.01206
2011-03-17,29.47,30.0,29.4,29.97,154400.0,154400.0,-0.5,-1.697,29.79,"March 17, 11",-0.01697
2011-03-18,30.0,30.34,29.9,30.34,209200.0,209200.0,-0.34,-1.133,30.19333,"March 18, 11",-0.01133
2011-03-21,30.41,30.69,29.91,30.59,83600.0,83600.0,-0.18,-0.592,30.39667,"March 21, 11",-0.00592
2011-03-22,30.5,30.5,29.61,29.77,114200.0,114200.0,0.73,2.393,29.96,"March 22, 11",0.02393
2011-03-23,29.61,30.01,29.61,29.9,28300.0,28300.0,-0.29,-0.979,29.84,"March 23, 11",-0.00979
2011-03-24,30.01,30.17,29.57,29.73,110500.0,110500.0,0.28,0.933,29.82333,"March 24, 11",0.00933
2011-03-25,29.82,30.92,29.72,30.08,203000.0,203000.0,-0.26,-0.872,30.24,"March 25, 11",-0.00872
2011-03-28,30.06,30.49,29.9,30.37,158700.0,158700.0,-0.31,-1.031,30.25333,"March 28, 11",-0.01031
2011-03-29,30.27,30.37,29.96,30.1,70700.0,70700.0,0.17,0.562,30.14333,"March 29, 11",0.00562
2011-03-30,30.09,30.72,29.86,30.53,149000.0,149000.0,-0.44,-1.462,30.37,"March 30, 11",-0.01462
2011-03-31,30.42,31.0,30.42,30.91,95100.0,95100.0,-0.49,-1.611,30.77667,"March 31, 11",-0.01611
2011-04-01,30.91,30.93,30.35,30.72,136000.0,136000.0,0.19,0.615,30.66667,"April 01, 11",0.00615
2011-04-04,30.9,30.94,29.69,30.17,276900.0,276900.0,0.73,2.362,30.26667,"April 04, 11",0.02362
2011-04-05,30.07,30.24,29.52,29.83,194800.0,194800.0,0.24,0.798,29.86333,"April 05, 11",0.00798
2011-04-06,29.83,30.16,29.63,29.87,85700.0,85700.0,-0.04,-0.134,29.88667,"April 06, 11",-0.00134
2011-04-07,29.94,29.99,29.71,29.9,53700.0,53700.0,0.04,0.134,29.86667,"April 07, 11",0.00134
