date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-03-31,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,"March 31, 15",0.0
2015-04-01,26.15,26.84,25.49,26.15,23177400.0,23177400.0,0.0,0.0,26.16,"April 01, 15",0.0
2015-04-02,26.72,27.27,25.83,26.5,5166100.0,5166100.0,0.22,0.823,26.53333,"April 02, 15",0.00823
2015-04-06,26.72,26.8,25.35,25.8,2090200.0,2090200.0,0.92,3.443,25.98333,"April 06, 15",0.03443
2015-04-07,25.84,25.85,25.16,25.24,939400.0,939400.0,0.6,2.322,25.41667,"April 07, 15",0.02322
2015-04-08,25.35,25.48,25.0,25.15,921500.0,921500.0,0.2,0.789,25.21,"April 08, 15",0.00789
2015-04-09,25.1,26.47,25.05,26.32,751600.0,751600.0,-1.22,-4.861,25.94667,"April 09, 15",-0.04861
2015-04-10,26.34,26.8,25.0,25.29,966300.0,966300.0,1.05,3.986,25.69667,"April 10, 15",0.03986
2015-04-13,25.24,25.59,25.12,25.37,347100.0,347100.0,-0.13,-0.515,25.36,"April 13, 15",-0.00515
2015-04-14,25.25,25.9,25.25,25.8,274600.0,274600.0,-0.55,-2.178,25.65,"April 14, 15",-0.02178
2015-04-15,25.88,26.05,25.03,25.12,355300.0,355300.0,0.76,2.937,25.4,"April 15, 15",0.02937
2015-04-16,25.04,25.25,24.55,24.78,1111000.0,1111000.0,0.26,1.038,24.86,"April 16, 15",0.01038
2015-04-17,24.55,25.6,24.5,25.16,493400.0,493400.0,-0.61,-2.485,25.08667,"April 17, 15",-0.02485
2015-04-20,25.19,25.49,25.04,25.14,322500.0,322500.0,0.05,0.198,25.22333,"April 20, 15",0.00198
2015-04-21,25.18,25.24,24.64,24.78,533200.0,533200.0,0.4,1.589,24.88667,"April 21, 15",0.01589
2015-04-22,24.76,24.88,24.73,24.77,190000.0,190000.0,-0.01,-0.04,24.79333,"April 22, 15",-0.0004
2015-04-23,24.75,25.08,24.75,25.05,225800.0,225800.0,-0.3,-1.212,24.96,"April 23, 15",-0.01212
2015-04-24,24.9,25.66,24.9,25.63,370100.0,370100.0,-0.73,-2.932,25.39667,"April 24, 15",-0.02932
2015-04-27,25.75,26.4,25.73,26.16,715600.0,715600.0,-0.41,-1.592,26.09667,"April 27, 15",-0.01592
2015-04-28,26.22,26.22,24.87,25.15,474600.0,474600.0,1.07,4.081,25.41333,"April 28, 15",0.04081
2015-04-29,24.86,25.25,24.79,24.88,251300.0,251300.0,-0.02,-0.08,24.97333,"April 29, 15",-0.0008
2015-04-30,24.9,25.42,24.9,25.07,149300.0,149300.0,-0.17,-0.683,25.13,"April 30, 15",-0.00683
2015-05-01,25.19,26.05,24.91,25.96,483200.0,483200.0,-0.77,-3.057,25.64,"May 01, 15",-0.03057
2015-05-04,26.0,26.25,25.68,25.98,207400.0,207400.0,0.02,0.077,25.97,"May 04, 15",0.00077
2015-05-05,25.96,26.1,25.29,25.42,185100.0,185100.0,0.54,2.08,25.60333,"May 05, 15",0.0208
2015-05-06,25.45,25.55,24.15,24.54,718200.0,718200.0,0.91,3.576,24.74667,"May 06, 15",0.03576
2015-05-07,24.69,25.49,24.53,24.81,363300.0,363300.0,-0.12,-0.486,24.94333,"May 07, 15",-0.00486
2015-05-08,25.28,25.4,24.53,24.88,525500.0,525500.0,0.4,1.582,24.93667,"May 08, 15",0.01582
2015-05-11,26.25,26.29,25.57,25.68,1211100.0,1211100.0,0.57,2.171,25.84667,"May 11, 15",0.02171
2015-05-12,26.1,27.73,25.75,26.77,2299800.0,2299800.0,-0.67,-2.567,26.75,"May 12, 15",-0.02567
2015-05-13,26.69,27.5,26.4,26.5,1450000.0,1450000.0,0.19,0.712,26.8,"May 13, 15",0.00712
2015-05-14,26.64,27.1,26.12,26.23,445500.0,445500.0,0.41,1.539,26.48333,"May 14, 15",0.01539
2015-05-15,26.23,26.89,26.05,26.51,423500.0,423500.0,-0.28,-1.067,26.48333,"May 15, 15",-0.01067
2015-05-18,26.5,26.99,26.22,26.23,393900.0,393900.0,0.27,1.019,26.48,"May 18, 15",0.01019
2015-05-19,26.31,26.5,25.51,25.94,418300.0,418300.0,0.37,1.406,25.98333,"May 19, 15",0.01406
2015-05-20,25.89,26.8,25.89,26.38,315100.0,315100.0,-0.49,-1.893,26.35667,"May 20, 15",-0.01893
2015-05-21,26.62,26.68,25.49,25.6,587300.0,587300.0,1.02,3.832,25.92333,"May 21, 15",0.03832
2015-05-22,25.75,26.65,25.75,26.1,519300.0,519300.0,-0.35,-1.359,26.16667,"May 22, 15",-0.01359
2015-05-26,26.03,26.75,25.56,26.42,332500.0,332500.0,-0.39,-1.498,26.24333,"May 26, 15",-0.01498
2015-05-27,26.5,27.21,26.39,26.98,348900.0,348900.0,-0.48,-1.811,26.86,"May 27, 15",-0.01811
2015-05-28,26.87,27.2,26.63,26.66,257500.0,257500.0,0.21,0.782,26.83,"May 28, 15",0.00782
2015-05-29,26.62,27.07,26.33,26.93,276800.0,276800.0,-0.31,-1.165,26.77667,"May 29, 15",-0.01165
2015-06-01,27.13,27.48,26.86,27.09,281200.0,281200.0,0.04,0.147,27.14333,"June 01, 15",0.00147
2015-06-02,27.09,28.15,27.06,27.63,429000.0,429000.0,-0.54,-1.993,27.61333,"June 02, 15",-0.01993
2015-06-03,27.85,29.06,27.81,28.91,493500.0,493500.0,-1.06,-3.806,28.59333,"June 03, 15",-0.03806
2015-06-04,29.0,29.43,28.2,28.92,576200.0,576200.0,0.08,0.276,28.85,"June 04, 15",0.00276
2015-06-05,28.88,29.12,28.31,28.69,387000.0,387000.0,0.19,0.658,28.70667,"June 05, 15",0.00658
2015-06-08,28.67,29.78,28.63,29.1,708700.0,708700.0,-0.43,-1.5,29.17,"June 08, 15",-0.015
2015-06-09,29.18,29.63,28.64,29.5,550900.0,550900.0,-0.32,-1.097,29.25667,"June 09, 15",-0.01097
2015-06-10,29.52,30.25,29.18,30.16,469200.0,469200.0,-0.64,-2.168,29.86333,"June 10, 15",-0.02168
2015-06-11,30.18,30.86,29.65,29.69,488500.0,488500.0,0.49,1.624,30.06667,"June 11, 15",0.01624
2015-06-12,29.94,29.94,28.73,29.28,388500.0,388500.0,0.66,2.204,29.31667,"June 12, 15",0.02204
2015-06-15,29.14,29.85,29.0,29.41,379000.0,379000.0,-0.27,-0.927,29.42,"June 15, 15",-0.00927
2015-06-16,29.32,30.71,29.19,30.46,635400.0,635400.0,-1.14,-3.888,30.12,"June 16, 15",-0.03888
2015-06-17,30.59,30.64,30.2,30.54,645500.0,645500.0,0.05,0.163,30.46,"June 17, 15",0.00163
2015-06-18,30.69,31.75,30.68,31.35,890600.0,890600.0,-0.66,-2.151,31.26,"June 18, 15",-0.02151
2015-06-19,31.37,33.0,31.19,31.8,2050100.0,2050100.0,-0.43,-1.371,31.99667,"June 19, 15",-0.01371
2015-06-22,32.1,32.1,30.79,31.36,502200.0,502200.0,0.74,2.305,31.41667,"June 22, 15",0.02305
2015-06-23,31.34,32.03,31.25,31.82,471100.0,471100.0,-0.48,-1.532,31.7,"June 23, 15",-0.01532
2015-06-24,31.84,32.06,31.25,31.46,423500.0,423500.0,0.38,1.193,31.59,"June 24, 15",0.01193
2015-06-25,31.56,31.78,30.67,31.01,432400.0,432400.0,0.55,1.743,31.15333,"June 25, 15",0.01743
2015-06-26,30.96,30.96,29.37,29.54,1697500.0,1697500.0,1.42,4.587,29.95667,"June 26, 15",0.04587
2015-06-29,29.28,29.5,27.92,28.18,824000.0,824000.0,1.1,3.757,28.53333,"June 29, 15",0.03757
2015-06-30,28.26,28.92,27.65,28.19,660600.0,660600.0,0.07,0.248,28.25333,"June 30, 15",0.00248
2015-07-01,28.49,28.9,28.17,28.29,1241800.0,1241800.0,0.2,0.702,28.45333,"July 01, 15",0.00702
2015-07-02,28.29,28.29,26.89,27.14,1284300.0,1284300.0,1.15,4.065,27.44,"July 02, 15",0.04065
2015-07-06,26.85,27.8,26.39,27.27,1009200.0,1009200.0,-0.42,-1.564,27.15333,"July 06, 15",-0.01564
2015-07-07,27.14,27.47,26.72,26.83,1233000.0,1233000.0,0.31,1.142,27.00667,"July 07, 15",0.01142
2015-07-08,26.69,26.75,25.73,26.08,1290500.0,1290500.0,0.61,2.286,26.18667,"July 08, 15",0.02286
2015-07-09,26.21,26.82,26.18,26.61,636400.0,636400.0,-0.4,-1.526,26.53667,"July 09, 15",-0.01526
2015-07-10,27.07,27.2,26.7,26.98,539900.0,539900.0,0.09,0.332,26.96,"July 10, 15",0.00332
2015-07-13,27.25,27.51,26.26,26.65,387100.0,387100.0,0.6,2.202,26.80667,"July 13, 15",0.02202
2015-07-14,26.51,27.0,26.44,26.95,355100.0,355100.0,-0.44,-1.66,26.79667,"July 14, 15",-0.0166
2015-07-15,26.81,26.97,26.11,26.43,320000.0,320000.0,0.38,1.417,26.50333,"July 15, 15",0.01417
2015-07-16,26.45,26.88,26.45,26.69,299000.0,299000.0,-0.24,-0.907,26.67333,"July 16, 15",-0.00907
2015-07-17,26.74,26.96,26.05,26.29,617000.0,617000.0,0.45,1.683,26.43333,"July 17, 15",0.01683
2015-07-20,26.24,26.69,25.7,26.6,649100.0,649100.0,-0.36,-1.372,26.33,"July 20, 15",-0.01372
2015-07-21,26.48,26.89,26.23,26.65,236900.0,236900.0,-0.17,-0.642,26.59,"July 21, 15",-0.00642
2015-07-22,26.45,27.02,26.45,26.98,337700.0,337700.0,-0.53,-2.004,26.81667,"July 22, 15",-0.02004
2015-07-23,26.91,27.2,26.6,26.91,326000.0,326000.0,0.0,0.0,26.90333,"July 23, 15",0.0
2015-07-24,27.03,27.13,26.42,26.54,278700.0,278700.0,0.49,1.813,26.69667,"July 24, 15",0.01813
2015-07-27,26.4,26.4,25.73,26.04,300300.0,300300.0,0.36,1.364,26.05667,"July 27, 15",0.01364
2015-07-28,26.2,27.32,26.2,27.12,929600.0,929600.0,-0.92,-3.511,26.88,"July 28, 15",-0.03511
2015-07-29,27.01,27.5,26.53,27.31,488300.0,488300.0,-0.3,-1.111,27.11333,"July 29, 15",-0.01111
2015-07-30,27.32,27.75,26.73,27.65,262800.0,262800.0,-0.33,-1.208,27.37667,"July 30, 15",-0.01208
2015-07-31,27.75,29.0,27.52,28.44,792600.0,792600.0,-0.69,-2.486,28.32,"July 31, 15",-0.02486
2015-08-03,28.45,28.68,27.54,28.39,501200.0,501200.0,0.06,0.211,28.20333,"August 03, 15",0.00211
2015-08-04,28.32,28.8,28.19,28.58,451200.0,451200.0,-0.26,-0.918,28.52333,"August 04, 15",-0.00918
2015-08-05,28.71,29.84,28.6,29.47,996200.0,996200.0,-0.76,-2.647,29.30333,"August 05, 15",-0.02647
2015-08-06,28.13,28.78,26.11,26.22,2301400.0,2301400.0,1.91,6.79,27.03667,"August 06, 15",0.0679
2015-08-07,26.35,27.1,26.15,26.34,664900.0,664900.0,0.01,0.038,26.53,"August 07, 15",0.00038
2015-08-10,26.44,26.74,26.1,26.22,366400.0,366400.0,0.22,0.832,26.35333,"August 10, 15",0.00832
2015-08-11,26.0,26.53,25.79,26.0,243400.0,243400.0,0.0,0.0,26.10667,"August 11, 15",0.0
2015-08-12,26.05,26.63,25.32,26.33,707400.0,707400.0,-0.28,-1.075,26.09333,"August 12, 15",-0.01075
2015-08-13,26.28,26.84,25.98,26.1,522700.0,522700.0,0.18,0.685,26.30667,"August 13, 15",0.00685
2015-08-14,26.13,26.35,25.95,26.21,363500.0,363500.0,-0.08,-0.306,26.17,"August 14, 15",-0.00306
2015-08-17,26.25,27.47,25.91,27.4,473800.0,473800.0,-1.15,-4.381,26.92667,"August 17, 15",-0.04381
2015-08-18,27.5,27.78,26.85,27.22,352400.0,352400.0,0.28,1.018,27.28333,"August 18, 15",0.01018
2015-08-19,27.08,27.37,26.81,27.0,399000.0,399000.0,0.08,0.295,27.06,"August 19, 15",0.00295
2015-08-20,26.87,27.0,26.14,26.25,662000.0,662000.0,0.62,2.307,26.46333,"August 20, 15",0.02307
2015-08-21,26.05,26.12,25.01,25.1,976500.0,976500.0,0.95,3.647,25.41,"August 21, 15",0.03647
2015-08-24,23.86,25.4,21.04,25.4,1057300.0,1057300.0,-1.54,-6.454,23.94667,"August 24, 15",-0.06454
2015-08-25,25.5,26.38,25.15,25.18,584600.0,584600.0,0.32,1.255,25.57,"August 25, 15",0.01255
2015-08-26,25.3,25.88,25.12,25.74,383200.0,383200.0,-0.44,-1.739,25.58,"August 26, 15",-0.01739
2015-08-27,25.94,26.93,25.67,26.37,469300.0,469300.0,-0.43,-1.658,26.32333,"August 27, 15",-0.01658
2015-08-28,26.35,26.61,25.14,25.91,280700.0,280700.0,0.44,1.67,25.88667,"August 28, 15",0.0167
2015-08-31,25.78,25.79,24.85,25.08,703700.0,703700.0,0.7,2.715,25.24,"August 31, 15",0.02715
2015-09-01,24.66,25.3,24.54,24.92,631100.0,631100.0,-0.26,-1.054,24.92,"September 01, 15",-0.01054
2015-09-02,24.93,25.3,23.6,24.64,878600.0,878600.0,0.29,1.163,24.51333,"September 02, 15",0.01163
2015-09-03,24.74,25.31,24.32,24.87,477300.0,477300.0,-0.13,-0.525,24.83333,"September 03, 15",-0.00525
2015-09-04,24.65,24.94,24.04,24.69,535700.0,535700.0,-0.04,-0.162,24.55667,"September 04, 15",-0.00162
2015-09-08,24.84,26.0,24.77,25.77,426000.0,426000.0,-0.93,-3.744,25.51333,"September 08, 15",-0.03744
2015-09-09,25.84,26.39,25.19,25.46,725200.0,725200.0,0.38,1.471,25.68,"September 09, 15",0.01471
2015-09-10,25.33,25.52,24.32,24.71,789000.0,789000.0,0.62,2.448,24.85,"September 10, 15",0.02448
2015-09-11,24.67,25.43,24.55,25.21,326200.0,326200.0,-0.54,-2.189,25.06333,"September 11, 15",-0.02189
2015-09-14,25.24,25.49,24.9,25.21,184200.0,184200.0,0.03,0.119,25.2,"September 14, 15",0.00119
2015-09-15,25.16,25.31,24.4,24.81,239000.0,239000.0,0.35,1.391,24.84,"September 15, 15",0.01391
2015-09-16,24.91,24.91,23.94,24.25,554800.0,554800.0,0.66,2.65,24.36667,"September 16, 15",0.0265
2015-09-17,24.2,25.39,24.1,25.28,578100.0,578100.0,-1.08,-4.463,24.92333,"September 17, 15",-0.04463
2015-09-18,25.09,25.15,24.48,24.88,465400.0,465400.0,0.21,0.837,24.83667,"September 18, 15",0.00837
2015-09-21,24.92,25.04,24.27,24.62,382800.0,382800.0,0.3,1.204,24.64333,"September 21, 15",0.01204
2015-09-22,24.21,24.57,24.17,24.51,422100.0,422100.0,-0.3,-1.239,24.41667,"September 22, 15",-0.01239
2015-09-23,24.8,25.36,24.52,25.12,346600.0,346600.0,-0.32,-1.29,25.0,"September 23, 15",-0.0129
2015-09-24,24.95,25.65,24.8,25.61,580500.0,580500.0,-0.66,-2.645,25.35333,"September 24, 15",-0.02645
2015-09-25,25.89,26.64,25.47,25.72,715300.0,715300.0,0.17,0.657,25.94333,"September 25, 15",0.00657
2015-09-28,24.88,25.36,23.4,24.6,1871400.0,1871400.0,0.28,1.125,24.45333,"September 28, 15",0.01125
2015-09-29,24.58,24.67,23.39,23.59,700700.0,700700.0,0.99,4.028,23.88333,"September 29, 15",0.04028
2015-09-30,23.91,25.25,23.53,25.21,879200.0,879200.0,-1.3,-5.437,24.66333,"September 30, 15",-0.05437
2015-10-01,25.25,25.4,24.41,25.29,565600.0,565600.0,-0.04,-0.158,25.03333,"October 01, 15",-0.00158
2015-10-02,24.99,25.7,24.67,25.67,553100.0,553100.0,-0.68,-2.721,25.34667,"October 02, 15",-0.02721
2015-10-05,25.99,26.89,25.72,26.04,535400.0,535400.0,-0.05,-0.192,26.21667,"October 05, 15",-0.00192
2015-10-06,25.96,26.53,25.55,25.76,306800.0,306800.0,0.2,0.77,25.94667,"October 06, 15",0.0077
2015-10-07,25.92,26.05,25.56,25.78,961100.0,961100.0,0.14,0.54,25.79667,"October 07, 15",0.0054
2015-10-08,25.78,26.95,25.66,26.27,547200.0,547200.0,-0.49,-1.901,26.29333,"October 08, 15",-0.01901
2015-10-09,26.15,27.33,26.15,27.11,383700.0,383700.0,-0.96,-3.671,26.86333,"October 09, 15",-0.03671
2015-10-12,27.04,27.23,26.62,26.74,292300.0,292300.0,0.3,1.109,26.86333,"October 12, 15",0.01109
2015-10-13,26.68,26.9,26.52,26.64,206900.0,206900.0,0.04,0.15,26.68667,"October 13, 15",0.0015
2015-10-14,26.69,27.61,26.65,26.94,491300.0,491300.0,-0.25,-0.937,27.06667,"October 14, 15",-0.00937
2015-10-15,26.97,27.48,26.59,27.41,367500.0,367500.0,-0.44,-1.631,27.16,"October 15, 15",-0.01631
2015-10-16,27.41,28.0,27.32,27.71,203600.0,203600.0,-0.3,-1.094,27.67667,"October 16, 15",-0.01094
2015-10-19,27.64,27.79,27.16,27.4,213100.0,213100.0,0.24,0.868,27.45,"October 19, 15",0.00868
2015-10-20,27.35,27.4,26.81,27.15,283600.0,283600.0,0.2,0.731,27.12,"October 20, 15",0.00731
2015-10-21,27.31,27.36,26.55,26.86,222400.0,222400.0,0.45,1.648,26.92333,"October 21, 15",0.01648
2015-10-22,27.4,28.04,27.2,27.84,494200.0,494200.0,-0.44,-1.606,27.69333,"October 22, 15",-0.01606
2015-10-23,28.0,28.33,27.83,28.17,236100.0,236100.0,-0.17,-0.607,28.11,"October 23, 15",-0.00607
2015-10-26,28.22,28.43,27.9,28.24,295300.0,295300.0,-0.02,-0.071,28.19,"October 26, 15",-0.00071
2015-10-27,28.11,28.34,27.68,27.82,380500.0,380500.0,0.29,1.032,27.94667,"October 27, 15",0.01032
2015-10-28,27.82,27.9,27.4,27.51,669600.0,669600.0,0.31,1.114,27.60333,"October 28, 15",0.01114
2015-10-29,27.38,27.57,27.16,27.22,247900.0,247900.0,0.16,0.584,27.31667,"October 29, 15",0.00584
2015-10-30,27.31,27.66,27.18,27.48,258100.0,258100.0,-0.17,-0.622,27.44,"October 30, 15",-0.00622
2015-11-02,27.46,27.89,27.2,27.59,342300.0,342300.0,-0.13,-0.473,27.56,"November 02, 15",-0.00473
2015-11-03,27.44,27.7,27.4,27.47,285900.0,285900.0,-0.03,-0.109,27.52333,"November 03, 15",-0.00109
2015-11-04,27.61,28.24,27.22,27.43,814200.0,814200.0,0.18,0.652,27.63,"November 04, 15",0.00652
2015-11-05,29.75,32.86,29.1,32.41,3590700.0,3590700.0,-2.66,-8.941,31.45667,"November 05, 15",-0.08941
2015-11-06,31.37,32.83,30.06,30.54,1791800.0,1791800.0,0.83,2.646,31.14333,"November 06, 15",0.02646
2015-11-09,30.56,31.85,30.34,31.21,558200.0,558200.0,-0.65,-2.127,31.13333,"November 09, 15",-0.02127
