date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,292.15,294.94,292.15,293.88,10200.0,10200.0,-1.73,-0.592,293.65667,"January 02, 98",-0.00592
1998-01-05,293.5,294.75,290.63,292.6,10700.0,10700.0,0.9,0.307,292.66,"January 05, 98",0.00307
1998-01-06,293.05,293.05,289.05,289.92,7700.0,7700.0,3.13,1.068,290.67333,"January 06, 98",0.01068
1998-01-07,288.82,288.94,286.4,286.63,12900.0,12900.0,2.19,0.758,287.32333,"January 07, 98",0.00758
1998-01-08,286.4,286.86,285.05,285.95,13000.0,13000.0,0.45,0.157,285.95333,"January 08, 98",0.00157
1998-01-09,285.95,285.99,279.46,281.5,24400.0,24400.0,4.45,1.556,282.31667,"January 09, 98",0.01556
1998-01-12,279.15,282.93,279.15,281.61,15700.0,15700.0,-2.46,-0.881,281.23,"January 12, 98",-0.00881
1998-01-13,281.61,285.99,280.55,285.99,13000.0,13000.0,-4.38,-1.555,284.17667,"January 13, 98",-0.01555
1998-01-14,285.5,287.99,285.46,287.99,6400.0,6400.0,-2.49,-0.872,287.14667,"January 14, 98",-0.00872
1998-01-15,288.33,289.01,286.06,287.16,4600.0,4600.0,1.17,0.406,287.41,"January 15, 98",0.00406
1998-01-16,287.76,292.45,287.01,291.84,21000.0,21000.0,-4.08,-1.418,290.43333,"January 16, 98",-0.01418
1998-01-20,291.84,294.86,291.84,294.86,5900.0,5900.0,-3.02,-1.035,293.85333,"January 20, 98",-0.01035
1998-01-21,294.56,294.56,288.44,288.97,12200.0,12200.0,5.59,1.898,290.65667,"January 21, 98",0.01898
1998-01-22,288.52,289.12,287.01,287.46,21300.0,21300.0,1.06,0.367,287.86333,"January 22, 98",0.00367
1998-01-23,288.14,288.82,287.01,287.88,17500.0,17500.0,0.26,0.09,287.90333,"January 23, 98",0.0009
1998-01-26,288.22,289.73,287.73,288.63,14700.0,14700.0,-0.41,-0.142,288.69667,"January 26, 98",-0.00142
1998-01-27,288.37,288.97,287.61,288.14,50300.0,50300.0,0.23,0.08,288.24,"January 27, 98",0.0008
1998-01-28,288.82,291.13,287.88,289.43,13000.0,13000.0,-0.61,-0.211,289.48,"January 28, 98",-0.00211
1998-01-29,289.35,293.88,288.82,293.88,40800.0,40800.0,-4.53,-1.566,292.19333,"January 29, 98",-0.01566
1998-01-30,293.28,295.32,291.99,295.09,65000.0,65000.0,-1.81,-0.617,294.13333,"January 30, 98",-0.00617
1998-02-02,295.62,299.32,295.62,298.53,43300.0,43300.0,-2.91,-0.984,297.82333,"February 02, 98",-0.00984
1998-02-03,297.58,299.09,296.64,297.73,19000.0,19000.0,-0.15,-0.05,297.82,"February 03, 98",-0.0005
1998-02-04,297.7,300.23,297.7,300.23,22000.0,22000.0,-2.53,-0.85,299.38667,"February 04, 98",-0.0085
1998-02-05,299.77,300.64,295.32,295.92,22600.0,22600.0,3.85,1.284,297.29333,"February 05, 98",0.01284
1998-02-06,296.22,298.19,295.54,296.0,23100.0,23100.0,0.22,0.074,296.57667,"February 06, 98",0.00074
1998-02-09,296.0,297.28,295.77,296.9,22300.0,22300.0,-0.9,-0.304,296.65,"February 09, 98",-0.00304
1998-02-10,296.22,298.49,295.73,297.62,19600.0,19600.0,-1.4,-0.473,297.28,"February 10, 98",-0.00473
