date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2004-05-25,18.95,19.51,18.75,19.5,39921500.0,39921500.0,-0.55,-2.902,19.25333,"May 25, 04",-0.02902
2004-05-26,19.5,19.53,19.5,19.5,8131800.0,8131800.0,0.0,0.0,19.51,"May 26, 04",0.0
2004-05-27,19.5,19.51,19.49,19.5,10778100.0,10778100.0,0.0,0.0,19.5,"May 27, 04",0.0
2004-05-28,19.5,19.52,19.5,19.5,5758600.0,5758600.0,0.0,0.0,19.50667,"May 28, 04",0.0
2004-06-01,19.5,19.57,19.01,19.53,5799900.0,5799900.0,-0.03,-0.154,19.37,"June 01, 04",-0.00154
2004-06-02,19.54,19.65,19.39,19.47,2931200.0,2931200.0,0.07,0.358,19.50333,"June 02, 04",0.00358
2004-06-03,19.46,19.55,19.25,19.51,2040900.0,2040900.0,-0.05,-0.257,19.43667,"June 03, 04",-0.00257
2004-06-04,19.59,20.04,19.51,19.95,2832600.0,2832600.0,-0.36,-1.838,19.83333,"June 04, 04",-0.01838
2004-06-07,20.02,20.38,20.0,20.37,3320600.0,3320600.0,-0.35,-1.748,20.25,"June 07, 04",-0.01748
2004-06-08,20.34,20.34,19.9,20.09,1971800.0,1971800.0,0.25,1.229,20.11,"June 08, 04",0.01229
2004-06-09,19.95,20.08,19.9,20.05,1038900.0,1038900.0,-0.1,-0.501,20.01,"June 09, 04",-0.00501
2004-06-10,20.1,20.19,20.05,20.12,1395200.0,1395200.0,-0.02,-0.1,20.12,"June 10, 04",-0.001
2004-06-14,20.1,20.18,20.0,20.15,1161400.0,1161400.0,-0.05,-0.249,20.11,"June 14, 04",-0.00249
2004-06-15,20.16,20.17,20.0,20.13,1390100.0,1390100.0,0.03,0.149,20.1,"June 15, 04",0.00149
2004-06-16,20.07,20.27,20.07,20.23,1007500.0,1007500.0,-0.16,-0.797,20.19,"June 16, 04",-0.00797
2004-06-17,20.18,21.1,20.15,20.9,2765300.0,2765300.0,-0.72,-3.568,20.71667,"June 17, 04",-0.03568
2004-06-18,20.75,21.77,20.5,21.7,3918000.0,3918000.0,-0.95,-4.578,21.32333,"June 18, 04",-0.04578
2004-06-21,21.6,21.65,21.35,21.44,2146600.0,2146600.0,0.16,0.741,21.48,"June 21, 04",0.00741
2004-06-22,21.4,21.6,21.0,21.49,1168400.0,1168400.0,-0.09,-0.421,21.36333,"June 22, 04",-0.00421
2004-06-23,21.39,21.74,21.15,21.74,1261300.0,1261300.0,-0.35,-1.636,21.54333,"June 23, 04",-0.01636
2004-06-24,21.6,22.25,21.4,21.95,3988000.0,3988000.0,-0.35,-1.62,21.86667,"June 24, 04",-0.0162
2004-06-25,21.95,22.2,21.82,22.2,6126200.0,6126200.0,-0.25,-1.139,22.07333,"June 25, 04",-0.01139
2004-06-28,22.15,22.49,21.97,22.36,2912500.0,2912500.0,-0.21,-0.948,22.27333,"June 28, 04",-0.00948
2004-06-29,22.48,22.88,22.25,22.57,3135200.0,3135200.0,-0.09,-0.4,22.56667,"June 29, 04",-0.004
2004-06-30,22.6,23.04,22.45,22.95,4063000.0,4063000.0,-0.35,-1.549,22.81333,"June 30, 04",-0.01549
2004-07-01,22.94,22.95,22.56,22.65,1658400.0,1658400.0,0.29,1.264,22.72,"July 01, 04",0.01264
2004-07-02,22.55,22.56,21.95,22.3,739400.0,739400.0,0.25,1.109,22.27,"July 02, 04",0.01109
2004-07-06,22.25,22.35,21.89,22.22,1148400.0,1148400.0,0.03,0.135,22.15333,"July 06, 04",0.00135
2004-07-07,22.27,22.32,22.14,22.3,1051100.0,1051100.0,-0.03,-0.135,22.25333,"July 07, 04",-0.00135
2004-07-08,22.25,22.33,21.76,21.85,911400.0,911400.0,0.4,1.798,21.98,"July 08, 04",0.01798
2004-07-09,22.0,22.0,21.5,21.89,1146500.0,1146500.0,0.11,0.5,21.79667,"July 09, 04",0.005
