date,1. open,2. high,3. low,4. close,5. volume
2004-08-19,100.01,104.06,95.96,100.335,44659000.0
2004-08-20,101.01,109.08,100.5,108.31,22834300.0
2004-08-23,110.76,113.48,109.05,109.4,18256100.0
2004-08-24,111.24,111.6,103.57,104.87,15247300.0
2004-08-25,104.76,108.0,103.88,106.0,9188600.0
2004-08-26,104.95,107.95,104.66,107.91,7094800.0
2004-08-27,108.1,108.62,105.69,106.15,6211700.0
2004-08-30,105.28,105.49,102.01,102.01,5196700.0
2004-08-31,102.32,103.71,102.16,102.37,4917800.0
2004-09-01,102.7,102.97,99.67,100.25,9138200.0
2004-09-02,99.09,102.37,98.94,101.51,15118600.0
2004-09-03,100.95,101.74,99.32,100.01,5152400.0
2004-09-07,101.01,102.0,99.61,101.58,5847500.0
2004-09-08,100.74,103.03,100.5,102.3,4985600.0
2004-09-09,102.5,102.71,101.0,102.31,4061700.0
2004-09-10,101.47,106.56,101.3,105.33,8698800.0
2004-09-13,106.63,108.41,106.46,107.5,7844100.0
2004-09-14,107.44,112.0,106.79,111.49,10828900.0
2004-09-15,110.56,114.23,110.2,112.0,10713000.0
2004-09-16,112.34,115.8,111.65,113.97,9266300.0
2004-09-17,114.42,117.49,113.55,117.49,9472500.0
2004-09-20,116.95,121.6,116.77,119.36,10628700.0
2004-09-21,120.2,120.42,117.51,117.84,7228700.0
2004-09-22,117.45,119.67,116.81,118.38,7581200.0
2004-09-23,118.84,122.63,117.02,120.82,8535600.0
2004-09-24,120.97,124.1,119.76,119.83,9123400.0
2004-09-27,119.56,120.88,117.8,118.26,7066100.0
2004-09-28,121.15,127.4,120.21,126.86,16929000.0
2004-09-29,126.53,135.02,126.23,131.08,30516400.0
2004-09-30,129.899,132.3,129.0,129.6,13758000.0
2004-10-01,130.8,134.24,128.9,132.58,15124800.0
2004-10-04,135.275,136.87,134.03,135.06,13022700.0
2004-10-05,134.66,138.53,132.24,138.37,14973200.0
2004-10-06,137.67,138.45,136.0,137.08,13381400.0
2004-10-07,136.56,139.88,136.55,138.85,14115000.0
2004-10-08,138.73,139.68,137.02,137.73,11069500.0
2004-10-11,137.01,138.86,133.85,135.26,10472100.0
2004-10-12,134.49,137.61,133.4,137.4,11665500.0
2004-10-13,143.24,143.55,140.08,140.9,19766200.0
2004-10-14,141.02,142.38,138.56,142.0,10442100.0
2004-10-15,144.95,145.5,141.95,144.11,13194700.0
2004-10-18,143.12,149.2,141.21,149.16,14036300.0
2004-10-19,150.5,152.4,147.35,147.94,18109800.0
2004-10-20,147.94,148.99,139.6,140.49,22722600.0
2004-10-21,144.13,150.13,141.62,149.38,29149800.0
2004-10-22,170.435,180.17,164.08,172.43,73710000.0
2004-10-25,176.28,194.43,172.55,187.4,65462800.0
2004-10-26,186.449,192.64,180.0,181.8,44569500.0
2004-10-27,182.509,189.52,181.77,185.97,26686200.0
2004-10-28,186.63,194.39,185.6,193.3,29663900.0
2004-10-29,198.87,199.95,190.6,190.64,42282600.0
2004-11-01,193.5,197.67,191.27,196.03,24425300.0
2004-11-02,198.73,199.25,193.34,194.87,22669900.0
2004-11-03,198.19,201.6,190.75,191.67,27749600.0
2004-11-04,188.25,190.4,183.35,184.7,28790300.0
2004-11-05,182.0,182.3,168.55,169.35,39626500.0
2004-11-08,170.86,175.44,169.4,172.55,22361200.0
2004-11-09,174.1,175.2,165.27,168.7,22106200.0
2004-11-10,170.67,172.52,166.33,167.86,21266700.0
2004-11-11,169.32,183.75,167.57,183.02,29941000.0
2004-11-12,185.23,189.8,177.4,182.0,33458700.0
2004-11-15,180.45,188.32,178.75,184.87,23779100.0
2004-11-16,174.39,179.47,170.83,172.545,41792900.0
2004-11-17,169.02,177.5,169.0,172.5,36229500.0
2004-11-18,170.4,174.42,165.73,167.54,33225900.0
2004-11-19,169.06,169.98,166.52,169.4,17521000.0
2004-11-22,168.6,169.5,161.31,165.1,24711600.0
2004-11-23,167.915,170.83,166.5,167.52,24801700.0
2004-11-24,174.84,177.21,172.51,174.76,30531400.0
2004-11-26,175.8,180.03,175.32,179.39,12947200.0
2004-11-29,180.255,182.95,177.51,181.05,21311800.0
2004-11-30,180.7,183.0,180.25,181.98,15384600.0
2004-12-01,181.77,182.5,179.55,179.96,15712400.0
2004-12-02,179.9,181.51,178.55,179.4,12509200.0
2004-12-03,180.0,181.06,177.6,180.4,11726600.0
2004-12-06,179.13,180.7,176.02,176.29,12495400.0
2004-12-07,176.0,176.2,170.55,171.43,13728000.0
2004-12-08,170.57,173.68,168.73,169.98,15068500.0
2004-12-09,170.25,173.5,168.47,173.43,15292600.0
2004-12-10,173.43,174.88,171.29,171.65,8625700.0
2004-12-13,172.03,173.18,169.45,170.45,9627500.0
2004-12-14,171.0,178.82,169.6,178.69,22154600.0
2004-12-15,177.99,180.69,176.66,179.78,22919000.0
2004-12-16,177.22,180.49,175.95,176.47,17128400.0
2004-12-17,176.76,180.5,176.55,180.08,14757600.0
2004-12-20,182.0,188.46,181.87,185.02,19649300.0
2004-12-21,186.28,187.88,183.4,183.75,11021500.0
2004-12-22,183.9,186.85,183.01,186.3,7806100.0
2004-12-23,187.45,188.6,186.0,187.9,7221900.0
2004-12-27,189.43,193.3,189.1,191.91,12195900.0
2004-12-28,192.11,193.55,191.01,192.76,8283300.0
2004-12-29,191.97,193.52,191.78,192.9,5350800.0
2004-12-30,192.97,198.23,191.85,197.6,11796700.0
2004-12-31,199.23,199.88,192.56,192.79,15321600.0
2005-01-03,197.4,203.64,195.46,202.71,31656700.0
2005-01-04,201.33,202.93,193.48,194.5,27484200.0
2005-01-05,193.45,196.9,192.23,193.51,16456700.0
2005-01-06,195.25,195.9,187.72,188.55,20753400.0
2005-01-07,190.64,194.25,188.78,193.85,19306400.0
2005-01-10,194.5,198.1,191.83,195.06,15064100.0
2005-01-11,195.62,197.71,193.18,193.54,13903400.0
2005-01-12,194.33,195.93,190.5,195.38,16339200.0
2005-01-13,195.38,197.39,194.05,195.33,13685100.0
2005-01-14,196.0,200.01,194.13,199.97,19261300.0
2005-01-18,200.89,205.02,198.66,203.9,26318800.0
2005-01-19,204.64,205.3,196.71,197.3,22492800.0
2005-01-20,192.58,196.25,192.0,193.92,17985100.0
2005-01-21,194.44,195.36,188.12,188.28,18498200.0
2005-01-24,188.69,189.33,180.32,180.72,28017300.0
2005-01-25,182.2,182.24,176.29,177.12,21297000.0
2005-01-26,179.27,189.41,179.15,189.24,24591100.0
2005-01-27,188.76,188.86,185.2,188.08,13241500.0
2005-01-28,190.13,194.7,186.34,190.34,24391900.0
2005-01-31,193.69,196.36,191.72,195.62,19174200.0
2005-02-01,194.38,203.75,190.63,191.9,37640300.0
2005-02-02,215.55,216.8,203.66,205.96,65533000.0
2005-02-03,205.99,213.37,205.81,210.86,25950200.0
2005-02-04,206.47,207.75,202.6,204.36,29608900.0
2005-02-07,205.26,206.4,195.51,196.03,25894800.0
2005-02-08,196.96,200.02,194.53,198.64,22937000.0
2005-02-09,200.76,201.6,189.46,191.58,34308600.0
2005-02-10,191.97,192.21,185.25,187.98,37927400.0
2005-02-11,186.66,192.32,186.07,187.4,26205700.0
2005-02-14,186.08,193.08,181.0,192.99,77047200.0
2005-02-15,193.605,199.84,193.08,195.23,51514000.0
2005-02-16,194.7,199.33,194.3,198.41,33031500.0
2005-02-17,197.83,199.75,196.81,197.9,20807900.0
2005-02-18,198.51,198.84,196.66,197.95,16954800.0
2005-02-22,196.5,198.9,190.39,191.37,26940400.0
2005-02-23,193.3,194.48,188.66,193.95,31140800.0
2005-02-24,183.37,189.85,182.23,188.89,51576900.0
2005-02-25,189.15,189.92,185.51,185.87,19927000.0
2005-02-28,186.0,189.87,185.85,187.99,15621100.0
2005-03-01,189.29,189.75,185.39,186.06,18603700.0
2005-03-02,185.95,187.67,184.36,185.18,14556400.0
2005-03-03,186.13,187.75,184.31,187.005,15201900.0
2005-03-04,186.7,187.25,185.07,185.9,13534600.0
2005-03-07,187.78,189.6,187.03,188.81,17317400.0
2005-03-08,189.1,189.85,184.97,185.2,16076100.0
2005-03-09,184.21,184.65,180.16,181.35,22698000.0
2005-03-10,181.01,181.2,177.4,179.98,21899000.0
2005-03-11,180.44,180.95,177.15,177.8,16040500.0
2005-03-14,178.33,178.4,172.57,174.99,22270900.0
2005-03-15,175.25,180.0,174.21,178.61,20823300.0
2005-03-16,176.7,178.61,175.01,175.6,14198300.0
